Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
17,Print Paper [kg],,,640.8041,640.8041,,Taxis - Cost,,,7.0986,7.0986,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Country,Australia,,Country,New Zealand,,,,,Q4,3270237.7944,,,3270.2377944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women on the board,40,40,40,27.27,20,167.27
18,Rental Car [t CO2e],,,11.57,11.57,,Vehicle Number - Cars,,,,,,Quarter,Q4,,Quarter,Q4,,,,,,,,,,Financial Year,FY22,,Financial Year,FY22,,,,FY21,Q1,3295758.3844999997,,,3295.7583845,,,,,,,,,,,,,,,,,,,Total AUD,AU,NZ converted to AUD,,,,,,,,,,,,,,,,,AU - Women in senior management positions,36.27,40.85,43.14,42.96,44.04,207.26
19,Taxi Travel [km],,,43.8129,43.8129,,Waste General [t],,,294.5765000000001,294.5765000000001,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,,,Q2,3376131.7159999986,,,3376.1317159999985,,,,,,,,,,,,,,,,,,Cash Contributions,7.143718091452582,6691858.9998,451859.09165258164,,,,,,,,,,,,,,,,,AU - Women in executive positions,22.22,33.33,44.44,40,44.44,184.43
20,Waste General [t],,,288.18200000000024,288.18200000000024,,Working From Home [kg CO2e],,,299.816,299.816,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,,,,,,,,,,,,,,,,,Q3,3345951.7842000006,,FY21,3345.9517842000005,,,,,,,,,,,,,,,,,,Management Costs,2.5142220271770404,2223177.8201,291044.20707704045,,,,,,,,,,,,,,,,,,,,,,,
21,Working From Home [kg CO2e],,,2563.4529,2563.4529,,Grand Total,1327.0302,484.50419999999997,2138.4389,3949.9732999999997,,Employee Metric [%],15.850100000000001,,Employee Metric [%],8.099900000000002,,,Country,Australia,,Country,New Zealand,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,,,Q4,3358093.675400001,,,3358.093675400001,,,,,,,,,,,,,,,,,,Volunteering costs,0.48235312551964993,345842.38989999995,136510.73561964996,,,,,,,,,,,,,,,,,,,,,,,
22,Grand Total,4082.4809000000005,9244.039999999999,8623,21949.5209,,,,,,,,Grand Total,15.850100000000001,,Grand Total,8.099900000000002,,,Financial Year,FY23,,Financial Year,FY23,,,Employee Metric [FTE],8125.442499999998,,Employee Metric [FTE],3511.6200000000003,,,,FY22,Q1,3120705.1579000005,,,3120.7051579000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,Quarter,(All),,Quarter,(All),,,Grand Total,8125.442499999998,,Grand Total,3511.6200000000003,,,,,Q2,3055968.271899997,,,3055.9682718999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AU - Women in the workforce %,FY19,FY20,FY21,FY22,FY23,
24,,,,,,,,,,,,,,,,,,,,Month,(All),,Month,(All),,,,,,,,,,,,Q3,2895680.6444999995,,FY22,2895.6806444999993,,,,,,,,,,,,,Option 2,,,,,,,,,,,,,,,,,,,,,,,,,Women in the workforce,57.75,58.22,58.71,59.46,59.58,
25,Country,Australia,,,,,Country,New Zealand,,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,Q4,2894071.2353000008,,,2894.071235300001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women on the board,40,40,40,27.27,20,
26,Financial Year,FY23,,,,,Financial Year,FY23,,,,,Item Number,(All),,Item Number,(All),,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,Country,Australia,,Country,New Zealand,,,,FY23,Q1,2959277.840099999,,,2959.277840099999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in senior management positions,36.27,40.85,43.14,42.96,44.04,
27,Data Type,(Multiple Items),,,,,Data Type,(Multiple Items),,,,,Financial Year,FY23,,Financial Year,FY23,,,Community Investment [hours],6477.400100000001,,Community Investment [hours],2812.5,,,Financial Year,FY21,,Financial Year,FY21,,,,,Q2,2957270.1424000002,,,2957.2701424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women in executive positions,22.22,33.33,44.44,40,44.44,
28,,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,Grand Total,6477.400100000001,,Grand Total,2812.5,,,Quarter,(All),,Quarter,(All),,,,,Q3,2937940.389799999,,FY23,2937.940389799999,,,,,,,,,,,,,,,,,,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Month,Jun,,Month,Jun,,,,,,,,,,,,,,,,,,,Q4,2863223.7900000005,,,2863.2237900000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AU - Fuel Diesel,2711.4655999999995,,666.2172999999999,3377.6829,,NZ - Fuel Petrol,824.2802,,209.666,1033.9461999999999,,,,,,,,,,,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,Grand Total,,,70635735.9466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AU - Fuel Ethanol,80.39500000000001,,20.440399999999997,100.8354,,Grand Total,824.2802,,209.666,1033.9461999999999,,Row Labels,Sum of Actual Data,,Row Labels,Sum of Actual Data,,,Country,Australia,,,,,,Employee Metric [FTE],7976.949999999997,,Employee Metric [FTE],3293.9174999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AU - Fuel Petrol,217.4826,,55.319300000000005,272.8019,,,,,,,,Employee Metric [FTE],7802.44,,Employee Metric [FTE],3768.02,,,Financial Year,FY23,,,,,,Grand Total,7976.949999999997,,Grand Total,3293.9174999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AU - Fuel Diesel_PKG,371.7304,,91.3356,463.06600000000003,,,,,,,,Grand Total,7802.44,,Grand Total,3768.02,,,Quarter,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,
34,AU - Fuel Ethanol_PKG,87.11080000000001,,22.1476,109.25840000000001,,,,,,,,,,,,,,,Month,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Target %,50,50,50,50,50,
35,AU - Fuel Petrol_PKG,528.8184,,134.5116,663.33,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,Country,New Zealand,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
36,Grand Total,3997.0027999999993,,989.9717999999998,4986.9746,,,,,,,,Country,Australia,,Country,New Zealand,,,Row Labels,Sum of Total Data,,,,,,Financial Year,FY20,,Financial Year,FY20,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,Row Labels,FY19,FY20,FY21,FY22,FY23,Grand Total,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,Item Number,(All),,Item Number,(All),,,Community Investment [$],10968817.905600002,,,,,,Quarter,(All),,Quarter,(All),,,Data Type,Vehicle Number - Total,,,,,,,,,,,,,,,,,,,,,,,Community Investment [$],9359802.2101,19697493,13000031,14554724.720099999,9260879.2002,65872930.1304,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,AU - Community I/ment (C&DR),168725.31980000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,9359802.2101,19697493,13000031,14554724.720099999,9260879.2002,65872930.1304,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,AU - Community Investment (Cash Contribution),6691858.9998,,,,,,Row Labels,Average of Actual Data,,Row Labels,Average of Actual Data,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,
40,,Australia,,,,,,New Zealand,,,,,Month,Jun,,Month,Jun,,,AU - Community Investment (CommunityConnect),472020.0669000001,,,,,,Employee Metric [FTE],7409.2225,,Employee Metric [FTE],3021.147499999999,,,Units,Financial Year,Quarter,Total,,,AU fleet,AU fuel usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quarter,Q4,,,,,
