Unnamed: 0,GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
97,GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,,,Ethical sourcing and human rights,,,,,,,,SDG 5\nSDG 8\nSDG 16,
98,,,,,Our approach to human rights,,,,,,,,,
99,,,,,Modern Slavery Statement,,,,,,,,,
100,GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,,,Ethical sourcing and human rights,,,,,,,,SDG 5\nSDG 8,
101,,,,,Our approach to human rights,,,,,,,,,
102,,,,,Modern Slavery Statement,,,,,,,,,
103,GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,,,Ethical sourcing and human rights,,,,,,,,SDG 5\nSDG 8\nSDG 16,
104,,,,,Our approach to human rights,,,,,,,,,
105,"Health, safety and wellbeing",,,,,,,,,,,,,
106,GRI 3: Material\nTopics 2021,3-3 Management of material topics,,,"Health, safety and wellbeing",,,,,,,,,
107,,,,,Bunnings Health and Wellbeing,,,,,,,,,
108,,,,,Kmart Health and Safety,,,,,,,,,
109,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
110,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
111,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
112,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
113,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
114,GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
115,,,,,Bunnings Health and Wellbeing,,,,,,,,,
116,,,,,Kmart Health and Safety,,,,,,,,,
117,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
118,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
119,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
120,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
121,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
122,,"403-2 Hazard identification, risk assessment, and incident investigation",,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
123,,,,,Safety initatives,,,,,,,,,
124,,,,,Bunnings Health and Wellbeing,,,,,,,,,
125,,,,,Kmart Health and Safety,,,,,,,,,
126,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
127,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
128,,,,,"WIS Health, Safety and Wellbeing",,,,,,,,,
129,,,,,"Wesfarmers Health - Health, Safety and Wellbeing",,,,,,,,,
130,,,,,"OneDigital Health, Safety and Wellbeing",,,,,,,,,
131,,403-3 Occupational health services,,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
132,,,,,Bunnings Health and Wellbeing,,,,,,,,,
133,,,,,Kmart Health and Safety,,,,,,,,,
134,,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
135,,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
