GRI content index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,2-15 Conflicts of interest,,,"Governance, compliance, conduct and ethics",,,,,,,,SDG 16,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-16 Communication of critical concerns,,,Stakeholder Engagement,,,,,,,,,
,2-17 Collective knowledge of the highest governance body,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,2-18 Evaluation of the performance of the highest governance body,,,Director's Report in Annual report,,,,,,,,,
,2-19 Remuneration policies,,,Remuneration report in Annual report,,,,,,,,,
,2-20 Process to determine remuneration,,,Remuneration report in Annual report,,,,,,,,,
,2-21 Annual total compensation ratio,,,,,"2-21 a, b and c",,Data unavailable,,"We do not currently report this information in the context of a ratio with median compensation, however, we do report Executive KMP remuneration in the Remuneration report contained in each Annual report.",,,
,2-22 Statement on sustainable development strategy,,,Chairman and Managing Director's 20223 sustainability message,,,,,,,,,
,2-23 Policy commitments,,,Ethical sourcing and human rights,,,,,,,,SDG 16,
,,,,Our approach to human rights,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-24 Embedding policy commitments,,,Ethical sourcing and human rights,,,,,,,,,
,,,,Our approach to human rights,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-25 Processes to remediate negative impacts,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,,,,Ethical sourcing and human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
,2-26 Mechanisms for seeking advice and raising concerns,,,Feedback,,,,,,,,SDG 16,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,2-27 Compliance with laws and regulations,,,Climate resilience,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,2-28 Membership associations,,,External Participation,,,,,,,,,
,,,,UN Sustainable Development Goals,,,,,,,,,
,,,,United Nations Global Compact,,,,,,,,,
,,,,Stakeholder Engagement,,,,,,,,,
,2-29 Approach to stakeholder engagement,,,Stakeholder Engagement,,,,,,,,,
,2-30 Collective bargaining agreements,,,Workplace relations,,,,,,,,SDG 8,
Material topics,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-1 Process to determine material topics,,,Materiality Process,,,,,,,,,
,3-2 List of material topics,,,Materiality Process,,,,,,,,,
,,,,Our Reporting,,,,,,,,,
Climate resilience,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Climate resilience,,,,,,,,,
GRI 302: Energy 2016,302-1 Energy consumption within the organization,,,Climate resilience,,,,,,,,"SDG 7
SDG 8
SDG 12
SDG 13",
,,,,Data Centre,,,,,,,,,
,302-4 Reduction of energy consumption,,,Climate resilience,,302-4 a,,Information unavailable,,"We talk about energy efficency, and our databook shows year on year energy consumption, which can be used can determine the full narratvie of change in energy consumption. We have not disclosed the amount of reductions on a project by project basis, as a conglomerate, different fuels and energy sources are applicable to different divisions. ",,"SDG 7
SDG 8
SDG 12
SDG 13",
,,,,Data Centre,,,,,,,,,
GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions,,,Climate resilience,,,,,,,,"SDG 3
SDG 12
SDG 13
SDG 14
SDG 15",
,,,,Data Centre,,,,,,,,,
,305-2 Energy indirect (Scope 2) GHG emissions,,,Climate resilience,,,,,,,,"SDG 3
SDG 12
SDG 13
SDG 14
SDG 15",
,,,,Data Centre,,,,,,,,,
,305-3 Other indirect (Scope 3) GHG emissions,,,Climate resilience,,,,,,,,"SDG 3
SDG 12
SDG 13
SDG 14
SDG 15",
,,,,Data Centre,,,,,,,,,
,305-4 GHG emissions intensity,,,Sustainable Finance,,,,,,,,"SDG 13
SDG 14
SDG 15",
,305-5 Reduction of GHG emissions,,,Climate resilience,,We have not disclosed the GHG emission reductions achieved through project initiatives at a divisional level.,,Information unavailable,,"We do not report on a project by project basis as this would not be meaningful.  The total of projects achieved per Division provides transparency on Divisional emission reductions achievements however, is disclosed.",,"SDG 13
SDG 14
SDG 15",
Ethical sourcing and human rights,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Workplace relations,,,,,,,,,
,,,,Ethical sourcing and human rights,,,,,,,,,
,,,,Our approach to human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
GRI 407: Freedom of Association and Collective Bargaining 2016,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,Workplace relations,,,,,,,,SDG 8,
,,,,Ethical sourcing and human rights,,,,,,,,,
,,,,Our approach to human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
GRI 408: Child Labor 2016,408-1 Operations and suppliers at significant risk for incidents of child labor,,,Ethical sourcing and human rights,,,,,,,,"SDG 5
SDG 8
SDG 16",
,,,,Our approach to human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
GRI 409: Forced or Compulsory Labor 2016,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,,,Ethical sourcing and human rights,,,,,,,,"SDG 5
SDG 8",
,,,,Our approach to human rights,,,,,,,,,
,,,,Modern Slavery Statement,,,,,,,,,
GRI 414: Supplier Social Assessment 2016,414-2 Negative social impacts in the supply chain and actions taken,,,Ethical sourcing and human rights,,,,,,,,"SDG 5
SDG 8
SDG 16",
,,,,Our approach to human rights,,,,,,,,,
"Health, safety and wellbeing",,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,"Health, safety and wellbeing",,,,,,,,,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
GRI 403: Occupational Health and Safety 2018,403-1 Occupational health and safety management system,,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,"403-2 Hazard identification, risk assessment, and incident investigation",,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
,,,,Safety initatives,,,,,,,,,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,403-3 Occupational health services,,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,SDG 8,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,"403-4 Worker participation, consultation, and communication on occupational health and safety",,,"Health, safety and wellbeing",,Information for workers who are not employees,,Information unavailable,,"Our data collection does not currently capture information on workers who are not employees, however, discussions will be conducted on capturing this in future reporting.",,"SDG 8
SDG 16",
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,403-5 Worker training on occupational health and safety,,,"Health, safety and wellbeing",,,,,,,,SDG 8,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,403-6 Promotion of worker health,,,"Health, safety and wellbeing",,,,,,,,SDG 3,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,"Health, safety and wellbeing",,,,,,,,SDG 8,
,,,,Bunnings Health and Wellbeing,,,,,,,,,
,,,,Kmart Health and Safety,,,,,,,,,
,,,,WesCEF Team member wellbeing and operating safely,,,,,,,,,
,,,,"Officeworks Safety, Health, and Wellbeing",,,,,,,,,
,,,,"WIS Health, Safety and Wellbeing ",,,,,,,,,
,,,,"Wesfarmers Health - Health, Safety and Wellbeing ",,,,,,,,,
,,,,"OneDigital Health, Safety and Wellbeing ",,,,,,,,,
,403-9 Work-related injuries,,,Data Centre,,"TRIFR and workers compensation claims have not been broken down by gender. The region for reporting is considered Australia and New Zealand unless otherwise stated. Occupational diseases rate and absentee rate has not been disclosed. Safety data for fixed-term contractors in the supply chain where the majority of the team members employed are contractors (e.g. distribution centres where we hire team members through employee hire programs) has been disclosed, however, we do not include contractors who are engaged in maintenance and consultancy work.",,Information unavailable,,"Due to the breadth and diversity of our businesses, this data is not gathered across the Group. We have no reason to believe that safety data varies by gender. We will look to incorporate this data request into our human resource systems and report this data in next year's report if possible.",,"SDG 3
SDG 8
SDG 16",
Data and cyber security,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Data and cyber security,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,,,Data and cyber security,,,,,,,,SDG 16,
"Governance, compliance, conduct and ethics",,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
GRI 206: Anti-competitive Behavior 2016,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",,,"Governance, compliance, conduct and ethics",,,,,,,,SDG 16,
GRI 415: Public Policy 2016,415-1 Political contributions,,,"Governance, compliance, conduct and ethics",,,,,,,,SDG 16,
,,,,Political donations,,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
"People development, diversity and inclusion
 And
Adavancing reconciliation",,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,"People development, diversity and inclusion",,,,,,,,,
,,,,Workplace relations,,,,,,,,,
,,,,Gender Balance,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,,,,Training and Development,,,,,,,,,
,,,,Advancing reconciliation,,,,,,,,,
GRI 401: Employment 2016,401-1 New employee hires and employee turnover,,,"People development, diversity and inclusion",,"Employee turnover has not been broken down by age group
New hire team members by age/region or employee turnover by gender or region",,Information unavailable.,,"Due to the breadth and diversity of our businesses, this data is not gathered across the Group.
We will look to incorporate this data request into our human resource systems and report this data in next year's report if possible.",,"SDG 5
SDG 8
SDG 10",
,,,,Advancing reconciliation,,,,,,,,,
,,,,Data Centre,,,,,,,,,
GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,,,"People development, diversity and inclusion",,,,,,,,SDG 8,
,,,,Workplace relations,,,,,,,,,
GRI 404: Training and Education 2016,404-2 Programs for upgrading employee skills and transition assistance programs,,,Training and Development,,,,,,,,SDG 8,
,,,,Advancing reconciliation,,,,,,,,,
GRI 405: Diversity and Equal Opportunity 2016,405-1 Diversity of governance bodies and employees,,,"People development, diversity and inclusion",,,,,,,,"SDG 5
SDG 8",
,,,,Gender Balance,,,,,,,,,
,,,,Advancing reconciliation,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
GRI 406: Non-discrimination 2016,406-1 Incidents of discrimination and corrective actions taken,,,"People development, diversity and inclusion",,Incidents of discrimination and corrective actions taken,,Information incomplete,,"Wesfarmers has a broad and diverse business conglomerate model and each of the divisions have a whistleblower program, however conduct and corrective action data is not aggregated across the Group for external reporting.  
Our various businesses and the corporate office collect information via whistleblower reports. Most reports made through this mechanism are work-related grievances reporting alleged harassment, discrimination, or bullying. Other reports concern potential breaches of divisional Codes of Conduct, potential fraud, theft or alleged dishonest conduct, safety issues and concerns about supplier conduct. All reports assessed as suitable to be addressed under the Whistleblowing Policy are investigated. Action is taken in response to those reports that are substantiated including (where appropriate) termination of employment or contract, issuing a formal warning or providing training and coaching.",,"SDG 5
SDG 8",
,,,,Gender Balance,,,,,,,,,
,,,,Anti-bribery policy and whistleblower reporting,,,,,,,,,
,,,,"Governance, compliance, conduct and ethics",,,,,,,,,
Circular Economy,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Circular economy,,,,,,,,,
,,,,Water,,,,,,,,,
,,,,Circular economy initiatives,,,,,,,,,
GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,,,Circular economy,,,,,,,,"SDG 3
SDG 6
SDG 11
SDG 12",
,,,,Circular economy initiatives,,,,,,,,,
,,,,Data Centre,,,,,,,,,
,306-2 Management of significant wasterelated impacts,,,Circular economy,,,,,,,,"SDG 3
SDG 6
SDG 8
SDG 11
SDG 12",
,,,,Circular economy initiatives,,,,,,,,,
,,,,Data Centre,,,,,,,,,
,306-3 Waste generated,,,Circular economy,,,,,,,,"SDG 3
SDG 11
SDG 12",
,,,,Circular economy initiatives,,,,,,,,,
,,,,Data Centre,,,,,,,,,
,306-4 Waste diverted from disposal,,,Circular economy,,,,,,,,"SDG 3
SDG 11
SDG 12",
,,,,Circular economy initiatives,,,,,,,,,
,,,,Data Centre,,,,,,,,,
,306-5 Waste directed to disposal,,,Circular economy,,,,,,,,"SDG 3
SDG 6
SDG 11
SDG 12",
,,,,Circular economy initiatives,,,,,,,,,
,,,,Data Centre,,,,,,,,,
GRI 303: Water and Effluents 2018,303-1 Interactions with water as a shared resource,,,Water,,,,,,,,"SDG 6
SDG 12",
,,,,Data Centre,,,,,,,,,
,303-2 Management of water dischargerelated impacts,,,Water,,,,,,,,SDG 6,
,303-5 Water consumption,,,Water,,,,,,,,SDG 6,
"Product quality, safety & standards",,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Safety initatives,,,,,,,,,
,,,,Product quality and safety standards,,,,,,,,,
,,,,Product safety initiatives,,,,,,,,,
,,,,Product recalls,,,,,,,,,
,,,,Chemical safety,,,,,,,,,
GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,,,Safety initatives,,Percentage of product categories across the Group,,Not applicable,,"As a diversified conglomerate, a percentage of product categories across the group is not considered a meaningful measure for our business. Health and safety impacts are considered by divisions where relevant but are not measured as a percentage of product categories across the Group.",,,
,,,,Product quality and safety standards,,,,,,,,,
,,,,Product safety initiatives,,,,,,,,,
,,,,Product recalls,,,,,,,,,
,,,,Chemical safety,,,,,,,,,
GRI 417: Marketing and Labeling 2016,417-1 Requirements for product and service information and labeling,,,Product quality and safety standards,,Product labelling as a percentage of product categories across the Group. ,,Not applicable,,"As a diversified conglomerate, a percentage of product categories across the group is not considered a meaningful measure for our business. Product labelling is addressed by divisions where relevant but is not measured as a percentage of product categories across the Group. ",,SDG 12,
,,,,Product safety initiatives,,,,,,,,,
,,,,Product recalls,,,,,,,,,
,,,,Chemical safety,,,,,,,,,
Economic and community contributions,,,,,,,,,,,,,
"GRI 3: Material
Topics 2021",3-3 Management of material topics,,,Economic and community contributions,,,,,,,,,
,,,,Tax transparency,,,,,,,,,
,,,,Product quality and safety standards,,,,,,,,,
,,,,Product safety initiatives,,,,,,,,,
,,,,Product recalls,,,,,,,,,
,,,,Chemical safety,,,,,,,,,
,,,,Data and cyber security,,,,,,,,,
,,,,Wesfarmers Arts,,,,,,,,,
GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,,,Economic and community contributions,,,,,,,,"SDG 8
SDG 9",
,,,,Wesfarmers Arts,,,,,,,,,
GRI 207: Tax 2019,207-1 Approach to tax,,,Tax transparency,,,,,,,,"SDG 1
SDG 10
SDG 17",
,"207-2 Tax governance, control, and risk management",,,Tax transparency,,,,,,,,"SDG 1
SDG 10
SDG 17",
,207-3 Stakeholder engagement and management of concerns related to tax,,,Tax transparency,,,,,,,,"SDG 1
SDG 10
SDG 17",
,207-4 Country-by-country reporting,,,Tax transparency,,,,,,,,"SDG 1
SDG 10
SDG 17",
GRI 413: Local Communities 2016,413-2 Operations with significant actual and potential negative impacts on local communities,,,Economic and community contributions,,,,,,,,SDG 1,
,,,,Wesfarmers Arts,,,,,,,,,
,,,,Product quality and safety standards,,,,,,,,,
,,,,Product safety initiatives,,,,,,,,,
,,,,Product recalls,,,,,,,,,
,,,,Chemical safety,,,,,,,,,
,,,,Data and cyber security,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Topics in the applicable GRI Sector Standards determined as not material,,,,,,,,,,,,,
TOPIC,,,,,,,EXPLANATION,,,,,,
,,,,,,,,,,,,,
