Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
359,Mt Cattlin,,,,,,,,,,,,,,,,
360,Men,%,-,-,-,-,0.326316,-,,,,,,,,,
361,Women,%,-,-,-,-,0.115789,-,,,,,,,,,
362,1 - All Turnover rates are calculated as a percentage of turnover over the total workforce.,,,,,,,,,,,,,,,,
363,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
365,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
366,Turnover by Region1,,,,,,,,,,,,,,,,
367,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
368,Local,%,0.019417,0.017131,0.008439,0.01,0.0111,0.009009,,,,,,,,,
369,Provincial,%,0.055016,0.019272,0.027426,0.018,0.0334,0.030888,,,,,,,,,
370,National,%,0.055016,0.027837,0.046414,0.02,0.035,0.041184,,,,,,,,,
371,International,%,0.003236,0.008565,0.021097,0.014,0,0.002574,,,,,,,,,
372,Sal de Vida,,,,,,,,,,,,,,,,
373,Local,%,-,-,-,-,0,0.002899,,,,,,,,,
374,Provincial,%,-,-,-,-,0.13,0.095,,,,,,,,,
375,National,%,-,-,-,-,0.056872,0.075,,,,,,,,,
376,International,%,-,-,-,-,0,0,,,,,,,,,
377,James Bay,,,,,,,,,,,,,,,,
378,Local,%,-,-,-,-,0,0.035714,,,,,,,,,
379,Provincial,%,-,-,-,-,0.05,0.071429,,,,,,,,,
380,National,%,-,-,-,-,0,0,,,,,,,,,
381,International,%,-,-,-,-,0.05,0,,,,,,,,,
382,Mt Cattlin,,,,,,,,,,,,,,,,
383,Local,%,-,-,-,-,0.442105,-,,,,,,,,,
384,Provincial,%,-,-,-,-,0,-,,,,,,,,,
385,National,%,-,-,-,-,0,-,,,,,,,,,
386,International,%,-,-,-,-,0,-,,,,,,,,,
387,1 - All Turnover rates are calculated as a percentage of turnover over the total workforce.,,,,,,,,,,,,,,,,
388,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
390,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
391,Turnover by Age1,,,,,,,,,,,,,,,,
392,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
393,<30,%,0.087379,0.012848,0.014768,0.016,0.0096,0.016731,,,,,,,,,
394,30-50,%,0.042071,0.053533,0.078059,0.045,0.0589,0.055341,,,,,,,,,
395,>50,%,0.003236,0.006424,0.010549,0.002,0.0111,0.011583,,,,,,,,,
396,Sal de Vida,,,,,,,,,,,,,,,,
397,<30,%,-,-,-,-,0.018957,0.031,,,,,,,,,
398,30-50,%,-,-,-,-,0.080569,0.119,,,,,,,,,
399,>50,%,-,-,-,-,0.018957,0.024,,,,,,,,,
400,James Bay,,,,,,,,,,,,,,,,
401,<30,%,-,-,-,-,0,0,,,,,,,,,
402,30-50,%,-,-,-,-,0,0.035714,,,,,,,,,
403,>50,%,-,-,-,-,0.1,0.071429,,,,,,,,,
404,Mt Cattlin,,,,,,,,,,,,,,,,
405,<30,%,-,-,-,-,0.147368,-,,,,,,,,,
406,30-50,%,-,-,-,-,0.168421,-,,,,,,,,,
407,>50,%,-,-,-,-,0.126316,-,,,,,,,,,
408,1 - All Turnover rates are calculated as a percentage of turnover over the total workforce.,,,,,,,,,,,,,,,,
409,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
411,New Hires,,,,,,,,,,,,,,,,
413,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
414,New Hires1,,,,,,,,,,,,,,,,
415,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
416,Total new hires,Quantity,63,175,63,51,168,212,,,,,,,,,
417,Hire rate,%,0.203883,0.374732,0.132911,0.103659,0.267516,0.272844,,,,,,,,,
418,Vacancies filled internally,Quantity,-,-,-,25,64,107,,,,,,,,,
419,Vacancies filled internally rate,%,-,-,-,0.490196,0.380952,0.504717,,,,,,,,,
420,Sal de Vida,,,,,,,,,,,,,,,,
421,Total new hires,Quantity,-,-,-,-,131,208,,,,,,,,,
422,Hire rate,%,-,-,-,-,0.620853,0.707,,,,,,,,,
423,Vacancies filled internally,Quantity,-,-,-,-,28,79,,,,,,,,,
424,Vacancies filled internally rate,%,-,-,-,-,0.21374,0.379808,,,,,,,,,
425,James Bay,,,,,,,,,,,,,,,,
426,Total new hires,Quantity,-,-,-,-,14,15,,,,,,,,,
427,Hire rate,%,-,-,-,-,0.7,0.535714,,,,,,,,,
428,Vacancies filled internally,Quantity,-,-,-,-,0,1,,,,,,,,,
429,Vacancies filled internally rate,%,-,-,-,-,0,0.066667,,,,,,,,,
430,Mt Cattlin,,,,,,,,,,,,,,,,
431,Total new hires,Quantity,-,-,-,-,49,42,,,,,,,,,
432,Hire rate,%,-,-,-,-,0.515789,0.365,,,,,,,,,
433,Vacancies filled internally,Quantity,-,-,-,-,0,0,,,,,,,,,
434,Vacancies filled internally rate,%,-,-,-,-,0,0,,,,,,,,,
435,1 - All hiring rates are calculated as a percentage of new hires over the total workforce.,,,,,,,,,,,,,,,,
436,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
438,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
439,New Hires by Gender1,,,,,,,,,,,,,,,,
440,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
441,Male hires,Quantity,47,147,53,35,118,245,,,,,,,,,
442,Male hire rate,%,0.152104,0.314775,0.111814,0.071138,0.187898,0.315315,,,,,,,,,
443,Female hires,Quantity,16,28,10,16,50,74,,,,,,,,,
444,Female hire rate,%,0.05178,0.059957,0.021097,0.03252,0.079618,0.095238,,,,,,,,,
445,Sal de Vida,,,,,,,,,,,,,,,,
446,Male hires,Quantity,-,-,-,-,97,52,,,,,,,,,
447,Male hire rate,%,-,-,-,-,0.459716,0.177,,,,,,,,,
448,Female hires,Quantity,-,-,-,-,34,156,,,,,,,,,
449,Female hire rate,%,-,-,-,-,0.161137,0.531,,,,,,,,,
450,James Bay,,,,,,,,,,,,,,,,
451,Male hires,Quantity,-,-,-,-,11,7,,,,,,,,,
452,Male hire rate,%,-,-,-,-,0.55,0.25,,,,,,,,,
453,Female hires,Quantity,-,-,-,-,3,8,,,,,,,,,
454,Female hire rate,%,-,-,-,-,0.15,0.285714,,,,,,,,,
455,Mt Cattlin,,,,,,,,,,,,,,,,
456,Male hires,Quantity,-,-,-,-,34,32,,,,,,,,,
457,Male hire rate,%,-,-,-,-,0.357895,0.278,,,,,,,,,
458,Female hires,Quantity,-,-,-,-,15,10,,,,,,,,,
459,Female hire rate,%,-,-,-,-,0.157895,0.087,,,,,,,,,
460,1 - All hiring rates are calculated as a percentage of new hires over the total workforce.,,,,,,,,,,,,,,,,
461,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
463,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
464,New Hires by Region1,,,,,,,,,,,,,,,,
465,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
466,Local hires,Quantity,18,51,21,8,61,56,,,,,,,,,
467,Local hire rate,%,0.058252,0.109208,0.044304,0.01626,0.097134,0.072072,,,,,,,,,
468,Provincial hires,Quantity,23,55,22,15,52,119,,,,,,,,,
469,Provincial hire rate,%,0.074434,0.117773,0.046414,0.030488,0.082803,0.153153,,,,,,,,,
470,National hires,Quantity,21,62,14,28,55,144,,,,,,,,,
471,National hire rate,%,0.067961,0.132762,0.029536,0.056911,0.08758,0.185328,,,,,,,,,
472,International hires,Quantity,1,7,6,0,0,0,,,,,,,,,
473,International hire rate,%,0.003236,0.014989,0.012658,0,0,0,,,,,,,,,
474,Sal de Vida,,,,,,,,,,,,,,,,
475,Local hires,Quantity,-,-,-,-,20,7,,,,,,,,,
476,Local hire rate,%,-,-,-,-,0.094787,0.024,,,,,,,,,
477,Provincial hires,Quantity,-,-,-,-,77,132,,,,,,,,,
478,Provincial hire rate,%,-,-,-,-,0.364929,0.449,,,,,,,,,
479,National hires,Quantity,-,-,-,-,34,69,,,,,,,,,
480,National hire rate,%,-,-,-,-,0.161137,0.235,,,,,,,,,
481,International hires,Quantity,-,-,-,-,0,0,,,,,,,,,
482,International hire rate,%,-,-,-,-,0,0,,,,,,,,,
483,James Bay,,,,,,,,,,,,,,,,
484,Local hires,Quantity,-,-,-,-,0,1,,,,,,,,,
485,Local hire rate,%,-,-,-,-,0,0.036,,,,,,,,,
486,Provincial hires,Quantity,-,-,-,-,12,10,,,,,,,,,
487,Provincial hire rate,%,-,-,-,-,0.6,0.357,,,,,,,,,
488,National hires,Quantity,-,-,-,-,0,0,,,,,,,,,
489,National hire rate,%,-,-,-,-,0,0,,,,,,,,,
490,International hires,Quantity,-,-,-,-,2,4,,,,,,,,,
