Unnamed: 0,2023 Sustainability Report - People,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
593,Average training hours per male employee,Hours,-,-,-,-,6.75,38.3125,,,,,,,,,
594,Female employees total training hours,Hours,-,-,-,-,35,220.42,,,,,,,,,
595,Average training hours per female employee,Hours,-,-,-,-,5.83,18.368333,,,,,,,,,
596,TOTAL,Hours,,,,,130,833.42,,,,,,,,,
597,Mt Cattlin1,,,,,,,,,,,,,,,,
598,Male employees total training hours,Hours,-,-,-,-,-,-,,,,,,,,,
599,Average training hours per male employee,Hours,-,-,-,-,-,-,,,,,,,,,
600,Female employees total training hours,Hours,-,-,-,-,-,-,,,,,,,,,
601,Average training hours per female employee,Hours,-,-,-,-,-,-,,,,,,,,,
602,TOTAL,Hours,,,,,,,,,,,,,,,
603,1. Training and development information is not available for Mt Cattlin. We are working to improve the management of this information in the upcoming years.,,,,,,,,,,,,,,,,
604,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
606,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
607,Training and Education by Employment Category,,,,,,,,,,,,,,,,
608,Sales de Jujuy (Olaroz Lithium Facility),,,,,,,,,,,,,,,,
609,Managers,Hours,-,-,-,922,525,2612.45,,,,,,,,,
610,Managers,Average,-,-,96.45,38,19,90.084483,,,,,,,,,
611,Middle Management,Hours,-,-,-,5706,1.616,17085.8,,,,,,,,,
612,Middle Management,Average,-,-,56.19,21,9,78.736406,,,,,,,,,
613,Analyst/assistant,Hours,-,-,-,-,1641,4250.7,,,,,,,,,
614,Analyst/assistant,Average,-,-,-,-,12,23.355495,,,,,,,,,
615,Operators,Hours,-,-,-,6632,3932,6669.5,,,,,,,,,
616,Operators,Average,-,-,15.56,34,14,19.110315,,,,,,,,,
617,Sal de Vida,,,,,,,,,,,,,,,,
618,Managers,Hours,-,-,-,-,-,1880.1,,,,,,,,,
619,Managers,Average,-,-,-,-,-,6.4,,,,,,,,,
620,Middle Management,Hours,-,-,-,-,-,11102.7,,,,,,,,,
621,Middle Management,Average,-,-,-,-,-,37.8,,,,,,,,,
622,Analyst/assistant,Hours,-,-,-,-,-,4383.2,,,,,,,,,
623,Analyst/assistant,Average,-,-,-,-,-,14.9,,,,,,,,,
624,Operators,Hours,-,-,-,-,-,950.45,,,,,,,,,
625,Operators,Average,-,-,-,-,-,3.2,,,,,,,,,
626,James Bay,,,,,,,,,,,,,,,,
627,Managers,Hours,-,-,-,-,76,408.5,,,,,,,,,
628,Managers,Average,-,-,-,-,6,37.136364,,,,,,,,,
629,Middle Management,Hours,-,-,-,-,41,321.5,,,,,,,,,
630,Middle Management,Average,-,-,-,-,7,29.227273,,,,,,,,,
631,Analyst/Assistants,Hours,-,-,-,-,13,103.42,,,,,,,,,
632,Analyst/Assistants,Average,-,-,-,-,7,17.236667,,,,,,,,,
633,Operators,Hours,-,-,-,-,0,0,,,,,,,,,
634,Operators,Average,-,-,-,-,0,0,,,,,,,,,
635,Mt Cattlin 1,,,,,,,,,,,,,,,,
636,Managers,Hours,-,-,-,-,-,-,,,,,,,,,
637,Managers,Average,-,-,-,-,-,-,,,,,,,,,
638,Middle Management,Hours,-,-,-,-,-,-,,,,,,,,,
639,Middle Management,Average,-,-,-,-,-,-,,,,,,,,,
640,Analyst/assistant,Hours,-,-,-,-,-,-,,,,,,,,,
641,Analyst/assistant,Average,-,-,-,-,-,-,,,,,,,,,
642,Operators,Hours,-,-,-,-,-,-,,,,,,,,,
643,Operators,Average,-,-,-,-,-,-,,,,,,,,,
644,1. Training and development information is not available for MC. We are working to improve the management of this information in the upcoming years.,,,,,,,,,,,,,,,,
645,Ã¢ÂÂÃÂ : No information,,,,,,,,,,,,,,,,
647,INDICATOR,Units,2018,2019,2020,2021,2022,2023,,,,,,,,,
648,Allkem,,,,,,,,,,,,,,,,
649,Formal performance evaluation,,,,,,,,,,,,,,,,
650,Quantity of employees who have received a formal performance evaluation,Quantity,-,-,-,-,1078,1225,,,,,,,,,
651,Percentage of employees who have received a formal performance evaluation,%,-,-,-,-,0.87,0.906736,,,,,,,,,
652,Satisfaction survey1,,,,,,,,,,,,,,,,
653,Employees who participated in the satisfaction survey,Quantity,-,-,-,-,815,849,,,,,,,,,
654,Overall positive perception of the company,%,-,-,-,-,0.66,0.6,,,,,,,,,
