2023 Sustainability Report - GRI Standards/UNGC/SDG/SASB Contents Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
401-1,New employee hires and employee turnover,Human Capital,People Performance Data,,Principle 6,SDG5; SDG8; SDG10,,,
401-3,Parental leave,Human Capital,People Performance Data,,Principle 6,SDG5; SDG8; SDG10,,,
Occupational Health and Safety,,,,,,,,,
GRI 403 -OCCUPATIONAL HEALTH AND SAFETY MANAGEMENT APPROACH (2018),,,,,,,,,
403-1,Occupational health and safety management system,"Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8,,,
403-2,"Hazard identification, risk assessment, and incident investigation","Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing / Critical Incident Risk Management",,SDG3; SDG8,,,
403-3,Occupational health services,"Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8,,,
403-4,"Worker participation, consultation, and communication on occupational health and safety","Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8; SDG16,,,
403-5,Worker training on occupational health and safety,"Health, Safety & Wellbeing",,"Health, safety & wellbeing",,SDG3; SDG8,EM-MM-320a.1.,,
403-6,Promotion of worker health,"Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8,,,
403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Health, Safety & wellbeing, Shared Value",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8,,RT-CH-320a.1.,
GRI 403 - OCCUPATIONAL HEALTH AND SAFETY - TOPIC SPECIFIC DISCLOSURES (2018),,,,,,,,,
403-8,Workers covered by an occupational health and safety management system,"Health, Safety & Wellbeing",Health & Safety Management Approach,"Health, safety & wellbeing",,SDG3; SDG8,EM-MM-320a.1,RT-CH-320a.1,
403-9,Work-related injuries,"Health, Safety & Wellbeing",Health & Safety Performance Data,"Health, safety & wellbeing",,SDG3; SDG8; SDG16,EM-MM-320a.1,RT-CH-320a.1.,
H&S COMPLIANCE,,,,,,,,,
2.27,Non-compliance with H&S laws and regulations,"Health, Safety & Wellbeing",Health & Safety Performance Data,"Health, safety & wellbeing",,,,,
Training and Education,,,,,,,,,
GRI 404 - TRAINING AND EDUCATION (2016),,,,,,,,,
404-1,Average hours of training per year per employee,Human Capital,People Performance Data,Future ready workforce,Principle 6,SDG4; SDG5; SDG8; SDG10,,,
404-2,Programs for upgrading employee skills and transition assistance programs,Human Capital,Regional Study Program Case Study,Future ready workforce,,SDG5; SDG8; SDG10,,,
404-3,Percentage of employees receiving regular performance and career development reviews,,People Performance Data,Future ready workforce,Principle 6,SDG5; SDG8; SDG10,,,
Diversity and Equal Opportunity,,,,,,,,,
GRI 405 -DIVERSITY AND EQUAL OPPORTUNITY (2016),,,,,,,,,
405-1,Diversity of governance bodies and employees,"Human Capital, see also FY23 Corporate Governance Statement",People Performance Data,Diversity & inclusion,Principle 6,SDG5; SDG8,,,
405-2,Ratio of basic salary and remuneration of women to men,,People Performance Data,Diversity & inclusion,Principle 6,SDG5; SDG8; SDG10,,,
Rights of Indigenous Peoples,,,,,,,,,
GRI 411 - RIGHTS OF INDIGENOUS PEOPLES (2016),,,,,,,,,
411-1,Incidents of violations involving rights of indigenous peoples,No cases recorded in FY23.,Community Performance Data,First nations & Pueblos Originarios partnerships / Human Rights,"Principles 1,2",SDG10,,,
Human Rights Assessment,,,,,,,,,
GRI 412- HUMAN RIGHTS ASSESSMENT (2016),,,,,,,,,
412-1,Operations that have been subject to human rights reviews or impact assessments,,Human Rights Management Approach,Human Rights,"Principles 1,2",SDG10; SDG16,,,
412-2,Employee training on human rights policies or procedures,,Human Rights Management Approach\nGovernance and Ethics Performance Data,Human Rights,,SDG10; SDG16,,,
Local Communities,,,,,,,,,
GRI 413 - LOCAL COMMUNITIES (2016),,,,,,,,,
413-1,"Operations with local community engagement, impact assessments, and development programs",Shared Value,Communities Management Approach / Case Studies,Community capacity building,Principle 1,SDG10; SDG11,EM-MM-210b.1,RT-CH-210a.1.,
GRI 414 -SUPPLIER SOCIAL ASSESSMENT (2016),,,,,,,,,
