Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
27,,"2. Includes selection of both ""Non-binary"" and ""Prefer not to disclose"" 3. Europe, America, Middle East and India.",,,,,,,,,,,,,,,,,,,,
30,,"Employees new hires by gender, \nage and region",,2023,,2022,,,2021,,2020,,,,,,,,,,,
31,,,,Number,Rate \n(% of total employees),Number,Rate \n(% of total employees),,Number,Rate \n(% of total employees),Number,Rate \n(% of total employees),,,,,,,,,,
32,,Employee new hires by gender,,,,,,,,,,,,,,,,,,,,
33,,Female,,2991,7.1,3102,7.6,,3047,7.4,1668,4,,,,,,,,,,
34,,Male,,2718,6.5,3258,8,,2983,7.2,1811,4.5,,,,,,,,,,
35,,Not disclosed,,10 4,0,19,0,,-,-,-,-,,,,,,,,,,
36,,Total,,5719,13.7,6379,15.7,,6030,14.6,3479,8.6,,,,,,,,,,
37,,Employee new hires by age,,,,,,,,,,,,,,,,,,,,
38,,<20,,88,0.215983,76,0.2,,64,0.2,41,0.1,,,,,,,,,,
39,,20Ã¢ÂÂ24,,1283,3.14893,1338,3.3,,1073,2.6,676,1.7,,,,,,,,,,
40,,25Ã¢ÂÂ34,,2411,5.8,2739,6.7,,2531,6.1,1459,3.6,,,,,,,,,,
41,,35Ã¢ÂÂ44,,1396,3.3,1555,3.8,,1657,4,882,2.2,,,,,,,,,,
42,,45Ã¢ÂÂ54,,450,1.1,519,1.3,,527,1.3,325,0.8,,,,,,,,,,
43,,55Ã¢ÂÂ65,,84,0.2,137,0.3,,164,0.4,84,0.2,,,,,,,,,,
44,,>65,,7,0,15,0,,14,0.03,12,0.02,,,,,,,,,,
45,,Total,,5719,13.7,6379,15.7,,6030,14.6,3479,8.6,,,,,,,,,,
46,,Employee new hires by region,,,,,,,,,,,,,,,,,,,,
47,,Asia Pacific,,918,2.2,624,1.5,,550,1.3,419,1,,,,,,,,,,
48,,Australia,,2343,5.6,3184,7.8,,3333,8.1,1936,4.8,,,,,,,,,,
49,,New Zealand,,797,1.9,920,2.3,,712,1.7,431,1.1,,,,,,,,,,
50,,EAMEI5,,1661,4,1651,4.1,,1435,3.5,693,1.7,,,,,,,,,,
51,,Total,,5719,13.6,6379,15.7,,6030,14.6,3479,8.6,,,,,,,,,,
52,,"4. Includes selection of both ""Non-binary"" and ""Prefer not to disclose"" 5. Europe, America, Middle East and India.",,,,,,,,,,,,,,,,,,,,
55,,Turnover6,,2023,2022,2021,2020,,,,,,,,,,,,,,,
56,,Voluntary turnover,,3903,5754,3842,2612,,,,,,,,,,,,,,,
57,,Involuntary turnover,,1326,1941,1896,1669,,,,,,,,,,,,,,,
58,,Total,,5229,7695,5738,4281,,,,,,,,,,,,,,,
59,,Rate (%),,12.7,18.8,14,10.6,,,,,,,,,,,,,,,
60,,6. We have revised our methodology to provide a more accurate calculation of turnover. Care should be taken when comparing 2021 values to prior years.,,,,,,,,,,,,,,,,,,,,
63,,"Employee turnover by gender, \nage and region7",,2023,,2022,,,2021,,2020,,,,,,,,,,,
64,,,,Number,Rate \n(% of category),Number,Rate \n(% of category),,Number,Rate \n(% of category),Number,Rate \n(% of category),,,,,,,,,,
65,,Employee turnover by gender,,,,,,,,,,,,,,,,,,,,
66,,Female,,2805,13.3,3939,18.8,,3221,15.3,2339,20,,,,,,,,,,
67,,Male,,2422,12,3755,18.8,,2517,12.7,1942,17.5,,,,,,,,,,
68,,Total,,"5,229 8",12.7,"7,695 9",18.8,,5738,14,4281,10.6,,,,,,,,,,
69,,Employee turnover by age,,,,,,,,,,,,,,,,,,,,
