Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
80,,,Female,53.346080305927345,53.1,,,,,,,,,,,,,,,,,,,
81,,,Male,46.65391969407266,46.9,,,,,,,,,,,,,,,,,,,
82,,,>50,,,,,,,,,,,,,,,,,,,,,
83,,,Female,48.838951310861425,49,,,,,,,,,,,,,,,,,,,
84,,,Male,51.161048689138575,51,,,,,,,,,,,,,,,,,,,
87,,,Attrition6,,,,,,,,,,,,,,,,,,,,,
88,,,,OVERALL,,VOLUNTARY,,INVOLUNTARY,,OVERALL,,,,,,,,,,,,,,
89,,,,LEAVERS7,,ATTRITION8,,ATTRITION9,,ATTRITION,,,,,,,,,,,,,,
90,,,,,,%,,%,,%,,,,,,,,,,,,,,
91,,,,2023,2022,2023,2022,2023,2022,2023,2022,,,,,,,,,,,,,
92,,,By gender,,,,,,,,,,,,,,,,,,,,,
93,,,Female,793,1028,9.75428145941921,13.3,2.0551005212211457,3.2,11.809381980640357,16.5,,,,,,,,,,,,,
94,,,Male,671,929,9.172351442426235,12.6,1.8574833566203672,3.7,11.029834799046602,16.4,,,,,,,,,,,,,
95,,,Total10,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
97,,,By age,,,,,,,,,,,,,,,,,,,,,
98,,,<30,333,440,14.329921447274458,20.5,1.5234467983813396,2.7,15.853368245655798,23.2,,,,,,,,,,,,,
99,,,30-50,843,1151,8.802685565087653,12.5,1.6784781797836636,2.9,10.481163744871317,15.3,,,,,,,,,,,,,
100,,,>50,288,369,7.667731629392971,8.9,3.1573012591618124,5.9,10.825032888554784,14.8,,,,,,,,,,,,,
101,,,Total,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
103,,,By division,,,,,,,,,,,,,,,,,,,,,
104,,,North America,173,439,5.62143170838823,8,1.9762845849802373,11.6,7.597716293368467,19.7,,,,,,,,,,,,,
105,,,International,385,418,9.796166717371463,13,1.9166413142683307,0.8,11.712808031639794,13.8,,,,,,,,,,,,,
106,,,Australia Pacific,477,537,10.567617054669109,13.6,1.9094951608684276,2.2,12.477112215537536,15.8,,,,,,,,,,,,,
107,,,Group Head Office,121,169,7.911683532658693,12.4,3.2198712051517946,3.7,11.131554737810488,16.1,,,,,,,,,,,,,
108,,,Group Shared Services Centre,308,397,11.706689536878216,17.3,1.500857632933105,0.8,13.20754716981132,18.1,,,,,,,,,,,,,
109,,,Total,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
110,,,"1 These include permanent and fixed term, excludes casual/temporary employees and contingent workers not directly employed by QBE. Calculation excludes employees with gender noted as 'Unspecified': 2022 = 6; 2023 = 11",,,,,,,,,,,,,,,,,,,,,
111,,,"2 Total number of full-time equivalent (FTE) workforce in 2023 = 13,918. From 2021, QBE has updated this definition of FTE to include casual/temporary employees as well as contractors not employed directly by QBE, as these form part of our complete workforce.",,,,,,,,,,,,,,,,,,,,,
112,,,3 Group Head Office employees are based across all divisions of operation.,,,,,,,,,,,,,,,,,,,,,
113,,,4 Group Shared Services Centre employees are based in the Philippines.,,,,,,,,,,,,,,,,,,,,,
114,,,"5 Employee level is determined by role, responsibilities and level of experience required and is maintained in our HR system Workday. Employment Level is a classification scale of all job roles, using a 0 through 6 scale, whereby Level 0 encompasses the most \n senior leadership roles (i.e., GEC), and Level 6 encompasses the most junior entry-level roles.",,,,,,,,,,,,,,,,,,,,,
115,,,"6 This includes permanent employees, excludes fixed term and casual/temporary employees as well as contingent workers not directly employed by QBE. Leavers are counted on the first day that they are not working at QBE. Gender attrition rates calculation",,,,,,,,,,,,,,,,,,,,,
116,,,(# terminated employees divided by Average Headcount) excludes employees with gender noted as 'Unspecified' at the time of termination: From the numerator: 2022 = 3; 2023 = 0; from the denominator: 2022 = 6; 2023 = 11,,,,,,,,,,,,,,,,,,,,,
117,,,7 Overall leavers include both voluntary and involuntary figures.,,,,,,,,,,,,,,,,,,,,,
118,,,"8 Voluntary leavers typically comprise resignations, completion of fixed term engagements or voluntary retirement.",,,,,,,,,,,,,,,,,,,,,
119,,,9 Involuntary leavers principally include those terminated through dismissal or redundancy.,,,,,,,,,,,,,,,,,,,,,
120,,,10 The total excludes employees with gender noted as 'Unspecified' at the time of termination: From the numerator: 2022 = 3; 2023 = 0; from the denominator: 2022 = 6; 2023 = 11,,,,,,,,,,,,,,,,,,,,,
123,,,Women in leadership and talent pipeline disclosures,,,,,,,,,,,,,,,,,,,,,
124,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
125,,,Proportion of women out of total employees in levels 3-6 with people management responsibilities,46.173688736027515,45.5,,,,,,,,,,,,,,,,,,,
126,,,Proportion of women out of total employees (all levels) with people management responsibilities,44.96593489780469,44.2,,,,,,,,,,,,,,,,,,,
127,,,Proportion of women out of total employees (all levels) with no people management responsibilities,54.69225800498293,54.5,,,,,,,,,,,,,,,,,,,
128,,,Proportion of women promoted out of total promotions,54.3,56.5,,,,,,,,,,,,,,,,,,,
129,,,Proportion of women out of total employees in IT,30.214285714285715,29.2,,,,,,,,,,,,,,,,,,,
132,,,Workforce diversity indicators1,,,,,,,,,,,,,,,,,,,,,
134,,,Ethnicity2,,,,,,,,,,,,,,,,,,,,,
135,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
136,,,Caucasian/White,44.6077513574237,45.684586308273836,,,,,,,,,,,,,,,,,,,
137,,,Asian/Asian British/Asian American,28.38419771578356,29.556908861822762,,,,,,,,,,,,,,,,,,,
138,,,Indian subcontinent,3.3046246021344317,2.9294414111717764,,,,,,,,,,,,,,,,,,,
139,,,Other,0.8519003931847969,0.8294834103317933,,,,,,,,,,,,,,,,,,,
140,,,Mixed/Multiple ethnic groups,1.619546901329339,1.5434691306173876,,,,,,,,,,,,,,,,,,,
141,,,Latino/Hispanic,0.9923235349185546,0.9869802603947921,,,,,,,,,,,,,,,,,,,
142,,,African/African American Caribbean/Black/Black British,1.198277476128066,1.1759764804703907,,,,,,,,,,,,,,,,,,,
143,,,Middle Eastern,0.8519003931847969,0.7979840403191937,,,,,,,,,,,,,,,,,,,
144,,,Oceanic and Pacific Islander (including MÃÂori and Tongan),1.0204081632653061,1.4069718605627888,,,,,,,,,,,,,,,,,,,
145,,,"First Nations including Australian Aboriginal and Torres Strait Islander, Native American and other Indigenous peoples",0.45871559633027525,0.38849223015539686,,,,,,,,,,,,,,,,,,,
146,,,Prefer not to answer,16.710353866317167,14.69970600587988,,,,,,,,,,,,,,,,,,,
148,,,Gender identity3,,,,,,,,,,,,,,,,,,,,,
149,,,,2023 \n%,2022 \n%,,,,,,,,,,,,,,,,,,,
