Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,Material Topics not Included in GRI,,,,,,,,,
,,Natural disaster resilience,,,2023 SR - pages 17-18,,,,,,
,,Climate change transition and emissions reduction,,,2023 SR - pages 4-7,,,,,,
,,,,,2023 AR - pages 20-33,,,,,,
,,,,,2023 DB - Focus Area 1,,,,,,
,,Responsible technology and data,,,2023 SR - pages 25-27,,,,,,
,,Responsible products and services,,,2023 SR - pages 20-21,,,,,,
,,"Equity, poverty and financial inclusion",,,2023 SR - page 19,,,,,,
,,,,,Financial Inclusion website,,,,,,
,,Organisational culture and inclusion,,,2023 SR - pages 8-10,,,,,,
,,,,,2023 DB - Focus Area 2,,,,,,
,,"Sustainable and responsible policies, positions and advocacy",,,2023 SR - pages 22-24,,,,,,
,,Accountable and transparent business,,,2023 SR - pages 14-15,,,,,,
,,Thriving workforce,,,2023 SR - pages 11-13,,,,,,
