Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
20,,,vehicle fuel consumption.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,"2 This is a science-based emissions reduction target calculated in line with a 1.5ÃÂ°C scenario. In 2022, we reclassified previously reported Scope 3 - indirect gas to Scope 2 - heat for disclosure purposes. The 2018 baseline has",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,"been restated to include 1,186 tCO2e of Scope 2 - heat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,3 2022 percentage of renewable electricity is based on the RE100 Materiality Threshold guidance and excludes electricity use from countries with small electricity loads (<100 MWh/year) up to a total of 500 MWh/year and where it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,"is not feasible to source renewable electricity. This is the total percentage of renewable electricity sourced, not a year-on-year percentage change.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,"4 In 2022, we reclassified previously reported Scope 3 - indirect gas to Scope 2 - heat for disclosure purposes. The 2019 baseline has been restated to include 1,274 tCO2e of Scope 2 - heat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,"5 Net-zero emissions on material Scope 3 includes emissions related to business travel, fuel-and energy-related activities and capital goods. Refer to the Metrics Criteria for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,6 Maintain carbon neutrality for a defined inventory of emissions related to our global operations. Refer to the Greenhouse Gas Emissions (GHG) by activity table below and the Metrics Criteria for details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Greenhouse gas (GHG) emissions by activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,tCO2-e GHG EMISSIONS,,% CHANGE FROM PRIOR YEAR,1Q 2023,Annualised \n2023,2022.0,2021,2020,2019,2018,,,,Rounding,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Direct emissions (Scope 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,Business travel - fleet vehicles,,,,,5444.5493,4918.741099999999,4627.855400000002,5615.289437436662,6987.64703303334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,Stationary energy - gas,,,,,1003.421945,813.7842,920.0722999999998,984.6310094250871,1326.0764330607108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,Total Scope 1,,,,,6447.971245,5732.525299999999,5547.927700000002,6599.92044686175,8313.723466094052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Indirect emissions (Scope 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,Scope 2 - heat,,,,,1013.4607,818,1022,1274,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,Scope 2 - electricity (market-based),,,,,271.1146,329.3786000000091,332.6987834392985,6172.1140805583,21381.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,Scope 2 - electricity (location-based),,,,,9990.26772,11989.351700000008,13770.3319,16728.737053701,21381.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,Total Net Scope 2 (heat and market-based electricity),,,,,1283.5753,1147.378600000009,1354.6987834392985,7446.1140805583,22567.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,Other indirect emissions (Scope 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,Category 1: Purchased goods and services,,,,,56.199148,62.192600000000006,93.1402,211.33852553108696,323.627308177105,,,,,,Office paper purchased,62.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Category 2: Capital goods,,0.0005325193306953135,540.5,2162,2160.849306,DNR,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,Category 3: Fuel- and energy-related activities 7,,,,,5419.919328,4334.345,3174.3362446374304,DNR,DNR,,,,,,Externally hosted data centres - electricity usage,639.1,Working From Home energy - electricity and gas,3695,,,Total,4334.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,Category 5: Waste generated in operations,,,,,167.08877,106.82780000000002,847.250603999999,1193.8030286645649,1209.720344094552,,,,,,Waste - recycled and landfill,84.94,Water,21.88,,,Total,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,Category 6: Business travel,,,,,8315.1282,2508.5589,4352.026,14439.32115151683,17272.802908969734,,,,,,Business travel - air,758.17,Business travel - car hire and taxi,1742.34,Business travel - rail and bus travel,9.05,Total,2509.0,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,Category 7: Employee commuting,,2.134825988275857e-05,748,2992,2991.936127,1137.7712794401884,DNR,DNR,DNR,,,,,,Employee commuting,1137.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,Category 13: Downstream leased assets,,,,,483.405109,DNR,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,Total of selected Scope 3,,,,,19593.525989,8149.695579440189,8466.753048637429,15844.462705712482,18806.15056124139,,,,,,Employee commuting - updated 24.01.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,"Total GHG emissions (Scope 1, Scope 2 and selected Scope 3 emissions)",,,,,27326.072533,15029.599479440198,15369.37953207673,29890.485134978284,49689.06784730316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,Carbon offsets,,,,,-27326.072533,-15029.599479440198,-15369.37953207673,-29890.485134978284,-49689.06784730316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,Net GHG emissions (carbon neutral) 6,,,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,6 Maintain carbon neutrality for a defined inventory of emissions related to our global operations. Refer to the above table for defined inventory in each year of reporting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,"7 In 2022, we broadended the Scope 3 - category 3 emissions to include upstream fuel and energy related emissions, in addition to emissions related to externally hosted data centres electricity usage and working from home (WFH) energy usage. For 2021, the reported emissions include those related to externally hosted data centres electricity usage and WFH energy usage. For 2020, only WFH energy use emissions were reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,DNR - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,Key performance indicators - GHG emissions intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,tCO2-e GHG EMISSIONS,,% CHANGE FROM PRIOR YEAR,2022,,,2021,2020,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,Scope 1 and 2 GHG emissions per Gross Earned Premium (GEP) $M,,,,,,0.40387335531575114,0.49277657972483263,1.059535158522316,2.2705357637902215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,Scope 1 and 2 GHG emissions per FTE,,,,,,0.5802251693049859,0.6085523273505691,1.2415176891016166,2.5427607454085344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,GHG emissions per GEP $M,,,,,,0.8822877265499844,1.0972157187528948,2.254730318651384,3.6533393020589044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,GHG emissions per FTE,,,,,,1.2675397838833629,1.355001854239002,2.641995928349799,4.091354963476309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,Gross Earned Premium ($M),,,19067.228520908026,,,17034.8051176123,14007.618802203911,13256.789465117321,13601,,,,,,GEP figure at 21 Jan 2023.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,FTE,,,12998,,,11857.3,11342.7,11313.6,12144.892899999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
