Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,AVERAGE TENURE (YEARS),2023,,2022,,2021,,2020,,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,Group Executive Committee,4.11,7.006,3.7,7.3,2.7,6.3,4.4,5.7,,,,,,,,,,,,,
,,Level 1,5.442941176470589,8.48181818181818,4.5,7.9,4.8,9.6,3.7,9.8,,,,,,,,,,,,,
,,Level 2,6.30207920792079,10.32918604651163,6.3,10.1,6.2,9.4,6.1,8.9,,,,,,,,,,,,,
,,Level 3,8.178708206686927,8.806101871101859,8.2,8.9,7.6,8.5,7.3,8.4,,,,,,,,,,,,,
,,Level 4,7.142870370370347,7.007981927710822,7.3,7.1,7.5,7.1,7.4,7.2,,,,,,,,,,,,,
,,Level 5,5.958049738219884,5.081230107526875,6.2,5.1,6.5,5.2,6.6,5.2,,,,,,,,,,,,,
,,Level 6,5.360757689422343,3.4438150289017426,5.7,3.5,6.2,3.9,6.2,3.8,,,,,,,,,,,,,
,,Total,6.37733239634574,6.187548001259061,6.6,6.2,6.8,6.3,6.8,6.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Diversity breakdown of workforce,,,,,,,,,,,,,,,,,,,,,
,,PART-TIMERS,2023,2022,2021,2020,,,,,,,,,,,,,,,,,
,,Female,503,471,438,455,,,,,,,,,,,,,,,,,
,,Male,73,67,56,52,,,,,,,,,,,,,,,,,
,,Total,576,538,494,507,,,,,,,,,,,,,,,,,
,,Part time %,4.3,4.3,4.2,4.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Workforce by age and gender (headcount)1,,,,,,,,,,,,,,,,,,,,,
,,,2023,,2022,,2021,,2020,,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,<30,1347,1084,1199,1010,1055,884,1127,959,,,,,,,,,,,,,
,,30-50,4464,3904,4131,3648,3761,3332,3731,3297,,,,,,,,,,,,,
,,>50,1304,1366,1218,1267,1266,1348,1222,1353,,,,,,,,,,,,,
,,Total,7115,6354,6548,5925,6082,5564,6080,5609,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Overall workforce by average age,,,,,,,,,,,,,,,,,,,,,
,,DIVISION,"2023 
","2022 
","2021 
","2020
",,,,,,,,,,,,,,,,,
,,North America,45.91770252893271,46.2,46.9,47.2,,,,,,,,,,,,,,,,,
,,International,40.57188221709007,40.8,41,40.9,,,,,,,,,,,,,,,,,
,,Australia Pacific,40.35178916827853,40.5,41.4,41.4,,,,,,,,,,,,,,,,,
,,Group Head Office 4,42.047332185886404,42.5,42.6,42.5,,,,,,,,,,,,,,,,,
,,Group Shared Services Centre 5,34.05035669324381,33.7,33.9,33.2,,,,,,,,,,,,,,,,,
,,Overall average age,40.403843300192904,40.5,41.1,40.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Headcount breakdown by age and gender1,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,<30,,,,,,,,,,,,,,,,,,,,,
,,Female,55.40929658576717,54.3,,,,,,,,,,,,,,,,,,,
,,Male,44.59070341423283,45.7,,,,,,,,,,,,,,,,,,,
,,30-50,,,,,,,,,,,,,,,,,,,,,
,,Female,53.346080305927345,53.1,,,,,,,,,,,,,,,,,,,
,,Male,46.65391969407266,46.9,,,,,,,,,,,,,,,,,,,
,,>50,,,,,,,,,,,,,,,,,,,,,
,,Female,48.838951310861425,49,,,,,,,,,,,,,,,,,,,
,,Male,51.161048689138575,51,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Attrition6,,,,,,,,,,,,,,,,,,,,,
,,,OVERALL,,VOLUNTARY,,INVOLUNTARY,,OVERALL,,,,,,,,,,,,,,
,,,LEAVERS7,,ATTRITION8,,ATTRITION9,,ATTRITION,,,,,,,,,,,,,,
,,,,,%,,%,,%,,,,,,,,,,,,,,
,,,2023,2022,2023,2022,2023,2022,2023,2022,,,,,,,,,,,,,
,,By gender,,,,,,,,,,,,,,,,,,,,,
,,Female,793,1028,9.75428145941921,13.3,2.0551005212211457,3.2,11.809381980640357,16.5,,,,,,,,,,,,,
,,Male,671,929,9.172351442426235,12.6,1.8574833566203672,3.7,11.029834799046602,16.4,,,,,,,,,,,,,
,,Total10,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,By age,,,,,,,,,,,,,,,,,,,,,
,,<30,333,440,14.329921447274458,20.5,1.5234467983813396,2.7,15.853368245655798,23.2,,,,,,,,,,,,,
,,30-50,843,1151,8.802685565087653,12.5,1.6784781797836636,2.9,10.481163744871317,15.3,,,,,,,,,,,,,
,,>50,288,369,7.667731629392971,8.9,3.1573012591618124,5.9,10.825032888554784,14.8,,,,,,,,,,,,,
,,Total,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,By division,,,,,,,,,,,,,,,,,,,,,
,,North America,173,439,5.62143170838823,8,1.9762845849802373,11.6,7.597716293368467,19.7,,,,,,,,,,,,,
,,International,385,418,9.796166717371463,13,1.9166413142683307,0.8,11.712808031639794,13.8,,,,,,,,,,,,,
,,Australia Pacific,477,537,10.567617054669109,13.6,1.9094951608684276,2.2,12.477112215537536,15.8,,,,,,,,,,,,,
,,Group Head Office,121,169,7.911683532658693,12.4,3.2198712051517946,3.7,11.131554737810488,16.1,,,,,,,,,,,,,
,,Group Shared Services Centre,308,397,11.706689536878216,17.3,1.500857632933105,0.8,13.20754716981132,18.1,,,,,,,,,,,,,
,,Total,1464,1960,9.472122442605029,13,1.9600187412150554,3.5,11.432141183820084,16.5,,,,,,,,,,,,,
,,"1 These include permanent and fixed term, excludes casual/temporary employees and contingent workers not directly employed by QBE. Calculation excludes employees with gender noted as 'Unspecified': 2022 = 6; 2023 = 11",,,,,,,,,,,,,,,,,,,,,
,,"2 Total number of full-time equivalent (FTE) workforce in 2023 = 13,918.  From 2021, QBE has updated this definition of FTE to include casual/temporary employees as well as contractors not employed directly by QBE, as these form part of our complete workforce.",,,,,,,,,,,,,,,,,,,,,
,,3 Group Head Office employees are based across all divisions of operation.,,,,,,,,,,,,,,,,,,,,,
,,4 Group Shared Services Centre employees are based in the Philippines.,,,,,,,,,,,,,,,,,,,,,
,,"5 Employee level is determined by role, responsibilities and level of experience required and is maintained in our HR system Workday. Employment Level is a classification scale of all job roles, using a 0 through 6 scale, whereby Level 0 encompasses the most 
  senior leadership roles (i.e., GEC), and Level 6 encompasses the most junior entry-level roles.",,,,,,,,,,,,,,,,,,,,,
,,"6 This includes permanent employees, excludes fixed term and casual/temporary employees as well as contingent workers not directly employed by QBE.  Leavers are counted on the first day that they are not working at QBE. Gender attrition rates calculation",,,,,,,,,,,,,,,,,,,,,
,,   (# terminated employees divided by Average Headcount) excludes employees with gender noted as 'Unspecified' at the time of termination: From the numerator: 2022 = 3; 2023 = 0; from the denominator: 2022 = 6; 2023 = 11,,,,,,,,,,,,,,,,,,,,,
,,7 Overall leavers include both voluntary and involuntary figures.,,,,,,,,,,,,,,,,,,,,,
,,"8 Voluntary leavers typically comprise resignations, completion of fixed term engagements or voluntary retirement.",,,,,,,,,,,,,,,,,,,,,
,,9 Involuntary leavers principally include those terminated through dismissal or redundancy.,,,,,,,,,,,,,,,,,,,,,
,,10 The total excludes employees with gender noted as 'Unspecified' at the time of termination: From the numerator: 2022 = 3; 2023 = 0; from the denominator: 2022 = 6; 2023 = 11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Women in leadership and talent pipeline disclosures,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,Proportion of women out of total employees in levels 3-6 with people management responsibilities,46.173688736027515,45.5,,,,,,,,,,,,,,,,,,,
,,Proportion of women out of total employees (all levels) with people management responsibilities,44.96593489780469,44.2,,,,,,,,,,,,,,,,,,,
,,Proportion of women out of total employees (all levels) with no people management responsibilities ,54.69225800498293,54.5,,,,,,,,,,,,,,,,,,,
,,Proportion of women promoted out of total promotions ,54.3,56.5,,,,,,,,,,,,,,,,,,,
,,Proportion of women out of total employees in IT ,30.214285714285715,29.2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Workforce diversity indicators1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Ethnicity2,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,Caucasian/White,44.6077513574237,45.684586308273836,,,,,,,,,,,,,,,,,,,
,,Asian/Asian British/Asian American,28.38419771578356,29.556908861822762,,,,,,,,,,,,,,,,,,,
,,Indian subcontinent,3.3046246021344317,2.9294414111717764,,,,,,,,,,,,,,,,,,,
,,Other,0.8519003931847969,0.8294834103317933,,,,,,,,,,,,,,,,,,,
,,Mixed/Multiple ethnic groups,1.619546901329339,1.5434691306173876,,,,,,,,,,,,,,,,,,,
,,Latino/Hispanic,0.9923235349185546,0.9869802603947921,,,,,,,,,,,,,,,,,,,
,,African/African American Caribbean/Black/Black British,1.198277476128066,1.1759764804703907,,,,,,,,,,,,,,,,,,,
,,Middle Eastern,0.8519003931847969,0.7979840403191937,,,,,,,,,,,,,,,,,,,
,,Oceanic and Pacific Islander (including Māori and Tongan),1.0204081632653061,1.4069718605627888,,,,,,,,,,,,,,,,,,,
,,"First Nations including Australian Aboriginal and Torres Strait Islander, Native American and other Indigenous peoples",0.45871559633027525,0.38849223015539686,,,,,,,,,,,,,,,,,,,
,,Prefer not to answer,16.710353866317167,14.69970600587988,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Gender identity3,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,Female,46.000574767698055,47.5722933017955,,,,,,,,,,,,,,,,,,,
,,Male,39.97509339975093,40.19997849693581,,,,,,,,,,,,,,,,,,,
,,Non-binary,0.306542772296197,0.35480055907966884,,,,,,,,,,,,,,,,,,,
,,Another gender identity,0.41191685027301467,0.4515643479195785,,,,,,,,,,,,,,,,,,,
,,Prefer not to answer,13.305872209981798,11.321363294269434,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Disability4,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,Yes,2.5,2.5543190249072603,,,,,,,,,,,,,,,,,,,
,,No,85.2,86.82564917859035,,,,,,,,,,,,,,,,,,,
,,Prefer not to answer,12.3,10.620031796502385,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Carer responsibility5,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,Yes,35.410557184750736,34.26422093981863,,,,,,,,,,,,,,,,,,,
,,No,52.245234604105576,54.5578730420445,,,,,,,,,,,,,,,,,,,
,,Prefer not to answer,12.344208211143695,11.07790601813685,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Carer responsibility: care provided to6,,,,,,,,,,,,,,,,,,,,,
,,,"2023 
%","2022 
%",,,,,,,,,,,,,,,,,,,
,,School-aged children,61.64596273291926,61.473684210526315,,,,,,,,,,,,,,,,,,,
,,Preschool-aged children,29.684265010351968,30.045112781954884,,,,,,,,,,,,,,,,,,,
,,Family member with health problems,18.400621118012424,16.99248120300752,,,,,,,,,,,,,,,,,,,
,,Family member who is frail,23.266045548654244,21.984962406015036,,,,,,,,,,,,,,,,,,,
,,Family member with a disability,9.653209109730849,8.842105263157894,,,,,,,,,,,,,,,,,,,
,,Other,1.5527950310559007,1.7142857142857144,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Parental leave,,,,,,,,,,,,,,,,,,,,,
,,,"2023
%",,"2022 7
%",,"2021
%",,"2020
%",,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,Return to work rate,95.75163398692811,98.87640449438202,89.47368421052632,97.5609756097561,93.04347826086956,95.06172839506173,91.18942731277532,94.6969696969697,,,,,,,,,,,,,
,,Retention rate8,,,80.99547511312217,84.375,79.90654205607477,79.22077922077922,80.67632850241546,85.6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Return from parental leave (by year due to return),,,,,,,,,,,,,,,,,,,,,
,,,2023,,20227,,2021,,2020,,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,Number of employees who didn't return from parental leave,13,2,26,4,16,8,20,7,,,,,,,,,,,,,
,,Number of employees who returned from parental leave,293,176,221,160,214,154,207,125,,,,,,,,,,,,,
,,Total number of employees due to return from parental leave,306,178,247,164,230,162,227,132,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Retained one year after returning from parental leave (by year of return),,,,,,,,,,,,,,,,,,,,,
,,,2023,,2022,,2021,,2020,,,,,,,,,,,,,,
,,,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,FEMALE,MALE,,,,,,,,,,,,,
,,Number of employees not retained one year after returning from parental leave,42,25,43,32,40,18,41,28,,,,,,,,,,,,,
,,Number of employees retained one year after returning from parental leave,179,135,171,122,167,107,157,82,,,,,,,,,,,,,
,,Total number of employees who returned from parental leave,221,160,214,154,207,125,198,110,,,,,,,,,,,,,
,,"1  Information in the following tables is at a point in time, collected confidentially and voluntarily as part of the Voice pulse survey completed in October 2021, October 2022, and October 2023. Data on sexual orientation was not collected due to ongoing ",,,,,,,,,,,,,,,,,,,,,
,,  legal and privacy compliance reviews of demographic data captured in pulse surveys. ,,,,,,,,,,,,,,,,,,,,,
,,"2   Based on % of survey respondents. Total survey respondents = 10,682. Some countries have been excluded from this question to comply with local legislation.",,,,,,,,,,,,,,,,,,,,,
,,"3   Based on % of survey respondents. Total survey respondents = 10,439. Some countries have been excluded from this question to comply with local legislation.",,,,,,,,,,,,,,,,,,,,,
,,"4   Based on % of survey respondents. Total survey respondents = 10,576. Some countries have been excluded from this question to comply with local legislation.",,,,,,,,,,,,,,,,,,,,,
,,"5   Based on % of survey respondents. Total survey respondents = 10,912.",,,,,,,,,,,,,,,,,,,,,
,,"6   Based on % of survey respondents. Total survey respondents = 3,864. Respondents were able to select multiple options, therefore the % does not add up to 100%.",,,,,,,,,,,,,,,,,,,,,
,,7  Statistics for 2022 restated due to: (1) ordinary movement due to subsequent parental leave instances; (2) updated data collection methods for parental leave.,,,,,,,,,,,,,,,,,,,,,
,,8  Retention rate is calculated 1 year after return to work. Retention rate for 2023 will be calculated in the 2024 report.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Culture,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Employee engagement,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,New employee hires1,,,,,,,,,,,,,,,,,,,,,
,,,"2023
","2023
%","2022
","2022
%",,,,,,,,,,,,,,,,,
,,By gender2,,,,,,,,,,,,,,,,,,,,,
,,Female,1351,20.119136262099776,1410,22.7,,,,,,,,,,,,,,,,,
,,Male,1083,17.80225199309608,1274,22.4,,,,,,,,,,,,,,,,,
,,Total,2439,19.045759800093705,2684,22.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,By age,,,,,,,,,,,,,,,,,,,,,
,,<30,894,42.561294929778626,988,52,,,,,,,,,,,,,,,,,
,,30-50,1323,16.449086161879894,1477,19.7,,,,,,,,,,,,,,,,,
,,>50,222,8.344296184927645,219,8.8,,,,,,,,,,,,,,,,,
,,Total,2439,19.045759800093705,2684,22.6,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,By division,,,,,,,,,,,,,,,,,,,,,
,,North America,297,13.043478260869565,429,19.2,,,,,,,,,,,,,,,,,
,,International,602,18.31457255856404,585,19.3,,,,,,,,,,,,,,,,,
,,Australia Pacific,923,24.143342924404916,893,26.3,,,,,,,,,,,,,,,,,
,,Group Head Office,198,18.215271389144434,196,18.6,,,,,,,,,,,,,,,,,
,,Group Shared Services Centre,419,17.967409948542024,581,26.5,,,,,,,,,,,,,,,,,
,,Total,2439,19.045759800093705,2684,22.6,,,,,,,,,,,,,,,,,
,,"1  Includes Permanent employees only; excludes contractors, fixed-term employees, temporary and casual workers. New employee hire rate expressed as the percentage of the average of start-of-year Headcount and end-of-year Headcount. ",,,,,,,,,,,,,,,,,,,,,
,,2  Calculation excludes employees with gender noted as 'Unspecified' or 'Other': 2023 = 5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Diversity of governance bodies,,,,,,,,,,,,,,,,,,,,,
,,,2023,"2023
%",2023,"2023
%",2022,"2022
%",2022,"2022
%",,,,,,,,,,,,,
,,,Board,,Group Executive Committee,,Board,,Group Executive Committee,,,,,,,,,,,,,,
,,By gender,,,,,,,,,,,,,,,,,,,,,
,,Female,4,40,6,55,4,44.44444444444444,5,45,,,,,,,,,,,,,
,,Male,6,60,5,45,5,55.55555555555556,6,55,,,,,,,,,,,,,
,,Total,10,100,11,100,9,100,11,100,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Mandatory compliance training,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,2023,2022,,,,,,,,,,,,,,,,,,,
,,% of employees who completed the annual mandatory trainings by due date,0.996,0.994,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Respecting human rights,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,2023,2022,,,,,,,,,,,,,,,,,,,
,,% of employees covered by collective bargaining agreements,0.2893756179177124,0.278,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,2023,2022,,,,,,,,,,,,,,,,,,,
,,Number of countries where QBE has insurance operations,27,27,,,,,,,,,,,,,,,,,,,
,,Number of countries where QBE employees are located,33,34,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Countries where QBE employees are located as at 31 December 2023,,,,,,,,,,,,,,,,,,,,,
,,,Number of employees,With insurance operations,,,,,,,,,,,,,,,,,,,
,,Argentina,2,No,,,,,,,,,,,,,,,,,,,
,,Australia,3986,Yes,,,,,,,,,,,,,,,,,,,
,,Belgium,102,Yes,,,,,,,,,,,,,,,,,,,
,,Bermuda,20,Yes,,,,,,,,,,,,,,,,,,,
,,Canada,53,Yes,,,,,,,,,,,,,,,,,,,
,,China,2,No,,,,,,,,,,,,,,,,,,,
,,Colombia,4,No,,,,,,,,,,,,,,,,,,,
,,Denmark,12,Yes,,,,,,,,,,,,,,,,,,,
,,Fiji,20,Yes,,,,,,,,,,,,,,,,,,,
,,France,177,Yes,,,,,,,,,,,,,,,,,,,
,,French Polynesia,17,Yes,,,,,,,,,,,,,,,,,,,
,,Germany,57,Yes,,,,,,,,,,,,,,,,,,,
,,Hong Kong,226,Yes,,,,,,,,,,,,,,,,,,,
,,India,331,Yes,,,,,,,,,,,,,,,,,,,
,,Ireland,38,Yes,,,,,,,,,,,,,,,,,,,
,,Italy,63,Yes,,,,,,,,,,,,,,,,,,,
,,Japan,2,No,,,,,,,,,,,,,,,,,,,
,,Macau,11,Yes,,,,,,,,,,,,,,,,,,,
,,Malaysia,227,Yes,,,,,,,,,,,,,,,,,,,
,,Netherlands,14,Yes,,,,,,,,,,,,,,,,,,,
,,New Caledonia,31,Yes,,,,,,,,,,,,,,,,,,,
,,New Zealand,306,Yes,,,,,,,,,,,,,,,,,,,
,,Philippines,2383,No,,,,,,,,,,,,,,,,,,,
,,Singapore,188,Yes,,,,,,,,,,,,,,,,,,,
,,Solomon Islands,8,Yes,,,,,,,,,,,,,,,,,,,
,,Spain,87,Yes,,,,,,,,,,,,,,,,,,,
,,Sweden,32,Yes,,,,,,,,,,,,,,,,,,,
,,Switzerland,1,No,,,,,,,,,,,,,,,,,,,
,,United Arab Emirates,24,Yes,,,,,,,,,,,,,,,,,,,
,,United Kingdom,2318,Yes,,,,,,,,,,,,,,,,,,,
,,United States of America,2680,Yes,,,,,,,,,,,,,,,,,,,
,,Vanuatu,14,Yes,,,,,,,,,,,,,,,,,,,
,,Vietnam,43,Yes,,,,,,,,,,,,,,,,,,,
,,Total,13479,,,,,,,,,,,,,,,,,,,,
