Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
,,6 Maintain carbon neutrality for a defined inventory of emissions related to our global operations. Refer to the Greenhouse Gas Emissions (GHG) by activity table below and the Metrics Criteria for details.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Greenhouse gas (GHG) emissions by activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tCO2-e GHG EMISSIONS,,% CHANGE FROM PRIOR YEAR,1Q 2023,"Annualised 
2023",2022.0,2021,2020,2019,2018,,,,Rounding,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Direct emissions (Scope 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Business travel - fleet vehicles,,,,,5444.5493,4918.741099999999,4627.855400000002,5615.289437436662,6987.64703303334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stationary energy - gas,,,,,1003.42194457167,813.7842,920.0722999999998,984.6310094250871,1326.0764330607108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Scope 1,,,,,6447.97124457167,5732.525299999999,5547.927700000002,6599.92044686175,8313.723466094052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Indirect emissions (Scope 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 2 - heat,,,,,1013.4606999999999,818,1022,1274,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 2 - electricity (market-based),,,,,271.11459999998806,329.3786000000091,332.6987834392985,6172.1140805583,21381.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   Scope 2 - electricity (location-based),,,,,9990.267719791043,11989.351700000008,13770.3319,16728.737053701,21381.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total Net Scope 2 (heat and market-based electricity),,,,,1283.575299999988,1147.378600000009,1354.6987834392985,7446.1140805583,22567.833457216748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other indirect emissions (Scope 3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 1: Purchased goods and services,,,,,56.19914790000001,62.192600000000006,93.1402,211.33852553108696,323.627308177105,,,,,,Office paper purchased,62.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 2: Capital goods,,0.0005325193306953135,540.5,2162,2160.8493059738494,DNR,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 3: Fuel- and energy-related activities 7,,,,,5419.919328400006,4334.345,3174.3362446374304,DNR,DNR,,,,,,Externally hosted data centres - electricity usage,639.1,Working From Home energy - electricity and gas,3695,,,Total,4334.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 5: Waste generated in operations,,,,,167.0887703654985,106.82780000000002,847.250603999999,1193.8030286645649,1209.720344094552,,,,,,Waste - recycled and landfill,84.94,Water,21.88,,,Total,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 6: Business travel,,,,,8315.128200000001,2508.5589,4352.026,14439.32115151683,17272.802908969734,,,,,,Business travel - air,758.17,Business travel - car hire and taxi,1742.34,Business travel - rail and bus travel,9.05,Total,2509.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 7: Employee commuting,,2.134825988275857e-05,748,2992,2991.93612737,1137.7712794401884,DNR,DNR,DNR,,,,,,Employee commuting,1137.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Category 13: Downstream leased assets,,,,,483.4051087071267,DNR,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total of selected Scope 3,,,,,19593.525988716483,8149.695579440189,8466.753048637429,15844.462705712482,18806.15056124139,,,,,,Employee commuting - updated 24.01.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Total GHG emissions (Scope 1, Scope 2 and selected Scope 3 emissions)",,,,,27326.07253328814,15029.599479440198,15369.37953207673,29890.485134978284,49689.06784730316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Carbon offsets,,,,,-27326.07253328814,-15029.599479440198,-15369.37953207673,-29890.485134978284,-49689.06784730316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Net GHG emissions (carbon neutral) 6,,,,,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6 Maintain carbon neutrality for a defined inventory of emissions related to our global operations. Refer to the above table for defined inventory in each year of reporting.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"7 In 2022, we broadended the Scope 3 - category 3 emissions to include upstream fuel and energy related emissions, in addition to emissions related to externally hosted data centres electricity usage and working from home (WFH) energy usage. For 2021, the reported emissions include those related to externally hosted data centres electricity usage and WFH energy usage. For 2020, only WFH energy use emissions were reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DNR - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Key performance indicators - GHG emissions intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,tCO2-e GHG EMISSIONS,,% CHANGE FROM PRIOR YEAR,2022,,,2021,2020,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 1 and 2 GHG emissions per Gross Earned Premium (GEP) $M,,,,,,0.40387335531575114,0.49277657972483263,1.059535158522316,2.2705357637902215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 1 and 2 GHG emissions per FTE,,,,,,0.5802251693049859,0.6085523273505691,1.2415176891016166,2.5427607454085344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG emissions per GEP $M,,,,,,0.8822877265499844,1.0972157187528948,2.254730318651384,3.6533393020589044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GHG emissions per FTE,,,,,,1.2675397838833629,1.355001854239002,2.641995928349799,4.091354963476309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gross Earned Premium ($M),,,19067.228520908026,,,17034.8051176123,14007.618802203911,13256.789465117321,13601,,,,,,GEP figure at 21 Jan 2023. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FTE,,,12998,,,11857.3,11342.7,11313.6,12144.892899999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other environmental indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,UNITS,% CHANGE FROM PRIOR YEAR,2022,,,2021,2020,2019,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stationary energy use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Non-renewable electricity,MWh,-0.07622570098943082,443.4185897999596,,,480.00749779994294,770.899439999976,11303.939176034764,35916.08283813742,,,,,,PwC to advise which metrics to retain/remove in Other Environmental Indicators,,,,,,,,,,,,,,74444.54301071979,,,,,,,,,,,,,,,,,,,
,,Renewable electricity,MWh,-0.0834557819206887,18513.30619882114,,,20199.0322274,22529.24686,18876.497660983485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity use per FTE,MWh/FTE,-0.1637382883943993,1.4584339735821743,,,1.7439922853600687,2.0541975279254476,2.6676245259703584,2.9572992642971303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gas - direct,GJ,0.37909679999755386,22266.08712711955,,,16145.412800000002,18234.31,19513.1485896547,26231.36561894038,,,,,,,,,,,,,,,,,,,,32228.05550000001,,,,,,,,,,,,,,,,,,,
,,Gas - indirect,GJ,0.2427779857348935,19987.1543,,,16082.642700000008,20000.150000000016,25132.958158066474,23446.45982762508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Gas use per FTE,GJ/FTE,0.19601108179899596,3.250749455848557,,,2.717992755517699,3.3708429209976476,3.9462334489217556,4.0904292739020764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Externally hosted data centres - non-renewable electricity,GJ,0.39402967161693736,4014.2484000000004,,,2879.6003999999994,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Externally hosted data centres - renewable electricity,GJ,-0.08,4700.2284,,,5094.5019955200005,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Working From Home energy usage - electricity and gas,GJ,-0.2982650308742387,22549.51079928,,,32133.94200288,26286.6050313117,DNR,DNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Fleet vehicles - fuel consumption,GJ,0.11728403454952874,81931.73894994019,,,73331.1641591422,68967.63,86228.14654313696,105571,,,,,,Source: Energy Use Company vehicles working files for each year.,,,,,,,,,,,,,,73331.1641591422,,,,,,,,,,,,,,,,,,,
,,Employee and business travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Employee commuting,'000 km,1.5064107395532287,37613,,,15006.718334882562,DNR,DNR,DNR,,,,,,Employee commuting - updated 24.01.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Business travel,'000 km,2.253874869295935,52589.83619370001,,,16162.218372299996,26070,93073.72479958143,110499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   Air travel,'000 km,5.44538086044261,36817.068400000004,,,5712.1633612,15787,77957.72134211885,95775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   Road travel,'000 km,0.3749275926773843,13970.115793700003,,,10160.619270499998,9406,11876.383045524984,11623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,   Rail and bus travel,'000 km,5.2281596469845235,1802.652,,,289.4357406,877,3239.6204119375902,3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Business travel per FTE ,'000 km/FTE,1.9683159322744026,4.045994475588553,,,1.3630605932463544,2.298394562141289,8.22671163905224,9.09839229623837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Office paper purchased,tonnes,0.4004778437027112,195.36960020000004,,,139.50210000000004,109.02,247.935352945287,338.64503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Office paper purchased per FTE,kg/FTE,0.27757239083983354,15.030743206647179,,,11.7650814266317,9.611468168954481,21.91480633443705,27.88373950996309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Water use,kL,0.6029221572057943,83326.37498700779,,,51984.0434000001,102325.07,182502.175452721,178731.26223983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Water use per FTE,kL/FTE,0.46225026116604573,6.410707415526065,,,4.384138328287224,9.021226868382307,16.131220429635217,14.71657788269422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste and recycling,tonnes,-0.012249778188315075,390.0917999999999,,,394.92959999999994,1410.5099999999995,2235.1043242322803,2522.355870540025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste to landfill,tonnes,0.3408287563744159,207.532,,,154.77889999999994,876.9599999999997,1512.35986663333,1536.49429866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Paper recycled,tonnes,-0.1871411384113577,152.0167999999999,,,187.01499999999996,437.6399999999998,588.767612302146,843.919693333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Other recycled waste,tonnes,-0.42518871493176913,30.54300000000001,,,53.13570000000003,95.90999999999998,133.976845296804,141.941878540022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Waste per FTE,kg/FTE,-0.09893439720820962,30.01167871980304,,,33.306874246244924,124.35398979079051,197.55907264109393,207.68860551582358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Recycling rate,%,-0.23280017509791895,46.799189319026944,,,61,38,32,39.08495162747548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DNR - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Potentially to be removed but to be confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emissions profile by scope and category (tCO2-e) ,,,,,,,,,,,,,,,Workings for Emissions profile by scope and category (tCO2-e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2022 
%","2021 
%",,,,,,,,,,,,,,2022.0,2021,"2022
%","2021
%",,Rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 1 - Direct emissions,,38.15157062429928,,,,,,,,,,,,,Scope 1 - Direct emissions,,5732.525299999999,,0.3815157062429928,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 2 - Indirect electricity and heat,,7.634126255789919,,,,,,,,,,,,,Scope 2 - Indirect electricity and heat,,1147.378600000009,,0.07634126255789919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 1: Purchased goods and services,,0.4138007808197193,,,,,,,,,,,,,Scope 3 - Category 1: Purchased goods and services,,62.192600000000006,,0.004138007808197193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 2: Capital goods,,0,,,,,,,,,,,,,Scope 3 - Category 2: Capital goods,540.5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 3: Fuel- and energy-related activities,,28.838725915013143,,,,,,,,,,,,,Scope 3 - Category 3: Fuel- and energy-related activities,,4334.345,,0.2883872591501314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 5: Waste generated in operations,,0.7107827467134807,,,,,,,,,,,,,Scope 3 - Category 5: Waste generated in operations,,106.82780000000002,,0.007107827467134807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 6: Business travel,,16.690790086799012,,,,,,,,,,,,,Scope 3 - Category 6: Business travel,,2508.5589,,0.16690790086799012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 7: Employee commuting,,7.570203590565454,,,,,,,,,,,,,Scope 3 - Category 7: Employee commuting,748.0,1137.7712794401884,,0.07570203590565454,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Scope 3 - Category 13: Downstream leased assets,,0,,,,,,,,,,,,,Scope 3 - Category 13: Downstream leased assets,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,,100.01000000000002,,,,,,,,,,,,,Total,,15029.599479440196,,1.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Emissions profile by region (tCO2-e) ,,,,,,,,,,,,,,,Workings for Emissions profile by scope and category (tCO2-e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"2022 
%","2021 
%",,,,,,,,,,,,,,2022.0,2021,"2022
%","2021
%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,North America,47.86654043289478,49.3589996857186,,,,,,,,,,,-0.1,,North America,14662.0,10706.361311792009,0.4786654043289478,0.49458999685718585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,International,16.80303254872515,8.758314386494368,,,,,,,,,,,,,International,5150.0,1895.9072949295999,0.1680303254872515,0.08758314386494367,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Australia Pacific,26.355652770069536,35.2,,,,,,,,,,,0.1,,Australia Pacific,8073.0,7614.742298222588,0.2635565277006954,0.3517698739718523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Corporate and other,8.864774248310535,6.60569853060182,,,,,,,,,,,0.1,,Corporate and Other,2746.0,1429.9317744960003,0.08964774248310535,0.06605698530601825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,99.89,100,,,,,,,,,,,,,Total,30631.0,21646.942679440195,0.9999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
