Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,"All Directors, whether independent or not, are required to act in the best interests of Telstra and to exercise unfettered and independent judgment.",,,,Telstra,2023.0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,John Mullen is an independent non-executive Director.,,,,Telstra,2023.0,,,,,,30,,,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"The BoardÃ¢ÂÂs responsibilities include setting TelstraÃ¢ÂÂs strategy, approving and monitoring the implementation of the corporate plan, selecting and appointing the CEO, setting TelstraÃ¢ÂÂs risk appetite and overseeing the management, performance and governance of Telstra.",,,,Telstra,2023.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"The Board has delegated responsibility for the day-to-day management of Telstra to the CEO. Accordance with the strategy, corporate plan and policies approved by the Board, except for those matters expressly reserved to the Board or its Committees.",,,,Telstra,2023.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,,Sustainability Disclosures Review,,,Telstra,2023.0,"The Telstra Board is responsible for approving and overseeing our sustainability ambition, embedding it into business decision-making, and monitoring our performance against targets. The Board is responsible for reviewing selected disclosures to ensure a balanced and accurate representation of our sustainability performance and providing feedback before publication.",,,,11,,,,,"Sustainability, review, performance","8, 9",G,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,,Manage conflicts of interest,,,Telstra,2023.0,"Telstra directors must declare and manage conflicts of interest by the Corporations Act and Telstra's Constitution. They must follow the procedures outlined in the Directors' Interests Policy, which includes abstaining from relevant discussions or votes.",,,,,,9,,,"Conflicts of interest, Directors, Corporations Act",16,G,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,,Risk governance forums,,,Telstra,2023.0,"Telstra's CEO Leadership Team serves as the company's peak management governance forum for risk management. The initiative includes a series of risk governance forums with the CEO Leadership Team to implement an effective risk management and internal control framework, ensuring the identification, management, and monitoring of risks and reviewing and considering risk management responsibilities.",,,,,,14,,,"Risk governance, forum, CEO",9,G,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Workforce Development,,,Telstra,2023.0,"Telstra prioritizes attracting, developing, and retaining the workforce necessary to achieve its strategic objectives. The company also emphasizes effective leadership to cultivate a culture of simplicity, change, accountability, and collaboration, investing significantly in its people and succession planning.",,,,,,4,,,"Workforce Development, Leadership Culture, Collaboration","8, 9","S, G",,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Induction and Continuing \nEducation,,,Telstra,2023.0,Telstra has a continuing education program for directors in place and provides other appropriate professional development opportunities for directors to develop and maintain the skills and knowledge needed to perform their roles as directors effectively.,,,,,,8,,,"Induction, Education, Program","8, 9",S,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,,Performance Review,,,Telstra,2023.0,"The Board at Telstra reviews the CEO's performance annually against agreed measures and other relevant factors. The CEO undertakes a similar exercise for senior management, and the Board approves the performance outcomes for senior management, with reviews conducted at the end of FY23.",,,,,,8,,,"CEO Performance, Senior Management, Performance Review",8,G,,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-19,Remuneration policies,,People and Remuneration Committee,,,Telstra,2023.0,"Telstra's remuneration policy and framework are crafted to align with its strategy and uphold the company's culture and values. The People and Remuneration Committee, comprising solely independent non-executive Directors, aids the Telstra Board in overseeing remuneration, people, culture, conduct, and diversity initiatives.",,,,,55,,,,"Remuneration Policy, People and Remuneration Committee, Culture","8, 16",G,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-20,Process to determine remuneration,,Individual EVP Outcome,,,Telstra,2023.0,"Telstra has implemented changes to determine the Individual EVP Outcome, aligning it more closely with market practices and adopting an approach consistent with variable remuneration under the Short-Term Incentive plan for other employees. The calculation now involves multiplying the EVP Scorecard Outcome by a percentage that reflects each Senior Executive's performance relative to their peers, with higher percentages applied for those with performance ratings of 4 or 5.",,,,,52,,,,"Individual EVP Outcome, Senior Executives, Performance Rating,","8, 9",G,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-21,Annual total compensation ratio,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,,Sustainable packaging,,,Telstra,2023.0,"In FY23, Telstra achieved its goal of having all Telstra-branded packaging made of renewable or recycled material and fully recyclable. The company is committed to recycling or reusing over 650,000 phones, modems, and other devices annually until 2025.",,,,5,,,,,"Packaging, Recycling, Sustainability","9, 12",E,,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-23,Policy commitments,,Values and \npolicy framework,,,Telstra,2023.0,"Across its operations, Telstra promotes a fair and responsible culture through Telstra's Code of Conduct, governance policies, mandatory compliance training, and by recognizing and rewarding employees who demonstrate Telstra's values. Telstra's purpose, values, and policy framework guide its people and partners to uphold Telstra's expectations to act reasonably, ethically, and by the law.",,,,19,,,,,"Code of Conduct, Governance Policies, Compliance",16,G,,,,,,,,,,,,,,,,
25,,2.0,General Disclosures,2-23,Policy commitments,,Risk Management Policy,,,Telstra,2023.0,"Telstra's Risk Management Policy outlines the approach, objectives and principles for risk management at Telstra, including Telstra's commitment to ensuring a consistent approach to managing our risks via Telstra's risk management framework.",,,,,,14,,,"Risk Management Policy, Approach, Objectives",8,G,,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-24,Embedding policy commitments,,Telstra's policy framework,,,Telstra,2023.0,Telstra Values and Telstra Group Code of Conduct and policy framework explain what Telstra stand for as an organization and how we will conduct ourselves as we work together to deliver our strategy.,,,,,44,,,,"Policy framework, Code of Conduct, Value",8,G,,,,,,,,,,,,,,,,
27,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,Telstra's sustainability strategy,,,Telstra,2023.0,"Through Telstra's sustainability strategy, the company aims to enhance its reputation as a trusted and sustainable business. Telstra will leverage its tech expertise to contribute to a better digital world, minimize its impact on the planet, and support customers, suppliers, and Australia in similar initiatives.",,,,,,17,,,"Sustainability strategy, environmental impact, corporate responsibility","8, 14, 15",E,,,,,,,,,,,,,,,,
28,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Supplier Self-Disclosure Form,,,Telstra,2023.0,"Telstra's Supplier Self-Disclosure form opens a new window and allows suppliers to report a conflict of interest or labour incident to Telstra. Information provided will be used to help Telstra learn from incidents to prevent reoccurrence, monitor compliance and appropriately manage Telstra's relationships.",,,,,,,,11,"Supplier Self-Disclosure, form, conflict of interest",16,"S, G",,,,,,,,,,,,,,,,
29,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Disciplinary Action,,,Telstra,2023.0,"Telstra employees are all responsible and accountable for complying with Telstra's Code, policies, and the law. Breaches of these could have adverse outcomes for Telstra and the individual and may result in disciplinary action, including termination of employment.",,,,,,,,11,"Code, Policies, Disciplinary Action, Employment Termination",16,S,,,,,,,,,,,,,,,,
30,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Telstra Group Code of Conduct,,,Telstra,2023.0,"Telstra's purpose and values, along with the Telstra Group Code of Conduct and supporting Group Policies and Standards, guide Telstra's people and partners to uphold the company's expectation to act reasonably, ethically, and by the law. The Code translates Telstra's values into standards that reflect good corporate governance and responsible business practices.",,,,,,17,,,"Code of Conduct, Policies, Standards",16,G,,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-28,Membership associations,"In FY23, the following consumer and community-focused stakeholder forums were convened by Telstra: CEO Consumer Roundtable, Disability Stakeholder Forum, LIMAC, FNEAC, Financial Assistance Forum, and RAC.",,,,Telstra,2023.0,,,,,14,,,,,,,,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Stakeholder engagement \nand partnerships,,,Telstra,2023.0,"Committed to engaging with stakeholders, Telstra values the meaningful relationships it has created and, led by multiple specialized functions, regularly interacts with key stakeholder groups to understand their expectations and address diverse interests and concerns.",,,,14,,,,,"Stakeholders, relationships, engagement",17,S,,,,,,,,,,,,,,,,
33,,2.0,General Disclosures,2-30,Collective bargaining agreements,Telstra currently has four enterprise agreements (EAs) covering 73 per cent of our workforce in support of our new legal structure.,,,,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,3.0,Material Topics,3-1,Process to determine material topics,,Assessment of impact materiality,,,Telstra,2023.0,"Telstra's assessment of impact materiality concentrates on evaluating outward impacts that Telstra generates or has the potential to create on people, society, and the environment. In addressing double materiality, Telstra identifies inward impacts that create or may generate risks or opportunities influencing Telstra's enterprise value through its risk management process.",,,,13,,,,,"Assessment, impact materiality, material topic","8, 9, 14, 15, 16",S,,,,,,,,,,,,,,,,
35,,3.0,Material Topics,3-2,List of material topics,"Telstra's material topics are a responsible business, people and human rights, digital leadership, customer experienceÃ¢ÂÂ, connected communities, climate change, circular economy, and biodiversity.",,,,Telstra,2023.0,,,,GRI Index,13,,,,,,,,,,,,,,,,,,,,,,,
36,,3.0,Material Topics,3-3,Management of material topics,,"Technology, digital, and connectivity solutions",,,Telstra,2023.0,"Telstra is harnessing technology, digital, and connectivity solutions to accelerate action on climate change and minimize its impact on the planet. Telstra is committed to leading by example, using its scale and voice to accelerate the transition to a more environmentally sustainable world.",,,,57,,,,,"Technology, digital, connectivity","8, 9","E, G",,,,,,,,,,,,,,,,
37,,201.0,Economic Performance,201-01,Direct economic value generated and distributed,Telstra generated total income (excluding finance income) up 5.4 per cent to $23.2 billion in FY23.,,,,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,201.0,Economic Performance,201-02,Financial implications and other risks and opportunities due to climate change,,Financial implications of climate change analysis,,,Telstra,2023.0,"Telstra's analysis of financial implications and risks associated with climate change revealed an average annual cost of $44 million for asset loss and service disruption between now and 2030 across all scenarios, with exposure noted as non-linear. From FY30 to FY50, the financial impact varied, ranging from $50 million per annum in the Accelerated Action scenario to $86 million per annum in the Changed Climate modelling.",,,,,40,,,,"Financial Implications, Climate Change, Risks","8, 12",E,,,,,,,,,,,,,,,,
39,,201.0,Economic Performance,201-03,Defined benefit plan obligations and other retirement plans,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
