Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
130,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Business Essentials Training,,,Telstra,2023.0,"Telstra's mandatory Business Essentials training encompasses Telstra's commitment to ethical and responsible conduct. In FY23, Telstra achieved its goal of a 100% completion rate of compulsory refresher training across all team members, including contingent workers, partners, and internal staff.",,,,19,,,,,"Business Essentials, training, ethical conduct",16,S,,,,,,,,,,,,,,,,
134,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reconciliation Action Plan,,,Telstra,2023.0,"Telstra launched our fifth Reconciliation Action Plan (RAP). The RAP outlines over 90 actions built around better connectivity, digital literacy, employment, training, and spending with First Nations businesses.",,,,21,,,,,"Reconciliation Action Plan, RAP, digital literacy","9, 17",S,,,,,,,,,,,,,,,,
136,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Uluru Statement,,,Telstra,2023.0,Telstra accepts the invitation of the Uluru Statement from the Heart to walk with First Nations people in a movement of the Australian people for a better future. Telstra believes that a First Nations voice enshrined in the Australian constitution ensures First Nations peoples' experiences and perspectives are included in developing policies and laws that affect their communities.,,,,21,,,,,"Uluru Statement, First Nations, policies","9, 17",S,,,,,,,,,,,,,,,,
137,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Supplier partnerships,,,Telstra,2023.0,"Telstra collaborates with its suppliers to gain better insights into its emissions and identify reduction opportunities. Through partnerships with CDP in their Supply Chain Program, Telstra engages suppliers to account for and address climate change impacts, delivering training, tools, and support to over 400 suppliers.",,,,21,,,,,"Supplier partnerships, Supplier, emission","9, 17",S,,,,,,,,,,,,,,,,
138,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Regional and remote engagement,,,Telstra,2023.0,"In FY23, Telstra continued facilitating discussions with representative bodies and communities across Australia. Telstra's initiatives included hosting a regional telecommunications policy workshop in Sydney in October 2022, with 33 representatives from various stakeholder groups, industries, and regions.",,,,41,,,,,"Regional Telecommunications, Policy Workshop, Connectivity Literacy,","9, 17","S, G",,,,,,,,,,,,,,,,
139,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Regional Telecommunications Independent Review Committee,,,Telstra,2023.0,"Telstra continued to deliver on its commitments in response to the 2021 Regional Telecommunications Independent Review Committee (RTIRC). It includes seven initiatives it invests in to enhance connectivity in regional Australia, with $75 million allocated from the part sale of Telstra's Amplitel business.\t",,,,41,,,,,"Regional Telecommunications, Initiatives, RTIRC","9, 17",S,,,,,,,,,,,,,,,,
140,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Supplier Code of Conduct,,,Telstra,2023.0,"Telstra's Supplier Code of Conduct outlines the minimum standards expected from its suppliers and is integrated into Telstra's standard purchasing terms. Telstra works with its suppliers through policies, the Supplier Governance Framework, training, and audits to assess compliance with these standards.",,,,27,,,,,"Supplier Code of Conduct, Supplier Governance Framework, standards, compliance.",16,"S, G",,,,,,,,,,,,,,,,
142,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,Evidence-based Approach,,,Telstra,2023.0,"Telstra's evidence-based approach considers numerous factors that can affect mental health positively or negatively. Telstra's programs and initiatives are structured around three strategic pillars: Capability of Care, Psychological Risk Management, and Psychological Risk Management.",,,,32,,,,,"Mental Health, Evidence-based Approach, Strategic Pillars,","3, 17",S,,,,,,,,,,,,,,,,
143,,415.0,Public Policy,415-01,Political contributions,Telstra has yet discose this information,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,Privacy Impact Assessment,,,Telstra,2023.0,"Telstra considers customer privacy and data protection in designing and developing our organizational processes, products and initiatives. Telstra aims to ensure privacy-related risks are considered and assessed from the outset of every concept, project, product, service, program or IT system enhancement or development by completing Privacy Impact Assessments.",,,,50,,,,,"Privacy, protection, assessment",9,S,,,,,,,,,,,,,,,,
145,,416.0,Customer Health and Safety,416-02,Incidents of non-compliance concerning the health and safety impacts of products and services,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,417.0,Marketing and Labeling,417-01,Requirements for product and service information and labeling,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,,,NO DISCLOSURE,Telstra,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,417.0,Marketing and Labeling,417-03,Incidents of non-compliance concerning marketing communications,,CX assessment tool,,,Telstra,2023.0,"Telstra uses a CX assessment tool to embed a Customer Experience (CX) Design utilizing its operations. This tool guides teams through prompts to articulate how their activities align with Telstra's CX principles, ensuring that all customer-impacting activities undergo assessment. In September 2022, the framework was employed to assess the experience of all Telstra's products in the market, informing roadmaps for improved customer experience.",,,,22,,,,,"Customer, Customer Experience Design Framework, CX Assessment Tool,",9,S,,,,,,,,,,,,,,,,
149,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Global Approach,,,Telstra,2023.0,"Telstra is committed to transparently informing its customers about collecting, using, and managing their personal information. Telstra implements a global privacy management approach, adhering to the Australian Privacy Act, the European Union General Data Protection Regulation, and relevant local legislation.",,,,50,,,,,"Transparency, Privacy Management, Global Approach",16,S,,,,,,,,,,,,,,,,
150,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Privacy Statements,,,Telstra,2023.0,"Telstra's Privacy Statements explain to customers how to manage the personal information they entrust to us. Telstra regularly reviews our Privacy Statements to ensure they remain fit for purpose. Telstra does not share any information with third parties that identifies or could reasonably identify a customer, except in line with our Privacy Statements or if required or permitted by law.",,,,50,,,,,"Privacy Statements privacy, security",16,S,,,,,,,,,,,,,,,,
151,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Policy of Data Protection,,,Telstra,2023.0,"Telstra's approach to cyber security and data protection is comprehensive, multi-layered, and supported by a Cyber Security Strategy, Group Security Policy, Group Information Management Policy, and Group Privacy Policy. Telstra's Chief Information Security Office oversees global cyber security, reporting to the Audit and Risk Committee at least twice a year and to the Board as necessary.",,,,51,,,,,"Cyber Security, Data Protection, Policy",16,S,,,,,,,,,,,,,,,,
152,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Threat Research and Intelligence team,,,Telstra,2023.0,"Telstra's Threat Research and Intelligence team utilizes various internal and external intelligence sources to anticipate emerging cyber threats, employing machine learning and data analytics for analysis and threat prioritizationÃ¢ÂÂa proactive approach that safeguards Telstra's network and customers against potential threats.",,,,52,,,,,"Threat Research, Cybersecurity, Machine Learning",16,S,,,,,,,,,,,,,,,,
153,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Access control measures,,,Telstra,2023.0,"Telstra implements various access control measures. It includes strong password policies, multi-factor authentication (MFA), privileged access management (PAM), and role-based access controls (RBAC) to prevent unauthorized access to its systems and data.",,,,52,,,,,"Access Control Measures, Cyber Security, Third-party Assessments, Information Security",16,S,,,,,,,,,,,,,,,,
154,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,Security Operations Center (SOC),,,Telstra,2023.0,"Telstra's world-class Security Operations Center (SOC) provides 24/7 monitoring and response to security incidents. The SOC team is made up of highly skilled security professionals who investigate and respond to security incidents using advanced security tools, such as SIEM (Security Information and Event Management), EDR (Endpoint Detection and Response) and NTA (Network Traffic Analysis) solutions.",,,,52,,,,,"Security Operations Center (SOC), Monitoring, Advanced Tools",16,S,,,,,,,,,,,,,,,,
155,,419.0,Socioeconomic Compliance,419-01,Non-compliance with laws and regulations in the social and economical area,,Updated procurement to ensure compliance,,,Telstra,2023.0,"In FY23, Telstra updated procurement processes, systems and templates to provide guidance and rigour to ensure compliance. Specifically, tendering materials Ã¢ÂÂ e.g. Request for Proposal (RFP) and Request for Tender (RFT), now contain accessibility standards and requirements in line with the Australian ISO standard AS EN 301 549, which specifies accessibility requirements for Information Communication Technology (ICT) products and services.",,,,24,,,,,"Procurement processes, Accessibility standards, ISO Standard",16,S,,,,,,,,,,,,,,,,
158,,,Total disclosure,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,Total no of reported disclosure over maximum disclosure (source:GRI index),77/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,Average completion rate,0.631148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,Maximum disclosure,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
