Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,,Effective oversight,,,Cleanaway,2023.0,"Effective oversight in impact management involves vigilant monitoring and strategic guidance to ensure that the organisation addresses and mitigates its environmental, social, and operational effects. Through thorough supervision, the overseeing body, such as a governance committee, ensures that impactful aspects are aligned with the organisation's goals, compliance requirements, and stakeholder expectations, fostering sustainable and responsible business practices.",,,1,83 - 84,,,"Effective oversight, Governance of sustainability, shareholdersÃ¢ÂÂ interests",16,G,,,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"The delegation of responsibility for managing impacts at Cleanaway is a strategic process aimed at efficiently addressing the various challenges and effects associated with the company's operations. Cleanaway entrusts specific individuals or teams with the responsibility of managing the impacts of its activities on the environment, communities, and stakeholders.",,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,"The Sustainability Committee is crucial in setting sustainability goals, ensuring compliance with relevant standards and regulations, and reviewing the company's sustainability performance.",,,,Cleanaway,2023.0,,,,1,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,,Disclosure obligation,,,Cleanaway,2023.0,"Disclosure obligations to prevent conflicts of interest involve the transparent and timely communication of any potential or actual conflicts that may impact decision-making within an organisation. This obligation ensures that relevant stakeholders, such as shareholders, clients, and regulatory bodies, are informed about circumstances that could compromise objectivity or fairness.",,,1,,,3,"Disclosure obligation, personal interests, confidentiality obligations",17,G,,,,,,,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,,Investor Hub,,,Cleanaway,2023.0,"The Cleanaway Investor Hub is a centralised online resource providing investors comprehensive and up-to-date information about the company's financial performance, strategic initiatives, and shareholder-related matters. This digital platform offers transparency and accessibility, allowing stakeholders to access critical reports, presentations, and other materials crucial for understanding Cleanaway's position in the market and its commitment to investor communication.\t",,,1,ESG DATA BOOKS,,,"Investor Hub, Investing in our future, market-sensitive company information",17,S,,,,,,,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,,Skills Matrix,,,Cleanaway,2023.0,"The Cleanaway Skills Matrix is a systematic tool designed to assess and manage the skills and competencies of its workforce. This visual representation enables the organisation to identify, track, and strategically leverage the skills of its employees. The Skills Matrix at Cleanaway likely plays a crucial role in workforce planning, talent development, and ensuring that the company's team possesses the diverse skill sets required to meet its operational and strategic goals.",,,1,84,,,"Balance of skills, education and skill set, interests and associations","4, 8",G,,,,,,,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,,Performance Management system,,,Cleanaway,2023.0,"The Cleanaway Performance Management System is a structured framework for monitoring, evaluating, and enhancing employee performance. It involves setting clear expectations, conducting regular assessments, providing constructive feedback, and supporting professional development. This system ensures alignment between individual and organisational goals, fostering a practical and goal-oriented workforce.",,,1,ESG DATA BOOKS,,5,"Performance Management system,Ã¢ÂÂ¯scorecard, measures and standards","4, 8",G,,,,,,,,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-19,Remuneration policies,,Remuneration and incentive framework,,,Cleanaway,2023.0,"The Remuneration and Incentive Framework at Cleanaway is a carefully structured system that governs employee compensation. This framework encompasses various components, including base salaries, bonuses, and incentives, with the overarching goal of attracting, retaining, and motivating a high-performing workforce.",,,1,29,,,"Remuneration and incentive framework, equal opportunity, objective outcomes","1, 5, 10",G,,,,,,,,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-20,Process to determine remuneration,The group process to determine remuneration consists of fixed remuneration and performance-based remuneration.,,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-21,Annual total compensation ratio,The average FTE comparison ratio as a percentage of female-to-male was 97.,,,,Cleanaway,2023.0,,,,1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,,Blueprint 2030,,,Cleanaway,2023.0,"Blueprint 2030 strategy positions Cleanaway to capture opportunities emerging from society's transition towards more excellent landfill diversion and a more circular economy. We are making substantial progress by partnering to broaden our capability and expand our footprint. Our partnerships, such as Circular Plastics Australia (CPA) and TOMRA Cleanaway, together with our GRL, Hydrocarbons, and Australian Eco Oils businesses, are helping us prosper from a domestic circular economy.",,,1,4,,,"Blueprint 2030, Strategic infrastructure, Sustainable customer, Operational excellence",9,"E, S",,,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-23,Policy commitments,"The group policy commitment consists of workplace culture, diversity and inclusion.",,,,Cleanaway,2023.0,,,,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-24,Embedding policy commitments,,Flexible work,,,Cleanaway,2023.0,"Cleanaway's approach to flexible work reflects a progressive and adaptable work environment. The company embraces flexibility and provides employees with remote work, flexible hours, or alternative work arrangements. This commitment to flexibility supports a healthy work-life balance and recognises its workforce's diverse needs and responsibilities.",,,2,26,,,"Flexible work, Workplace culture, business and individual needs",8,S,,,,,,,,,,,,,,,,,,,,,,
25,,2.0,General Disclosures,2-24,Embedding policy commitments,,Indigenous recruitment,,,Cleanaway,2023.0,"Cleanaway's Indigenous recruitment initiatives underscore the company's commitment to diversity and inclusion. These programs are likely designed to actively attract, hire, and retain individuals from Indigenous communities. Cleanaway's Indigenous recruitment efforts may include targeted outreach, partnerships with Indigenous organisations, and culturally sensitive recruitment practices.",,,2,27,,,"Indigenous recruitment, First Nations, genuine engagement",10,S,,,,,,,,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-24,Embedding policy commitments,,Global Renewables Holdings,,,Cleanaway,2023.0,"Global Renewables Holdings at Cleanaway is a strategic arm dedicated to advancing sustainable practices within the organisation. This entity likely focuses on initiatives related to renewable energy, waste-to-energy solutions, or other environmentally conscious projects. Positioned as part of Cleanaway, it contributes to the company's commitment to responsible and sustainable waste management. For the latest and most accurate details, it's recommended to refer to Cleanaway's official communications or directly engage with the company.",,,2,7,,,"Global Renewables Holdings, GRL, Eastern Creek",9,S,,,,,,,,,,,,,,,,,,,,,,
27,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,Risk Oversight,,,Cleanaway,2023.0,"Risk oversight at Cleanaway involves a meticulous and strategic approach to identifying, assessing, and managing potential risks that may impact the company's operations. This process is likely overseen by a dedicated committee or department responsible for evaluating various risk factors, such as operational, financial, and compliance risks.",,,2,84,,,"Risk Oversight, Risk & Compliance, internal control",16,S,,,,,,,,,,,,,,,,,,,,,,
28,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,FairCall,,,Cleanaway,2023.0,"FairCall at Cleanaway is a vital whistleblower platform, providing employees with a confidential and secure avenue to report concerns or unethical behaviour within the organisation. This platform underscores Cleanaway's commitment to transparency and accountability by offering a channel for individuals to voice their observations without fear of reprisal.",,,2,84,,,"FairCall, whistleblower service, Risk & Compliance",16,S,,,,,,,,,,,,,,,,,,,,,,
29,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Speak Up campaign,,,Cleanaway,2023.0,"Cleanaway's ""Speak Up"" campaign serves as a whistleblower platform, offering employees a dedicated and secure channel to report concerns or ethical issues within the organisation. This initiative underscores Cleanaway's commitment to fostering a culture of transparency and accountability.",,,2,31,,,"Speak Up campaign, disrespectful behaviours, weave genuine",16,S,,,,,,,,,,,,,,,,,,,,,,
30,,2.0,General Disclosures,2-27,Compliance with laws and regulations,,Sanctions Policy,,,Cleanaway,2023.0,Cleanaway's Sanctions Policy is a comprehensive framework designed to address and deter unethical or unlawful behaviour within the organisation. This policy outlines clear guidelines for imposing consequences on individuals who violate ethical standards or legal requirements. It is a critical component of Cleanaway's commitment to maintaining a compliant and ethical work environment.,,,2,,,4,"Sanctions Policy, Code of Conduct, sanctions laws",16,G,,,,,,,,,,,,,,,,,,,,,,
31,,2.0,General Disclosures,2-28,Membership associations,"Cleanaway is a member of the Biofuels Association of Australia, the Australian Organic Recycling Association, the Socials Traders Business Network, and the Vinyl Council of Australia.",,,,Cleanaway,2023.0,,,,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Quarterly magazine,,,Cleanaway,2023.0,"The Quarterly Magazine at Cleanaway serves as a dynamic tool for stakeholder engagement, offering a regular and insightful glimpse into the company's activities, achievements, and industry developments. This publication provides a platform to communicate with stakeholders, including customers, investors, and the broader community.",,,2,ESG DATA BOOK,,,"Quarterly magazine, stakeholder engagement, engagement activities",17,S,,,,,,,,,,,,,,,,,,,,,,
