Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
109,,306.0,Waste,306-02,Management of significant waste-related impacts,,Liquid and Solid Waste Storage Plan,,,Cleanaway,2023.0,"Cleanaway's liquid and solid waste storage plan is likely a strategic framework outlining safe and responsible storage practices for liquid and solid waste materials. This plan may include guidelines for the proper containment, handling, and storage of different types of waste to ensure compliance with environmental regulations and safety standards.",,,3,39,,,"Liquid and Solid Waste Storage Plan, lawfully accepted, no prohibited waste","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
110,,306.0,Waste,306-02,Management of significant waste-related impacts,,Liquid treatment plants,,,Cleanaway,2023.0,"Cleanaway's liquid treatment plants are advanced facilities for responsible and sustainable liquid waste treatment. These plants employ cutting-edge technologies and processes to effectively manage and treat various liquid waste streams, ensuring compliance with environmental regulations and industry standards.",,,3,8,,,"Liquid treatment plants, variety of waste types, safely dispose","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
111,,306.0,Waste,306-02,Management of significant waste-related impacts,,Weighbridge,,,Cleanaway,2023.0,"Incoming waste loads at Cleanaway are meticulously managed through a 'weighbridge' system, a critical component of our waste management processes. This system serves a dual purpose: first, to ensure strict adherence to our operational licenses, guaranteeing that the types of waste accepted align with regulatory standards. Second, the weighbridge verifies that the weight of each incoming load complies with the terms outlined in our contracts with customers.",,,3,41,,,"Weighbridge, Incoming waste load, waste meets licence","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
112,,306.0,Waste,306-02,Management of significant waste-related impacts,,Landfill Optimisation Blueprint,,,Cleanaway,2023.0,"Cleanaway's Landfill Optimisation Blueprint is a strategic framework outlining the company's approach to enhancing the efficiency, sustainability, and environmental performance of its landfill operations. This blueprint may encompass innovative technologies, waste diversion strategies, and environmentally responsible practices to minimise landfills' ecological impact.",,,3,41,,,"Landfill Optimisation Blueprint, airspace optimisation, energy capture","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
113,,306.0,Waste,306-02,Management of significant waste-related impacts,,Plastic recycling facilities,,,Cleanaway,2023.0,"Cleanaway's plastic recycling facilities are crucial to the company's commitment to sustainable waste management. These facilities are equipped with advanced technologies to process and recycle various types of plastic waste efficiently and efficiently. Cleanaway's plastic recycling initiatives likely involve sorting, cleaning, and transforming plastic materials into valuable resources.",,,3,7,,,"Plastic recycling facilities, GRL, Constructed PET","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
114,,306.0,Waste,306-02,Management of significant waste-related impacts,,Resource recovery facilities,,,Cleanaway,2023.0,"Cleanaway's resource recovery facilities are vital to the company's commitment to sustainable waste management. These facilities are strategically designed to maximise the extraction of valuable resources from various waste streams, diverting materials from landfills. Cleanaway's resource recovery initiatives likely involve advanced sorting, processing, and recovery technologies to efficiently reclaim materials such as paper, cardboard, metals, and plastics.",,,3,8,,,"Resource recovery facilities, engineered landfills, transfer\nstations","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
115,,306.0,Waste,306-02,Management of significant waste-related impacts,,HDPE/PP plastic recycling facilities,,,Cleanaway,2023.0,"Cleanaway's HDPE/PP plastic recycling facilities are specialised centres that efficiently process and recycle high-density polyethylene (HDPE) and polypropylene (PP) plastics. These facilities leverage advanced technologies for sorting, cleaning, and transforming these specific types of plastics into high-quality recycled materials.\t",,,3,9,,,"HDPE/PP plastic recycling facilities, Circular Plastics Australia, advance domestic circularity","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
116,,306.0,Waste,306-02,Management of significant waste-related impacts,,Organics Blueprint,,,Cleanaway,2023.0,"Cleanaway's Organics Blueprint represents a strategic framework outlining the company's approach to managing organic waste efficiently, sustainably, and responsibly. This blueprint may encompass initiatives such as organic waste collection, composting, and anaerobic digestion, focusing on diverting organic materials from landfills and promoting circular economy practices.",,,3,9,,,"Organics Blueprint, acquisition of GRL, Eastern Creek","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
117,,306.0,Waste,306-02,Management of significant waste-related impacts,,Container Deposit Schemes,,,Cleanaway,2023.0,"Cleanaway's participation in Container Deposit Schemes involves a proactive approach to waste management, specifically targeting beverage containers. These schemes are designed to encourage recycling by providing consumers with a financial incentive for returning eligible containers. Cleanaway likely operates collection points or facilities as part of these schemes, where consumers can return their containers for a refund.",,,3,14,,,"Container Deposit Schemes, NSWÃ¢ÂÂs Return and Earn, logistics partner","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
118,,306.0,Waste,306-02,Management of significant waste-related impacts,,Circular waste oil,,,Cleanaway,2023.0,"Cleanaway's Circular Waste Oil program likely involves the responsible and sustainable management of waste oil materials. This initiative may include recycling, re-refining, or converting used oil into valuable resources, contributing to the circular economy.",,,3,54,,,"Circular waste oil, Hydrocarbons business, engine oil","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
119,,306.0,Waste,306-02,Management of significant waste-related impacts,,Clinical waste treatment,,,Cleanaway,2023.0,"Cleanaway's clinical waste treatment encompasses specialised facilities and processes designed to manage medical waste safely and responsibly. These facilities likely utilise advanced technologies to treat and dispose of various clinical waste materials, including sharps, infectious materials, and pharmaceutical waste.",,,3,66,,,"Clinical waste treatment, Health Services business, medical waste","12, 15",E,,,,,,,,,,,,,,,,,,,,,,
120,,306.0,Waste,306-03,Waste generated,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,306.0,Waste,306-04,Waste diverted from disposal,"FY23, total waste recycled was 765kt.",,,,Cleanaway,2023.0,,,,3,ESG DATA BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,306.0,Waste,306-05,Waste directed to disposal,,Cleanaway Circularity Hierarchy,,,Cleanaway,2023.0,"The Cleanaway Circularity Hierarchy recognises that different recycling solutions deliver different degrees of environmental benefits. Importantly, it prioritises supporting domestic, then international, circularity over downcycling.",,,3,50,,,"Cleanaway Circularity Hierarchy, avoid & reduce, re-use",12,E,,,,,,,,,,,,,,,,,,,,,,
123,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,Internal training,,,Cleanaway,2023.0,Cleanaway's internal training programs for supplier assessment are integral to fostering strong and collaborative partnerships. These initiatives encompass a range of training modules designed to communicate Cleanaway's expectations and standards to suppliers.,,,3,,,,"Internal training, supplier, KMP","3, 4, 17",S,,https://www.cleanaway.com.au/about-us/responsible-business/#modern-slavery,,,,,,,,,,,,,,,,,,,,
125,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,Responsible Supply Chain,,,Cleanaway,2023.0,"Cleanaway's commitment to a Responsible Supply Chain involves a strategic approach to working collaboratively with suppliers to uphold high standards of ethical, environmental, and social responsibility. The company likely implements initiatives to assess and enhance its suppliers' sustainability and ethical practices.",,,3,67,,,"Responsible Supply Chain, suppliers, social responsibility",17,S,,,,,,,,,,,,,,,,,,,,,,
126,,401.0,Employment,401-01,New employee hires and employee turnover,"New employee hires in FY23 were 2,875, with employee turnover being 1,981.",,,,Cleanaway,2023.0,,,,3,ESG DATA BOOK,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,401.0,Employment,401-03,Parental leave,,Parental Leave Policy,,,Cleanaway,2023.0,"The parental policy allows employees who are primary carers to take 18 weeks of leave, regardless of gender, with eligibility from the commencement of employment with Cleanaway. Secondary carers can now also take two weeks of leave at full pay. The policy also provides employees who experience miscarriage or stillbirth paid leave as well as additional support.",,,3,26,,,"Parental Leave Policy, paid leave, Secondary carers","1, 2, 3, 5",S,,,,,,,,,,,,,,,,,,,,,,
129,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Safety management system,,,Cleanaway,2023.0,"Cleanaway's Safety Management System (SMS) represents a comprehensive and systematic approach to ensuring the health and safety of its workforce, clients, and the communities it serves. This system likely includes a set of policies, procedures, and protocols designed to identify, assess, and mitigate safety risks across all aspects of the company's operations.",,,4,19,,,"Safety management system, contractors and visitors, recognised standards",3,S,,,,,,,,,,,,,,,,,,,,,,
131,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Safety-oriented mindset,,,Cleanaway,2023.0,"A safety-oriented mindset is ingrained in the company culture, reflecting a steadfast commitment to prioritising the well-being of employees, customers, and the broader community. This mindset goes beyond compliance and regulations, encompassing a proactive and vigilant approach to identifying, mitigating, and preventing safety risks across all operations.",,,4,7,,,"Safety-oriented mindset, TRIFR, direction notices",3,S,,,,,,,,,,,,,,,,,,,,,,
