Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
175,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Recycling Behaviours Report,,,Cleanaway,2023.0,"The Cleanaway Recycling Behaviors Report likely refers to a document or initiative that assesses and communicates information about recycling habits and practices. This report may cover aspects such as consumer recycling behaviours, trends, and the effectiveness of recycling programs implemented by Cleanaway.",,,4,62,,,"Recycling Behaviours Report, recycling habits, information","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
176,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Clean Up Australia,,,Cleanaway,2023.0,"Cleanaway's national community partner is Clean Up Australia, and in 2023, we celebrated our eighth year working together to improve recycling and reduce waste through education and community action. We are focused on promoting the circular economy, enhancing the rate of organic services across Australia, reducing single-use plastic, and advocating the benefits of container deposit schemes.",,,4,7,,,"Clean Up Australia, grassroots approach, community action","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
177,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Air Discharge Register,,,Cleanaway,2023.0,"The Cleanaway Air Discharge Register is a systematic record-keeping system that monitors and documents air emissions from the company's operations. This register includes data on air pollutants released during industrial processes, helping Cleanaway track and manage its environmental impact. The record is crucial to Cleanaway's commitment to transparency and environmental responsibility, aligning with regulatory requirements and industry best practices.",,,4,39,,,"Air Discharge Register, air emission discharge points, point source emissions","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
178,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Cultural inclusion,,,Cleanaway,2023.0,"Cultural inclusion at Cleanaway reflects the company's commitment to fostering a diverse and inclusive workplace that values and respects individuals from all cultural backgrounds. This initiative likely involves creating an environment where employees feel a sense of belonging, regardless of their cultural heritage.",,,4,27,,,"Cultural inclusion, awareness raising, Indigenous","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
179,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Traditional Owner engagement,,,Cleanaway,2023.0,"Traditional Owner engagement at Cleanaway involves establishing meaningful partnerships and relationships with Indigenous communities and Traditional Owners of the land where Cleanaway operates. This initiative reflects the company's commitment to respecting Indigenous cultures, values, and rights. Cleanaway likely engages in consultation processes, collaborative projects, and initiatives that contribute positively to the well-being and interests of Traditional Owners.",,,4,27,,,"Traditional Owner engagement, Aboriginal and Torres Strait Islander heritage, full inclusion and participation","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
180,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Running education,,,Cleanaway,2023.0,"Running Education"" at Cleanaway refers to a training or educational program related to the operations or management of the company. It includes workshops, seminars, or courses aimed at enhancing the knowledge and skills of employees involved in running or managing various aspects of Cleanaway's operations.",,,4,58,,,"Running education, Curtin University, training","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
181,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,Ã¢ÂÂDesign outÃ¢ÂÂ impacts,,,Cleanaway,2023.0,"Engaging with independent experts ensures that our operations adhere to the highest environmental standards. This commitment is crucial for building trust within the communities where we operate. It demonstrates our transparency, accountability, and continuous efforts to minimise potential adverse environmental effects. Through this collaborative approach, Cleanaway strives to be a responsible corporate citizen, actively contributing to sustainable and environmentally conscious practices in all facets of our operations.",,,4,60,,,"Ã¢ÂÂDesign outÃ¢ÂÂ impacts, design solutions, giving confidence","4, 11",S,,,,,,,,,,,,,,,,,,,,,,
182,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,The Group has assessed 150 suppliers through an audit desktop.,,,,Cleanaway,2023.0,,,,4,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,414.0,Supplier Social Assessment,414-02,Negative social impacts in the supply chain and actions taken,,Tiered modern slavery clauses,,,Cleanaway,2023.0,"Tiered Modern Slavery Clauses at Cleanaway refer to a structured and tiered set of contractual clauses integrated into the company's agreements with suppliers. These clauses address and prevent modern slavery within the supply chain. The tiered structure may imply that the severity or depth of scrutiny varies based on factors such as the nature of the supplier's services, the geographic location, or the potential risk for modern slavery issues.",,,4,68,,,"Tiered modern slavery clauses, library, central procurement contract","16, 17",S,,,,,,,,,,,,,,,,,,,,,,
184,,415.0,Public Policy,415-01,Political contributions,Cleanaway does not make political donations.,,,,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,416.0,Customer Health and Safety,416-01,Assessment of the health and safety impacts of product and service categories,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,416.0,Customer Health and Safety,416-02,Incidents of non-compliance concerning the health and safety impacts of products and services,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,417.0,Marketing and Labeling,417-01,Requirements for product and service information and labeling,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,417.0,Marketing and Labeling,417-02,Incidents of non-compliance concerning product and service information and labeling,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,417.0,Marketing and Labeling,417-03,Incidents of non-compliance concerning marketing communications,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,,Data and Analytics Program,,Cleanaway,2023.0,"The Data and Analytics Program at Cleanaway signifies the company's strategic focus on leveraging data-driven insights to enhance operational efficiency and decision-making. This initiative systematically collects, analyses, and interprets data across various aspects of Cleanaway's operations.",,,,9,,,"Data and Analytics Program, Operational Excellence, Drove efficiency gains",9,S,,,,,,,,,,,,,,,,,,,,,,
192,,418.0,Customer Privacy,418-01,Substantiated complaints concerning breaches of customer privacy and losses of customer data,,,Data management procedures,,Cleanaway,2023.0,"Data management procedures at Cleanaway are systematically designed to ensure secure, accurate, and practical information handling across the organisation. These procedures encompass the entire data lifecycle, from collection and storage to processing, analysis, and disposal.",,,,85,,,"Data management procedures, security and compliance, continual commitment",9,"S, G",,,,,,,,,,,,,,,,,,,,,,
193,,419.0,Socioeconomic Compliance,419-01,Non-compliance with laws and regulations in the social and economical area,,,,NO DISCLOSURE,Cleanaway,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,Total disclosure,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,Total no of reported disclosure over maximum disclosure (source:GRI index),76/122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,Average completion rate,0.622951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,Maximum disclosure,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
