Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Formal selection process,,,Endeavour,2023.0,"The Board, with the assistance of the Nominations Committee, undertakes a formal selection process when appointing Non-executive Directors to the Board. It involves reviewing the composition of the Board, identifying the skills and experience required on the Board (with the assistance of the Board skills matrix) and compiling a specific list of criteria for the role. If required, the Board involves external consultants to identify prospective Directors.",,,83,,,13,"Formal selection process, non-executive director, external consultant","8, 16","S, G",,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-11,Chair of the highest governance body,Mr Peter Hearl is the chair of Endeavour's Board.,,,,Endeavour,2023.0,,,,83,,49,,,,,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-12,Role of the highest governance body in overseeing the management of impacts,"The Board approved and endorsed the evolution of Endeavour's strategy in F23, including the evolved sustainability framework, the strategic goals and commitments, and related policies, procedures, standards and statements.",,,,Endeavour,2023.0,,,,83,18,,,,,,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-13,Delegation of responsibility for managing impacts,"The CEO and Executive Committee manage the strategy, including goals, commitments, and risks. \t",,,,Endeavour,2023.0,,,,83,18,,,,,,,,,,,,,,,,,,,,,
14,,2.0,General Disclosures,2-14,Role of the highest governance body in sustainability reporting,The Risk Management and Compliance Committee assists the Board concerning Endeavour's sustainability strategy.,,,,Endeavour,2023.0,,,,83,,,7,,,,,,,,,,,,,,,,,,,
15,,2.0,General Disclosures,2-15,Conflict of interest,"Directors are obligated to disclose any personal interests to the Board, and a register of current interests is maintained for each Director.",,,,Endeavour,2023.0,,,,83,,,14,,,,,,,,,,,,,,,,,,,
16,,2.0,General Disclosures,2-16,Communication of critical concerns,,Darwin Community Advisory Committee,,,Endeavour,2023.0,"Endeavour's Darwin Community Advisory Committee spent the year undertaking an extensive listening and learning program, engaging a range of local stakeholders, including Traditional Owners, industry peers, and health and policy developers, on conversations around harm minimisation, access and demand, and positive programs to strengthen families and communities. Endeavour formalised its landmark partnership with Larrakia Nation in June, confirming its long-term commitment to local community engagement and positive change in Darwin.",,,83,,37,,"Darwin Community Advisory Committee, learning program, local stakeholder",17,S,,,,,,,,,,,,,,,,
17,,2.0,General Disclosures,2-17,Collective knowledge of the highest governance body,"Endeavour's Board has diverse skills and deep industry experience, and its composition reflects the importance of its strategic investors and relationships.",,,,Endeavour,2023.0,,,,83,,48,,,,,,,,,,,,,,,,,,,,
18,,2.0,General Disclosures,2-18,Evaluation of the performance of the highest governance body,,External evaluation,,,Endeavour,2023.0,"In 2023, the Board conducted an external evaluation of its performance. The process involved a questionnaire on Board and Committee effectiveness and individual peer reviews. The external facilitator also interviewed individual Directors and selected members of executive management. The outcomes of the Board and Committee reviews were discussed at a Board meeting led by the external facilitator. The process concluded with discussions at the Committee level and with individual Directors.",,,83,,,14,"External evaluation, questionnaire, peer review","16, 17","S, G",,,,,,,,,,,,,,,,
19,,2.0,General Disclosures,2-19,Remuneration policies,,Remuneration framework,,,Endeavour,2023.0,"A remuneration framework for eligible Endeavour Group team members and executives includes a combination of Short Term Incentive (STI) and Long Term Incentives (LTI) measures based on sustainability goals. The STI is assessed individually on a team member's performance against Endeavour's Ways of Working, including how they have set up their teams for success and how sustainability goals have been delivered. The LTI measure has a dedicated 'Leading in Responsibility' metric worth 20%, focusing Endeavour's most senior executives on enhancing initiatives that support responsible service and use of alcohol and gambling, meeting and exceeding Endeavour's regulatory obligations.",,,83,18,,,"Remuneration framework, Short Term Incentive, Long Term Incentive","8, 16","S, G",,,,,,,,,,,,,,,,
20,,2.0,General Disclosures,2-20,Process to determine remuneration,"The People, Culture, and Performance Committee assists the Board in fulfilling its obligations to shareholders and regulators concerning the Group's remuneration policies.",,,,Endeavour,2023.0,,,,83,,61,,,,,,,,,,,,,,,,,,,,
21,,2.0,General Disclosures,2-21,Annual total compensation ratio,"Endeavour's Board member fees, including superannuation, were $200,000 in 2023.",,,,Endeavour,2023.0,,,,84,,78,,,,,,,,,,,,,,,,,,,,
22,,2.0,General Disclosures,2-22,Statement on sustainable development strategy,"""This report shares what we've been up to this year, and the connections we've made between our strategy and the issues that matter most to our stakeholders. While we're proud of the progress we've made and the foundations we're building, there's been hurdles to jump and mistakes made on the way. We don't have all the answers yet. We're always learning and continuing to work towards better Ã¢ÂÂ listening, adapting, and refining our approach Ã¢ÂÂ as part of our commitment to create a brighter, more sociable future with our people, our partners and our communities.""",,,,Endeavour,2023.0,,,,84,5,,,,,,,,,,,,,,,,,,,,,
23,,2.0,General Disclosures,2-23,Policy commitments,,Securities Trading policy,,,Endeavour,2023.0,"Under the Securities Trading policy, senior executives and other specified team members may not enter into any derivative (including hedging) transaction that will protect the value of either unvested securities or vested securities subject to a disposal restriction issued as part of Endeavour's incentive and equity plans. Compliance with the policy is a condition of participating in the plans.",,,84,,62,,"Securities Trading policy, derivative, hedging",16,G,,,,,,,,,,,,,,,,
24,,2.0,General Disclosures,2-24,Embedding policy commitments,,Malus policy,,,Endeavour,2023.0,"The Executive KMP STI and LTI arrangements are subject to malus provisions that enable the Board to adjust unpaid or unvested awards (including reducing to zero) where appropriate. The Board may determine that any unpaid cash STI or unvested Deferred STI (DSTI) or LTI awards will be forfeited in the event of wilful misconduct, dishonesty or severe breach of Endeavour's Code of Conduct by the executive.",,,84,,62,,"Malus provision, unvested award, Code of Conduct",16,G,,,,,,,,,,,,,,,,
25,,2.0,General Disclosures,2-25,Processes to remediate negative impacts,,Governance Framework,,,Endeavour,2023.0,"Endeavour's corporate governance is focused on creating sustainable long-term value for shareholders, enabling positive customer experiences and leaving a positive imprint on the broader communities where it operates. The Board is responsible for Endeavour's corporate governance. It has adopted a robust Governance Framework focused on optimising Endeavour's performance, embedding effective risk management and fostering a good corporate culture.",,,84,,,2,"Corporate governance, long-term value, Governance Framework",16,G,,,,,,,,,,,,,,,,
26,,2.0,General Disclosures,2-26,Mechanisms for seeking advice and raising concern,,Whistleblower Policy,,,Endeavour,2023.0,"Endeavour strives to have an open and transparent culture and supportive environment where team members and others feel safe to speak up on matters or conduct that concerns them. Endeavour's Whistleblower Policy promotes and supports reporting matters of concern and suspected wrongdoing, such as dishonest or fraudulent conduct, breaches of legislation or Endeavour's Code and other conduct that may be detrimental to Endeavour's reputation or interests.",,,84,,,22,"Whistleblower Policy, transparent culture, supportive environment",16,G,,,,,,,,,,,,,,,,
27,,2.0,General Disclosures,2-27,Compliance with laws and regulations,"In F23, two complaints were upheld against Endeavour for breaching the Alcohol Beverages Advertising Code.",,,,Endeavour,2023.0,,,,84,30,,,,,,,,,,,,,,,,,,,,,
28,,2.0,General Disclosures,2-28,Membership associations,Endeavour adheres to the UNGC.,,,,Endeavour,2023.0,,,,84,82,,,,,,,,,,,,,,,,,,,,,
29,,2.0,General Disclosures,2-29,Approach to stakeholder engagement,,Sustainability feedback,,,Endeavour,2023.0,"In F23, Endeavour invited its 30,000-strong team to provide open feedback on sustainability for its materiality assessment, with several suggestions and requests for action in the Planet space. This ranged from improvements in in-store recycling systems, speeding up the roll-out of electronic shelf labelling, and initiatives to create energy efficiencies and reduce waste.",,,84,44,,,"Feedback, materiality assessment, sustainability",17,S,,,,,,,,,,,,,,,,
