Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
107,,403.0,Occupational Health and Safety,403-03,Occupational health services,,1800RESPECT,,,Endeavour,2023.0,"Endeavour cares deeply about the safety and well-being of its team, families, and communities. Since 2022, more than 9,000 team members have participated in family and domestic violence awareness training developed in close consultation with the national sexual assault, domestic and family violence counselling service 1800RESPECT. The training helps team members determine what constitutes domestic and family violence, what to do if they see signs of abuse, how to report it, and the support systems in place.",,,86,45,,,"1800RESPECT, safety, well-being","3, 8",S,,,,,,,,,,,,,,,,
108,,403.0,Occupational Health and Safety,403-03,Occupational health services,,Endeavour Well-being and Support,,,Endeavour,2023.0,"In F23, Endeavour took a holistic approach to providing support with the launch of Endeavour Well-being and Support, a consolidated banner for Endeavour's programs and initiatives, including physical and mental health support and outreach services, as well as financial planning and career guidance.",,,86,53,,,"Endeavour Well-being and Support, mental health support, career guidance","3, 8",S,,,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,Mental Health First Aid training,,Endeavour,2023.0,"Endeavour works to build support capability internally, with 288 of its team members, including State Operations Leads and Hotel Venue Managers, completing Mental Health First Aid training. This training is focused on how to assist a team member who may be experiencing a mental health problem or mental health crisis until appropriate professional help is received or the crisis is resolved.",,,,53,,,"Mental Health First Aid training, support capability, mental health problem","3, 8",S,,,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Heart of the Nation,,Endeavour,2023.0,"As part of its commitment to the safety of its team, customers, and communities, in F23, Endeavour partnered with the charity initiative Heart of the Nation. It installed 275 Automated External Defibrillator (AED) units in every Dan Murphy store across Australia. Endeavour proudly displaying the Heart of the Nation sticker indicates that in the event of someone experiencing a sudden cardiac arrest, a defibrillator on-site can be used to save a life.",,,,52,,,"Heart of the Nation, charity initiative, cardiac arrest","3, 8",S,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,Well-being Calendar,,Endeavour,2023.0,"Endeavour's Well-being Calendar offers its team well-being prompts each month, covering a range of physical, mental, emotional, community and financial well-being topics and encouraging its team to prioritise overall well-being. For example, during September's focus on psychological well-being, team members are offered access to a library of resources and materials on mental health and encouraged to participate in initiatives such as 'R U OK Day'.",,,,53,,,"Well-being Calendar, well-being prompt, well-being topic","3, 8",S,,,,,,,,,,,,,,,,
115,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,Manual handling injury reduction,,,Endeavour,2023.0,"This year, Endeavour implemented two key initiatives focused on reducing manual handling and burn injuries associated with hotel oil management. All stainless steel pots bigger than 18 litres have now been removed from Endeavour's kitchens, as historically, they were being used to remove and transport hot oil from fryers. Endeavour also installed PitCo self-filtering fryers to reduce manual handling. In F24, Endeavour will begin a phased roll-out of vacuum waste tanks for these fryers to reduce further the risk of team members being exposed to hot oil.",,,86,52,,,"Manual handling injury reduction, stainless steel pot, PitCo","3, 8",S,,,,,,,,,,,,,,,,
116,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,403.0,Occupational Health and Safety,403-09,Work-related injuries,Endeavour had 311 cases of injury in F23.,,,,Endeavour,2023.0,,,,86,52,,,,,,,,,,,,,,,,,,,,,
118,,403.0,Occupational Health and Safety,403-10,Work-related ill health,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,404.0,Training and Education,404-01,Average hours of training per year per employee,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
