Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
16,,2-10 Nomination and selection of the highest governance body,2023 Corporate Governance Statement: Director nomination and succession p.7,,,,,5,,,,,,,,,
17,,2-11 Chair of the highest governance body,2023 Annual Report: Governance at Coles p.20-21\n2023 Corporate Governance Statement p.6,,,,,,,,,,,,,,
18,,2-12 Role of the highest governance body in overseeing the management of impacts,Coles Group Board Charter,,,,,,,,,,,,,,
19,,2-13 Delegation of responsibility for managing impacts,2023 Annual Report: Governance at Coles p.20\n2023 Sustainability Report: Governance and risk management p.5,,,,,,,,,,,,,,
20,,2-14 Role of the highest governance body in sustainability reporting,2023 Sustainability Report: Governance and risk management p.5,,,,,,,,,,,,,,
21,,2-15 Conflicts of interest,2023 Corporate Governance Statement p.6\nColes Group Board Charter\n,,,,,,,,,,,,,,
22,,2-16 Communication of critical concerns,2023 Corporate Governance Statement p.11 (shareholder concerns),,,,10,,,,,,,,,,
23,,2-17 Collective knowledge of the highest governance body,Board skills and experience is located in the 2023 Corporate Governance Statement p.7.\nKnowledge is advanced through the use of detailed updates provided to the Board and the Board Audit and Risk Committee which are related to Coles' sustainability strategy.,,,,13,,,,,,,,,,
24,,2-18 Evaluation of the performance of the highest governance body,2023 Corporate Governance Statement p.7,,,,,,,,,,,,,,
25,,2-19 Remuneration policies,2023 Annual Report: Remuneration Report \n2023 Corporate Governance Statement for renumeration process\n\n,,,,,,,,,,,,,,
26,,2-20 Process to determine remuneration,2023 Annual Report: Remuneration Report \n2023 Corporate Governance Statement for renumeration process\n\n,,,,,,,,,,,,,,
27,,2-21 Annual total compensation ratio,,All,Information unavailable/incomplete,Executive remuneration is covered in 2023 Annual Report: Remuneration Report,,,,,,,,,,,
28,,2-22 Statement on sustainable development strategy,Coles Sustainability Strategy: https://www.colesgroup.com.au/FormBuilder/_Resource/_module/ir5sKeTxxEOndzdh00hWJw/file/Coles_Sustainability_Strategy.pdf\n\n2023 Sustainability Report: Message from our Chairman and CEO/Managing Director p.3,,,,,,,,,,,,,,
29,,2-23 Policy commitments,"Coles Code of Conduct and\nColes Human Rights Strategy are available on our website www.colesgroup.com.au \nInformation on approvals, application and communication of these policies is within each of the policies.\n\n\n",,,,,,,,,,,,,,
30,,2-24 Embedding policy commitments,Implementation of policy commitments is updated annually across our external reporting suite:\n2023 Sustainability Report\n2023 Modern Slavery Statement\n2023 Corporate Governance Statement\n2023 Annual Report\n,,,,,,,,,,,,,,
31,,2-25 Processes to remediate negative impacts,Coles Whistleblower Policy\nColes Code of Conduct\n2023 Modern Slavery Statement - Our approach to grievance management p.32-23,,,,,,,,,,,,,,
32,,2-26 Mechanisms for seeking advice and raising concerns,Coles Whistleblower Policy \nColes Code of Conduct \nColes Food & Grocery Code of Conduct (Complaints Lodgement and Handling procedures)\nColes Complaints Handling Procedure\n(Goods and services not for resale),,,,,,,,,,,,,,
33,,2-27 Compliance with laws and regulations,"During the reporting period, the Fair Work Ombudsman commenced proceedings in relation to remuneration of salaried supermarket managers and this matter is now awaiting judgment. \nThere were no other new significant instances resulting in material fines or non-monetary sanctions during the reporting period.",,,,,,,,,,,,,,
34,,2-28 Membership associations,2023 Sustainability Report 2023 Sustainability Report: Stakeholder engagement - Industry associations p.10,,,,7,,,,,,,,,,
35,,2-29 Approach to stakeholder engagement,2023 Sustainability Report: Stakeholder engagement: p.8-10,,,,,,,,,,,,,,
36,,2-30 Collective bargaining agreements,"The terms and conditions of employment of 88% of ColesÃ¢ÂÂ team members are set through enterprise agreements. \nFor the balance of our team members whose employment terms and conditions are not governed by an enterprise agreement, their employment conditions are based on either award entitlements, employment contractual terms founded in common law and/or legislation.",,,,13,8,,,,,,,,,
37,Material topics,,,,,,,,,,,,,,,,
38,GRI 3: Material Topics 2021\n,3-1 Process to determine material topics,2023 Sustainability Report: What matters most p.6-9,A gray cell indicates that reasons for omission are not permitted for the disclosure or that a GRI Sector Standard reference number is not available.,,,,,,,,,,,,,
39,,3-2 List of material topics,2023 Sustainability Report: What matters most p.6-7,,,,,,,,,,,,,,
40,Economic performance,,,,,,,,,,,,,,,,
41,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report - What matters most p.6-7\nand Governance and risk management p.5\n\nManagement of material topics are described within the relevant sections of the 2023 Sustainability Report.,,,,,,,,,,,,,,
42,GRI 201: Economic Performance 2016,201-1 Direct economic value generated and distributed,2023 Sustainability Report: Supporting communities across Australia p.50--52\n2023 Annual Report: How we create value p.14-15\n2023 Tax Contribution Report,,,,,8,,,,,,,,,
43,,201-2 Financial implications and other risks and opportunities due to climate change,2023 Annual Report: Climate change p. 43-52,,,,7,13,,,,,,,,,
44,,201-3 Defined benefit plan obligations and other retirement plans,2023 Annual Report - 2.9 Provisions p.101-102,,,,,,,,,,,,,,
45,,201-4 Financial assistance received from government,No material financial assistance identified,,,,,,,,,,,,,,
46,Market presence,,,,,,,,,,,,,,,,
47,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
48,GRI 202: Market Presence 2016,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,For the significant proportion of Coles team members their base rate of pay is set by the relevant enterprise agreement (referred to in GRI 2-30). The individual team members classification and employment category determines their applicable rate of pay. For relevant industrial instruments governing employment conditions for Coles team members the annual minimum wage rates ordered by the Fair Work Commission and applicable award reference instruments are considered as a reference point.,,,,,,,,,,,,,,
49,,202-2 Proportion of senior management hired from the local community,,All,Information unavailable/incomplete,Coles stores are located in local communities across Australia. The information required by GRI 202-2 is not held in our reporting systems.,,,,,,,,,,,
50,Indirect economic impacts,,,,,,,,,,,,,,,,
51,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
52,GRI 203: Indirect Economic Impacts 2016,203-1 Infrastructure investments and services supported,Capital investment in infrastructure spend on stores and distribution centres is detailed in our 2023 Annual Report 2023.\nCommunity investments and support is detailed in our 2023 Sustainability Report p.50-52,,,,,,,,,,,,,,
53,,203-2 Significant indirect economic impacts,,All,Information unavailable/incomplete,The information required by GRI 203-2 is not held in our reporting systems.,,,,,,,,,,,
54,Procurement practices,,,,,,,,,,,,,,,,
55,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
56,GRI 204: Procurement Practices 2016,204-1 Proportion of spending on local suppliers,,,Confidentiality constraints,Some information on local spend is available in 2023 Annual Report: How we create value p.14-15 \n2023 Sustainability Report: Supporting Australian Producers p.30-32,,,,,,,,,,,
57,Anti-corruption,,,,,,,,,,,,,,,,
58,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
59,GRI 205: Anti-corruption 2016,205-1 Operations assessed for risks related to corruption,Coles conducts risk assessments across its operations and investigations are commenced where required. Due diligence checks and independent audits are conducted on suppliers as part of our Ethical Souring Program.,,,,10,,,,,,,,,,
60,,205-2 Communication and training about anti-corruption policies and procedures,"Coles has a suite of governance policies including our Code of Conduct, Anti-Bribery Policy, Political Donations Policy and Whistleblower Policy which are designed to create a culture of acting lawfully and ethically. Our Whistleblowing service is available 24 hours a day.\nOur policies are accessible online and we provide relevant personnel Anti-Bribery and Corruption training on an annual basis.",,,,10,,,,,,,,,,
61,,205-3 Confirmed incidents of corruption and actions taken,There were no confirmed incidents of corruption by Coles Group or its team members under our Anti-Bribery Policy during the reporting period.,,,,10,12,,,,,,,,,
62,Anti-competitive behaviour,,,,,,,,,,,,,,,,
