Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
163,Local communities,,,,,,,,,,,,,,,,
164,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
165,GRI 413: Local Communities 2016,"413-1 Operations with local community engagement, impact assessments, and development programs",,All,Information unavailable/incomplete,Details of our community engagement is contained in the 2023 Sustainability Report. Details at the level required by GRI is not held in our reporting systems.,,,,,,,,,,,
166,,413-2 Operations with significant actual and potential negative impacts on local communities,,All,Information unavailable/incomplete,Details of our community engagement is contained in the 2023 Sustainability Report. Details at the level required by GRI is not held in our reporting systems.,,,,,,,,,,,
167,Supplier social assessment,,,,,,,,,,,,,,,,
168,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
169,GRI 414: Supplier Social Assessment 2016,414-1 New suppliers that were screened using social criteria,,All,Information unavailable/incomplete,"No data available at the level required by GRI.\nColesÃ¢ÂÂ Ethical Sourcing Policy, together with our Ethical Sourcing Supplier Program Requirements set out our expectations of our suppliers regarding labour rights, human rights, environment, health and safety, and business integrity.\n",12,58,,,,,,,,,
170,,414-2 Negative social impacts in the supply chain and actions taken,,All,Information unavailable/incomplete,"No data available at the level required by GRI.\nColesÃ¢ÂÂ Ethical Sourcing Policy, together with our Ethical Sourcing Supplier Program Requirements set out our expectations of our suppliers regarding labour rights, human rights, environment, health and safety, and business integrity.\n",,58,,,,,,,,,
171,Public policy,,,,,,,,,,,,,,,,
172,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
173,GRI 415: Public Policy 2016,415-1 Political contributions,"ColesÃ¢ÂÂ Political Donations Policy prohibits any donation on behalf of Coles to political parties, political organisations, politicians, local councillors, candidates for public office or any Public Official. Paid attendance at an event hosted by a political party is only permitted in limited circumstances, with approval and record keeping of the event, as set out in the policy.\n",,,,10,,,,,,,,,,
174,Customer health and safety,,,,,,,,,,,,,,,,
175,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
176,GRI 416: Customer Health and Safety 2016,416-1 Assessment of the health and safety impacts of product and service categories,2023 Sustainability Report: Product safety and quality p.48,,,,,,,,,,,,,,
177,,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,2023 Sustainability Report: Product safety and quality p.48,,,,,,,,,,,,,,
178,Marketing and labelling,,,,,,,,,,,,,,,,
179,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
180,GRI 417: Marketing and Labelling 2016,417-1 Requirements for product and service information and labelling,2023 Sustainability Report: Product safety and quality p.48,,,,,12,,,,,,,,,
181,,417-2 Incidents of non-compliance concerning product and service information and labelling,No material fines from regulator actions concerning product and service information and labelling.,,,,,12,,,,,,,,,
182,,417-3 Incidents of non-compliance concerning marketing communications,No material fines from regulator actions relating to non compliance by Coles concerning marketing communications.,,,,,12,,,,,,,,,
183,Customer privacy,,,,,,,,,,,,,,,,
184,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
185,GRI 418: Customer Privacy 2016,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,"There were no substantiated complaints related to breaches of customer privacy.\nThere were a small number of instances of unauthorised access to personal information, including those which occurred at third party providers to Coles.",,,,,,,,,,,,,,
188,Topics in the applicable GRI Sector Standards determined as not material,,,,,,,,,,,,,,,,
