Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
99,,305-2 Energy indirect (Scope 2) GHG emissions\n,2023 Sustainability data pack - Energy and S1 and S2 emissions tab,,,,,312131415,,,,,,,,,
100,,305-3 Other indirect (Scope 3) GHG emissions\n,2023 Sustainability data pack - S3 Emissions tab,c,Information unavailable/incomplete,We do not currently collect our Scope 3 biogenic CO2 emissions.,,312131415,,,,,,,,,
101,,305-4 GHG emissions intensity\n,2023 Sustainability data pack - Energy and S1 and S2 emissions tab,,,,,131415,,,,,,,,,
102,,305-5 Reduction of GHG emissions\n,2023 Sustainability data pack - Energy and S1 and S2 emissions tab,d,Information unavailable/incomplete,We provide a Group-wide Scope1 and 2 emissions reduction year on year. Details on initiatives contributing to energy consumption reductions our outlined in the 2023 Sustainability Report p.15.,,131415,,,,,,,,,
103,,305-6 Emissions of ozone-depleting substances (ODS)\n,,All,Not applicable,"Coles Group does not produce, import or export ozone depleting substances/CFC-11 (trichlorofluoromethane).",,,,,,,,,,,
104,,"305-7 Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions\n",,All,Information unavailable/incomplete,No material amount of these emissions within Group operations.,,,,,,,,,,,
105,Waste,,,,,,,,,,,,,,,,
106,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.20-25,,,,,,,,,,,,,,
107,GRI 306: Waste 2020,306-1 Waste generation and significant waste-related impacts,,All,Information unavailable/incomplete,"Waste management is an \noutsourced contract and GRI disclosure level \nreporting is currently out of scope for standard reports received by the Group. Available data is within the 2023 Sustainability Report,",,,,,,,,,,,
108,,306-2 Management of significant waste-related impacts,,All,Information unavailable/incomplete,Waste management is an \noutsourced contract and GRI disclosure level \nreporting is currently out of scope for standard reports received by the Group. Available data is within the 2023 Sustainability Report,8,812,,,,,,,,,
109,,306-3 Waste generated,2023 Sustainability Report 2023: Waste p.20-21\n2023 Sustainability data pack - Waste and Water tab,,,,8,31215,,,,,,,,,
110,,306-4 Waste diverted from disposal,2023 Sustainability Report 2023: Waste p.20-21\n2023 Sustainability data pack - Waste tab,"c,d",Information unavailable/incomplete,No data available at the level required by GRI.,8,,,,,,,,,,
111,,306-5 Waste directed to disposal,2023 Sustainability Report 2023: Waste p.20-21\n2023 Sustainability data pack - Waste tab,"b,d",Not applicable,Coles Group reports non-hazardous waste. Hazardous waste is not generated by Coles Group.,8,,,,,,,,,,
112,Supplier environmental assessment,,,,,,,,,,,,,,,,
113,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
114,GRI 308: Supplier Environmental Assessment 2016,308-1 New suppliers that were screened using environmental criteria,,All,Information unavailable/incomplete,"No data available at the level required by GRI.\nColesÃ¢ÂÂ Ethical Sourcing Policy, together with our Ethical Sourcing Supplier Program Requirements set out our expectations of our suppliers regarding labour rights, human rights, environment, health and safety, and business integrity.\n",,,,,,,,,,,
115,,308-2 Negative environmental impacts in the supply chain and actions taken,,All,Information unavailable/incomplete,"No data available at the level required by GRI.\nColesÃ¢ÂÂ Ethical Sourcing Policy, together with our Ethical Sourcing Supplier Program Requirements set out our expectations of our suppliers regarding labour rights, human rights, environment, health and safety, and business integrity.\n",,,,,,,,,,,
116,Employment,,,,,,,,,,,,,,,,
117,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
118,GRI 401: Employment 2016,401-1 New employee hires and employee turnover,2023 Sustainability data pack: Team members tab,,,,6,5810,,,,,,,,,
119,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Coles offers full time and part time team members a range of benefits including but not limited to flexible work, parental leave and share ownership. Benefits such as insurance, health care and superannuation are generally managed by team members. Temporary or casual team members are not eligible for some benefits as they are covered by regulatory related benefits such as superannuation.\n.",,,,6,8,,,,,,,,,
120,,401-3 Parental leave,2023 Sustainability Report: Great place to work p.38,,,,6,58,,,,,,,,,
121,Labor/management relations,,,,,,,,,,,,,,,,
122,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
123,GRI 402: Labor/Management Relations 2016,402-1 Minimum notice periods regarding operational changes,"Coles adopts a proactive approach to industrial relations that is focused on direct engagement with team members, including notice and effective consultation processes when major organisational change is proposed.\n\nColes maintains several enterprise agreements that govern a significant percentage of our team member workforce and contained within those relevant agreements are specified notice and consultation provisions.",,,,3,8,,,,,,,,,
124,Occupational health and safety,,,,,,,,,,,,,,,,
