Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,"South32 controlled development options include our core exploration and development projects which are South32 controlled or South32-operated joint arrangements. Due to the evolving nature of development options, limited data is collected for material sustainability topics and disclosed within this Databook. We continue to work towards developing our data collection and reporting processes as the facilities and infrastructure matures. 

South32 employees based at these locations are included in our people data.

While South32 have a portfolio of more than 25 greenfield exploration options across the world, these are excluded from our disclosures within this Databook, unless otherwise stated.",,,,,,,,,
,,,,,,,,,,
,Operation / Asset,Country,Ownership %,,Production status,Notable inclusions or exclusions for FY23,,,,
,Eagle Downs Metallurgical Coal,Australia,0.5,,Care and maintenance,"The Eagle Downs Metallurgical Coal exploration and development option is no longer considered a material operating segment while in care and maintenance. As such limited performance data for material sustainability topics is disclosed, including greenhouse gas emissions, energy, water, land and health and safety data. South32 continues to investigate the potential divestment of our interest in Eagle Downs Metallurgical Coal.",,,,
,Hermosa,United States,1,,Feasibility study underway,"In August 2018, South32 completed the acquisition of the Hermosa project located in Arizona, United States. Due to the maturity of infrastructure at Hermosa, data disclosed within this Databook includes the majority of material sustainability topics, including health and safety, greenhouse gas emissions, water, land, and community investment.",,,,
,,,,,,,,,,
,,,,,,,,,,
,Non-operated operations / joint arrangements ,,,,,,,,,
,,,,,,,,,,
,"Non-operated operations / joint arrangements include operations, exploration sites, and development projects that are not wholly owned by South32 such as joint ventures and joint operations, where South32 does not have operational control. Sustainability data for non-operated joint arrangements are primarily excluded from this Databook, with data reported by the respective parties with operational control. All exceptions to this are provided in the notable inclusions / exclusions below. 

South32 employees based at these locations are included in our people data. 

While South32 have a portfolio of more than 25 greenfield exploration options across the world, these are excluded from our disclosures within this Databook, unless otherwise stated.",,,,,,,,,
,,,,,,,,,,
,Operation / Asset,Country,Ownership %,,Production status,Notable inclusions or exclusions for FY23,,,,
,Ambler Metals,Alaska,0.5,,Exploration,"While in exploration, this facility is excluded from our core sustainability data within this Databook. Ambler Metals completed a Human Rights Risk Self-Assessment (HRRSA) in FY23, which is disclosed in the Human Rights tab of this Databook. ",,,,
,Brazil Alumar(1),Brazil,0.36,,Active,"Included in our Scope 3 greenhouse gas emissions based on equity share, and within our tailings storage facilities tab. ",,,,
,Brazil Aluminium,Brazil,0.4,,Active,"Included in our Scope 3 greenhouse gas emissions based on equity share. As an aluminium smelter, Brazil Aluminium does not have any tailings storage facilities. ",,,,
,Mineração Rio do Norte S.A (MRN)(1),Brazil,0.33,,Active,"Included in our Scope 3 greenhouse gas emissions based on equity share, and within our tailings storage facilities tab. ",,,,
,Port Kembla Coal Terminal (PKCT),Australia,0.1667,,Active,Excluded from all metrics within this Databook.,,,,
,Sierra Gorda,Chile,0.45,,Active,"Included in our Scope 3 greenhouse gas emissions based on equity share, and within our tailings storage facilities tab. ",,,,
,,,,,,,,,,
,"(1) The Brazil Alumar refinery and the Mineração Rio do Norte S.A (MRN) bauxite mine are often group as an asset, referred to collectively as Brazil Alumina. ",,,,,,,,,
,,,,,,,,,,
,Divested operations,,,,,,,,,
,,,,,,,,,,
,"Operations that we divested during the reporting period are shown for the period we had operational control of those operations. 

Where group targets and goals have been using data containing our divested operations as the baseline, we may rebaseline these targets to exclude divested operations to reflect our current portfolio, including greenhouse gas emissions reduction targets and goals.

",,,,,,,,,
,,,,,,,,,,
,Operation / Asset,Country,Ownership %,,Production status,Notable inclusions or exclusions for FY23,,,,
,South Africa Energy Coal (SAEC)(1),South Africa,-,,Divested,"As a former South32 operated operation, SAEC is included in material sustainability data for all periods prior to divestment on 1 June 2021.",,,,
,Tasmania Electro Metallurgical Company (TEMCO),Australia,-,,Divested,"As a former South32 operated operation, TEMCO is included in material sustainability data for all periods prior to divestment on 1 January 2021.",,,,
,,,,,,,,,,
,"(1) Collectively, SAEC consisted of Khutala colliery, Klipspruit colliery and the Wolvekrans Middelburg Complex (WMC) as well as three processing plants. ",,,,,,,,,
