Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,Supervisory / professional/ operational support,9338,1850,7488,19.8,80.2,8.6,66,25.4,87.5,,,,,,,,,
,Total,9616,1941,7675,20.2,79.8,8.4,66.1,25.6,86.9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Executives and Senior Management include members of the South32 Lead Team and Senior Leadership Team.
(2) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after 27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date. The percentage of Black People is calculated using the total Black People in South Africa as the numerator, and the total workforce in South Africa as the denominator.
(3) The percentage of Black People in management roles varies to the 'Representation of Black People in South Africa in management roles' due to the exclusion of executives and senior management, as they are represented separately. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Diversity representation (%),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Women representation of total workforce,20.2,19.2,18.4,,,,,,,,,,,,,,,
,Women represented on South32 Board,44.4,37.5,37.5,,,,,,,,,,,,,,,
,Women represented in South32 Lead Team,50,37.5,44.4,,,,,,,,,,,,,,,
,Women represented in Senior Leadership Team(1),30.3,32.14,29.6,,,,,,,,,,,,,,,
,Women represented in Operational Leadership Team(2),28.7,20.43010752688172,18.3,,,,,,,,,,,,,,,
,Representation of Black People in South Africa in total workforce(4),86.9,86.13,85.7,,,,,,,,,,,,,,,
,Representation of Black People in South Africa in management roles(4)(5),55.3,61.9,52.4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) The Senior Leadership Team includes Presidents and Vice Presidents reporting to members of the South32 Lead Team.
(2) Includes all members of an Operations Lead Team (OLT) and includes functional employees based at an operation, limited to one per function. In FY23 we have revised this definition and calculation methodology to better reflect our organisational structure. FY22-FY21 data displayed is based on previous methodology as disclosed in the 2022 Sustainability Databook. 
(4) Generic term meaning Africans, Coloureds and Indians who are citizens of the Republic of South Africa by birth or descent; or who became citizens of the Republic of South Africa by naturalisation before 27 April 1994 or on or after 
27 April 1994 and who would have been entitled to acquire citizenship by naturalisation prior to that date. The percentage of Black People is calculated based on our workforce in South Africa only. 
(5) Management roles are leaders with an identified job grading, based on the requirements of their role and salary, including executives and senior management. ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employees by gender and employment type(1) ,Women,Men,FY23 Total,FY22 Total,FY21 Total,,,,,,,,,,,,,
,Permanent - total(2),1765,7420,9185,8668,8583,,,,,,,,,,,,,
,Permanent - full time,1676,7373,9049,8536,8479,,,,,,,,,,,,,
,Permanent - part time,89,47,136,132,104,,,,,,,,,,,,,
,Temporary(3),176,255,431,428,491,,,,,,,,,,,,,
,Total,1941,7675,9616,9096,9074,,,,,,,,,,,,,
,Percentage,20.2,79.8,-,-,-,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Employment contract type is for direct South32 employees only.
(2) Figures for total permanent employees includes full time and part time permanent employees.
(3) Temporary workers includes three casuals in FY23.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Gender,,Age groups,,,Employment type(1),,,,,,,,,,,,
,Workforce distribution,Women,Men,Under 30,30-50,Over 50,Permanent,Temporary,FY23 Total,FY22 Total,FY21 Total,,,,,,,,
,Australia,847,4008,457,2933,1465,4682,173,4855,4578,4563,,,,,,,,
,Brazil,14,10,3,17,4,24,-,24,20,15,,,,,,,,
,Canada,7,13,1,17,2,20,-,20,17,7,,,,,,,,
,Chile,5,8,1,11,1,13,-,13,3,-,,,,,,,,
,Colombia,175,797,84,611,277,903,69,972,948,882,,,,,,,,
,Mozambique,107,919,73,750,203,993,33,1026,994,990,,,,,,,,
,Singapore,51,31,6,61,15,79,3,82,80,94,,,,,,,,
,South Africa,687,1790,164,1867,446,2324,153,2477,2344,2412,,,,,,,,
,United Kingdom,9,4,-,7,6,13,-,13,13,17,,,,,,,,
,United States,39,95,17,77,40,134,-,134,99,94,,,,,,,,
,Total,1941,7675,806,6351,2459,9185,431,9616,9096,9074,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,(1) Employment contract type is for direct South32 employees only.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Pay ratio of women to men based on salary(1),Australia,Colombia,Mozambique,Singapore,South Africa,United States,FY23 Total,FY22 Total,FY21 Total,,,,,,,,,
,Executives(2) and senior management,1.1,-,-,-,-,-,1.1,1,1.1,,,,,,,,,
,Management,1,1,0.9,0.9,0.9,0.8,1,0.9,0.9,,,,,,,,,
,Supervisory / professional/ operational support,1,1.2,1.1,0.7,1,1,1,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Countries with less than 50 South32 employees are not listed, however the data is included in the overall total. 
(2) Executive figures exclude key management personnel.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Pay ratio of CEO to median employee compensation(1),,FY23,,,,,,,,,,,,,,,,
,Annual total compensation for CEO to the median for all employees,,26:1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) CEO annual total compensation has been calculated in accordance with the method detailed for realised pay on page 82 of the 2023 Annual Report. For all other employees, annual total compensation is for the 12-month period to 30 June 2023 and includes all allowances, annual incentive payments received in the period and the value of shares that vested, but excludes other non-monetary benefits. Pension contributions have been calculated based on the cost to the Group of the contributions made in the 12-month period. Internationally mobile employees and employees who joined or left the Group after 1 July 2022 have been excluded from the calculation.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Attracting, developing and retaining talent",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employee hiring rate per country(1),Gender,,Age groups,,," FY23 Total 
hiring rate"," FY22 Total 
hiring rate"," FY21 Total 
hiring rate",,,,,,,,,,
,,Women,Men,Under 30,30-50,Over 50,,,,,,,,,,,,,
,Australia,26.6,73.4,28.6,55.6,15.8,17.8,13.4,8.4,,,,,,,,,,
,Brazil,80,20,40,60,0,23.4,38.1,6.6,,,,,,,,,,
,Canada,80,20,0,100,0,27.8,87,14.6,,,,,,,,,,
,Chile(2),20,80,10,80,10,139.5,150,-,,,,,,,,,,
,Colombia,41.5,58.5,26.8,73.2,0,8.6,13.3,7,,,,,,,,,,
,Mozambique,26.8,73.2,54.9,45.1,0,7.2,5.1,0.1,,,,,,,,,,
,Singapore,53.8,46.2,15.4,69.2,15.4,15.6,17.4,4.6,,,,,,,,,,
,South Africa,32.7,67.3,23.3,72.5,4.2,12.7,9,8,,,,,,,,,,
,United Kingdom,100,0,0,100,0,7.4,8.2,10.6,,,,,,,,,,
,United States,20,80,13.3,53.3,33.3,39.2,32.6,7.2,,,,,,,,,,
,Total,29.3,70.7,27.8,60.3,11.9,14.7,11.7,7.2,,,,,,,,,,
,The sum of the categories may vary to the total figure due to rounding.,,,,,,,,,,,,,,,,,,
,(1) Hiring rates are calculated using the total count of employee hires for the financial year as the numerator and total number of employees averaged across the financial year as the denominator. ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Gender,,Age groups,,,"FY23 Total 
turnover rate","FY22 Total 
turnover rate","FY21 Total 
turnover rate",,,,,,,,,,
,Employee turnover per country(1),Women,Men,Under 30,30-50,Over 50,,,,,,,,,,,,,
,Australia,20.3,79.651,14.2,55.4,30.4,10.8,11.74,7.1,,,,,,,,,,
,Brazil,0,100,0,100,0,4.7,6.35,13.3,,,,,,,,,,
,Canada,0,100,0,50,50,11.1,0,0,,,,,,,,,,
,Chile,-,-,-,-,-,0,0,-,,,,,,,,,,
,Colombia,25.9,74.1,9.3,48.1,42.6,5.6,5.18,5.8,,,,,,,,,,
,Mozambique,20,80,6.7,42.2,51.1,4.5,4.27,5.4,,,,,,,,,,
,Singapore,66.7,33.3,0,100,0,10.8,21.1,11.1,,,,,,,,,,
,South Africa,23.3,76.7,12.5,71.7,15.8,4.9,5.35,5,,,,,,,,,,
,United Kingdom ,0,100,0,100,0,7.4,0,0,,,,,,,,,,
,United States,33.3,66.7,8.3,66.7,25,10.4,24.98,16.2,,,,,,,,,,
,Total,21.8,78.2,12.8,57.5,29.7,8.1,8.78,6.3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Turnover rates are calculated using the total count of applicable employee exits for the financial year as the numerator and the total number of employees averaged across the financial year as the denominator. The numerator includes employee exits that were voluntary or due to dismissal, retirement or death in service. These figures exclude employee departures as a result of redundancy or end of contract.
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Gender #,,Gender %,,,,,,,,,,,,,,,
,Career entry pipelines by gender distribution,Women,Men,Women,Men,FY23 Total #,FY22 Total #,FY21 Total #,,,,,,,,,,,
,"Apprentices, Trainees and Learners(1)",157,183,46.2,53.8,340,251,293,,,,,,,,,,,
,Vacation students(2),34,47,42,58,81,76,44,,,,,,,,,,,
,Graduates(1),35,55,38.9,61.1,90,67,35,,,,,,,,,,,
,Total,226,285,44.2,55.8,511,394,372,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Data measured as at 30 June 2023.
(2) Data measured throughout the financial year. 
",,,,,,,,,,,,,,,,,,
,,FY23,,,,,,,,,FY22,,,,,,,,
,,Primary(5),,,Secondary(6),,,FY23 Total,,,Primary(5),,,Secondary(6),,,Total,,
,Parental leave profile(1),Employees,Women,Men,Employees,Women,Men,Employees,Women,Men,Employees,Women,Men,Employees,Women,Men,Employees,Women,Men
,Employees that took parental leave,179,150,29,243,1,242,422,151,271,181,158,23,240,2,238,421,160,261
,Due to return(2),114,93,21,233,1,232,347,94,253,108,91,17,229,2,227,337,93,244
,Returned to work(3),113,92,21,232,1,231,345,93,252,99,82,17,229,2,227,328,84,244
,Returned and retained(4),-,-,-,-,-,-,-,-,-,92,79,13,214,2,212,306,81,225
,Return rate (%),99.1,98.9,100,99.6,100,99.6,99.4,89.9,99.6,91.7,90.1,100,100,100,100,97.3,90.3,100
,Retention rate (%),-,-,-,-,-,-,-,-,-,92.9,96.3,76.5,93.5,100,93.4,93.3,96.4,92.2
,,,,,,,,,,,,,,,,,,,
,"(1) Refer to the 'Benefits provided to employees by significant locations of operation' table below for detail on parental leave entitlement. 
(2) Employees that have utilised parental leave and have a return to work date during the reporting period.
(3) Employees that returned to work in the reporting period after parental leave ended.
(4) Employees that returned to work after parental leave ended that were still employed 12 months after their return to work.
(5) A primary caregiver is the parent who assumes the principal role for having primary responsibilities for providing care and support to the child following the birth of the child.
(6) A secondary caregiver is the legally recognised partner, spouse or de facto spouse of the primary caregiver, who does not have primary caregiving responsibilities for the child.
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Australia,,,Colombia,,,Mozambique,,,Singapore,,,South Africa,,,United States,,
,Benefits provided to employees by significant locations of operation(1),Full-time,Part-Time,Temporary,Full-time,Part-Time,Temporary,Full-time,Part-Time,Temporary,Full-time,Part-Time,Temporary,Full-time,Part-Time,Temporary,Full-time,Part-Time,Temporary
,Medical Insurance,û,û,û,ü,ü,ü,ü,ü,û,ü,ü,ü,ü,ü,û,ü,ü,ü
,Life and Disability Insurance(2),û,û,û,ü,ü,ü,ü,ü,û,ü,ü,ü,ü,ü,û,ü,ü,ü
,Parental Leave,ü,ü,û,ü,ü,ü,ü,ü,û,ü,ü,û,ü,ü,û,ü,ü,û
,Retirement / Pension(3),ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü
,Stock ownership - AllShare,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü,ü
,,,,,,,,,,,,,,,,,,,
,"(1) Where an employee benefit is provided to a smaller cohort of employees and not to the majority, we have stated the benefit as 'not provided'.
(2) In the United States, the insurer requires employees to work more than 30 hours to provide cover.
(3) For Singapore, we have included contributions to the Central Provident Fund as Retirement provision.
",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employee performance discussion in FY23(1),Overall (%),Women (%),Men (%),,,,,,,,,,,,,,,
,Executives(2) and senior management,100,100,100,,,,,,,,,,,,,,,
,Management,97,94.8,98.1,,,,,,,,,,,,,,,
,Supervisory / professional/ operational support,49.2,64.2,45.5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"(1) Data reflects employees as at 30 June 2023 as the denominator, and the total employees that have at least one performance review record in our core HR system for performance review records as the numerator. Performance review records for the majority of employees covered by an enterprise bargaining agreement are not recorded in the core HR system and therefore this percentage is predominately reflective of our workforce on individual agreements. The total percentage of all employees who have completed at least one performance review is 50.5 percent (4,865 eligible employees).
(2) Executive figures exclude key management personnel.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employee perception (Your Voice) survey results(1),FY23,FY22,,,,,,,,,,,,,,,,
,Percentage of employees who completed the survey,78.2,70,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,(1) Read more about our Your Voice survey in our 2023 Sustainable Development Report (People and Culture material topic). ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Workplace relations,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,FY23,,,FY22 % Collective agreements,FY21 % Collective agreements,,,,,,,,,,,,,
,Collective bargaining agreements,# Individual agreements,# Collective agreements,% Collective agreements,,,,,,,,,,,,,,,
,Total employees covered by collective bargaining agreements and individual agreements(1),4623,4966,51.8,52.11,52.3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,(1) Total excludes 27 international assignees.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Employee-related work stoppages due to employee disputes(1),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Employee-related work stoppages due to employee disputes ,-,-,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,(1) Including strikes and lockouts that exceeded one week's duration. ,,,,,,,,,,,,,,,,,,
