Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,3.2 The company's medium-term (2027 to 2035) GHG reduction target covers at least 95% of its Scope 1 and 2 emissions and the most relevant Scope 3 emissions (where applicable).,,"Our medium-term target to halve our operational GHG emissions by 2035 from our FY21 baseline covers more than 95 per cent of our Scope 1 and 2 emissions. Having set a new goal of net zero Scope 3 GHG emissions by 2050 in FY23, we are progressing near-term actions including partnering with customers and suppliers to support and codesign emissions reduction programs, contributing to industry decarbonisation and product stewardship initiatives, and supporting the development of innovative technology solutions. Our approach is based on the materiality of Scope 3 GHG emissions in each reported category and the level of control or influence we have on the associated activities.",
,3.3 The company’s last disclosed carbon intensity OR its short-term or medium-term targeted carbon intensity OR the company’s expected carbon intensity derived from its long-term GHG reduction target is aligned with or below the relevant sector trajectory needed to achieve the Paris Agreement goal of limiting global temperature increase to 1.5°C with low or no overshoot in 2050.,,"In developing our medium-term GHG emissions reduction target, we reviewed science-based emissions reduction pathways that seek to align with the goals of the Paris Agreement and limit global warming to well below 2°C, while pursuing efforts to limit the increase to 1.5°C.

Our medium-term target is to reduce our operational GHG emissions by 50 per cent from FY21 levels by 2035. This equates to an annual average reduction of approximately 3.6 per cent (noting that some stakeholders consider full alignment with a 1.5°C goal would include Scope 3 GHG emissions). Our 2022 Climate Change Action Plan references on page 78 of our 2022 Sustainable Development Report, how we have applied the IPCC Special Report Global Warming of 1.5oC, which presents a number of illustrative model pathways for how these net emissions reductions may be achieved, based on different mitigation strategies.",
,Indicator 4: Short-term (up to 2025) GHG reduction target(s)    ,,,
,4.1 The company has set a short-term target for reducing its GHG emissions in the period between 2023 and 2026.,,"In FY22, we evaluated options for establishing a short-term operational GHG emissions reduction target for the business to drive our near-term action. Given the complex technical and commercial challenges in decarbonising energy sources for Hillside Aluminium and Worsley Alumina (which account for approximately 74 per cent of our operational emissions in FY23), we have not set a short-term emissions reduction target at this stage. We will continue to evaluate our options but will only set a short-term target when we are confident that the pathway to meet a short-term target is credible, viable and just.

",
,4.2 The company’s short-term (up to 2026) GHG reduction target covers at least 95% of its Scope 1 and 2 emissions and the most relevant Scope 3 emissions (where applicable).,,,
,4.3 The company’s last disclosed carbon intensity OR the company’s expected carbon intensity derived from its short-term GHG reduction target is aligned with or below the trajectory for its respective sector to achieve the Paris Agreement goal of limiting global temperature increase to 1.5°C with low or no overshoot in 2026. This is equivalent to IPCC’s Special Report on the 1.5° Celsius pathway P1 or the IEA’s Net Zero Emissions by 2050 Scenario.,,,
,Indicator 5: Decarbonisation strategy (target delivery),,,
,5.1 The company has a decarbonisation strategy that explains how it intends to meet its medium- and long-term GHG reduction targets.,,"Our approach to addressing climate change is outlined in our 2022 Climate Change Action Plan set out in pages 68 to 105 of our 2022 Sustainable Development Report. Pages 100 to 106 of our 2023 Sustainable Development Report quantify the main sources of our operational GHG emissions and describe near-, medium- and long-term actions to support delivery of our medium-term target and long-term goal. Pages 111 to 113 of our 2023 Sustainable Development Report quantify the main categories of Scope 3 emissions and our approach to collaborating with suppliers, customers, industry peers and other value chain partners to make a meaningful contribution to the actions and innovations required to reduce these emissions.


",
,"5.2 The company’s decarbonisation strategy specifies the role of climate solutions (i.e., technologies and products that will enable the economy to decarbonise).

",,Pages 89 to 90 of our 2023 Sustainable Development Report outline how we have reshaped our portfolio toward commodities that are critical in the transition to a low-carbon world. Pages 96 to 99 of our 2023 Sustainable Development Report provide an overview of the commodities we produce and the role that they will each play in the transition to a low-carbon global economy.  ,
,Indicator 6: Capital allocation alignment   ,,,
,6.1 The company is working to decarbonise its capital expenditures.,,"Page 91 of our 2023 Sustainable Development Report outlines how we allocate capital towards reshaping our portfolio to commodities that support the global transition to a low-carbon world, and invest in decarbonisation initiatives to reduce our operational GHG emissions and emissions in the value chain. Pages 96 to 99 of our 2023 Sustainable Development Report provides the FY23 capital expenditure for each of our operations. Forecast capital expenditure for FY24 is provided in our Financial Results and Outlook Year Ended 30 June 2023, available at www.south32.net.",
,"6.2 The company explains how it intends to invest in climate solutions (i.e., technologies and products that will enable the economy to decarbonise).",,,
,Indicator 7: Climate policy engagement   ,,,
,"7.1 The company commits to conducting its policy engagement activities in accordance with the goals of the Paris Agreement.
",,"We participate in climate policy engagement directly (e.g. by contributing to national and state government consultations on legislative and regulatory reform) and indirectly through the industry associations of which we are members. Our climate policy engagement activities are underpinned by our positions on key climate change matters, including our support for the Paris Agreement objectives to limit global temperature rise to well below 2°C this century and to pursue efforts to limit the increase to 1.5°C. We regularly engage with industry associations, of which we are a member, to promote greater transparency on our climate change positions to improve alignment, and contribute to knowledge sharing, proactive advocacy, and tangible action. Our policy positions can be found on page 116 of our 2023 Sustainable Development Report.
 ",
,"7.2 The company reviews its own and its trade associations’ climate policy engagement positions/ activities.
   ",,"Our climate change positions are reviewed as necessary to reflect updates to our Sustainability Policy, which is available at www.south32.net.

In FY23, we reviewed the alignment of the climate policy engagement positions and activities of the material industry associations of which we with our climate change positions. Further information about this review can be found on page 116 of our 2023 Sustainable Development Report and in the 'Industry Associations' tab of this Databook.

You can read more about how we consider and manage industry association memberships on the 'Industry associations' page of our website at www.south32.net.",
,Indicator 8: Climate Governance   ,,,
,"8.1 The company’s Board has clear oversight of climate change.

",,"Detail of our climate change governance is provided on page 115 of our 2023 Sustainable Development Report, on page 11 of our 2023 Corporate Governance Statement, and in our 2022 Climate Change Action Plan on page 96 of our 2022 Sustainable Development Report. ",
,"8.2 The company’s executive remuneration scheme incorporates climate change performance elements.
",,Ten per cent of our FY22 LTI award (granted in December 2021) is contingent on performance against a set of climate change measures and ten per cent is contingent on performance of the transition of our portfolio towards commodities required for a low-carbon world. Learn more in our Remuneration Report on page 78 to 103 of our Annual Report.,
,"8.3 The Board has sufficient capabilities/competencies to assess and manage climate-related risks and opportunities.
",,"The FY23 Board skills evaluation found that the majority of our Board members are either highly skilled or skilled in the environment and climate change competency in the South32 Board skills matrix. Further details of the qualifications, skills and experience of our Directors are set out on pages 66 to 70 of our 2023 Annual Report and the Board skills matrix is on pages 13 to 15 of our 2023 Corporate Governance Statement.",
,Indicator 9: Just Transition   ,,,
,9.1 The company has committed to the principles of a Just Transition.,,"We are committed to supporting a fair and equitable transition for people, communities and other stakeholders. Our 2022 Climate Change Action Plan sets out on page 89 of our 2022 Sustainable Development Report, our just transition guiding principles, which include that plans: should consider how to equip workers with skills for employment opportunities arising from the transition to a low-carbon economy, promote equitable and decent jobs and shield workers from adverse impacts as far as practicable; should consider the impacts on communities of the transition through protecting the natural environment, providing support for local development, supply chains and infrastructure and must be developed in collaboration with all material stakeholders; and  must be developed in collaboration with all material stakeholders, including communities.

Engaging with communities affected by our climate change approach is integral to our commitment to support a fair and equitable transition. Learn more about how we partner with communities on pages 35 to 40 of our 2023 Sustainable Development Report, and about our approach to Human Rights; and Indigenous, Traditional and Tribal Peoples Engagement at www.south32.net
",
,9.2 The company has disclosed how it is planning for and monitoring progress towards a Just Transition,,Detail of our Just Transition planning is provided in our 2022 Climate Change Action Plan on pages 83 and 85 of our 2022 Sustainable Development Report and on pages 107 to 108 of our 2023 Sustainable Development Report.,
,Indicator 10: TCFD Disclosure  ,,,
,"10.1 The company has publicly committed to implement the recommendations of the Task Force on Climate related Financial Disclosures (TCFD).
",,We report in accordance with the recommendations of the Task Force on Climate-related Financial Disclosures ,
,"10.2 The company employs climate scenario planning to test its strategic and operational resilience   

",,"Detail of how we use scenario analysis, including our 1.5°C scenario, is provided on pages 93 to 95 of our 2023 Sustainable Development Report.",
