Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
20,,,,Seawater,-,83,430,83,430,513,3290,2871,2350,2769,,,
21,,,,Third party water,21,-,297,21,297,318,398,2911,3290,3260,,,
22,,,,Other,33266,34252,8742,67518,8742,"76,260(5)","44,259(6)",55522,54644,45724,,,
23,,,,Total,34163,42201,10272,76365,10272,86637,58034,77233,72861,78932,,,
24,,,Operational water consumption,,,,,,,"76,260(5)","44,259(6)",55522,54644,45724,,,
25,,Other managed water,Other managed water inputs / withdrawal,,,,,,,45238,-,-,-,-,,,
26,,,Other managed water outputs / discharge,,,,,,,43599,-,-,-,-,,,
27,,,Other managed water consumption(2),,,,,,,581,-,-,-,-,,,
28,,Combined water(1),Total water consumption,,,,,,,80275,-,-,-,-,,,
29,,,Total discharge(3),,,,,,,133669,-,-,-,-,,,
30,,Additional water metrics,Efficiency (percentage)(4),,,,,,,61.5,65.9(7),56.3(7),59.1(7),61.8(7),,,
31,,,Recycling and reuse,,,,,,,106910,"118,496(7)","107,939(7)","129,920(7)","144,179(7)",,,
32,,The sum of the categories may vary to the total figure due to rounding.,,,,,,,,,,,,,,,
34,,"(1) Combined water consists of both operational water and other managed water.\n(2) Other managed water consumption is the total volume of other managed water removed by evaporation or other losses, and not released back to surface water, groundwater, seawater or a third party.\n(3) Total discharge is the total of other managed water outputs/discharge plus operational water outputs / discharge.\n(4) Water use efficiency is calculated as the total recycling and reuse divided by the sum of total recycling and reuse and total operational inputs / withdrawal. \n(5) Operational water consumption has increased by 72 per cent in FY23, as result of improved water accounting to align with MCA WAF 2.0 and ICMM Water Accounting / reporting updates. \n(6) Due to changes in reporting methodology and data collection boundaries, FY22 Ã¢ÂÂotherÃ¢ÂÂ water outputs / discharge and operational water consumption values may be subject to change. The impact of these changes will be assessed in FY24, and any material restatements will be disclosed in our 2024 Sustainability Databook. \n(7)ÃÂ Recycling and reuse, and efficiency for FY19-22 has materially changed through a water accounting change with the addition of Mozal casthouse water recycled and reused. This change has resulted in restatements, with a 9 per cent increase in total water recycled / reused in FY22, a 16 per cent increase in FY21, 12 per cent increase in FY20, and an 11 per cent increase in FY20.",,,,,,,,,,,,,,,
37,,Operations with water-related material risk,,,,,,,,,,,,,,,
39,,,Megalitres per annum,Source / destination,Worsley \nAlumina \nRefinery,Mozal Aluminium,Hillside Aluminium,Illawarra Metallurgical Coal,Hotazel Manganese Mines,FY23 \nTotal,FY22 \nTotal,FY21 \nTotal,,,,,
40,,Operational water,Operational water inputs / withdrawal,Surface water,8533,463,2,1934,117,11048,11995,11916,,,,,
41,,,,Groundwater,1326,-,-,1132,907,3366,6473,6586,,,,,
42,,,,Seawater,-,-,-,-,0,-,15,143,,,,,
43,,,,Third party water,681,8,520,640,229,2078,2210,4342,,,,,
44,,,,Total,10541,471,522,3706,1253,16492,20693,22987,,,,,
45,,,Operational water outputs / discharge,Surface water,90,145,-,3350,-,3586,4693,3242,,,,,
46,,,,Groundwater,-,-,-,-,24,24,24,24,,,,,
47,,,,Seawater,-,-,-,266,-,266,2977,2576,,,,,
48,,,,Third party water,1,48,198,50,19,316,390,466,,,,,
49,,,,Other,13020,323,326,816,417,14902,16514,16195,,,,,
50,,,,Total,13112,516,524,4483,459,19094,24598,22503,,,,,
51,,,Operational water consumption,,13020,323,326,816,417,14902,16514,16195,,,,,
52,,Other managed water,Other managed water inputs / withdrawal,,13,291,1676,3776,190,5946,-,-,,,,,
53,,,Other managed water outputs / discharge,,13,292,1034,3814,190,5344,-,-,,,,,
54,,,Other managed water consumption(2),,-,-,43,1,190,235,-,-,,,,,
55,,Combined water(1),Total water consumption,,13020,323,369,818,607,15137,-,-,,,,,
56,,,Total discharge(3),,13126,808,1559,8297,650,24439,-,-,,,,,
57,,Additional water metrics,Efficiency (percentage)(4),,29.3,96.9,96,35.7,5.1,67.2,62.5(5),59.5(5),,,,,
58,,,Recycling and reuse,,4359,14662,12594,2056,68,33739,"34,435(5)","33,738(5)",,,,,
59,,The sum of the categories may vary to the total figure due to rounding.,,,,,,,,,,,,,,,
61,,"(1) Combined water consists of both operational water and other managed water.\n(2) Other managed water consumption is the total volume of other managed water removed by evaporation or other losses, and not released back to surface water, groundwater, seawater or a third party.\n(3) Total discharge is the total of other managed water outputs/discharge plus operational water outputs / discharge.\n(4) Water efficiency is calculated as the total recycling and reuse divided by the sum of total recycling and reuse and total operational inputs / withdrawal.\n(5) Recycling and reuse, and efficiency for FY21-22 has materially changed through a water accounting change with the addition of Mozal casthouse water recycled and reused.",,,,,,,,,,,,,,,
64,,Operations in areas of baseline water stress(1),,,,,,,,,,,,,,,
66,,,,,Water quality (megalitres),,,,,,,,,,,,
67,,,Megalitres per annum,Source / destination,Type 1(8),Type 2,Type 3,High,Low,FY23 \nTotal(2),FY22 \nTotal,FY21 \nTotal,FY20 \nTotal,,,,
68,,Operational water,Operational water inputs / withdrawal,Surface water,2967,2117,5983,5084,5983,11067,12011,11960,37071,,,,
69,,,,Groundwater,110,282,3125,392,3125,3517,6539,6683,31098,,,,
70,,,,Seawater,-,-,-,-,-,-,15,143,0,,,,
71,,,,Third party water,881,2,676,883,676,1559,1617,3635,4674,,,,
72,,,,Total,3958,2401,9784,6359,9784,16143,20184,22421,72843,,,,
73,,,Operational water outputs / discharge,Surface water,845,2602,145,3447,145,3592,4693,3244,6534,,,,
74,,,,Groundwater,31,-,24,31,24,55,50,39,536,,,,
75,,,,Seawater,-,83,183,83,183,266,2977,2576,2250,,,,
76,,,,Third party water,21,-,97,21,97,118,125,134,2340,,,,
77,,,,Other,10327,17,4462,10344,4462,14806,16306,15960,46551,,,,
78,,,,Total,11225,2702,4912,13926,4912,18838,24151,21953,58211,,,,
79,,,Operational water consumption,,10327,17,4462,10344,4462,14806,16306,15960,46551,,,,
80,,Other managed water,Other managed water inputs / withdrawal,,,,,,,4271,-,-,-,,,,
81,,,Other managed water outputs / discharge,,,,,,,4310,-,-,-,,,,
82,,,Other managed water consumption(4),,,,,,,192,-,-,-,,,,
83,,Combined water(3),Total water consumption,,,,,,,"14,998(8)",-,-,,,,,
84,,,Total discharge(5),,,,,,,23147,-,-,-,,,,
85,,Additional water metrics,Efficiency (percentage)(6),,,,,,,56.8311271560369,51.8(7),49.0(7),38.0(7),,,,
86,,,Recycling and reuse,,,,,,,21252,"21,730(7)","21,569(7)","44,673(7)",,,,
87,,The sum of the categories may vary to the total figure due to rounding.,,,,,,,,,,,,,,,
89,,"(1) Areas of baseline water stress as per World Resources Institute (WRI) Aqueduct Tool available at https://www.wri.org/initiatives/aqueduct (accessed July 2022) and reviewed as per Technical Note available at: https://www.wri.org/research/aqueduct-30-updated-decision-relevant-global-water-risk-indicators. \n(2) FY23 data includes the following operations: Worsley Alumina Refinery, Illawarra Metallurgical Coal, Mozal Aluminium, Hotazel Manganese Mines; as well as the Hermosa project, all of which contribute to South32 total water inputs and outputs. These figures exclude Cerro Matoso, Hillside Aluminium, Metalloys, Cannington, Groote Eylandt Mining Company, Worsley Alumina Mine and Materials operations, Bayside, Eagle Downs and Mine Closure NPI projects, and corporate offices. \n(3) Combined water consists of both operational water and other managed water.\n(4) Other managed water consumption is the total volume of other managed water removed by evaporation or other losses, and not released back to surface water, groundwater, seawater or a third party.\n(5) Total discharge is the total of other managed water outputs/discharge plus operational water outputs / discharge.\n(6) Water efficiency is calculated as the total recycling and reuse divided by the sum of total recycling and reuse and total operational inputs/withdrawal.\n(7) Recycling and reuse, and efficiency for FY20-22 has materially changed with the addition of Mozal casthouse water recycled and reused - a water accounting change. \n(8) Data reported for SASB Metals and Mining Sustainability Accounting Standard, 2018 metric EM-MM-140a.1 as follows: Total fresh water withdrawn and consumed is presented as Inputs (Withdrawals) Type 1 water (as per MCA WAF, 2022) and FY23 total consumption, respectively. To convert unit of measure from megalitres to m3 multiply data by 1,000. Water quality 'Type 1,2,3' are equivalent to MCA WAF quality listed as 'Category 1,2,3'. Of the total freshwater withdrawn from South32's 'operated operations', 10.5 per cent comes from regions with high or extremely high baseline water stress. Of the total water consumed by South32 operations, 19.4 per cent was consumed by operations in regions of high or extremely high baseline water stress.",,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,.,,
92,,"Incidents of non-compliance associated with water quality permits, standards, and regulations",,,,,,,,,,,,,,,
94,,Number,,FY23,FY22,FY21,,,,,,,,,,,
95,,"Incidents of non-compliance associated with water quality permits, standards and regulations(1)",,-,-,1,,,,,,,,,,,
97,,"(1) In FY23 we reported no incidents of non-compliance associated with water quality permits, standards and regulations which resulted in formal enforcement action(s).",,,,,,,,,,,,,,,
