Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,South32 Americas Inc.,United States,United States,1,Dormant,,,
,South32 Arizona (Holdings) Pty Ltd,Australia,Australia,1,Holding Company,,,
,South32 Australia Investment 3 Pty Ltd,Australia,Australia,1,Holding Company,,,
,South32 Base Metals Ireland Limited,Ireland,Ireland,1,Exploration,,,
,South32 Canada Inc.,Canada,Canada,1,Exploration and Services,,,
,South32 Cannington Proprietary Limited,Australia,Australia,1,"Silver, Lead and Zinc Mining",,,
,South32 Chile Copper Holdings Pty Ltd,Australia,Australia,1,Holding Company,,,
,South32 Eagle Downs Pty Ltd,Australia,Australia,1,Mine Feasibility,,,
,South32 Energy SAS ESP,Colombia,Colombia,1,Energy,,,
,South32 Exploracion S.A.S.,Colombia,Colombia,1,Exploration,,,
,South32 Finance 1 B.V.,Netherlands,Netherlands,1,Financing ,,,
,South32 Finance 2 B.V.,Netherlands,Netherlands,1,Financing ,,,
,South32 Finance South Africa Limited,"Virgin Islands, British",United Kingdom,1,Dormant,,,
,South32 Freight Australia Pty Ltd,Australia,Australia,1,Distribution,,,
,South32 Gas S.A.S. E.S.P.,Colombia,Colombia,1,Exploration,,,
,South32 Group (BVI) Limited,"Virgin Islands, British",Australia,1,Holding Company,,,
,South32 Group Operations Pty Ltd,Australia,Australia,1,"Administrative, Management and Support Services",,,
,South32 Hermosa Inc.,United States,United States,1,Exploration,,,
,South32 Holding 1 SpA,Chile,Chile,1,Holding Company,,,
,South32 Holding 2 SpA,Chile,Chile,1,Holding Company,,,
,South32 International Investment Holdings Proprietary Limited,Australia,Australia,1,Holding Company,,,
,South32 International Investment Proprietary Limited,Australia,Australia,1,Holding Company,,,
,South32 Investment 1 B.V.,Netherlands,Netherlands,1,Holding Company,,,
,South32 Jersey Limited,Jersey,Australia,1,Holding Company,,,
,South32 Limited,Australia,Australia,1,Ultimate Holding Company,,,
,South32 Marketing Pte. Ltd.,Singapore,Singapore,1,"Sales, Marketing and Distribution",,,
,South32 Minerals SA,Brazil,Brazil,1,Alumina Refining and Aluminium Smelting,,,
,South32 North America Projects ULC,Canada,Canada,1,Dormant,,,
,South32 Properties (Pty) Ltd,South Africa,South Africa,1,Dormant,,,
,South32 Royalty Investments Pty Ltd,Australia,Australia,1,Owns Mining Royalties,,,
,South32 SA Finance (Pty) Ltd,South Africa,South Africa,1,Financing ,,,
,South32 SA Holdings Ltd,South Africa,South Africa,1,Holding Company,,,
,South32 SA Investments Limited,United Kingdom,United Kingdom,1,Holding Company and Service Provider,,,
,South32 SA Ltd,South Africa,South Africa,1,"Administrative, Management and Support Services",,,
,South32 SA Manganese Holdings (Pty) Ltd,South Africa,South Africa,1,Holding Company,,,
,South32 Sierra Gorda SpA,Chile,Chile,1,Holding Company,,,
,South32 Sweden Exploration AB,Sweden,Sweden,1,In Liquidation,,,
,South32 Treasury (USA) Limited,Australia,Australia,1,Financing ,,,
,South32 Treasury Limited,Australia,Australia,1,Financing ,,,
,South32 USA Exploration Inc.,United States,United States,1,Exploration,,,
,South32 Worsley Alumina Pty Ltd,Australia,Australia,0.86,Mining Management Services,,,
,Southern Abatis Pte Ltd,Singapore,Australia,1,Insurance,,,
,Taragon Valley Pty Ltd,Australia,Australia,1,Exploration,,,
,,,,,,,,
,,,,,,,,
,Equity accounted investments incorporation and tax residency by country,,,,,,,
,,,,,,,,
,Company name,Country of incorporation,Country of tax residency,Ownership %,Principal activities,,,
,Groote Eylandt Mining Company Proprietary Limited,Australia,Australia,0.6,Manganese Ore Mine,,,
,Hotazel Manganese Mines (Proprietary) Limited,South Africa,South Africa,0.546,Manganese Ore Mine,,,
,Metalloys Manganese Smelter (Pty) Ltd.,South Africa,South Africa,0.6,Dormant,,,
,Mineração Rio do Norte S.A,Brazil,Brazil,0.33,Bauxite mine,,,
,Port Kembla Coal Terminal Limited,Australia,Australia,0.167,Export Handling,,,
,Samancor Gabon SA,Gabon,Gabon,0.6,In Liquidation,,,
,Samancor Holdings (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
,Samancor Manganese (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
,Samancor Marketing Pte. Ltd.,Singapore,Singapore,0.6,"Sales, Marketing and Distribution",,,
,Sierra Gorda Sociedad Contractual Minera,Chile,Chile,0.45,Copper Mine,,,
,Terra Nominees (Proprietary) Limited,South Africa,South Africa,0.6,Holding Company,,,
