Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
54,,Parts and consumables at site (including Personal Protective Equipment),80,0.7,,,
55,,Raw Materials and bulk consumables (including refractory materials),74,22.7,,,
56,,Services,,,,,
57,,Construction services,275,6,,,
58,,Facilities management services (including cleaning),79,0.3,,,
59,,Logistics,113,4.2,,,
60,,Shipping and freight services,77,11.5,,,
61,,Percentage of South32 Total,,56.4,,,
62,,The sum of the categories may vary to the total figure due to rounding.,,,,,
63,,(1) High risk categories determined based on third party risk profiling as well as desktop assessments.,,,,,
65,,Maritime activities and due diligence,,,,,
67,,Number,FY23,FY22,,,
68,,Number of vessels chartered,361,369,,,
69,,Number of voyages completed(1),545,548,,,
70,,Number of vessels vetted,297,274,,,
71,,Number of inspections of vessels conducted,20,15,,,
72,,Number of modern slavery audits conducted on vessels,3,1,,,
73,,Any vessels restricted from doing business with South32 due to failing vetting or inspection(2),2,2,,,
75,,"(1) Includes Cost, Insurance, and Freight (CIF) and Free on Board (FOB) voyages. In FY23, 361 voyages were CIF (369 in FY22), and 184 voyages were FOB (179 in FY22).\n(2) In FY23, labour and performance issues have been identified at 2 vessel owners, this has remained the same since FY22.",,,,,
