Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,"(1) This figure is calculated as total land rehabilitated divided by sum of total land disturbed and total land rehabilitated. Noting that the total rehabilitated land was deemed as disturbed land prior to rehabilitation, this calculation method is used to reflect the proportion of all disturbed land that has been rehabilitated to date. Total land that has been disturbed by South32 to date is 18,017 hectares, of which 5,911 hectares have been rehabilitated. 
(2) FY23 total land set aside for conservation includes forest ecosystem restoration and agroforestry at Cerro Matoso, stewardship (offset) sites at Illawarra Metallurgical Coal, and areas of significant conservation value, ecological restoration and habitat protection at Worsley Alumina. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Biodiversity management,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Biodiversity management plans implemented, where required",FY23,FY22,FY21,FY20,FY19,,,,,,,,
,Percentage of required operations with biodiversity management plans implemented(1),100,100,100,100,100,,,,,,,,
,,,,,,,,,,,,,,
,"(1) All required operations have a biodiversity management plan in place. All of our 'operated operations' require biodiversity management plans, excluding Mozal Aluminium. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Red list species and national conservation list species by country presence,"Critically 
endangered",Endangered,Vulnerable,"Near
threatened",Least concern,,,,,,,,
,Australia(1),7,14,19,11,100,,,,,,,,
,Colombia,5,6,9,13,1177,,,,,,,,
,South Africa,4,9,17,21,554,,,,,,,,
,,,,,,,,,,,,,,
,(1) Threatened species are categorised in accordance with the International Union for Conservation of Nature (IUCN) Red List and national conservation lists in the countries in which we operate.,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Designated protected areas and high conservation value areas,Type of Operation(1),Habitat type,Area classification(2),Area name,,,Proximity(3),Basis of recognition,Designation type,IUCN category(4),Size of operational site (ha)(5),Size of common land on or overlapping DPA or HCVA (ha),
,Australia,,,,,,,,,,,,,
,Cannington,Extractive,Maritime,DPA,Great Barrier Reef,,,Adjacent to,Inscribed,International,IV,121672,-,
,,,Maritime,DPA,Great Barrier Reef Marine Park,,,In the area,Designated,National,Ia,,-,
,,,Maritime,DPA,Great Barrier Reef Coast,,,In the area,Designated,National,VI,,-,
,,,Terrestrial,DPA,Biodiversity Offset Area on Trepell Special Lease,,,In the area,Biodiversity Agreement,Not Applicable,Not Applicable,,137,
,GEMCO,Extractive,Terrestrial,DPA,Anindilyakwa Indigenous Protected Area,,,In the area,Terrestrial and Inland Waters Protected Areas,National,V,13200,39111,
,Illawarra Metallurgical Coal,Extractive,Terrestrial,DPA,Shale Sandstone Transition Forest Offset/APN W,,,Contains portions of,Biodiversity Stewardship Agreement,National,IV,48418,83.6,
,,,Terrestrial,DPA,Cumberland Plain Woodland Offset/VS6 Offset,,,Contains portions of,Designated Environmental Offset,National,IV,,8.9,
,,,Terrestrial,DPA,Dharawal National Park,,,Adjacent to,National Park,National,II,,-,
,,,Terrestrial,DPA,Illawarra Escarpment State Conservation Area,,,Adjacent to,State Conservation Area,National,VI,,-,
,,,Terrestrial,DPA,WaterNSW Special Area,,,In the area,Special Area - Drinking Water Catchment,National,VI,,1001,
,,,Terrestrial,DPA,Nepean River Biodiversity Stewardship Site,,,Contains portions of,Biodiversity Stewardship Agreement,National,IV,,67.41,
,,,Terrestrial,DPA,Persoonia hirsuta Offset,,,Contains portions of,Designated Environmental Offset,National,IV,,18.4,
,,,Terrestrial,DPA,Cataract River Biodiversity Stewardship Site,,,Contains portions of,Biodiversity Stewardship Agreement,National,IV,,8.53,
,Worsley Alumina,"Extractive/
Manufacturing",Terrestrial,HCVA,Tunnel Road Heath area and heath vegetation types,,,In the area,Recognised internally and by the government agency,Not Applicable,Not Applicable,386120,245,
,,,Terrestrial,HCVA,Wandoo Woodland,,,In the area,Recognised internally and by the government agency,Not Applicable,Not Applicable,,337,
,,,Terrestrial,HCVA,Old Growth Forest,,,In the area,Recognised internally and by the government agency,Not Applicable,Not Applicable,,62,
,,,Terrestrial,HCVA,Unique Flora Habitats,,,In the area,Recognised internally and by the government agency,Not Applicable,Not Applicable,,119,
,Colombia,,,,,,,,,,,,,
,Cerro Matoso,"Extractive/
Manufacturing",Terrestrial,DPA,Parque Natural Nacional Paramillo,,,Adjacent to,Designated,National,II,4140,-,
,,,Terrestrial,DPA,Reserva Natural de la Sociedad Civil Santa Fe,,,Adjacent to,Designated,National,VI,,-,
,,,Terrestrial,DPA,Reserva Natural de la Sociedad Civil Santa Isabel,,,Adjacent to,Designated,National,VI,,-,
,,,Terrestrial,DPA,Reserva Forestal Protectora Regional Serranìa del Pinche,,,In the area,Designated,National,VI,,334,
,,,Terrestrial,DPA,Parque Nacional Natural Munchique,,,Adjacent to,Designated,National,II,,-,
,,,Freshwater,DPA,Del Complejo de Humedadeles de Ayapel,,,Adjacent to,Designated,National,VI,,-,
,,,,,,,,,,,,,,
,"(1) Extractive is defined as mining, exploration, and closure activities relating to mining, including transportation. 
      Manufacturing / production includes pastoral activities, refineries and other locations where products are made. Some operated assets may include both. 
(2) Designated Protected Area (DPA) or High Conservation Value Area (HCVA).
(3) In the Area = The entire operated asset occurs within the DPA / HCVA boundary or the entire DPA / HCVA site occurs within the boundary of the operated asset. 
      Adjacent to = The operated asset occurs within 500 metres of the boundary. 
      Contains portions of = The operated asset contains some but not all of the DPA / HCVA site or the DPA / HCVA site contains some but not all of the operated asset.
(4) IUCN categories include: Ia = strict nature reserve; Ib = wilderness area; II = national park; III = natural monument or feature; IV = habitat or species management area; V = protected landscape or seascape; VI = protected area with sustainable use of natural resources. 
(5) Size of the operational site reflects the total landholdings for the operation. ",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Environmental incidents,,,,,,,,,,,,,
,,FY23,FY22,FY21,FY20,FY19,,,,,,,,
,Significant environmental incidents,-,-,-,-,1(1),,,,,,,,
,,,,,,,,,,,,,,
,"(1) In FY19, we had one significant environment event which occurred at Worsley Alumina. The event related to detection of dieback infestation (an infection which impacts native trees in Western Australia) in an area of site that contains a number of threatened species. ",,,,,,,,,,,,,
