Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Business Council of Australia (BCA),Australia,The BCA's advocacy and policy includes positions that clearly support the Paris Agreement objectives. The BCA is supportive of market mechanisms and has issued statements supporting international cooperation and collaboration.,"Policy positions and advocacy are, on balance, aligned."
,Business Leadership South Africa (BLSA),South Africa,"The BLSA expresses commitment to reducing emissions, has favourable views towards the Paris Agreement, and supports carbon pricing and subsidies as appropriate. The BLSA advocates for collaboration between business and government to overcome blockages to private sector investment in energy transition.","Policy positions and advocacy are, on balance, aligned."
,Carbon Market Institute (CMI),Australia,"The CMI supports the Paris Agreement and the goal of reaching net zero emissions. It advocates for strengthening emission reduction targets, engaging in international cooperation and carbon market development, decarbonisation technology support, and ensuring governance and integrity in carbon crediting. ","Policy positions and advocacy are, on balance, aligned."
,Chamber of Minerals and Energy (CME),"Western Australia, Australia",The CME supports the Paris Agreement and Australia's commitment to net zero emissions by 2050. The CME supports market mechanisms and encourages low and stable costs for energy infrastructure. They also support access to technology that balances affordability and reliability for emission reductions.,"Policy positions and advocacy are, on balance, aligned."
,"Asociación Colombiana de Minería (ACM) 
(Colombian Mining Association)",Colombia,The ACM supports a clear roadmap to face climate change. They support and promote standards within the industry.,"Policy positions and advocacy are, on balance, aligned."
,Industrial Gas Users Association (IGUA),South Africa,"The IGUA advocates the role of natural gas in South Africa's energy mix and emphasises active involvement and collaboration with stakeholders in the gas energy industry. There is no evidence of direct advocacy on the Paris Agreement, market mechanisms, or technology.",IGUA are silent or have few positions on climate change policy. South32 will engage with IGUA to mitigate potential misalignment.
,International Council on Mining and Metals (ICMM),Global,The ICMM has a clear commitment to a net zero target by 2050 in line with the Paris Agreement. Members commit to continuously improve transparency through initiatives such as reporting under the Task Force on Climate-related Financial Disclosures (TCFD) framework. They support technology-neutral and technology banded policies and investments in technology to help reduce emissions.,"Policy positions and advocacy are, on balance, aligned."
,International Aluminium Institute (IAI),Global,The IAI has a clear commitment to a net zero target by 2050. The association supports both market and non-market mechanisms and supports investments in technology and technology-neutral policies. The IAI is partnering with various organisations to accelerate the transformation to a net zero carbon future.,"Policy positions and advocacy are, on balance, aligned."
,Low Emissions Technology Australia (LETA),Australia,"LETA supports the Paris Agreement and emission reduction and aims to rapidly cut carbon emissions. They support energy affordability and reliability, as well as the development of renewable technology and reducing carbon emissions. LETA also supports the use of low emission technologies as part of Australia's energy mix.","Policy positions and advocacy are, on balance, aligned."
,Minerals Council Australia (MCA),Australia,"The MCA: 
- takes a holistic approach to climate and energy policy, focusing on energy 
  affordability, reliability, and the development of renewable technology;
- is committed to the Paris Agreement and the net zero emissions goal, supporting 
  a least-cost pathway;
- advocates for consistent policy settings that deliver reliable and affordable energy;
- supports companies that adopt and invest in new low-emission technology and 
  subsidies/investment in low-cost clean technology; and
- supports developing technology, increased transparency, partnerships, and 
  innovation in addressing climate change.","Policy positions and advocacy are, on balance, aligned."
,Minerals Council South Africa (Minerals Council),South Africa,"The Minerals Council:
- supports the use of clean coal or low emission coal technology for energy security 
  while transitioning to renewables;
- is committed to the Paris Agreement and the goal of net zero emissions by 2050;
- emphasises the need for a responsible just energy transition and climate resilient 
  development; and
- emphasises collaboration with government entities, businesses, and other 
  stakeholders as key to reducing emissions and achieving a just energy transition.","Policy positions and advocacy are, on balance, aligned."
,Minerals Exploration CRC (ME CRC),Australia,The ME CRC is a research centre focused on mineral discovery and exploration. Their research aims to develop environmentally friendly drilling methods and technologies. The ME CRC is aligned with the goals of the Paris Agreement indirectly through their research efforts. They also contribute to sustainable resource development by investing in projects that reduce emissions and improve minerals exploration.,"Policy positions and advocacy are, on balance, aligned."
,National Business Initiative (NBI),South Africa,The NBI supports the Paris Agreement and advocates for a just transition in South Africa towards a low-carbon economy. The NBI allows flexibility for its members to choose between market or non-market mechanisms for reducing emissions. It encourages companies to engage with carbon pricing and invest in decarbonisation portfolios. ,"Policy positions and advocacy are, on balance, aligned."
,New South Wales Minerals Council (NSWMC),"NSW, Australia","The NSWMC's Energy, Climate Change and Emissions Policy publicly supports Australia's commitment to net zero. The NSWMC frequently engages on coal-related issues, but activity is primarily focused on advocating for the effectiveness of coal price caps and power prices. There is no explicit advocacy either for or against coal expansion. ","Policy positions and advocacy are, on balance, aligned."
,Queensland Resources Council (QRC),"Queensland, Australia","The QRC:
- recognises that climate change is a critical global challenge and supports the 
  Paris Agreement objectives;
- supports market-based, technology neutral policies to meet emissions reduction 
  goals; and
- actively advocates policy settings that supports thermal coal production in 
  Queensland, but comparatively less on associated technology development. The 
  QRC's advocacy in FY23 was focused on the Queensland State Government's 
  introduction of coal royalty increases in the absence of industry consultation.","Policy positions are broadly aligned, but advocacy on thermal coal support requires ongoing monitoring and discussion."
,South African National Energy Association (SANEA),South Africa,"The SANEA:
- is committed to supporting the transformation of the energy sector in South Africa 
  to a lower carbon trajectory and achieving the goals of the Paris Agreement;
- supports market and non-market mechanisms and actively supports the 
  development and implementation of energy policies; and
- collaborates with other energy-related sectors and advocates for a collaborative 
  and integrated approach towards a just energy transition.","Policy positions and advocacy are, on balance, aligned."
,United Nations Global Compact (UNGC),Global,The UNGC is committed to the Paris Agreement and the goal of achieving net zero emissions. The UNGC supports subsidies to accelerate technology deployment but does not advocate for a specific approach. They are a global association that collaborates at various levels and has local networks to advance responsible business practices in different countries.,"Policy positions and advocacy are, on balance, aligned."
