Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
20,,AsociaciÃÂ³n Colombiana de MinerÃÂ­a (ACM) \n(Colombian Mining Association),Colombia,The ACM supports a clear roadmap to face climate change. They support and promote standards within the industry.,"Policy positions and advocacy are, on balance, aligned."
21,,Industrial Gas Users Association (IGUA),South Africa,"The IGUA advocates the role of natural gas in South Africa's energy mix and emphasises active involvement and collaboration with stakeholders in the gas energy industry. There is no evidence of direct advocacy on the Paris Agreement, market mechanisms, or technology.",IGUA are silent or have few positions on climate change policy. South32 will engage with IGUA to mitigate potential misalignment.
22,,International Council on Mining and Metals (ICMM),Global,The ICMM has a clear commitment to a net zero target by 2050 in line with the Paris Agreement. Members commit to continuously improve transparency through initiatives such as reporting under the Task Force on Climate-related Financial Disclosures (TCFD) framework. They support technology-neutral and technology banded policies and investments in technology to help reduce emissions.,"Policy positions and advocacy are, on balance, aligned."
23,,International Aluminium Institute (IAI),Global,The IAI has a clear commitment to a net zero target by 2050. The association supports both market and non-market mechanisms and supports investments in technology and technology-neutral policies. The IAI is partnering with various organisations to accelerate the transformation to a net zero carbon future.,"Policy positions and advocacy are, on balance, aligned."
24,,Low Emissions Technology Australia (LETA),Australia,"LETA supports the Paris Agreement and emission reduction and aims to rapidly cut carbon emissions. They support energy affordability and reliability, as well as the development of renewable technology and reducing carbon emissions. LETA also supports the use of low emission technologies as part of Australia's energy mix.","Policy positions and advocacy are, on balance, aligned."
25,,Minerals Council Australia (MCA),Australia,"The MCA: \n- takes a holistic approach to climate and energy policy, focusing on energy \n affordability, reliability, and the development of renewable technology;\n- is committed to the Paris Agreement and the net zero emissions goal, supporting \n a least-cost pathway;\n- advocates for consistent policy settings that deliver reliable and affordable energy;\n- supports companies that adopt and invest in new low-emission technology and \n subsidies/investment in low-cost clean technology; and\n- supports developing technology, increased transparency, partnerships, and \n innovation in addressing climate change.","Policy positions and advocacy are, on balance, aligned."
26,,Minerals Council South Africa (Minerals Council),South Africa,"The Minerals Council:\n- supports the use of clean coal or low emission coal technology for energy security \n while transitioning to renewables;\n- is committed to the Paris Agreement and the goal of net zero emissions by 2050;\n- emphasises the need for a responsible just energy transition and climate resilient \n development; and\n- emphasises collaboration with government entities, businesses, and other \n stakeholders as key to reducing emissions and achieving a just energy transition.","Policy positions and advocacy are, on balance, aligned."
27,,Minerals Exploration CRC (ME CRC),Australia,The ME CRC is a research centre focused on mineral discovery and exploration. Their research aims to develop environmentally friendly drilling methods and technologies. The ME CRC is aligned with the goals of the Paris Agreement indirectly through their research efforts. They also contribute to sustainable resource development by investing in projects that reduce emissions and improve minerals exploration.,"Policy positions and advocacy are, on balance, aligned."
28,,National Business Initiative (NBI),South Africa,The NBI supports the Paris Agreement and advocates for a just transition in South Africa towards a low-carbon economy. The NBI allows flexibility for its members to choose between market or non-market mechanisms for reducing emissions. It encourages companies to engage with carbon pricing and invest in decarbonisation portfolios.,"Policy positions and advocacy are, on balance, aligned."
29,,New South Wales Minerals Council (NSWMC),"NSW, Australia","The NSWMC's Energy, Climate Change and Emissions Policy publicly supports Australia's commitment to net zero. The NSWMC frequently engages on coal-related issues, but activity is primarily focused on advocating for the effectiveness of coal price caps and power prices. There is no explicit advocacy either for or against coal expansion.","Policy positions and advocacy are, on balance, aligned."
30,,Queensland Resources Council (QRC),"Queensland, Australia","The QRC:\n- recognises that climate change is a critical global challenge and supports the \n Paris Agreement objectives;\n- supports market-based, technology neutral policies to meet emissions reduction \n goals; and\n- actively advocates policy settings that supports thermal coal production in \n Queensland, but comparatively less on associated technology development. The \n QRC's advocacy in FY23 was focused on the Queensland State Government's \n introduction of coal royalty increases in the absence of industry consultation.","Policy positions are broadly aligned, but advocacy on thermal coal support requires ongoing monitoring and discussion."
31,,South African National Energy Association (SANEA),South Africa,The SANEA:\n- is committed to supporting the transformation of the energy sector in South Africa \n to a lower carbon trajectory and achieving the goals of the Paris Agreement;\n- supports market and non-market mechanisms and actively supports the \n development and implementation of energy policies; and\n- collaborates with other energy-related sectors and advocates for a collaborative \n and integrated approach towards a just energy transition.,"Policy positions and advocacy are, on balance, aligned."
32,,United Nations Global Compact (UNGC),Global,The UNGC is committed to the Paris Agreement and the goal of achieving net zero emissions. The UNGC supports subsidies to accelerate technology deployment but does not advocate for a specific approach. They are a global association that collaborates at various levels and has local networks to advance responsible business practices in different countries.,"Policy positions and advocacy are, on balance, aligned."
