Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Retention rate,0.94,0.83,0.98,0.84,0.88,0.82,0.74,0.83,0.71,0.867,,,,,,,,,,,,,,,,,,,,,
,"Notes:
Retention rate is calculated based on total employees who returned from parental leave and were still employed for the following 12 months.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 27 Employee internal promotions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,
,,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,,,,,,,,,,,,,,,,,,,,,
,CEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Executive Management (exc. CEO),,,1,0,1,1,,,1,0,,,,,,,,,,,,,,,,,,,,,
,Senior management / Specialist Leader,,,1,1,2,3,6,4,2,2,,,,,,,,,,,,,,,,,,,,,
,Middle Management / Specialist Partner,1,2,12,4,7,14,52,23,69,42,,,,,,,,,,,,,,,,,,,,,
,Manager / Specialist,3,6,13,7,31,24,73,23,56,52,,,,,,,,,,,,,,,,,,,,,
,Team leader / Advisor,5,5,8,11,18,14,28,31,28,30,,,,,,,,,,,,,,,,,,,,,
,Entry Level / support,1,2,2,2,4,3,4,9,10,9,,,,,,,,,,,,,,,,,,,,,
,"Notes: 
Promotion is defined as anyone who has had an increase in compensation grade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 28 Average hours of training by employee category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,,,,,,,,,,,,,,,,
,,Male,Female,Average,Male,Female,Average,Male,Female,Average,Male,Female,Average,Male,Female,Average,,,,,,,,,,,,,,,,
,CEO,43,,43,26,0,26,18,0,18,72,0,72,1.583333,0,1.583333,,,,,,,,,,,,,,,,
,Executive Management (exc. CEO),40,43,41,23,22,23,20,20,20,73,66,69,1.383333,1.3166664000000001,1.3499997000000001,,,,,,,,,,,,,,,,
,Senior management / Specialist Leader,34,29,32,10,11,10,17,15,16,53,83,68,5.268363888888889,6.560732900000002,5.818308148936172,,,,,,,,,,,,,,,,
,Middle Management / Specialist Partner,6,11,8,6,9,7,7,9,8,27,14,20,12.17444845038169,10.960403420382162,11.719543749403346,,,,,,,,,,,,,,,,
,Manager / Specialist,7,8,7,5,6,5,4,6,5,9,9,9,5.2609268605263075,6.791996046692623,5.878642372056516,,,,,,,,,,,,,,,,
,Team leader / Advisor,7,9,8,6,5,6,4,4,4,9,9,9,6,6.189925187500018,5.6022610805970325,,,,,,,,,,,,,,,,
,Entry Level / support,7,6,6,7,7,7,3,4,4,8,10,9,4.982306374429238,4.925511122270756,4.942243080178188,,,,,,,,,,,,,,,,
,"Notes:
All training hours exclude any independent/individual/MSA contractors and casuals as not all are required to complete training.
Training data only includes mandatory compliance learning, centrally delivered leadership programs and LinkedIn learning data. It does not include any learning that is undertaking at the individual, team, or business unit levels.
Significant decrease between FY22 and FY23 training hours can be attributed to some courses only running bi-annually and the senior leadership program not being run in FY23.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 29 Ratio of the basic salary of women to men for each employee category, by significant locations of operation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, BASIC SALARY,FY19,,,,,FY20,,,,,FY21,,,,,FY22,,,,,FY23,,,,,,,,,,
,,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,,,,,,
,CEO,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,,,,,,
,Executive Management (exc. CEO),44:56,45:55,100:0,100:0,,43:57,45:55,100:0,100:0,,57:43,42:58,100:0,100:0,0:0,57:43,45:55,100:0,100:0,0:0,55:45,45:55,100:0,52:48,0:0,,,,,,
,Senior management / Specialist Leader,47:53,46:54,0:100, 42:58,,47:53,40:60,0:100,41:59,,49:51,44:56,46:54,43:57,0:100,49:51,51:49,46:54,51:49,0:100,50:50,50:50,49:51,49:51,0:100,,,,,,
,Middle Management / Specialist Partner, 49:51, 45:55, 48:52, 51:49,,49:51,49:51,47:53,48:52,,50:50,49:51,49:51,48:52,41:59,51:49,49:51,50:50,49:51,46:54,52:48,50:50,49:51,49:51,46:54,,,,,,
,Manager / Specialist, 49:51, 48:52, 46:54, 48:52,,48:52,47:53,47:53,48:52,,50:50,49:51,49:51,47:53,41:59,49:51,50:50,50:50,48:52,42:58,50:50,50:50,50:50,48:52,46:54,,,,,,
,Team leader / Advisor, 49:51, 45:55 , 47:53, 46:54,,48:52,46:54,48:52,47:53,,49:51,47:53,48:52,46:54,46:54,49:51,48:52,49:51,48:52,46:54,49:51,47:53,49:51,50:50,46:54,,,,,,
,Entry Level / support, 47:53, 40:60, 43:57, 52:48,,48:52,42:58,44:56,51:49,,49:51,44:56,44:56,53:47,100:0,50:50,44:56,45:55,53:47,100:0,50:50,45:55,44:56,49:51,100:0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 30 Ratio of the remuneration of women to men for each employee category, by significant locations of operation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, REMUNERATION,FY19,,,,,FY20,,,,,FY21,,,,,FY22,,,,,FY23,,,,,,,,,,
,,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,VIC,NSW,QLD,US,CAN,,,,,,
,CEO,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,0:100,0:0,0:0,0:0,0:0,,,,,,
,Executive Management (exc. CEO),44:56,46:54,100:0,100:0,,43:57,45:55,100:0,100:0,,57:43,43:57,100:0,100:0,0:0,56:44,46:54,100:0,100:0,0:0,55:45,46:54,100:0,62:38,0:0,,,,,,
,Senior management / Specialist Leader,46:54,46:54,0:100, 42:58,,46:54,36:64,0:100,43:57,,48:52,43:57,48:52,46:54,0:100,47:53,53:47,45:55,51:49,0:100,50:50,51:49,48:52,49:51,0:100,,,,,,
,Middle Management / Specialist Partner,49:51,44:56, 47:53, 53::47,,49:51,48:52,46:54,48:52,,49:51,49:51,48:52,48:52,40:60,51:49,48:52,50:50,49:51,45:55,51:49,50:50,49:51,49:51,45:55,,,,,,
,Manager / Specialist,49:51,48:52, 46:54, 48:52,,48:52,47:53,47:53,48:52,,50:50,49:51,49:51,47:53,41:59,49:51,50:50,50:50,48:52,43:57,50:50,50:50,50:50,48:52,46:54,,,,,,
,Team leader / Advisor,49:51,45:55, 46:54, 46:54,,47:53,45:55,47:53,47:53,,49:51,47:53,48:52,46:54,46:54,49:51,47:53,49:51,48:52,46:54,49:51,47:53,49:51,50:50,46:54,,,,,,
,Entry Level / support,47:53,40:60,42:58, 53:47,,47:53,42:58,42:58,52:48,,48:52,44:56,44:56,54:46,100:0,50:50,44:56,44:56,53:47,100:0,50:50,45:55,44:56,49:51,100:0,,,,,,
,"Notes:
Totals in tables 14 and 15 excludes supervised workers.
FY21 and FY22 metrics has been restated using full-time equivalent salary.
Exchange Rates used for basic salary and remuneration comparisons across USA, Canada and Australia:
·        FY20: Where dollar figures are supplied, USD has been converted to AUD using the exchange rate at 30 June 2020 (1 USD: 1.457 AUD).
·        FY21: Where dollar figures are supplied, USD and CAD have been converted to AUD using the exchange rate at 30 June 2021 (1 USD: 1.33 AUD) (1 CAD: 1.07 AUD).
·        FY22: Where dollar figures are supplied, USD and CAD have been converted to AUD using the exchange rate at 30 June 2022 (1 USD: 1.45 AUD) (1 CAD: 1.13 AUD) .
·        FY23: Where dollar figures are supplied, USD and CAD have been converted to AUD using the exchange rate at 30 June 2023 (1 USD: 1.51 AUD) (1 CAD: 1.14 AUD) .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 31 Percentage of employees covered by collective bargaining agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,
,Percentage of employees covered by collective bargaining agreements,0.0928,0.073,0.0712,0.0574,0.0528,,,,,,,,,,,,,,,,,,,,,,,,,,
