Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,2-21 Annual total compensation ratio,"Ratio annual total compensation CEO to median for all employees (excluding CEO): 48
Ratio of the percentage increase in annual total compensation CEO to median percentage decrease for all employees: 8%. ",,,
,,,2-22 Statement on sustainable development strategy,"FY23 Corporate Report/Letter from the Chair and CEO
FY23 Corporate Report/About this report",,,
,,,2-23 Policy commitments,"Our policy commitments for responsible business conduct are outlined as part of our Corporate Governance Statement, which outlines relevant governance documents including Code of Conduct, Dealing in Securities Policy, Diversity and Inclusion Policy, Conflicts Management Policy, Anti Bribery, Corruption and Fraud Policy, Health, Safety and Environment Policy, Human Rights Policy, Political Contributions Policy, Security Holder Communication Policy, Supplier Sustainability Code of Practice, Sustainability Policy and Whistleblower Policy. 

Transurban undertakes ongoing processes of due diligence across aspects of responsible business conduct (through our ERM framework) including our express commitment to human rights due diligence to identify, prevent, mitigate and account for our human rights impacts in our operations and supply chain and through other business relationships.
The precautionary principle is followed by our Enterprise Risk Management framework. 
Human Rights are covered specifically under a Human Rights Policy. This policy is available publicly on our website and identifies our salient human rights issues including bullying, harassment and abusive behaviour, development activities and land acquisition, discrimination, diversity and inclusion, equal remuneration, families, health and safety, Indigenous peoples and reconciliation, Modern slavery, forced and bonded labour, Privacy, Vulnerable customers, and Working conditions and freedom of association. This policy is relevant across all of our stakeholders, and we give particular attention to vulnerable customers, Indigenous communities and our supply chain.  

All policies can be accessed here: https://www.transurban.com/corporate-governance.
Policies are approved by the responsible bodies, including the board or delegated executives. The applicability of policies including employees, suppliers or business partners are outlined within each policy.",,,
,,,2-24 Embedding policy commitments,"Transurban implements and embeds its policy commitments throughout its organisation and business relationships through:
•	training staff through mandatory and voluntary requirements
•	awareness raising internally through intranet, internal communications, new policies, updated policies and regular awareness on employee expectations
•	management responsibility including Key Performance Indicators, including executives (as outlined in the FY23 Corporate Report/Remuneration Report and Corporate Governance Statement)
•	internal audit assessing the actions of our business against policy commitments.
•	supplier due diligence and ongoing evaluations
•	mechanisms for employees, suppliers, customers and community members to raise concerns, including anonymously.
Implementation of policies are outlined within each policy document.",,,
,,,2-25 Processes to remediate negative impacts,"FY23 Corporate Governance Statement
Whistleblower Policy and Whistleblower Service",,,
,,,2-26 Mechanisms for seeking advice and raising concerns,"FY23 Corporate Governance Statement
Whistleblower Policy",,,
,,,2-27 Compliance with laws and regulations,"No significant instances of non-compliance with laws or regulations, fines or non-monetary sanctions in FY23.",,,
,,,2-28 Membership associations,"Key Australian memberships include:
• Business Council of Australia
• Infrastructure Partnerships Australia
• Roads Australia
• Intelligent Transport Systems Australia
• Electric Vehicle Council
• Committee for Melbourne
• Committee for Sydney
• Committee for Brisbane
• Thriving Communities Partnership
• Victorian Trucking Association
• Queensland Trucking Association 
• Victorian Chamber of Commerce",,,
,,,,"Key North American memberships include:
• American Highway Users Alliance
• Association for the Improvement of American Infrastructure
• American Road & Transportation Builders Association
• Eno Center for Transportation
• Greater Washington Partnership 
• International Bridge, Tunnel & Turnpike Association
• Mileage-Based Users Fee Alliance
• The Climate Board
• Transportation Research Board
• US Chamber of Commerce
• Young Professionals in Infrastructure
• Northern Virginia Chamber of Commerce
• Prince William Chamber of Commerce
• Northern Virginia Transportation Alliance
• Virginia Chamber of Commerce
• Alexandria Chamber of Commerce 
• Arlington Chamber of Commerce
• Chambre de commerce et d’industrie Les Moulins 
• Chambre de Commerce de l’Est de Montréal                
• The Canadian Council for Public-Private Partnerships
",,,
,,,2-29 Approach to stakeholder engagement,FY23 Corporate Report/Business Strategy/Working with our stakeholders,,,
,,,2-30 Collective bargaining agreements,People tabs in this FY23 Sustainability data pack,,,
,"GRI 3: Material Topics 2021
",,3-1 Process to determine material topics,FY23 Corporate Report/About this report,,,
,,,3-2 List of material topics,FY23 Corporate Report/About this report,,,
,,,3-3 Management of material topics,FY23 Corporate Report/About this report,,,
,GRI 201: Economic Performance 2016,,201-1 Direct economic value generated and distributed,"FY23 Results Presentation
FY23 Corporate Report/Financial Statements",,,
,,,201-2 Financial implications and other risks and opportunities due to climate change,FY23 Corporate Report/Climate change disclosure,,,
,,,201-3 Defined benefit plan obligations and other retirement plans,See People tab in this FY23 Sustainability Data Pack,,,
,,,201-4 Financial assistance received from government,"No financial assistance is sought or received from government.
Transurban builds and manages infrastructure in many cases with upfront
government co-investment, but this is a business relationship and is reflected
in the contractual terms of the tolling concession granted to Transurban.",,,
,GRI 202: Market Presence 2016,,202-1 Ratios of standard entry level wage by gender compared to local minimum wage,We do not have a significant portion of employees subject to minimum wage rules. ,,,
,,,"202-2 Proportion of senior management hired from
the local community","FY23 Corporate Report/Executive Committee biographies
Transurban’s business operates across several major urban centres, and our
Executive Committee are all from and based in those regions.",,,
,GRI 203: Indirect Economic Impacts 2016,,203-1 Infrastructure investments and services supported,"FY23 Corporate Report/About Transurban
FY23 Corporate Report/Our Roads and Projects",,,
,,,203-2 Significant indirect economic impacts,"FY23 Corporate Report/Government and Industry
FY23 Corporate Report/Business partners and suppliers
FY23 Corporate Report/Customers",,,
,GRI 204: Procurement Practices 2016,,204-1 Proportion of spending on local suppliers,"Transurban operates in urban centres of Australia (Melbourne, Sydney,
Brisbane), the United States (Virginia) and Canada (Montreal). The vast
majority of Transurban’s supply chain spend is on suppliers and activities that
are physically, locally based around our roads, projects, and offices in each
respective city. Some spending relates to group-wide services or technology
services that are shared across regions.",,,
,GRI 205: Anti-corruption 2016,,205-1 Operations assessed for risks related to corruption,"Transurban has an organisational wide enterprise risk management approach spanning all projects, operations. This approach is linked with our contract management framework and supported by a mandatory Ethical Business Practices Training course.

As a result, fraud, corruption, bribery risks are considered across the full enterprise, operations and our business activities. As a result of these reviews no current significant exposure to these types of risks has been identified.",,,
,,,205-2 Communication and training about anti-corruption policies and procedures,"Training on anti-corruption policies and procedures are undertaken annually
across the organisation. It is pushed out to all employees in Australia, North America and Canada. 99% of employees completed the training FY23. Employee opinions about the effectiveness of controls are assessed via the ‘Our Voice’ survey. Training is supported by internal communication.",,,
,,,205-3 Confirmed incidents of corruption and actions taken,Transurban has not been exposed to any corruption related incidents and therefore no action against employees or service providers has been required. ,,,
,GRI 206: Anti-competitive Behavior 2016,,"206-1 Legal actions for anti-competitive behavior, anti-trust, and monopoly practices",None in FY23,,,
,GRI 207: Tax 2019,,207-1 Approach to tax,See FY22 Tax Transparency Report,,,
,,,"207-2 Tax governance, control, and risk management",See FY22 Tax Transparency Report,,,
,,,207-3 Stakeholder engagement and management of concerns related to tax,See FY22 Tax Transparency Report - contact details included. ,,,
,,,207-4 Country-by-country reporting,See FY22 Tax Transparency Report,,,
,GRI 301: Materials 2016,,301-1 Materials used by weight or volume,"Transurban is developing a Sustainable Resource Strategy that will improve our measurement of materials and waste and set group-wide targets. We currently monitor materials quantities on major projects on an individual basis, and are developing group-wide materials quantities totals.

Refer to FY23 Corporate Report/Business partners and suppliers, for case studies on materials quantities used in construction projects, including materials and embodied emissions reductions achieved.",,,
,,,301-2 Recycled input materials used,See above and see FY23 Corporate Report/Business Partners and Suppliers/Environmental Leadership.,,,
,,,301-3 Reclaimed products and their packaging materials,"Transurban’s only physical product is tolling tags which are provided to customers to enable toll road travel. Tags that are returned by customers and still function may be reused. Tags that no longer work are returned to our supplier where they are dismantled into their separate components for appropriate recycling or disposal.

Refer to the Waste tab in this FY23 Sustainability data pack for data on customer tag collection and reuse/recycling.",,,
,GRI 302: Energy 2016,,302-1 Energy consumption within the organization,"See FY23 Corporate Report/Communities
See also the Environment tab in this data pack",,,
,,,302-2 Energy consumption outside of the organization,"Transurban reports on its supply chain outside of the organisation on the basis of Scope 3 emissions (see GRI305-3), but currently does not convert this into an energy basis.",,,
,,,302-3 Energy intensity,See UN SDG tab in this FY23 Sustainability Data Pack,,,
,,,302-4 Reduction of energy consumption,"FY23 Corporate Report/Communities
See also Energy and UN SDG tabs in this FY23 Sustainability Data Pack",,,
,,,302-5 Reductions in energy requirements of products and services,"By providing customers with safer, faster and more free-flowing travel choices on our roads, we estimate that on average our customers save on average 28% of their fuel usage driving on a Transurban toll road compared to the next best available un-tolled alternative route.
Refer to FY23 Corporate Report/Communities for details on customer vehicle
time and emissions savings.",,,
,GRI 303: Water and Effluents 2018,,303-1 Interactions with water as a shared resource,"Transurban’s water use and impacts include:
• The use of potable or recycled water for our operations including offices, road cleaning and maintenance, fire control systems, and irrigation
• Management of stormwater and groundwater flows on our assets, including treatment and discharge",,,
,,,303-2 Management of water discharge-related impacts,"The majority of Transurban's water discharge relates to stormwater from road drainage and groundwater seepage into tunnels. Water is managed in line with asset specific  criteria/guidelines determined by the locality, relevant legislation and receiving environment.
This includes drainage of stormwater to basins, treatment of groundwater in water treatment
plants prior to discharge. On CityLink, treated groundwater is reinjected into the aquifer, a
unique need on this asset. ",,,
,,,303-3 Water withdrawal,See Environment section of this FY23 Sustainability Data Pack,,,
,,,303-4 Water discharge,See Environment section of this FY23 Sustainability Data Pack,,,
,,,303-5 Water consumption,See Environment section of this FY23 Sustainability Data Pack,,,
,GRI 304: Biodiversity 2016,,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas","Sections of the following motorways are located adjacent to areas of high biodiversity value (National Parks or nature reserves):
• Hills M2 (Sydney—Lane Cove National Park)
• Gateway Motorway (Brisbane—Karawatha Forest, Nudgee Waterhole Reserve, Belmont Hills Reserve, Stretton Wetland )
• Legacy Way (Brisbane—Mount Coot-Tha Forest/D’Aguilar National Park Reserve)
• Logan Motorway (Brisbane—Glider Forest Conservation Area, Sergeant Dan Stiller Memorial Reserve)
• A25 (Montreal—Rivière des Prairies sturgeon habitat).",,,
,,,"304-2 Significant impacts of activities, products and services on biodiversity","Transurban intends to develop a broader company-wide biodiversity strategy. 
Currently Flora and fauna management plans are maintained at the regional level consistent with local regulations and habitat.
In some areas, motorways pass through areas of fragmented natural habitat and have impacts on wildlife movement. This also leads to the potential for animals crossing motorways. Where applicable, Transurban maintains motorway fencing and fauna crossing availability to channel animals to safe crossing locations.",,,
,,,304-3 Habitats protected or restored,"Ongoing habitat restoration projects included partnering with Landcare Australia on the Power St Loop in Melbourne and M2 Motorscapes in Sydney.
Major projects also have a focus on protecting or enhancing local habitat where possible. The Logan Enhancement Project in Brisbane included a major “fauna bridge” and wildlife
connectivity improvements.",,,
,,,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,"Transurban’s A25 bridge in Montreal spans a river inhabited by sturgeon, which are present on the IUCN Red List with some species listed as endangered.",,,
,GRI 305: Emissions 2016,,305-1 Direct (Scope 1) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
,,,305-2 Energy indirect (Scope 2) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
,,,305-3 Other indirect (Scope 3) GHG emissions,See Environment section of this FY23 Sustainability Data Pack,,,
,,,305-4 GHG emissions intensity,See UN SDG tab in this FY23 Sustainability Data Pack,,,
,,,305-5 Reduction of GHG emissions,FY23 Corporate Report/Communities,,,
,,,305-6 Emissions of ozone-depleting substances (ODS),"Not applicable, Transurban does not produce emissions of ozone-depleting substances.",,,
,,,"305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",See Environment section of this FY23 Sustainability Data Pack,,,
,GRI 306: Waste 2020,,306-1 Waste generation and significant waste-related impacts,"See FY23 Corporate Report/Communities   
See also the Environment section of this FY23 Sustainability Data Pack.",,,
,,,306-2 Management of significant waste-related impacts,"See Environment section of this FY23 Sustainability Data Pack 
See also FY23 Corporate Report/Communities/Minimising our environmental impacts. 

Note Transurban collaborates with third parties including service providers, Facilities Management and Contractors to manage waste. ",,,
,,,306-3 Waste generated,See Environment section of this Data Pack,,,
,,,306-4 Waste diverted from disposal,"See Environment section of this Data Pack and see Corporate Report E-waste section. 
See note on Hazardous waste below.",,,
,,,306-5 Waste directed to disposal,"See Environment section of this Sustainability Data Pack. 

Regarding Hazardous waste on our operational assets, this may include chemicals and solvents, old lighting fixtures, drain trap sludge and liquid waste.
Waste is handled in accordance with laws and regulations in each region. Where required, hazardous waste transportation procedures are managed by specialist waste contractors.
Hazardous waste on major construction projects is managed by the construction contractor.
Transurban currently does not have an aggregated group-wide total for corporate reporting on hazardous waste quantities.",,,
,GRI 308: Supplier Environmental Assessment 2016,,308-1 New suppliers that were screened using environmental criteria,"All suppliers are subject to Transurban’s Supplier Sustainability Code of Practice (SSCoP) which includes environmental criteria.

Suppliers applying for tenders managed by our sourcing team are required to complete
‘returnable schedules’ which include questions regarding environmental performance of their goods and services.

Due diligence on supplier environmental screening includes:
a) Supplier requirements to perform certain activities must have certification (e.g. EMS certification) 
b) Suppliers responding to tenders managed by our sourcing team are required to complete 'returnable schedules' which includes assessments of their environmental risks, strategy, actions and accreditations.",,,
,,,308-2 Negative environmental impacts in the supply chain and actions taken,"Not reported in FY23. 

For information regarded related activities refer to FY23 Corporate Report/Business partners and suppliers, for details of impact assessment and reduction in our supply chain.",,,
,GRI 401: Employment 2016,,401-1 New employee hires and employee turnover,People section in this FY23 Sustainability data pack,,,
,,,401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,People section in this FY23 Sustainability data pack,,,
,,,401-3 Parental leave,"Refer to People section of this FY23 Sustainability data pack, for leave and return to work statistics.

Employees taking Parental Leave are entitled to 16 weeks of paid leave and up to 36 weeks of unpaid leave.

In FY22 Transurban removed the distinction between primary and secondary carers in our Parental Leave Policy and extended the time employees can take their leave to 24 months after the birth or adoption of their child.",,,
,GRI 402: Labor/Management Relations 2016,,402-1 Minimum notice periods regarding operational changes,"As per enterprise agreements and standard practice, we notify employees as soon as practicable after a decision is made which impacts working arrangements or employment, allowing a period for consultation with employees who may be adversely affected. The notice period varies depending on the nature of the change, but generally provides a minimum consultation period of one week.",,,
,GRI 403: Occupational Health and Safety 2018,,403-1 Occupational health and safety management system,"FY23 Corporate Report/Our people
Transurban has an occupational health and safety (OHS) management system aligned to ISO 45001, the international standard for Occupational Health and Safety Management Systems.",,,
,,,"403-2 Hazard identification, risk assessment, and incident investigation","FY23 Corporate Report/Our people
Transurban has a Group Health and Safety Management System to identify hazards and systematically address safety risk and investigate safety incidents.",,,
,,,403-3 Occupational health services,"FY23 Corporate Report/Our people
Transurban promotes and supports worker health through our Belonging and Wellbeing program which includes support resources, education, benefits and services spanning mental, physical, social and financial wellbeing.",,,
,,,"403-4 Worker participation, consultation, and communication on occupational health and safety","FY23 Corporate Report/Our people
Transurban has a number of mechanisms to support employee consultation, communication and participation on safety matters.",,,
,,,403-5 Worker training on occupational health and safety,"FY23 Corporate Report/Our people
Transurban has a Group wide Health, Safety and Environment learning framework to build capability for effective health and safety risk management across our business",,,
,,,403-6 Promotion of worker health,FY23 Corporate Report/Our people,,,
,,,403-7 Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"FY23 Corporate Report/Our people
FY23 Corporate Report/Business partners and suppliers",,,
,,,403-8 Workers covered by an occupational health and safety management system,"Transurban has a Health and Safety Management System aligned to ISO 45001 Occupational Health and Safety Management Systems that addresses the activities undertaken by employees and other workers, where works are under the management control of Transurban.",,,
,,,403-9 Work-related injuries,FY23 Corporate Report/Our people,,,
,,,403-10 Work-related ill health,FY23 Corporate Report/Our people,,,
,GRI 404: Training and Education 2016,,404-1 Average hours of training per year per employee,People section in this FY23 Sustainability data pack,,,
,,,404-2 Programs for upgrading employee skills and transition assistance programs,"FY23 Corporate Report/Our people
In the event that an employee’s role is made redundant and there is no alternative role, outplacement services are provided to the employee.",,,
,,,404-3 Percentage of employees receiving regular performance and career development reviews,"All employees are expected to have performance and development conversations throughout the year, with 83% of employees having set formal development goals throughout the year.",,,
,GRI 405: Diversity and Equal Opportunity 2016,,405-1 Diversity of governance bodies and employees,FY23 Corporate Governance Statement,,,
,,,405-2 Ratio of basic salary and remuneration of women to men,People section in this FY23 Sustainability data pack,,,
,GRI 406: Non-discrimination 2016,,406-1 Incidents of discrimination and corrective actions taken,None in FY23,,,
,GRI 407: Freedom of Association and Collective Bargaining 2016,,407-1 Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,"Transurban operates in Australia, the United States and Canada, where freedom of association and collective bargaining are protected by law and fully supported by our employee and supply chain policies. We have 5.3% of employees covered by collective bargaining agreements.

We identify collective bargaining in our Human Rights policy as a salient issue in the global supply chain (often deeper beyond Tier 1 contractors). We are committed to the International Labour Organization (ILO) fundamental rights  (and this is also expected of our suppliers).

In our Transurban’s Supplier Sustainability Code of Practice (SSCoP) minimum standards expect suppliers to ""comply with international labour conventions, including: allowing the freedom of workers to leave their employment after reasonable notice without hinderance""

We request this information through all tenders from the procurement team, and track and evaluate suppliers in our Sustainable Procurement Due Diligence Evaluations.",,,
,GRI 408: Child Labor 2016,,408-1 Operations and suppliers at significant risk for incidents of child labor,"Human Rights Policy
FY22 Modern Slavery Statement
Supplier Sustainability Code of Practice - which outlines the responsibilities of suppliers to meet ILO principles and the prohibition of forced and child labour",,,
,GRI 409: Forced or Compulsory Labor 2016,,409-1 Operations and suppliers at significant risk for incidents of forced or compulsory labor,"Human Rights Policy
FY22 Modern Slavery Statement
Supplier Sustainability Code of Practice - which outlines the responsibilities of suppliers to meet ILO principles and the prohibition of forced and child labour",,,
,GRI 410: Security Practices 2016,,410-1 Security personnel trained in human rights policies or procedures,Not applicable. Transurban does not employ security personnel on any significant basis.,,,
,GRI 411: Rights of Indigenous Peoples 2016,,411-1 Incidents of violations involving rights of indigenous peoples,"None
FY23 Corporate Report/Communities and FY23 Corporate Report/Our People",,,
,GRI 413: Local Communities 2016,,"413-1 Operations with local community engagement, impact assessments, and development programs",FY23 Corporate Report/Communities,,,
,,,413-2 Operations with significant actual and potential negative impacts on local communities,FY23 Corporate Report/Communities,,,
,GRI 414: Supplier Social Assessment 2016,,414-1 New suppliers that were screened using social criteria,"All suppliers are subject to Transurban’s Supplier Sustainability Code of Practice (SSCoP) which includes social criteria.
Suppliers applying for tenders managed by our sourcing team are required to complete
‘returnable schedules’ which include questions regarding environmental performance of their goods and services.",,,
,,,414-2 Negative social impacts in the supply chain and actions taken,"Contractors for all major projects have and implement procedures to record and manage community complaints.
Our independent external whistleblowing service is available for anyone to use, including employees, customers and members of our supply chain to raise issues, including those related to fraud, conflicts of interest, bribery, corruption and modern slavery.",,,
,GRI 415: Public Policy 2016,,415-1 Political contributions,"Transurban’s Political Contributions Policy precludes us from making any direct donations to political parties. However it does allow participation in public policy dialogues and events on issues that may impact our business.

In Australia, we engage with political representatives through multiple avenues, including our membership of business forums associated with both sides of politics. In FY23 we spent AUD $64,500 participating in events relevant to our business. A similar bipartisan approach is taken in the United States, resulting in USD $124,500 spent in FY23. In Canada, contributions are prohibited and accordingly none were made. All contributions are disclosed in line with relevant government and regulatory requirements. ",,,
,GRI 416: Customer Health and Safety 2016,,416-1 Assessment of the health and safety impacts of product and service categories,"The safety performance of Transurban roads is independently assessed. Monash University Accident Research Centre has found our Australian roads to be at least twice as safe as like roads and the International Road Assessment Program (iRAP) rates our Australian roads 100% three star and 91% four star for travel, and USA roads 100% at three stars and 63% at four star for travel.",,,
,,,416-2 Incidents of non-compliance concerning the health and safety impacts of products and services,None in FY23,,,
,GRI 417: Marketing and Labeling 2016,,417-1 Requirements for product and service information and labeling,"Transurban provides tolling services to customers. We share transparent information with our customers regarding environmental impacts including air quality via our website (See FY23 Corporate Report/Community for more information).

For customers experiencing financial difficulties we have developed our Linkt Assist program. Additional support is also offered through Linkt Assist 360 and the One Stop One Story Hub. These services are supported by our Hardship Policy, which our Customer teams receive training in. We also have a dedicated team to deliver our Linkt Assist service. Information is made publicly available via our website and at times promoted through customer newsletters, in-app notifications, social media and conferences or events. Internal procedures exist to assess compliance of these programs, and customers have the ability to escalate an issue through our Complaints team or by making a complaint to the Tolling Ombudsman.  

Refer to FY23 Corporate Report/Customers, for details on our customer communications and information resources made available to customers on their product and service options.

Transurban’s only physical product is tolling tags which are provided to customers to enable toll road travel. 
",,,
,,,"417-2 Incidents of non-compliance concerning
product and service information and labeling",None in FY23,,,
,,,417-3 Incidents of non-compliance concerning marketing communications,Transurban has received two complaints from Australian Communication and Media Authority (ACMA) but have not received any fines or warnings for non-compliance in FY23. ,,,
,GRI 418: Customer Privacy 2016,,418-1 Substantiated complaints concerning breaches of customer privacy and losses of customer data,Two notifiable data breaches reported to the Office of the Australian Information Commissioner in FY23.,,,
