Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
34,,Table 18 Workforce by employee category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
37,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
38,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
39,,CEO,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.0005,,,,,,,
40,,Executive Management (exc. CEO),6,0.5,6,0.5,12,0.008,3,0.429,4,0.571,7,0.004,4,0.444,5,0.556,9,0.005,4,0.444,5,0.556,9,0.005,5,0.5,5,0.5,10,0.0052,,,,,,,
41,,Senior management / Specialist Leader,27,0.643,15,0.357,42,0.029,30,0.682,14,0.318,44,0.027,30,0.638,17,0.362,47,0.027,27,0.614,17,0.386,44,0.025,28,0.583,20,0.417,48,0.0251,,,,,,,
42,,Middle Management / Specialist Partner,174,0.674,84,0.326,258,0.18,210,0.677,100,0.323,310,0.192,207,0.633,120,0.367,327,0.189,231,0.64,130,0.36,361,0.201,264,0.626,158,0.374,422,0.2207,,,,,,,
43,,Manager / Specialist,280,0.644,155,0.356,435,0.304,334,0.656,175,0.344,509,0.315,362,0.669,179,0.331,541,0.313,378,0.64,213,0.36,591,0.33,381,0.593,261,0.407,642,0.3358,,,,,,,
44,,Team leader / Advisor,152,0.58,110,0.42,262,0.183,176,0.607,114,0.393,290,0.179,188,0.595,128,0.405,316,0.183,158,0.479,172,0.521,330,0.184,162,0.478,177,0.522,339,0.1773,,,,,,,
45,,Entry Level / support,207,0.292,214,0.508,421,0.294,240,0.527,215,0.473,455,0.282,237,0.487,249,0.511,487,0.282,229,0.501,227,0.497,457,0.255,219,0.487,230,0.511,450,0.2354,,,,,,,
46,,Total,847,0.592,584,0.408,1431,1,994,0.615,622,0.385,1616,1,1029,0.595,698,0.404,1728,1,1028,0.573,764,0.426,1793,1,1060,0.554,851,0.445,1912,1,,,,,,,
47,,Notes:\nTotals in this table excludes supervised workers. \nReporting methodology updated to reflect percentage of male and female at each management level\nFY23 - Non-binary represents 0.05% of our direct employees.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Table 19 Early career opportunities by category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,,,,,,,,,,,,,
