Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,Total excluding supervised workers,,,,,,,,,,,,,,,,,,,1028,0.573,764,0.426,1793,,1060,0.554,851,0.445,1912,,,,,,,,
,"Notes:
Transurban's headcount definition includes direct Transurban employees (permanent full time/part time, fixed term full time/part time, casuals) & position managed contingents (i.e. ""Supervised workers"" engaged on temporary contract basis), but excludes non-executive directors & employees on maternity leave, salary continuance & any other contingents (SOWs).
Number of males, females per employment type is a % of the Total. Where relevant, employees identifying as non-binary are included in the Total number but not under Male or Female. Gender data is no longer recorded for all supervised workers, hence these employees are included in the Total figure but not Male or Female totals for FY21 onward.
For consistency with Corporate and other reports, additional row has been added called Total excluding supervised workers which reflects the gender mix for direct employees.
FY23 - Non-binary represents 0.05% of our direct employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 17 Workforce by region and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
,VIC,507,0.585,359,0.415,866,0.553,514,0.577,376,0.423,890,0.496,491,0.551,380,0.426,891,0.479,502,0.527,439,0.461,953,0.495,531,0.522,483,0.474,1018,0.509,,,,,,,
,NSW,162,0.643,90,0.357,252,0.161,271,0.67,134,0.33,405,0.226,295,0.648,158,0.347,455,0.244,291,0.64,163,0.358,455,0.236,293,0.63,171,0.368,465,0.233,,,,,,,
,QLD,162,0.57,122,0.43,284,0.181,173,0.625,103,0.375,276,0.154,172,0.591,117,0.402,291,0.156,177,0.58,125,0.41,305,0.158,177,0.571,131,0.423,310,0.155,,,,,,,
,US,107,0.648,58,0.352,165,0.105,146,0.658,76,0.342,222,0.124,124,0.59,64,0.305,210,0.113,116,0.586,74,0.374,198,0.103,105,0.547,82,0.427,192,0.096,,,,,,,
,CAN,,,,,,,,,,,,,7,0.467,8,0.533,15,0.008,8,0.571,6,0.429,14,0.007,7,0.5,7,0.5,14,0.007,,,,,,,
,Total,938,0.599,629,0.401,1567,1,1104,0.616,689,0.384,1793,1,1089,0.585,727,0.39,1862,1,1094,0.568,807,0.419,1925,1,1113,0.557,874,0.437,1999,1,,,,,,,
,Total excluding supervised workers,,,,,,,,,,,,,,,,,,,1028,0.573,764,0.426,1793,,1060,0.554,851,0.445,1912,,,,,,,,
,"Notes:
Number of males, females per employment type is a % of the Total. Where relevant, employees identifying as non-binary are included in the Total number but not under Male or Female. Gender data is no longer recorded for all supervised workers, hence these employees are included in the Total figure but not Male or Female totals for FY21 onward.
For consistency with Corporate and other reports, additional row has been added called Total excluding supervised workers which reflects the gender mix for direct employees
FY23 - Non-binary represents 0.05% of our direct employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 18 Workforce by employee category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
,CEO,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.001,1,1,0,0,1,0.0005,,,,,,,
,Executive Management (exc. CEO),6,0.5,6,0.5,12,0.008,3,0.429,4,0.571,7,0.004,4,0.444,5,0.556,9,0.005,4,0.444,5,0.556,9,0.005,5,0.5,5,0.5,10,0.0052,,,,,,,
,Senior management / Specialist Leader,27,0.643,15,0.357,42,0.029,30,0.682,14,0.318,44,0.027,30,0.638,17,0.362,47,0.027,27,0.614,17,0.386,44,0.025,28,0.583,20,0.417,48,0.0251,,,,,,,
,Middle Management / Specialist Partner,174,0.674,84,0.326,258,0.18,210,0.677,100,0.323,310,0.192,207,0.633,120,0.367,327,0.189,231,0.64,130,0.36,361,0.201,264,0.626,158,0.374,422,0.2207,,,,,,,
,Manager / Specialist,280,0.644,155,0.356,435,0.304,334,0.656,175,0.344,509,0.315,362,0.669,179,0.331,541,0.313,378,0.64,213,0.36,591,0.33,381,0.593,261,0.407,642,0.3358,,,,,,,
,Team leader / Advisor,152,0.58,110,0.42,262,0.183,176,0.607,114,0.393,290,0.179,188,0.595,128,0.405,316,0.183,158,0.479,172,0.521,330,0.184,162,0.478,177,0.522,339,0.1773,,,,,,,
,Entry Level / support,207,0.292,214,0.508,421,0.294,240,0.527,215,0.473,455,0.282,237,0.487,249,0.511,487,0.282,229,0.501,227,0.497,457,0.255,219,0.487,230,0.511,450,0.2354,,,,,,,
,Total,847,0.592,584,0.408,1431,1,994,0.615,622,0.385,1616,1,1029,0.595,698,0.404,1728,1,1028,0.573,764,0.426,1793,1,1060,0.554,851,0.445,1912,1,,,,,,,
,"Notes:
Totals in this table excludes supervised workers. 
Reporting methodology updated to reflect percentage of male and female at each management level
FY23 - Non-binary represents 0.05% of our direct employees.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 19 Early career opportunities by category and gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,,,,,,,,,,,,,
,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,,,,,,,,,,,,,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,,,,,,,,,,,,,
,Paid Internship,3,0.25,9,0.75,12,0.48,12,0.75,4,0.25,16,0.5,11,0.7857142857142857,3,0.21428571428571427,14,0.56,,,,,,,,,,,,,,,,,,,
,Graduates,5,0.38461538461538464,8,0.6153846153846154,13,0.52,7,0.4375,9,0.5625,16,0.5,6,0.5454545454545454,5,0.45454545454545453,11,0.44,,,,,,,,,,,,,,,,,,,
,Total,8,0.32,17,0.68,25,1,19,0.59375,13,0.40625,32,1,17,0.68,8,0.32,25,1,,,,,,,,,,,,,,,,,,,
,"Notes:
Paid interns are individuals who participate in a university-led internship program. These include Industry Based Learning (IBL) internships, project-based internships and summer internships.
Graduates include any worker with the Graduate Leadership Program WD Job Profile. Metrics are taken as at the end of financial year. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 20 Percentage of workforce by employee category and age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,,FY20,,,,FY21,,,,FY22,,,,FY23,,,,,,,,,,,,,,,,,,,,
,,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,,,,,,,,,,,,,,,,,
,CEO,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,0,0,0.001,0.001,,,,,,,,,,,,,,,,,
,Executive Management (exc. CEO),0,0.005,0.003,0.008,0,0.003,0.001,0.004,0,0.004,0.001,0.005,0,0.004,0.001,0.005,0,0.003,0.002,0.005,,,,,,,,,,,,,,,,,
,Senior management / Specialist Leader,0,0.017,0.013,0.029,0,0.014,0.012,0.026,0,0.014,0.013,0.027,0,0.013,0.012,0.025,0,0.012,0.014,0.025,,,,,,,,,,,,,,,,,
,Middle Management / Specialist Partner,0.001,0.14,0.04,0.18,0.002,0.152,0.038,0.192,0.003,0.143,0.043,0.189,0.003,0.149,0.049,0.201,0.001,0.162,0.059,0.221,,,,,,,,,,,,,,,,,
,Manager / Specialist,0.025,0.248,0.031,0.304,0.025,0.257,0.033,0.315,0.022,0.256,0.035,0.313,0.026,0.262,0.042,0.33,0.033,0.255,0.048,0.336,,,,,,,,,,,,,,,,,
,Team leader / Advisor,0.036,0.125,0.022,0.183,0.044,0.115,0.021,0.18,0.048,0.113,0.021,0.183,0.049,0.113,0.022,0.184,0.041,0.113,0.024,0.177,,,,,,,,,,,,,,,,,
,Entry Level / support,0.086,0.155,0.053,0.294,0.074,0.151,0.056,0.282,0.064,0.16,0.058,0.282,0.056,0.146,0.054,0.255,0.052,0.131,0.052,0.235,,,,,,,,,,,,,,,,,
,Total,0.148,0.69,0.162,1,0.146,0.692,0.162,1,0.137,0.69,0.174,1,0.134,0.686,0.18,1,0.127,0.675,0.198,1,,,,,,,,,,,,,,,,,
,"Notes:
Totals in this table excludes supervised workers. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 21 Composition of governance bodies by gender and age group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,,
,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,,,,,,,
,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,,,,,,,
,Under 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,30-50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,Over 50,6,0.67,3,0.33,9,1,6,0.667,3,0.333,9,1,8,0.8,2,0.2,10,1,8,0.727,3,0.273,11,1,7,0.7,3,0.3,10,1,,,,,,,
,Total,6,0.67,3,0.33,9,1,6,0.667,3,0.333,9,1,8,0.8,2,0.2,10,1,8,0.727,3,0.273,11,1,7,0.7,3,0.3,10,1,,,,,,,
,"Notes:
Figures represent Transurban CEO and Board.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 22 Number and rate of new employee hires by age group, gender and region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,
,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,%,,,,,,
,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,,,,,,,
,VIC,Under 30,30,0.02,28,0.019,58,0.039,21,0.013,23,0.015,44,0.028,18,0.01,21,0.012,39,0.023,35,0.019,34,0.019,69,0.038,40,0.021,34,0.018,75,0.039,,,,,,
,,30-50,71,0.048,45,0.03,116,0.079,45,0.029,50,0.032,95,0.061,41,0.024,57,0.033,99,0.057,73,0.04,91,0.05,164,0.09,91,0.048,96,0.05,187,0.098,,,,,,
,,Over 50,6,0.004,4,0.003,10,0.007,7,0.004,3,0.002,10,0.006,4,0.002,3,0.002,7,0.004,15,0.008,12,0.007,27,0.015,21,0.011,20,0.01,41,0.021,,,,,,
,,Total,107,0.072,77,0.052,184,0.125,73,0.047,76,0.049,149,0.095,63,0.037,81,0.047,145,0.084,123,0.068,137,0.075,260,0.143,152,0.08,150,0.078,303,0.159,,,,,,
,NSW,Under 30,6,0.004,6,0.004,12,0.008,16,0.01,10,0.006,26,0.017,13,0.008,9,0.005,22,0.013,16,0.009,13,0.007,29,0.016,9,0.005,10,0.005,19,0.01,,,,,,
,,30-50,13,0.009,9,0.006,22,0.015,53,0.034,20,0.013,73,0.047,34,0.02,31,0.018,65,0.038,40,0.022,34,0.019,74,0.041,37,0.019,27,0.014,64,0.033,,,,,,
,,Over 50,5,0.003,3,0.002,8,0.005,11,0.007,5,0.003,16,0.01,12,0.007,16,0.009,28,0.016,7,0.004,7,0.004,14,0.008,6,0.003,7,0.004,13,0.007,,,,,,
,,Total,24,0.016,18,0.012,42,0.028,80,0.051,35,0.022,115,0.074,59,0.034,56,0.032,115,0.067,63,0.035,54,0.03,117,0.064,52,0.027,44,0.023,96,0.05,,,,,,
,QLD,Under 30,6,0.004,3,0.002,9,0.006,11,0.007,1,0.001,12,0.008,6,0.003,8,0.005,14,0.008,6,0.003,8,0.004,14,0.008,3,0.002,8,0.004,11,0.006,,,,,,
,,30-50,24,0.016,14,0.009,38,0.026,20,0.013,8,0.005,28,0.018,22,0.013,16,0.009,39,0.023,23,0.013,24,0.013,47,0.026,29,0.015,18,0.009,47,0.025,,,,,,
,,Over 50,2,0.001,3,0.002,5,0.003,4,0.003,0,0,4,0.003,3,0.002,1,0.001,4,0.002,8,0.004,3,0.002,11,0.006,4,0.002,4,0.002,8,0.004,,,,,,
,,Total,32,0.022,20,0.014,52,0.035,35,0.022,9,0.006,44,0.028,31,0.018,25,0.015,57,0.033,37,0.02,35,0.019,72,0.04,36,0.019,30,0.016,66,0.035,,,,,,
,US,Under 30,8,0.005,2,0.001,10,0.007,8,0.005,6,0.004,14,0.009,4,0.002,3,0.002,7,0.004,9,0.005,1,0.001,10,0.005,4,0.002,4,0.002,8,0.004,,,,,,
,,30-50,9,0.006,6,0.004,15,0.01,15,0.01,3,0.002,18,0.012,11,0.006,14,0.008,25,0.015,12,0.007,15,0.008,27,0.015,9,0.005,13,0.007,22,0.012,,,,,,
,,Over 50,2,0.001,1,0.001,3,0.002,6,0.004,0,0,6,0.004,5,0.003,2,0.001,7,0.004,2,0.001,3,0.002,5,0.003,3,0.002,3,0.002,6,0.003,,,,,,
,,Total,19,0.013,9,0.006,28,0.019,29,0.019,9,0.006,38,0.024,20,0.012,19,0.011,39,0.023,23,0.013,19,0.01,42,0.023,16,0.008,20,0.01,36,0.019,,,,,,
,CAN,Under 30,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,30-50,,,,,,,,,,,,,2,0.001,0,0,2,0.001,2,0.001,0,0,2,0.001,0,0,0,0,0,0,,,,,,
,,Over 50,,,,,,,,,,,,,0,0,0,0,0,0,1,0.001,0,0,1,0.001,0,0,1,0.001,1,0.001,,,,,,
,,TOTAL,,,,,,,,,,,,,2,0.001,0,0,2,0.001,3,0.002,0,0,3,0.002,0,0,1,0.001,1,0.001,,,,,,
,,Grand Total,182,0.123,124,0.084,306,0.207,217,0.139,129,0.082,346,0.221,175,0.102,181,0.105,358,0.208,249,0.137,245,0.135,494,0.271,256,0.134,245,0.128,502,0.263,,,,,,
,"Notes:
New employee hire percentage is based on the Average Employee Headcount during the corresponding period. (includes permanent, fixed term, casual, parental leave, salary continuance). New Transurban employees only including casuals, permanent, fixed term. Excludes any individual/independent/MSA contractors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 23 Number and rate of employee turnover by age group, gender and region",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FY19,,,,,,FY20,,,,,,FY21,,,,,,FY22,,,,,,FY23,,,,,,,,,,,
,,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,,Male,,Female,,Total,%,,,,,,
,,,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,%,No.,,,,,,,
,VIC,Under 30,2,0.001,8,0.006,10,0.007,3,0.002,5,0.003,8,0.005,4,0.002,8,0.005,12,0.007,12,0.007,16,0.009,28,0.016,18,0.01,15,0.008,33,0.018,,,,,,
,,30-50,47,0.034,33,0.024,80,0.059,35,0.024,36,0.025,71,0.048,33,0.02,27,0.017,61,0.038,83,0.048,56,0.032,139,0.081,69,0.038,53,0.029,122,0.067,,,,,,
,,Over 50,7,0.005,10,0.007,17,0.012,5,0.003,7,0.005,12,0.008,8,0.005,6,0.004,14,0.009,15,0.009,10,0.006,25,0.015,13,0.007,13,0.007,26,0.014,,,,,,
,,Total,56,0.041,51,0.037,107,0.078,43,0.029,48,0.033,91,0.062,45,0.028,41,0.025,87,0.054,110,0.064,82,0.048,192,0.111,100,0.055,81,0.045,181,0.1,,,,,,
,NSW,Under 30,3,0.002,6,0.004,9,0.007,2,0.001,5,0.003,7,0.005,2,0.001,1,0.001,3,0.002,5,0.003,3,0.002,8,0.005,7,0.004,8,0.004,15,0.008,,,,,,
,,30-50,14,0.01,33,0.024,47,0.034,19,0.013,13,0.009,32,0.022,17,0.01,17,0.01,34,0.021,30,0.017,21,0.012,51,0.03,28,0.015,14,0.008,42,0.023,,,,,,
,,Over 50,5,0.004,26,0.019,31,0.023,5,0.003,4,0.003,9,0.006,10,0.006,1,0.001,11,0.007,12,0.007,7,0.004,19,0.011,8,0.004,7,0.004,15,0.008,,,,,,
,,Total,22,0.016,65,0.048,87,0.064,26,0.018,22,0.015,48,0.033,29,0.018,19,0.012,48,0.03,47,0.027,31,0.018,78,0.045,43,0.024,29,0.016,72,0.04,,,,,,
,QLD,Under 30,1,0.001,5,0.004,6,0.004,3,0.002,1,0.001,4,0.003,2,0.001,2,0.001,4,0.002,1,0.001,5,0.003,6,0.003,2,0.001,4,0.002,6,0.004,,,,,,
,,30-50,16,0.012,20,0.015,36,0.026,10,0.007,14,0.01,24,0.016,14,0.009,12,0.007,26,0.016,25,0.015,11,0.006,36,0.021,23,0.013,18,0.01,41,0.023,,,,,,
,,Over 50,5,0.004,13,0.01,18,0.013,8,0.005,0,0,8,0.005,4,0.002,3,0.002,7,0.004,5,0.003,4,0.002,9,0.005,7,0.004,3,0.002,10,0.006,,,,,,
,,Total,22,0.016,38,0.028,60,0.044,21,0.014,15,0.01,36,0.025,20,0.012,17,0.01,37,0.023,31,0.018,20,0.012,51,0.03,32,0.018,25,0.014,58,0.032,,,,,,
,US,Under 30,3,0.002,2,0.001,5,0.004,3,0.002,0,0,3,0.002,3,0.002,0,0,3,0.002,5,0.003,0,0,5,0.003,1,0.001,0,0,1,0.001,,,,,,
,,30-50,15,0.011,9,0.007,24,0.018,9,0.006,4,0.003,13,0.009,8,0.005,5,0.003,13,0.008,16,0.009,4,0.002,20,0.012,11,0.006,8,0.004,19,0.01,,,,,,
,,Over 50,4,0.003,3,0.002,7,0.005,2,0.001,2,0.001,4,0.003,4,0.002,0,0,4,0.002,5,0.003,2,0.001,7,0.004,8,0.004,1,0.001,9,0.005,,,,,,
,,Total,22,0.016,14,0.01,36,0.026,14,0.01,6,0.004,20,0.014,15,0.009,5,0.003,20,0.012,26,0.015,6,0.003,32,0.019,20,0.011,9,0.005,29,0.016,,,,,,
,CAN,Under 30,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,30-50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0.001,2,0.001,2,0.001,0,0,2,0.001,,,,,,
,,Over 50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,TOTAL,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0.001,2,0.001,2,0.001,0,0,2,0.001,,,,,,
,,Grand Total,122,0.089,168,0.123,290,0.212,104,0.071,91,0.062,195,0.133,109,0.067,82,0.051,192,0.118,214,0.124,141,0.082,355,0.206,197,0.109,144,0.079,341,0.188,,,,,,
,"Notes:
Involuntary and voluntary turnover included for permanent employees only, percentage based on the Average Permanent Employee Headcount including permanent employees on maternity leave and salary continuance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Table 24 Employee headcount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY19,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Employee Headcount,1478,1564,1724,1820,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Average Permanent Employee Headcount,1367,1465,1623,1723.5,1813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes:
Average Employee Headcount includes employees with permanent, fixed term, casual, parental leave, and salary continuance employment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
