Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
13,,Topic: Lifecycle impacts of buildings and infrastructure,,,
14,,IF-EN-410a.1,Number of (1) commissioned projects certified to a third-party multi-attribute sustainability standard and (2) active projects seeking such certification,FY23 Corporate Report/Business Performance/Project Updates\nTransurban uses the Infrastructure Sustainability Rating or Envision\nSustainability Rating on our major projects:\nÃ¢ÂÂ¢ 9 projects with Sustainability Ratings certified\nÃ¢ÂÂ¢ 3 projects with Sustainability Ratings in progress.\n\nSee Ratings tab in this FY23 Sustainability Data Pack.,
15,,IF-EN-410a.2,Discussion of process to incorporate operational phase energy and water efficiency considerations\ninto project planning and design,"The Infrastructure Sustainability Rating and Envision Sustainability Rating both include energy and water\nefficiency standards which require improvement of the initial Ã¢ÂÂbase caseÃ¢ÂÂ project design to show measurable\nenergy and water savings.\nAchieving and measuring these efficiencies contributes to each project being able to meet its contractually\nrequired sustainability rating target.\nRefer to FY23 Corporate Report/Business partners and suppliers, for details and other processes in place.",
16,,SASB Sector: InfrastructureÃ¢ÂÂengineering and construction services,,,
17,,Topic: Climate impacts of business mix,,,
18,,IF-EN-410b.1,Amount of backlog for (1) hydrocarbon related projects and (2) renewable energy projects,"Metric not applicable, Transurban does not manage energy projects directly.\nAs an energy consumer, Transurban has commenced supply of renewable electricity via separate renewable energy agreements in New South Wales, Queensland, Victoria and North America. Transurban is a contracted customer and does not manage these renewable energy projects themselves.",
19,,IF-EN-410b.2,Amount of backlog cancellations associated with hydrocarbon-related projects,"Metric not applicable, Transurban does not manage hydrocarbon-related projects.",
20,,IF-EN-410b.3,Amount of backlog for non-energy projects associated with climate change mitigation,Refer to FY23 Corporate Report/Investor for details on our climate change risks and strategy for mitigation and adaption.,
22,,Topic: Business ethics,,,
23,,IF-EN-510a.1,(1) Number of active projects and (2) backlog in countries that have the 20 lowest rankings in Transparency InternationalÃ¢ÂÂs Corruption Perception Index,"None\nTransurban manages road infrastructure in Australia, the US and Canada.",
24,,IF-EN-510a.2,Total amount of monetary losses as a result of legal proceedings associated with charges of (1) bribery or corruption and (2) anticompetitive practices,None\n,
25,,IF-EN-510a.3,"Description of policies and practices for\nprevention of (1) bribery and corruption, and \n(2) anti-competitive behaviour in the project\nbidding processes","Transurban assesses all risks in line with our Enterprise Risk Management Framework. Prevention of fraud, bribery, corruption and modern slavery are governed by our Conflicts Management Policy, our Anti-Bribery, Corruption and Fraud Policy (and their associated procedures), and Human Rights Policy. Our Code of Conduct requires compliance with all of our policies.\nTransurban presents bids for infrastructure projects in each region in accordance with each governmentÃ¢ÂÂs official process for competitive tender or market-led/unsolicited bids. We train our employees at a high level in anti-competitive requirements from the ACCC (in our Ethical Business Practices training). \nTransurban receives bids from construction contractor partners, who must also comply with our Conflicts Management Policy and Anti-bribery, Corruption and Fraud Policy, Policy (includes information on ACCC on anti-cartel behaviour). Suspected violations or grievances can be reported through our Whistleblower Service and will be investigated in line with our Whistleblower Policy. We are also a member of the UN global compact and committed to the 10 principles.",
27,,Activity metrics,,,
28,,IF-EN-000.A,Number of active projects,4 major projects in development and delivery as at end of FY23.\nFY23 Corporate Report/Our roads and projects\nFY23 Corporate Report/Business Performance/Project updates,
29,,IF-EN-000.B,Number of commissioned projects,FY23 Corporate Report/Our roads and projects\nFY23 Corporate Report/Business Performance/Project updates,
30,,IF-EN-000.C,Total backlog (committed project pipeline),FY23 Corporate Report/Project updates,
