Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2022,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
27,,"*African or Middle Eastern includes people who selected any of these descriptors: North African, Sub-Saharan African",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,"**Asian includes people who selected any of these descriptors: North-East Asian, South-East Asian, Southern and Central Asian\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,"***Other Oceania includes people who selected any of these descriptors: Australian South Sea Islander, Oceanian Other\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"****White or European includes people who selected any of these descriptors: Australian, North-West European, Southern and Eastern European",,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,New Zealand,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
33,,Asian*,21,8,15,8,16,,,,,,,,,,,,,,,,,,,,,,
34,,MÃÂori**,3,4,3,3,2,,,,,,,,,,,,,,,,,,,,,,
35,,"Middle Eastern, Latin American, or African***",3,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,
36,,New Zealand European****,35,39,35,40,33,,,,,,,,,,,,,,,,,,,,,,
37,,Other European,14,21,19,20,14,,,,,,,,,,,,,,,,,,,,,,
38,,No data,23,26,24,27,31,,,,,,,,,,,,,,,,,,,,,,
39,,Pacific Peoples,<1,<1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
40,,"*Asian includes people who selected any of these descriptors: Asian, Chinese, Indian, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,"** MÃÂori are the tangata whenua, the Indigenous people, of New Zealand",,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,"*** African or Middle Eastern includes people who selected any of these descriptors: North African, Sub-Saharan African\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,**** New Zealanders of European descent may also self-identify as PÃÂkehÃÂ,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,United States,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
46,,Asian*,10,8,8,7,7,,,,,,,,,,,,,,,,,,,,,,
47,,Black or African American**,6,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,
48,,Hispanic or Latinx,7,10,8,10,6,,,,,,,,,,,,,,,,,,,,,,
49,,Native Hawaiian or Other Pacific Islander,<1,1,<1,0,<1,,,,,,,,,,,,,,,,,,,,,,
50,,No data,9,7,10,9,20,,,,,,,,,,,,,,,,,,,,,,
51,,Two or more races***,5,3,4,4,5,,,,,,,,,,,,,,,,,,,,,,
52,,White****,63,69,66,70,60,,,,,,,,,,,,,,,,,,,,,,
53,,"*Asian includes people who selected any of these descriptors: North-East Asian, South-East Asian, Southern and Central Asian\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,"**African or Middle Eastern includes people who selected any of these descriptors: North African, Sub-Saharan African",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,"***Two or more races includes people who selected any of these descriptors: Mixed, White & Asian, White & Black Caribbean, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,"****White or European includes people who selected any of these descriptors: Australian, North-West European, Southern and Eastern European",,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Canada,All,People Leaders,All,People Leaders,All,People Leaders,,,,,,,,,,,,,,,,,,,,,
59,,Asian*,35,22,32,22,,,,,,,,,,,,,,,,,,,,,,,
60,,Black or African**,5,2,5,2,,,,,,,,,,,,,,,,,,,,,,,
61,,Hispanic or Latinx,2,2,<1,2,,,,,,,,,,,,,,,,,,,,,,,
62,,No data,21,20,27,22,,,,,,,,,,,,,,,,,,,,,,,
63,,Other Oceanian***,2,3,<1,2,,,,,,,,,,,,,,,,,,,,,,,
64,,White or European****,36,52,35,49,,,,,,,,,,,,,,,,,,,,,,,
65,,"*Asian includes people who selected any of these descriptors: North-East Asian, South-East Asian, Southern and Central Asian\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,"**African or Middle Eastern includes people who selected any of these descriptors: North African, Sub-Saharan African",,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,"***Other Oceania includes people who selected any of these descriptors: Australian South Sea Islander, Oceanian Other",,,,,,,,,,,,,,,,,,,,,,,,,,,
