Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2022,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
85,,Indian,8,11,2,0,,,,,,,,,,,,,,,,,,,,,,,
86,,Japanese,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,
87,,Malay**,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,
88,,No data,28,33,44,71,,,,,,,,,,,,,,,,,,,,,,,
89,,Two or more races***,3,0,2,0,,,,,,,,,,,,,,,,,,,,,,,
90,,White or European****,15,44,4,14,,,,,,,,,,,,,,,,,,,,,,,
91,,*Asia is classified as staff located in XeroÃ¢ÂÂs Singapore and Hong Kong offices,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"**Asian includes people who selected any of these descriptors: North-East Asian, South-East Asian, Southern and Central Asian",,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,"***Two or more races includes people who selected any of these descriptors: Mixed, White & Asian, White & Black Caribbean, Other",,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,"****White or European includes people who selected any of these descriptors: Australian, North-West European, Southern and Eastern European\n",,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,"***** All reporting on race data is based on voluntary global self-reporting. It does not include any employees where local legislation does not permit voluntary self-reporting with respect to racial identity. The race categories used by Xero for self-reporting reflect each regionÃ¢ÂÂs government reporting standards. However, for the purpose of this report some race categories have been adapted so they are globally relevant. All countries and regions who have reached a minimum self-reporting number have been displayed and any reference to Ã¢ÂÂNo dataÃ¢ÂÂ includes people who have not self-disclosed their racial and ethnic background, or who selected Ã¢ÂÂnone of the options offeredÃ¢ÂÂ, or Ã¢ÂÂprefer not to sayÃ¢ÂÂ from the country/region listed. 328 employees (6.3%) were excluded from the graphs as the regions did not reach the minimum reporting number. Does not include contingent workers\n\nPercentages may not add up to 100% due to rounding",,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,****** Excludes Planday employees for FY22,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,Board diversity,2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,
99,,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Board members (#),8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
101,,Female Board members (%),37.5,37.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,
102,,Male Board members (%),62.5,62.5,62.5,,,,,,,,,,,,,,,,,,,,,,,,
104,,Race & ethnicity (%),2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,
105,,Of white or European heritage,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,
106,,Of non-white or European heritage,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
108,,Location (%),2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,
109,,Australia,25,25,37.5,,,,,,,,,,,,,,,,,,,,,,,,
110,,New Zealand,37.5,37.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,
111,,United Kingdom,12.5,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,
112,,North America,25,25,12.5,,,,,,,,,,,,,,,,,,,,,,,,
113,,Rest of World (ROW),0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
115,,Tenure (%),2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,
116,,0-3 years,37.5,50,37.5,,,,,,,,,,,,,,,,,,,,,,,,
117,,3-6 years,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,
118,,6-9 years,25,12.5,12.5,,,,,,,,,,,,,,,,,,,,,,,,
119,,9+ years,12.5,12.5,25,,,,,,,,,,,,,,,,,,,,,,,,
121,,Gender equality,2023,2022,2021,,,,,,,,,,,,,,,,,,,,,,,,
122,,Women in leadership (%),,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,CEO & direct reports*,40,62.5***,,8,,,,,,,,,,,,,,,,,,,,,,,
124,,Senior leaders**,38.7,33.9,,,,,,,,,,,,,,,,,,,,,,,,,
125,,People leaders,45,43.7,,,,,,,,,,,,,,,,,,,,,,,,,
126,,*Includes the previous CEO Ã¢ÂÂ Steve Vamos,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,"**XeroÃ¢ÂÂs senior leaders includes the CEO, senior executives with global roles who report directly to the CEO, and their direct reports whose roles meet a minimum role size as determined by a job evaluation methodology",,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,*** CEO direct reports as at 12 May 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,Gender pay gap (%),2023,2022***,2021,,,,,,,,,,,,,,,,,,,,,,,,
131,,Median gender pay equity gap (like-for-like basis)**,-0.8,1,,,,,,,,,,,,,,,,,,,,,,,,,
132,,Median raw gender pay gap*,9.5,11,,,,,,,,,,,,,,,,,,,,,,,,,
133,,"* To calculate our raw gender pay gap, we review actual total earnings of employees over the past 12 months. We then take the median actual earnings of males, minus the median actual earnings of females, divided by the median actual earnings of males. A weighted average was then used across each region to get to a Xero overall figure",,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,"** To calculate gender pay equity, we assess how our employeesÃ¢ÂÂ remuneration compares to the median remuneration for their equivalent local market role (e.g. how much an accountant employed by Xero in New Zealand is paid compared to what the market median is for an accountant in New Zealand). The median position for males is then compared to median position for females to determine the pay equity gap",,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,*** Excludes Planday employees for FY22,,,,,,,,,,,,,,,,,,,,,,,,,,,
