Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
43,,,,,,,2 External limited assurance is provided over our FY23 gender balance per MinRes categories. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,Table 4: Total employees by role category and age profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,MinRes Category1,FY18,,,,FY19,,,,FY20,,,,FY21,,,,FY22,,,,FY23,,,,Trend from FY22,,,
48,,,,,,,,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total
49,,,,,,,C-Suite,-,1,1,2,-,-,3,3,-,1,2,3,-,1,2,3,-,1,4,5,-,4,4,8,-,3,-,0.6
50,,,,,,,Executives and Senior Management,-,20,17,37,-,19,24,43,-,23,17,40,-,70,35,105,-,25,27,52,-,37,36,73,-,0.48,0.3333333333333333,0.40384615384615385
51,,,,,,,Management,1,95,60,156,1,110,67,178,2,126,60,188,1,122,54,177,2,194,97,293,5,282,139,426,1.5,0.4536082474226804,0.4329896907216495,0.4539249146757679
52,,,,,,,Professionals,29,158,59,246,44,200,84,328,45,220,80,345,79,335,119,533,110,315,93,518,162,528,146,836,0.4727272727272727,0.6761904761904762,0.5698924731182796,0.6138996138996139
53,,,,,,,"Operations, Support and Service",152,781,409,1342,305,1199,589,2093,292,980,498,1770,466,1348,631,2445,542,1648,805,2995,818,2370,1156,4344,0.5092250922509225,0.4381067961165049,0.4360248447204969,0.45041736227045076
54,,,,,,,Total,182,1055,546,1783,350,1528,767,2645,339,1350,657,2346,546,1876,841,3263,654,2183,1026,3863,985,3221,1481,5687,0.5061162079510704,0.4754924415941365,0.44346978557504874,0.47217188713435154
55,,,,,,,1 Refer to Table 9 for a definition of each MinRes occupational category in relation to the allocated role within the business.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,Table 5: Total employees by Indigenous Australian profile and role category,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,Trend from FY22,,,,,,,,,
60,,,,,,,MinRes Category1,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,Identifies as Indigenous,Does not identify as Indigenous,Total,,,,,,,
61,,,,,,,C-Suite,-,2,2,-,3,3,-,3,3,-,3,3,-,5,5,-,8,8,-,0.6,0.6,,,,,,,
62,,,,,,,Executives and Senior Management,-,37,37,-,43,43,-,40,40,-,105,105,-,52,52,-,73,73,-,0.40384615384615385,0.40384615384615385,,,,,,,
