Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,Colleen,Hayward,Director (Non Executive),,Female,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Justin,Langer,Director (Non Executive),,Male,Over 50,0-10 years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 2: Employee diversity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,,,,,,,,,,,,
,,,,,,Overall female representation,0.148,0.132,0.154,0.16982864137086903,0.2026922081283976,0.2196237031826974,0.08353303370978295,,,,,,,,,,,,,,,,,,,,,
,,,,,,Overall Indigenous representation,0.017,0.016,0.014,0.017747858017135864,0.01812063163344551,0.0351679268507122,0.940767163204303,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 3: Total employees by role category and gender profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MinRes Category1,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,Trend from FY22,,,,,,,,,
,,,,,,,Female,Male,Total ,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,Female,Male,Total,,,,,,,
,,,,,,C-Suite,-,2,2,-,3,3,-,3,3,-,4,4,-,5,5,1,7,8,-,0.4,0.6,,,,,,,
,,,,,,Executives and Senior Management,4,33,37,3,40,43,4,36,40,7,98,105,6,46,52,8,65,73,0.3333333333333333,0.41304347826086957,0.40384615384615385,,,,,,,
,,,,,,Management,17,139,156,18,160,178,21,167,188,20,157,177,33,260,293,61,365,426,0.8484848484848485,0.40384615384615385,0.4539249146757679,,,,,,,
,,,,,,Professionals,66,180,246,87,241,328,90,255,345,156,377,533,138,380,518,251,585,836,0.8188405797101449,0.5394736842105263,0.6138996138996139,,,,,,,
,,,,,,"Operations, Support and Service",177,1165,1342,242,1851,2093,246,1524,1770,371,2074,2445,606,2389,2995,928,3416,4344,0.5313531353135313,0.4298869820008372,0.45041736227045076,,,,,,,
,,,,,,Total,264,1519,1783,350,2295,2645,361,1985,2346,554,2710,3264,783,3080,3863,1249,4438,5687,0.5951468710089399,0.4409090909090909,0.47217188713435154,,,,,,,
,,,,,,1 Refer to Table 9 for a definition of each MinRes occupational category in relation to the allocated role within the business. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2 External limited assurance is provided over our FY23 gender balance per MinRes categories. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 4: Total employees by role category and age profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,MinRes Category1,FY18,,,,FY19,,,,FY20,,,,FY21,,,,FY22,,,,FY23,,,,Trend from FY22,,,
,,,,,,,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total,Under 30,30-50,Over 50,Total
,,,,,,C-Suite,-,1,1,2,-,-,3,3,-,1,2,3,-,1,2,3,-,1,4,5,-,4,4,8,-,3,-,0.6
,,,,,,Executives and Senior Management,-,20,17,37,-,19,24,43,-,23,17,40,-,70,35,105,-,25,27,52,-,37,36,73,-,0.48,0.3333333333333333,0.40384615384615385
,,,,,,Management,1,95,60,156,1,110,67,178,2,126,60,188,1,122,54,177,2,194,97,293,5,282,139,426,1.5,0.4536082474226804,0.4329896907216495,0.4539249146757679
,,,,,,Professionals,29,158,59,246,44,200,84,328,45,220,80,345,79,335,119,533,110,315,93,518,162,528,146,836,0.4727272727272727,0.6761904761904762,0.5698924731182796,0.6138996138996139
,,,,,,"Operations, Support and Service",152,781,409,1342,305,1199,589,2093,292,980,498,1770,466,1348,631,2445,542,1648,805,2995,818,2370,1156,4344,0.5092250922509225,0.4381067961165049,0.4360248447204969,0.45041736227045076
,,,,,,Total,182,1055,546,1783,350,1528,767,2645,339,1350,657,2346,546,1876,841,3263,654,2183,1026,3863,985,3221,1481,5687,0.5061162079510704,0.4754924415941365,0.44346978557504874,0.47217188713435154
,,,,,,1 Refer to Table 9 for a definition of each MinRes occupational category in relation to the allocated role within the business. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 5: Total employees by Indigenous Australian profile and role category ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FY18,,,FY19,,,FY20,,,FY21,,,FY22,,,FY23,,,Trend from FY22,,,,,,,,,
,,,,,,MinRes Category1,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,Identifies as Indigenous,Does not identify as Indigenous,Total ,,,,,,,
,,,,,,C-Suite,-,2,2,-,3,3,-,3,3,-,3,3,-,5,5,-,8,8,-,0.6,0.6,,,,,,,
,,,,,,Executives and Senior Management,-,37,37,-,43,43,-,40,40,-,105,105,-,52,52,-,73,73,-,0.40384615384615385,0.40384615384615385,,,,,,,
,,,,,,Management,2,154,156,-,178,178,-,188,188,1,176,177,2,291,293,2,424,426,-,0.4570446735395189,0.4539249146757679,,,,,,,
,,,,,,Professionals,1,245,246,4,324,328,2,343,345,7,526,533,3,515,518,14,822,836,3.6666666666666665,0.596116504854369,0.6138996138996139,,,,,,,
,,,,,,"Operations, Support and Service",28,1314,1342,39,2054,2093,31,1739,1770,50,2395,2445,65,2930,2995,184,4160,4344,1.8307692307692307,0.4197952218430034,0.45041736227045076,,,,,,,
,,,,,,Total,31,1752,1783,43,2602,2645,33,2313,2346,58,3205,3263,70,3793,3863,200,5487,5687,1.8571428571428572,0.44661218033219086,0.47217188713435154,,,,,,,
,,,,,,1 Refer to Table 9 for a definition of each MinRes occupational category in relation to the allocated role within the business. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 401-1 | New employee hires and employee turnover ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 6: New hires by gender profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gender,,,Age Group,,,,Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,Female,Male,Total ,Under 30,30 - 50,Over 50 ,Total ,Yilgarn,Perth,Pilbara,Ashburton,Port Hedland,Queensland,Northern Territory,New South Wales,China,USA,Total ,,,,,,,,,,
,,,,,,Total new hires in FY22,499,1673,2172,469,1195,508,2172,585,773,340,269,189,7,9,0,0,0,2172,,,,,,,,,,
,,,,,,Percentage of new hires in FY22,0.22974217311233885,0.7702578268876611,,0.21593001841620627,0.5501841620626151,0.23388581952117865,,0.26933701657458564,0.35589318600368325,0.15653775322283608,0.12384898710865562,0.08701657458563536,0.0032228360957642726,0.004143646408839779,0,0,0,,,,,,,,,,,
,,,,,,Total new hires in FY23,671,2213,2884,644,1626,614,2884,805,960,325,367,390,0,32,0,4,1,2884,,,,,,,,,,
,,,,,,Percentage of new hires in FY23,0.2326629680998613,0.7673370319001387,,0.22330097087378642,0.5638002773925104,0.21289875173370318,,0.279126213592233,0.332871012482663,0.11269070735090153,0.12725381414701803,0.13522884882108183,0,0.011095700416088766,0,0.0013869625520110957,0.00034674063800277393,,,,,,,,,,,
,,,,,,Movement new hires,172,540,712,175,431,106,712,220,187,-15,98,201,-7,23,0,4,1,712,,,,,,,,,,
,,,,,,Movement in % of new hires,0.002920794987522457,-0.0029207949875224015,,0.007370952457580154,0.013616115329895262,-0.020987067787475472,,0.009789197017647355,-0.02302217352102026,-0.043847045871934553,0.0034048270383624096,0.04821227423544647,-0.0032228360957642726,0.006952054007248987,0,0.0013869625520110957,0.00034674063800277393,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 7: Terminations,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gender,,,Age Group,,,,Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,Female,Male,Total ,Under 30,30 - 50,Over 50 ,Total ,Yilgarn,Perth,Pilbara,Ashburton,Port Hedland,Queensland,Northern Territory,New South Wales,China,USA,Total ,,,,,,,,,,
,,,,,,Total terminations in FY21,173,1037,1210,176,727,307,1210,494,241,354,104,13,0,3,1,0,0,1210,,,,,,,,,,
,,,,,,Percentage of terminations in FY21,0.14297520661157026,0.8570247933884297,,0.14545454545454545,0.6008264462809917,0.2537190082644628,,0.40826446280991735,0.19917355371900827,0.29256198347107437,0.0859504132231405,0.010743801652892562,0,0.0024793388429752068,0.0008264462809917355,0,0,,,,,,,,,,,
,,,,,,Total terminations in FY22,282,1283,1565,266,908,391,1565,569,384,343,196,63,4,6,0,0,0,1565,,,,,,,,,,
,,,,,,Percentage of terminations in FY22,0.1801916932907348,0.8198083067092652,,0.16996805111821087,0.5801916932907348,0.2498402555910543,,0.3635782747603834,0.2453674121405751,0.21916932907348244,0.12523961661341854,0.040255591054313096,0.0025559105431309905,0.0038338658146964857,0,0,0,,,,,,,,,,,
,,,,,,Total terminations in FY23,236,1030,1266,231,688,347,1266,437,266,217,146,181,1,18,0,0,0,1266,,,,,,,,,,
,,,,,,Percentage of terminations in FY23,0.18641390205371247,0.8135860979462876,,0.18246445497630331,0.5434439178515008,0.2740916271721959,,0.3451816745655608,0.21011058451816747,0.17140600315955767,0.11532385466034756,0.1429699842022117,0.0007898894154818325,0.014218009478672985,0,0,0,,,,,,,,,,,
,,,,,,Movement total terminations from FY22,-46,-253,-299,-35,-220,-44,-299,-132,-118,-126,-50,118,-3,12,0,0,0,-299,,,,,,,,,,
,,,,,,Movement percentage of terminations from FY22,0.00622220876297766,-0.006222208762977632,,0.012496403858092447,-0.03674777543923402,0.024251371581141573,,-0.018396600194822588,-0.035256827622407616,-0.047763325913924765,-0.009915761953070978,0.1027143931478986,-0.001766021127649158,0.010384143663976499,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 401-1 | New employee hires and employee turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 8: Employee turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total number of terminations,1210,1565,1266,-0.19105431309904153,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total number of employees,3268,3863,5687,0.47217188713435154,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Turnover rate,0.37025703794369647,0.40512555009060314,0.22261297696500792,-0.1825125731255952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 9: MinRes employee category mapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,WGEA Category,MinRes Category,,,Titles,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CEO,C-Suite,,,MD and Chiefs,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Key Management Personnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Other Executives/General Managers,Executives and Senior Management,,,"EGMs, GMs, Heads of, ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Senior Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Other Manager,Management,,,"Superintendents and above, who do not fall into any other management category.",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Professionals,Professionals,,,"Degree qualified roles, such as Engineers, Geologist, Accountants etc. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Community and Personal Service,"Operations, Support and Service",,,"All other roles, including Supervisors, Operators, Trades, Admin etc. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Clerical and Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Technicians and Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Machinery Operators and Drivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Labourers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,
