Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,Lost Time Injury Frequency Rate (LTIFR) - employees,,,,,,,,,,,,,,
,,,,,,Number of LTI – employees,,,,,,-,-,-,1,-,-,-,,
,,,,,,"Employees LTIFR (per 1,000,000 hours worked)",,,,,,-,-,-,0.16,-,-,-,,
,,,,,,"Employees LTIFR (per 200,000 hours worked)",,,,,,-,-,-,0.03,-,-,-,,
,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
,,,,,,LTIFR - contractors,,,,,,,,,,,,,,
,,,,,,Number of LTI – contractors,,,,,,1,1,-,-,-,1,-,,
,,,,,,"Contractors LTIFR (per 1,000,000 hours worked)",,,,,,0.38,0.35,-,-,-,0.2621236953540117,-,,
,,,,,,"Contractors LTIFR (per 200,000 hours worked)",,,,,,0.08,0.07,-,-,-,0.052424739070802334,-,,
,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,1987047.5,2679477.6,3814992.76,0.4237822924886551,,
,,,,,,LTIFR – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of LTI – combined employees and contractors,,,,,,1,1,-,1,-,1,-,,
,,,,,,"Combined employees and contractors LTIFR (per 1,000,000 hours worked)",,,,,,0.17,0.12,-,0.12,-,0.07412893860375479,-,,
,,,,,,"Combined employees and contractors LTIFR (per 200,000 hours worked)",,,,,,0.03,0.02,-,0.02,-,0.014825787720750957,-,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 3: Historical trends in Total Recordable Injuries (TRI) - employees and contractors ,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,Total Recordable Injury Frequency Rate (TRIFR) - employees,,,,,,,,,,,,,,
,,,,,,Number of recordable work-related injuries - employees,,,,,,8,19,17,13,15,14,-0.06666666666666667,,
,,,,,,"Employees TRIFR (per 1,000,000 hours worked)",,,,,,2.37,3.66,8.790776923693471,2.0872462778747245,1.96,1.447026093574518,-0.2617213808293275,,
,,,,,,"Employees TRIFR (per 200,000 hours worked)",,,,,,0.47,0.73,1.7581553847386941,0.4174492555749449,0.39,0.2894052187149036,-0.2579353366284523,,
,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
,,,,,,TRIFR - contractors,,,,,,,,,,,,,,
,,,,,,Number of recordable work-related injuries - contractors,,,,,,7,13,6,6,9,14,0.5555555555555556,,
,,,,,,"Contractors TRIFR (per 1,000,000 hours worked)",,,,,,2.63,4.59,1.3637671613050162,3.0195553956309547,3.36,3.669731734956163,0.09218206397504859,,
,,,,,,"Contractors TRIFR (per 200,000 hours worked)",,,,,,0.53,0.92,0.27275343226100324,0.6039110791261909,0.67,0.7339463469912327,0.09544230894213834,,
,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,1987047.5,2679477.6,3814992.7599999993,0.42378229248865495,,
,,,,,,TRIFR – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of recordable work-related injuries – combined employees and contractors,,,,,,15,32,23,19,24,28,0.16666666666666666,,
,,,,,,"Combined employees and contractors TRIFR (per 1,000,000 hours worked)",,,,,,2.49,3.99,3.6315275325838807,2.3127439903828217,2.33,2.07561028090513,-0.10918013695058801,,
,,,,,,"Combined employees and contractors TRIFR (per 200,000 hours worked)",,,,,,0.5,0.8,0.7263055065167762,0.46254879807656435,0.47,0.4151220561810268,-0.1167615825935599,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 4: Historical trends in fatality rates - employees and contractors,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,Fatality rate - employees,,,,,,,,,,,,,,
,,,,,,Number of fatalities - employees,,,,,,-,-,-,-,-,-,-,,
,,,,,,"Employees fatality rate (per 1,000,000 hours worked)",,,,,,-,-,-,-,-,-,-,,
,,,,,,"Employees fatality rate (per 200,000 hours worked)",,,,,,-,-,-,-,-,-,-,,
,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
,,,,,,Fatality rate - contractors,,,,,,,,,,,,,,
,,,,,,Number of fatalities - contractors,,,,,,-,-,-,-,-,1,-,,
,,,,,,"Contractors fatality rate (per 1,000,000 hours worked)",,,,,,-,-,-,-,-,0.2621236953540117,-,,
,,,,,,"Contractors fatality rate (per 200,000 hours worked)",,,,,,-,-,-,-,-,0.052424739070802334,-,,
,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,1987047.5,2679477.6,3814992.7599999993,0.42378229248865495,,
,,,,,,Fatality rate – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of fatalities – combined employees and contractors,,,,,,-,-,-,-,-,1,-,,
,,,,,,"Combined employees and contractors fatality rate (per 1,000,000 hours worked) ",,,,,,-,-,-,-,-,0.07412893860375479,-,,
,,,,,,"Combined employees and contractors fatality rate (per 200,000 hours worked)",,,,,,-,-,-,-,-,0.014825787720750957,-,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 5: Historical trends in high consequence work-related injury rates - employees and contractors ,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,High consequence work-related injury rate - employees,,,,,,,,,,,,,,
,,,,,,Number of high consequence work-related injuries - employees,,,,,,-,-,-,1,-,-,-,,
,,,,,,"Employees high consequence work-related injury rate (per 1,000,000 hours worked)",,,,,,-,-,-,0.16055740599036342,-,-,-,,
,,,,,,"Employees high consequence work-related injury rate (per 200,000 hours worked)",,,,,,-,-,-,0.03211148119807269,-,-,-,,
,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
,,,,,,High consequence work-related injury rate - contractors,,,,,,,,,,,,,,
,,,,,,Number of high consequence work-related injuries - contractors,,,,,,1,1,-,-,-,2,-,,
,,,,,,"Contractors high consequence work-related injury rate (per 1,000,000 hours worked)",,,,,,0.38,0.35,-,-,-,0.5242473907080234,-,,
,,,,,,"Contractors high consequence work-related injury rate (per 200,000 hours worked)",,,,,,0.08,0.07,-,-,-,0.10484947814160467,-,,
,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,6228301.92,2679477.6,3814992.7599999993,0.42378229248865495,,
,,,,,,High consequence work-related injury rate – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of high consequence work-related injuries – combined employees and contractors,,,,,,1,1,-,1,-,2,-,,
,,,,,,"Combined employees and contractors high consequence work-related injury rate (per 1,000,000 hours worked) ",,,,,,0.17,0.12,-,0.12172336791488536,-,0.14825787720750958,-,,
,,,,,,"Combined employees and contractors high consequence work-related injury rate (per 200,000 hours worked)",,,,,,0.03,0.02,-,0.024344673582977074,-,0.029651575441501914,-,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 6: Historical trends in all incident rates - combined employees and contractors,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,All incident rate – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of all incidents – combined employees and contractors,,,,,,967,1327,1263,1616,1549,2536,0.6371852808263396,,
,,,,,,"Combined employees and contractors all incident rate (per 1,000,000 hours worked) ",,,,,,160.1,165.39,199.41822928928005,196.70496255045472,150.14,187.99098829912214,0.2521046243447593,,
,,,,,,"Combined employees and contractors all incident rate (per 200,000 hours worked)",,,,,,32.02,33.08,39.88364585785601,39.34099251009095,30.03,37.59819765982443,0.2520212340933875,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 7: Historical trends in near miss incident rates - combined employees and contractors ,,,,,,,,,,,,,,
,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
,,,,,,Near miss incident rate – combined employees and contractors,,,,,,,,,,,,,,
,,,,,,Number of near miss incidents – combined employees and contractors,,,,,,256,300,281,349,335,630,0.8805970149253731,,
,,,,,,"Combined employees and contractors near miss incident rate (per 1,000,000 hours worked) ",,,,,,42.38,37.39,44.36779289809002,42.48145540229499,32.47,46.701231320365515,0.4382886147325383,,
,,,,,,"Combined employees and contractors near incident rate (per 200,000 hours worked)",,,,,,8.48,7.48,8.873558579618004,8.496291080458997,6.49,9.340246264073103,0.4391750792100313,,
,,,,,,Hours worked – combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 8: Nature of work-related injuries - employees,,,,,,,,,,,,,,
,,,,,,Nature of Injury Category:,FY21,,FY22,,FY23,,Trend from FY22,,,,,,,
,,,,,,,# of Injuries,%,# of Injuries,%,# of Injuries,%,# of Injuries,%,,,,,,
,,,,,,Sprains and strains,131,38.19241982507289,110,44.354838709677416,146,42.19653179190752,36,0.32727272727272727,,,,,,
,,,,,,Superficial injury,111,32.36151603498542,61,24.596774193548388,96,27.74566473988439,35,0.5737704918032787,,,,,,
,,,,,,Open wound,23,6.705539358600583,19,7.661290322580645,24,6.9364161849710975,5,0.2631578947368421,,,,,,
,,,,,,Contusion and crushing injury,20,5.830903790087463,19,7.661290322580645,27,7.803468208092486,8,0.42105263157894735,,,,,,
,,,,,,Foreign body,13,3.7900874635568513,10,4.032258064516129,11,3.1791907514450863,1,0.1,,,,,,
,,,,,,"Disorder of muscle, tendon and tissue",7,2.0408163265306123,4,1.6129032258064515,4,1.1560693641618496,0,-,,,,,,
,,,,,,Burns,7,2.0408163265306123,10,4.032258064516129,9,2.601156069364162,-1,-0.1,,,,,,
,,,,,,All remaining categories,31,9.037900874635568,15,6.048387096774194,29,8.38150289017341,14,0.9333333333333333,,,,,,
,,,,,,Total,343,1,248,1,346,1,98,0.3951612903225806,,,,,,
