Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,"Biodiversity value characterised by the attribute of the protected area or area of high biodiversity value outside the protected area (terrestrial, freshwater, or maritime ecosystem)",Terrestrial,Freshwater, N/A,Terrestrial,, N/A,,,,
,,,,,,"Biodiversity value characterised by listing of protected status (such as IUCN Protected Area Management Categories, Ramsar Convention, national legislation)",Conservation park that is part of Australia’s National Reserve System (NRS),Priority 1 Ecological Community under the Biodiversity Conservation Act 2016.,Priority 1 Ecological Community under the Biodiversity Conservation Act 2016.,"Conservation park that is part of Australia’s NRS, and Priority Ecological Community under the Biodiversity Conservation Act 2016.",  N/A,  N/A,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,GRI 304-4 | IUCN Red List species and national conservation list species with habitats in areas affected by operations,,,,,,,,,,
,,,,,,"Table 2: Number of IUCN Red List species and national conservation list species with habitats in areas affected by the operations of the organisation, by level of extinction risk",,,,,,,,,,
,,,,,,,,Yilgarn Hub,Pilbara Hub,,Ashburton Hub,Lithium Commodities,,,,
,,,,,,  ,  ,Koolyanobbing 1,Iron Valley  ,Wonmunna ,Onslow Iron Project 4,Wodgina,Mt Marion,,,
,,,,,,International Union for Conservation of Nature (IUCN) Red List 2,Critically endangered ,0,🞁 1,🞁 1,0,0,0,,,
,,,,,,,Endangered,🞃 15,🞃 1,🞃 0,3,3,3,,,
,,,,,,,Vulnerable,🞁 28,2,🞁 4,4,🞁 6,🞁 8,,,
,,,,,,,Near Threatened,12,3,3,8,🞃 11,9, ,,
,,,,,,,Least Concern,🞁 575,🞃 363,🞁 394,461,🞁 463,🞁 355,,,
,,,,,,National Conservation list - Environment Protection and Biodiversity Conservation Act 1999 (EPBC Act) 3,Critically endangered ,🞃 0,0,0,1,🞁 2,0,,,
,,,,,,,Endangered,🞃 1,2,🞁 1,1,1,0,,,
,,,,,,,Vulnerable,🞁 3,🞁 2,🞁 3,3,🞃 3,🞁 3,,,
,,,,,,"1 Koolyanobbing, Mt Jackson, Windarling and Deception are connected by a private haul road. Our Carina operations (Carina and J4) which form part of the ‘Yilgarn’ hub are connected to the Koolyanobbing operations via the private J4 haul road. Parker Range is connected by a combination of private and public roads to Carina. A private haul road linking Parker Range and Koolyanobbing has been approved by the Environmental Protection Authority (EPA) and is currently under assessment with Department of Climate Change, Energy, the Environment and Water (DCCEEW).",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,2 Species distributions for IUCN listed species were downloaded from the Integrated Biodiversity Assessment Tool in May 2023. ArcGIS was utilised to identify all species with habitat that occur within MinRes operational areas.,,,,,,,,,,
,,,,,,"3 Number of EPBC Act listed species with potential habitat in the area of MinRes operations were obtained through state of Western Australia Department of Biodiversity, Conservation and Attractions (DBCA) habitat searches cross referenced to the EPBC Act listing to indicate species of national conservation. Where site specific biodiversity survey and impact assessment information was available, it was utilised to complement the database information. ",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,4 Onslow Iron project data has been included,,,,,,,,,,
,,,,,,🞁  increase / 🞃 decrease from previous financial year as a result of updated GIS spatial data increasing or changing operational footprint resulting in additional species and/or as a result of flora & fauna study verification.  ,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,LAND MANAGEMENT ,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"GRI G4 - MM1 | Environmental disclosures for the mining and metals sector - amount of land (owned or leased, and managed for production activities or extractive use) disturbed or rehabilitated",,,,,,,,,,
,,,,,,Table 3: Cumulative land disturbance and rehabilitation information for FY19-FY23 consolidated for all MinRes tenements,,,,,,,,,,
,,,,,,,Land disturbed (ha)1,,,,,Land under rehabilitation (ha)1,,,,
,,,,,,Operation ,FY20,FY21,FY22,FY23,Trend from FY22,FY20,FY21,FY22,FY23,Trend from FY22
,,,,,,Yilgarn Hub (Iron Ore),,,,,,,,,,
,,,,,,,3374,3519,3710,3770,0.016172506738544475,725,720,766,769,0.0039164490861618795
,,,,,,Pilbara Hub (Iron Ore),,,,,,,,,,
,,,,,,Iron Valley 1,494,515,556,582,0.046762589928057555,3,3,6,5,-0.16666666666666666
,,,,,,Wonmunna,-,116,315,483,0.5333333333333333,-,-,-,-,-
,,,,,,Lithium Commodities,,,,,,,,,,
,,,,,,Mt Marion1,628,634,686,911,0.32798833819241985,33,50,50,47,-0.06
,,,,,,Wodgina,909,909,862,881,0.022041763341067284,395,395,395,396,0.002531645569620253
,,,,,,Boodarie Yard 2,-,-,-,50,-,,,,,-
,,,,,,Ashburton Hub 3,,,,,,,,,,
,,,,,,Ashburton Infrastructure Project,-,-,-,7,-,-,,,-,-
,,,,,,Onslow Iron Ore Project (OIO),-,-,-,244,-,-,,,-,-
,,,,,,Total ,5405,5693,6129,6928,0.13036384402023168,1156,1168,1217,1217,-
,,,,,,1 Decreases in land rehabilitation may be attributed to re-disturbance as a result of internal/external survey audits.,,,,,,5693,6129,6928,0.13036384402023168,
,,,,,,2 FY19 - FY22 Boodarie Yard disturbance and rehabilitation not disclosed in previous Sustainability Reports. The site was not operational during this period.,,,,,,,,,,
,,,,,,3 Inclusion of Ashburton Hub land disturbance.,,,,,,,,,,
