Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Table 3: Number of employees and other stakeholders who have utilised the MinRes whistleblowing service, MinRes Integrity Assist",,,,,,,,,,
,,,,,,,FY22,FY23,Trend from FY22,,,,,,,
,,,,,,Total new issues reported,25,55,1.2,,,,,,,
,,,,,,Total cases closed at end of FY,14,46,2.2857142857142856,,,,,,,
,,,,,,Total cases remaining open at end of FY,3,9,2,,,,,,,
,,,,,,Total substantiated claims1,8,5,-0.375,,,,,,,
,,,,,,Substantiated claims (%),0.32,0.09090909090909091,-0.7159090909090909,,,,,,,
,,,,,,"1 Incidents are classified into four different outcomes; unsubstantiated, partially substantiated, substantiated and open. Only substantiated claims are included here.",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Table 4: Nature and total number of ethics matters opened through MinRes Integrity Assist,,,,,,,,,,
,,,,,,,FY22,,FY23,,Trend from FY22,,,,,
,,,,,,Case Type,Number Reported,Percentage Reported (%),Number Reported,Percentage Reported (%),Number Reported,,,,,
,,,,,,,,,,,,,,,,
,,,,,,Code of Conduct,4,0.16,13,0.23636363636363636,2.25,,,,,
,,,,,,"Health, Safety and Environment",7,0.28,6,0.10909090909090909,-0.14285714285714285,,,,,
,,,,,,Psychosocial,14,0.56,30,0.5454545454545454,1.1428571428571428,,,,,
,,,,,,Serious Misconduct,0,0,3,0.05454545454545454,-,,,,,
,,,,,,Other,0,0,3,0.05454545454545454,-,,,,,
,,,,,,Total,25,1,55,1,1.2,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,GRI 410-1 | Security personnel trained in human rights policies or procedures,,,,,,,,,,
,,,,,,"Table 5: Percentage of security personnel completing Code of Conduct and Business Integrity e-training1, 2",,,,,,,,,,
,,,,,,,FY22,FY23,Trend from FY22,,,,,,,
,,,,,,Code of Conduct Training ,1,0.7105263157894737,-0.2894736842105263,,,,,,,
,,,,,,1 Security personnel include MinRes employees and employees of third-party organisations.,,,,,,,,,,
,,,,,,2 Code of Conduct training also includes training in MinRes' human rights policies & procedures.,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"GRI 2-27 | Strategy, policies and practices",,,,,,,,,,
,,,,,,GRI G4 - SO8 | Monetary value of significant fines and total number of non-monetary sanctions for non-compliance with laws and regulations,,,,,,,,,,
,,,,,,"Table 6: FY23 Non-compliance with environmental, social or economic laws and regulations",,,,,,,,,,
,,,,,,,Site,Subsidiary,Authority,Amount (AUD),Summary of issue,,,,,
,,,,,,Fines,,,,,,,,,,
,,,,,,Total fines ,,,,,,,,,,
,,,,,,Sanctions,,,,,,,,,,
,,,,,,Total sanctions,,,,,,,,,,
