Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
47,,,,,,,Number of recordable work-related injuries - employees,,,,,,8,19,17,13,15,14,-0.06666666666666667,,
48,,,,,,,"Employees TRIFR (per 1,000,000 hours worked)",,,,,,2.37,3.66,8.790776923693471,2.0872462778747245,1.96,1.447026093574518,-0.2617213808293275,,
49,,,,,,,"Employees TRIFR (per 200,000 hours worked)",,,,,,0.47,0.73,1.7581553847386941,0.4174492555749449,0.39,0.2894052187149036,-0.2579353366284523,,
50,,,,,,,Hours worked - employees,,,,,,3382349,5191716,1933845,6228301.92,7637401.5600000005,9675015.58,0.26679414510188454,,
51,,,,,,,TRIFR - contractors,,,,,,,,,,,,,,
52,,,,,,,Number of recordable work-related injuries - contractors,,,,,,7,13,6,6,9,14,0.5555555555555556,,
53,,,,,,,"Contractors TRIFR (per 1,000,000 hours worked)",,,,,,2.63,4.59,1.3637671613050162,3.0195553956309547,3.36,3.669731734956163,0.09218206397504859,,
54,,,,,,,"Contractors TRIFR (per 200,000 hours worked)",,,,,,0.53,0.92,0.27275343226100324,0.6039110791261909,0.67,0.7339463469912327,0.09544230894213834,,
55,,,,,,,Hours worked - contractors,,,,,,2657560,2831694,4399578,1987047.5,2679477.6,3814992.7599999993,0.42378229248865495,,
56,,,,,,,TRIFR Ã¢ÂÂ combined employees and contractors,,,,,,,,,,,,,,
57,,,,,,,Number of recordable work-related injuries Ã¢ÂÂ combined employees and contractors,,,,,,15,32,23,19,24,28,0.16666666666666666,,
58,,,,,,,"Combined employees and contractors TRIFR (per 1,000,000 hours worked)",,,,,,2.49,3.99,3.6315275325838807,2.3127439903828217,2.33,2.07561028090513,-0.10918013695058801,,
59,,,,,,,"Combined employees and contractors TRIFR (per 200,000 hours worked)",,,,,,0.5,0.8,0.7263055065167762,0.46254879807656435,0.47,0.4151220561810268,-0.1167615825935599,,
60,,,,,,,Hours worked Ã¢ÂÂ combined employees and contractors,,,,,,6039909,8023411,6333423,8215349.42,10316879,13490008.34,0.30756678836690826,,
63,,,,,,,Table 4: Historical trends in fatality rates - employees and contractors,,,,,,,,,,,,,,
64,,,,,,,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
65,,,,,,,Fatality rate - employees,,,,,,,,,,,,,,
66,,,,,,,Number of fatalities - employees,,,,,,-,-,-,-,-,-,-,,
67,,,,,,,"Employees fatality rate (per 1,000,000 hours worked)",,,,,,-,-,-,-,-,-,-,,
68,,,,,,,"Employees fatality rate (per 200,000 hours worked)",,,,,,-,-,-,-,-,-,-,,
