Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
66,,,,,,,4,Promote positive race relations through anti-discrimination strategies.,Research best practice race relations and anti-discrimination policies and implement as part of a fit for purpose plan for MinRes.,,2022-07-01 00:00:00,General Manager Human Resources,Ongoing,,,,,,,,,
67,,,,,,,,,"Conduct a review of HR policies and procedures to identify existing antidiscrimination provisions, and future needs.",,2022-07-01 00:00:00,General Manager Human Resources,Ongoing,,,,,,,,,
68,,,,,,,RESPECT,,,,,,,,,,,,,,,
69,,,,,,,5,"Increase understanding, value and recognition of Aboriginal and Torres Strait Islander cultures, histories, knowledge and rights through cultural learning.","Develop a business case and implement site specific Cultural Awareness training to increase understanding, value and recognition of Aboriginal and Torres Strait Islander cultures, histories, knowledge and rights within our organisation.",,2022-05-01 00:00:00,General Manager Communities and Heritage,Complete,,,,,,,,,
70,,,,,,,,,Conduct a review of cultural learning needs within our organisation.,,2022-06-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
71,,,,,,,6,Demonstrate respect to Aboriginal and Torres Strait Islander peoples by observing cultural protocols.,Develop an understanding of the local Traditional Owners or Custodians of the lands and waters within our organisations operational area.,,2022-05-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
72,,,,,,,,,"Increase staff understanding of the purpose and significance behind cultural protocols, including Acknowledgement of Country and Welcome to Country protocols through Cultural Awareness training and by investigating other opportunities.",,2022-05-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
73,,,,,,,7,Build respect for Aboriginal and Torres Strait Islander cultures and histories by celebrating NAIDOC Week.,Raise awareness and share information among our staff about the meaning of NAIDOC Week.,,2022-06-01 00:00:00,Community Engagement Officer,Complete,,,,,,,,,
74,,,,,,,,,Introduce our staff to NAIDOC Week by promoting external events in the local areas in which we operate.,,2022-07-01 00:00:00,Community Engagement Officer,Complete,,,,,,,,,
75,,,,,,,,,RAP Working Group to participate in an external NAIDOC Week event and share this engagement in a meaningful way with MinRes staff.,,2022-07-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
76,,,,,,,OPPORTUNITIES,,,,,,,,,,,,,,,
77,,,,,,,8,"Improve employment outcomes by increasing Aboriginal and Torres Strait Islander recruitment, retention and professional development.",Develop a business case for Aboriginal and Torres Strait Islander employment within our organisation.,,2022-09-01 00:00:00,General Manager Human Resources,Complete,,,,,,,,,
78,,,,,,,,,Build understanding and gather more information of current Aboriginal and Torres Strait Islander staffing to inform and develop a future employment and professional development opportunities plan.,,2022-06-01 00:00:00,General Manager Human Resources,Complete,,,,,,,,,
79,,,,,,,9,Increase Aboriginal and Torres Strait Islander supplier diversity to support improved economic and social outcomes.,Develop a business case for procurement from Aboriginal and Torres Strait Islander owned businesses.,,2022-09-01 00:00:00,Principal Sustainable Procurement,Complete,,,,,,,,,
80,,,,,,,,,Investigate Supply Nation membership and evaluate the benefits this membership would bring to MinRes.,,2023-01-01 00:00:00,Principal Sustainable Procurement,Complete,,,,,,,,,
81,,,,,,,GOVERNANCE,,,,,,,,,,,,,,,
82,,,,,,,10,Establish and maintain an effective RAP Working Group (RWG) to drive governance of the RAP.,Form a RWG to govern and lead RAP implementation.,,2022-05-01 00:00:00,Principal Indigenous Engagement,Ongoing,,,,,,,,,
83,,,,,,,,,Draft a Terms of Reference for the RWG.,,2022-05-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
84,,,,,,,,,Establish Aboriginal and Torres Strait Islander representation on the RWG.,,2022-05-01 00:00:00,General Manager Communities and Heritage,Ongoing,,,,,,,,,
85,,,,,,,11,Provide appropriate support for effective implementation of RAP commitments.,"Define, budget and procure resource needs for RAP implementation.",,2022-05-01 00:00:00,Executive General Manager Energy,Complete,,,,,,,,,
86,,,,,,,,,Engage senior leaders in the delivery of RAP commitments.,,2022-05-01 00:00:00,Executive General Manager Energy,Complete,,,,,,,,,
87,,,,,,,,,"Define and implement appropriate systems and capability to track, measure and report on RAP commitments.",,2022-05-01 00:00:00,Principal Indigenous Engagement,Complete,,,,,,,,,
88,,,,,,,12,"Build accountability and transparency through reporting RAP achievements, challenges and learnings both internally and externally.",Complete and submit the annual RAP Impact Measurement Questionnaire to Reconciliation Australia.,,2022-09-30 00:00:00,Sustainability Manager,Complete,,,,,,,,,
89,,,,,,,,,Report RAP progress in MinResÃ¢ÂÂ annual Sustainability Report and celebrate key milestones with staff.,,2022-09-01 00:00:00,Sustainability Manager,Complete,,,,,,,,,
90,,,,,,,13,Continue our reconciliation journey by developing our next RAP.,Register via Reconciliation AustraliaÃ¢ÂÂs website to begin developing our next RAP.,,2022-10-01 00:00:00,Principal Indigenous Engagement,Ongoing,,,,,,,,,
