Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,2-10,Nomination and selection of the highest governance body ,Board Nomination Committee Charter,Mineral Resources Website: Corporate Governance - Nomination Committee Charter,,
,,,,,,,2-11,Chair of the highest governance body,Annual Report - Chair's Review,2023 Annual Report (page 6-7),,
,,,,,,,,,MinRes Chair is an Independent Non-Executive Director,,,
,,,,,,,2-12,Role of the highest governance body in overseeing the management of impacts ,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
,,,,,,,2-13,Delegation of responsibility for managing impacts,Mineral Resources Website: Corporate Governance ,Mineral Resources Website: Corporate Governance - Nomination Committee Charter,,
,,,,,,,,,Sustainability Report - Governance - Our Board,2023 Sustainability Report (page 39),,
,,,,,,,,,Sustainability Report - Governance - Executive Leadership Team,2023 Sustainability Report (page 43),,
,,,,,,,2-14,Role of the highest governance body in sustainability reporting ,Sustainability Report - Governance  ,2023 Sustainability Report (page 37-64),,
,,,,,,,,,MinRes Sustainability Committee and Board have oversight and approval of sustainability annual reporting activities. ,,,
,,,,,,,2-15,Conflicts of interest,"Corporate Governance Statement 
",Mineral Resources Website: Corporate Governance Statement,,
,,,,,,,2-16,Communication of critical concerns ,Sustainability Report - Governance  ,2023 Sustainability Report (page 37-64),,
,,,,,,,2-17,Collective knowledge of the highest governance body ,Corporate Governance Statement ,Mineral Resources Website: Corporate Governance Statement,,
,,,,,,,,,"Sustainability Report - Diversity & Inclusion - Diversity in Leadership

All Directors have experience in the governance of other organisations. All Executive Directors appointed to the Sustainability Committee have a deep familiarity with the management of material sustainability issues to enable effective oversight.",2023 Sustainability Report (page 106),,
,,,,,,,2-18,Evaluation of the performance of the highest governance body ,Corporate Governance Statement ,Mineral Resources Website: Corporate Governance Statement,,
,,,,,,,2-19,Remuneration policies,Annual Report - Remuneration Report,2023 Annual Report (page 94-138),,
,,,,,,,,,Sustainability Report - Attracting and Retaining Talent - Reward and employee benefits,2023 Sustainability Report (page 88-89),,
,,,,,,,2-20,Process to determine remuneration,Annual Report - Remuneration Report,2023 Annual Report (page 94-138),,
,,,,,,,2-21,Annual total compensation ratio ,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,,
,,,,,,"GRI 2: General Disclosures 2021: Strategy, policies and practice",2-22,Statement on sustainable development strategy,Sustainability Report - Chair and Sustainability Chair Review ,2023 Sustainability Report (page 4-5),,
,,,,,,,2-23,Policy commitments,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
,,,,,,,,,Sustainability Report - Responsible Supply Chain,2023 Sustainability Report (page 58-64),,
,,,,,,,2-24,Embedding policy commitments ,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
,,,,,,,,,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,2-25,Processes to remediate negative impacts,Sustainability Report - Governance,2023 Sustainability Report (page 37-64),,
,,,,,,,,,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,2-26,Mechanisms for seeking advice and raising concerns ,Sustainability Report – Ethics and Integrity - Whistleblowing Provisions,2023 Sustainability Report (page 45-46),,
,,,,,,,,,Sustainability Performance Data Tables - Ethics & Integrity,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,,2-27,Compliance with laws and regulations,Sustainability Performance Data Tables - Ethics & Integrity,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,,2-28,Membership associations,Sustainability Report – Our Sustainability Approach - Our Stakeholders,2023 Sustainability Report (page 26-27),,
,,,,,,GRI 2: General Disclosures 2021: Stakeholder engagement,2-29,Approach to stakeholder engagement,Sustainability Report – Our Sustainability Approach - Our Stakeholders,2023 Sustainability Report (page 26-27),,
,,,,,,,2-30,Collective bargaining agreements ,Sustainability Report – Diversity and Inclusion - Grievances and Disputes,2023 Sustainability Report (page 103),,
,,,,,,,,,Sustainability Performance Data Tables - Our People,2023 Sustainability Performance Data Tables - Our People,,
,,,,,,,,,Modern Slavery Statement - Our Workforce,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,,,"Employees not covered by collective bargaining agreements are provided with employment agreements that are underpinned by a Modern Award (where applicable for their occupation or industry), and where no Modern Award exists, the agreements are underpinned by the National Employment Standards within the Fair Work Act 2009 (Cth).",,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-1,Process to determine material topics,Sustainability Report – Our Sustainability Approach - Our Material Sustainability Topics,2023 Sustainability Report (page 20-24),,
,,,,,,,,,Additional information in relation to GRI 3-1ai regarding human rights is located in our Modern Slavery Statement,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,3-2,List of material topics ,Sustainability Report – Our Sustainability Approach - Our Material Sustainability Topics,2023 Sustainability Report (page 20-24),,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,GOVERNANCE,,,,,,
,,,,,,,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report – Governance,2023 Sustainability Report (page 37-64),,
,,,,,,GRI 205: Anti Corruption 2016,205-1,Operations assessed for risks related to corruption,Sustainability Report – Ethics and Integrity - Anti-Bribery and Corruption,2023 Sustainability Report (page 48),,
,,,,,,,,,Anti-Bribery and Corruption Policy,Mineral Resources Website: Anti-Bribery and Corruption Policy,,
,,,,,,,205-2,Communication and training about anti-corruption policies and procedures,Sustainability Report – Ethics and Integrity - Code of Conduct and Business Integrity,2023 Sustainability Report (page 44-45),Information unavailable/incomplete,"MinRes does not currently report against GRI 205-2 c, d & e. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. "
,,,,,,,,,Code of Conduct and Business Integrity - Bribery and Corruption,Mineral Resources Website: Code of Conduct and Business Integrity,,
,,,,,,,205-3,Confirmed incidents of corruption and actions taken,No confirmed instance of corruption in FY23,Refer to direct response ,,
,,,,,,,,,Sustainability Report - Our Sustainability Approach - Our Sustainability Performance Targets,2023 Sustainability Report (page 32-35),,
,,,,,,GRI 206: Anti Competitive behaviour,206-1,"Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices","There were no legal actions for anti-competitive behaviour, anti-trust, and monopoly practices during FY23",Refer to direct response ,,
,,,,,,GRI 406: Non-discrimination,406-1,Incidents of discrimination and corrective actions taken ,"Sustainability Report - Ethics & Integrity - Discrimination, Bullying and Harassment",2023 Sustainability Report (page 45),,
,,,,,,,,,Sustainability Performance Data Tables - Ethics & Integrity ,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,GRI 409: Forced or compulsory labour 2016,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labor,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,GRI 410: Security Practices ,410-1,Security personnel trained in human rights policies or procedures ,Sustainability Performance Data Tables - Ethics & Integrity ,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,GRI 418: Customer privacy 2016,418-1,Substantiated complaints concerning breaches of customer privacy and losses of customer data,MinRes received no substantiated complaints in relation to customer privacy and losses of customer data for which we are aware during FY23.,Refer to direct response ,,
,,,,,,,,,,,,
,,,,,,Material Topic: Operating with ethics and integrity,,,,,,
,,,,,,GRI 419: Socioeconomic Compliance 2016,419-1,Non-compliance with laws and regulations in the social and economic area ,Sustainability Performance Data Tables - Ethics & Integrity,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,GRI G4 - MM: Compliance ,G4-S08,Monetary value of significant fines and total number of non-monetary sanctions for non-compliance with laws and regulations ,Sustainability Performance Data Tables - Ethics & Integrity ,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,MinRes specific topic indicator ,,Number of employees who have completed Code of Conduct and Business Integrity e-training,Sustainability Report – Ethics and Integrity - Code of Conduct and Business Integrity,2023 Sustainability Report (page 44-45),,
,,,,,,,,,Sustainability Performance Data Tables - Ethics & Integrity ,2023 Sustainability Performance Data Tables - Ethics and Integrity,,
,,,,,,,,,,,,
,,,,,,Material Topic: Economic performance and value creation,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3, Management of material topics,Sustainability Report - Economic Performance and Value Creation,2023 Sustainability Report (page 52-56),,
,,,,,,GRI 201: Economic Performance,201-1,Direct economic value generated ,Sustainability Report - Economic Performance and Value Creation - Financial and Operational,2023 Sustainability Report (page 52),,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,,201-2,Financial implications and other risks and opportunities due to climate change,Sustainability Report - Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
,,,,,,,,,Climate Change Policy,Mineral Resources Website: Climate Change Policy,,
,,,,,,,,,Sustainability Performance Data Tables - Climate Risks and Opportunities,2023 Sustainability Performance Data Tables - Climate Risks & Opportunities,,
,,,,,,,,,Sustainability Performance Data Tables - TCFD Index,2023 Sustainability Performance Data Tables - TCFD Index ,,
,,,,,,,201-3,Defined benefit plan obligations and other retirement plans,,,Information unavailable,MinRes does not currently report against GRI 201-3. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,201-4,Financial assistance received from government ,,,Information unavailable,MinRes does not currently report against GRI 201-4. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 207: Tax 2019,207-1,Approach to tax,Audit and Risk Committee Charter,Mineral Resources Website: Audit and Risk Committee Charter,,
,,,,,,,,,"Audit and Risk Committee provides review of key financial processes such as the tax and treasury
operations, to ensure prudent management practices are in place.",,,
,,,,,,,,,Tax Transparency Report,Mineral Resources Website: Tax Transparency Report,,
,,,,,,,,,Sustainability Report - Economic Performance and Value Creation - Working with Governments,2023 Sustainability Report (page 53),,
,,,,,,,207-2,"Tax governance, control, and risk management",Sustainability Report - Governance - The Audit and Risk Committee,2023 Sustainability Report (page 40),,
,,,,,,,,,Tax Transparency Report,Mineral Resources Website: Tax Transparency Report,,
,,,,,,,,,Whistleblower Policy ,Mineral Resources Website: Whistleblower Policy,,
,,,,,,,,,Annual Report - Assurance statement,2023 Annual Report (page 220-227),,
,,,,,,,207-3,Stakeholder engagement and management of concerns related to tax,Tax Transparency Report,Mineral Resources Website: Tax Transparency Report,,
,,,,,,,207-4,Country-by-country reporting,Tax Transparency Report,Mineral Resources Website: Tax Transparency Report,,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,GRI G4 MM: Economic Performance ,G4-EC1,Direct economic value generated and distributed ,Sustainability Report - Economic Performance and Value Creation - Financial and Operational,2023 Sustainability Report (page 52),,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,,,,,,,
,,,,,,Material Topic: Responsible Supply Chains,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report - Responsible Supply Chain - Our Management Approach,2023 Sustainability Report (page 58-60),,
,,,,,,GRI 204: Procurement Practices,204-1,Proportion of spending on local suppliers,Sustainability Report  – Responsible Supply Chain - Our Performance,2023 Sustainability Report (page 61-64),,
,,,,,,,,,Sustainability Performance Data Tables - Our Suppliers,2023 Sustainability Performance Data Tables - Our Suppliers,,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,,,,MinRes defines local spend as spend within Western Australia. All our operations and activities are located in Australia.,,,
,,,,,,"GRI 308: 
Supplier Environmental Assessment 2016",308-1,New suppliers that were screened using environmental criteria,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,308-2,Negative environmental impacts in the supply chain and actions taken,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 408: Child Labor ,408-1,Operations and suppliers at significant risk for incidents of child labor,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,GRI 409: Forced of Compulsory Labor ,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labor,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,,,Human Rights Policy,Mineral Resources Website: Human Rights Policy,,
,,,,,,GRI 414: Supplier Social Assessment,414-1,New suppliers that were screened using social criteria,Sustainability Report - Our Sustainability Approach - Our Sustainability Performance Targets,2023 Sustainability Report (page 32-35),,
,,,,,,,,,Sustainability Performance Data Tables - Our Suppliers,2023 Sustainability Performance Data Tables - Our Suppliers,,
,,,,,,,,,Modern Slavery Statement ,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,414-2,Negative social impacts in the supply chain and actions taken,Modern Slavery Statement,Mineral Resources Website: Modern Slavery Statement,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,SOCIAL,,,,,,
,,,,,,,,,,,,
,,,,,,"Material Topic: Health, Safety and Wellbeing",,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,"Sustainability Report – Health, Safety and Wellbeing",2023 Sustainability Report (page 68-84),,
,,,,,,GRI 403: Occupational Health and Safety 2018,403-1,Occupational health and safety management system,"Sustainability Report – Health, Safety and Wellbeing",2023 Sustainability Report (page 68-84),,
,,,,,,,403-2,"Hazard identification, risk assessment, and incident investigation","Sustainability Report – Health, Safety and Wellbeing - Hazard Identification, Risk Assessment and Incident Management",2023 Sustainability Report (page 71-72),,
,,,,,,,403-3,Occupational health services,"Sustainability Report – Health, Safety and Wellbeing - Our Strategic Approach",2023 Sustainability Report (page 77),,
,,,,,,,403-4,"Worker participation, consultation, and communication on occupational health and safety","Sustainability Report – Health, Safety & Wellbeing - Safety Training",2023 Sustainability Report (page 74-75),,
,,,,,,,,,"Sustainability Report – Health, Safety & Wellbeing - Health Training",2023 Sustainability Report (page 82),,
,,,,,,,403-5,Worker training on occupational health and safety,"Sustainability Report – Health, Safety & Wellbeing - Safety Training",2023 Sustainability Report (page 74-75),,
,,,,,,,,,"Sustainability Report – Health, Safety & Wellbeing - Health Training",2023 Sustainability Report (page 82),,
,,,,,,,403-6,Promotion of worker health,"Sustainability Report – Health, Safety and Wellbeing - Our Strategic Approach",2023 Sustainability Report (page 77),,
,,,,,,,,,Sustainability Performance Data Tables - Health and Safety,2023 Sustainability Performance Data Tables - Health and Safety,,
,,,,,,,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,"Sustainability Report – Health, Safety and & Wellbeing - Contractor Management",2023 Sustainability Report (page 74),,
,,,,,,,403-8,Workers covered by an occupational health and safety management system,Sustainability Report – Our Safety Management Framework,2023 Sustainability Report (page 71),,
,,,,,,,,,Health and Safety Policy,Mineral Resources Website: Health and Safety Policy,,
,,,,,,,403-9,Work-related injuries,"Sustainability Report – Health, Safety & Wellbeing - Our Performance",2023 Sustainability Report (page 75-77),,
,,,,,,,,,Sustainability Performance Data Tables - Health and Safety,2023 Sustainability Performance Data Tables - Health and Safety,,
,,,,,,,403-10,Work-related ill health,"Sustainability Report – Health, Safety and Wellbeing - Our Health and Wellbeing Program",2023 Sustainability Report (page 78-82),,
,,,,,,,,,Sustainability Performance Data Tables - Health and Safety,2023 Sustainability Performance Data Tables - Health and Safety,,
,,,,,,GRI G4 - MM: Occupational Health and Safety ,G4-LA6,"Type of injury and rates of injury, occupational diseases, lost days and absenteeism, and total number of work related fatalities, by region and by gender ",,,Information unavailable,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,,,,,,
,,,,,,Material Topic: Attracting and retaining talent ,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report – Attracting and Retaining Talent,2023 Sustainability Report (page 86-94),,
,,,,,,GRI 202: Market Presence,202-1,Ratios of standard entry level wage by gender compared to local minimum wage ,,,Information unavailable/incomplete,MinRes does not currently report against GRI 202-1. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,202-2,Proportion of senior management hired from the local community,,,Information unavailable/incomplete,MinRes does not currently report against GRI 202-2. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 401: Employment 2016,401-1,New employee hires and employee turnover ,Sustainability Report - Attracting and Retaining Talent - Employee Retention,2023 Sustainability Report (page 87-88),,
,,,,,,,,,Sustainability Performance Data Tables - Diversity,2023 Sustainability Performance Data Tables - Diversity,,
,,,,,,,401-2,Benefits provided to full-time employees that are not provided to temporary or part-time employees,Sustainability Report – Attracting and Retaining Talent - Reward and employee benefits,2023 Sustainability Report (page 88-89),Information unavailable/incomplete,Partially disclosed. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,401-3,Parental leave ,Sustainability Report - Diversity and Inclusion - Supporting Families and New Parents,,Information unavailable/incomplete,MinRes does not currently report against GRI 401-3.  MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 404: Training and Education,404-1,Average hours of training per year per employee ,Sustainability Performance Data Tables - Training & Career Entry Pathways,2023 Sustainability Performance Data Tables - Training & Career Entry Pathways,,
,,,,,,,404-2,Programs for upgrading employee skills and transition assistance programs ,Sustainability Report - Attracting and Retaining Talent - Career Entry Pathways,2023 Sustainability Report (page 89-93),,
,,,,,,,,,Sustainability Performance Data Tables - Training & Career Entry Pathways,2023 Sustainability Performance Data Tables - Training & Career Entry Pathways,,
,,,,,,,404-3,Percentage of employees receiving regular performance and career development reviews,,,Information unavailable/incomplete, MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 402: Labor/Management Relations 2016,402-1,Minimum notice periods regarding operational changes ,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI G4 - MM: Labor/Management Relations,MM4,"Number of strikes and lock-outs exceeding one week's duration, by country ",No strikes and lock outs have occurred over 2023,Refer to direct response,,
,,,,,,MinRes specific topic indicators,,Number of apprenticeships by gender and Indigenous status,Sustainability Performance Data Tables - Training & Career Entry Pathways,2023 Sustainability Performance Data Tables - Training & Career Entry Pathways,,
,,,,,,,,Number of traineeships by gender and Indigenous status,Sustainability Performance Data Tables - Training & Career Entry Pathways,2023 Sustainability Performance Data Tables - Training & Career Entry Pathways,,
,,,,,,,,Number of graduates by gender and Indigenous status,Sustainability Performance Data Tables - Training & Career Entry Pathways,2023 Sustainability Performance Data Tables - Training & Career Entry Pathways,,
,,,,,,,,,,,,
,,,,,,Material Topic: Diversity and Inclusion,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report – Diversity and Inclusion,2023 Sustainability Report (page 96-106),,
,,,,,,GRI 405: Diversity and Equal Opportunity 2016 ,405-1,Diversity of governance bodies and employees,Sustainability Report – Diversity and Inclusion,2023 Sustainability Report (page 96-106),,
,,,,,,,,,Sustainability Performance Data Tables - Diversity,2023 Sustainability Performance Data Tables - Diversity,,
,,,,,,,405-2,Ratio of basic salary and remuneration of women and men,,,Information unavailable/incomplete, MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,MinRes specific topic indicator,,Gender balance per MinRes occupational categories,Sustainability Report – Diversity and Inclusion - Our Diversity and Inclusion Performance,2023 Sustainability Report (page 104-106),,
,,,,,,,,,Sustainability Performance Data Tables - Diversity,2023 Sustainability Performance Data Tables - Diversity,,
,,,,,,,,,,,,
,,,,,,Material Topic: Managing land access & cultural heritage,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report - Land Access and Cultural Heritage,2023 Sustainability Report (page 108-117),,
,,,,,,GRI 203 Indirect economic impacts 2016,203-1 ,Infrastructure investments and services supported,Sustainability Report - Managing Land Access & Cultural Heritage - Our Approach to Indigenous Engagement,2023 Sustainability Report (page 114-116),Information unavailable/incomplete,MinRes does not currently report against all criteria of GRI 203-1. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,,,Sustainability Report - Economic Performance and Value Creation - Financial and Operational,2023 Sustainability Report (page 52),,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,,203-2,Significant indirect economic impacts,Sustainability Report - Community and Stakeholder Relationships - Our Social Investment Program,2023 Sustainability Report (page 119-121),Information unavailable/incomplete,MinRes does not currently report against all criteria of GRI 203-2. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 411: Rights of Indigenous Peoples ,411-1,Incidents or violations involving the rights of Indigenous Peoples,Sustainability Performance Data Tables - Cultural Heritage,2023 Sustainability Performance Data Tables - Cultural Heritage,,
,,,,,,,,,,,,
,,,,,,Material Topic: Community & stakeholder relationships,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report - Community and Stakeholder Relationships,2023 Sustainability Report (page 118-121),,
,,,,,,GRI 413: Local communities 2016,413-1,"Operations with local community engagement, impact assessments, and development programs",Sustainability Report - Community and Stakeholder Relationships - Managing Our Relationships with Communities and Stakeholders,2023 Sustainability Report (page 120-121),Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,413-2,Operations with significant actual and potential negative impacts on Local communities,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,GRI 415: Public Policy ,415-1 ,Political contributions ,Sustainability Performance Data Tables - Ethics & Integrity,2023 Sustainability Performance Data Tables - Ethics & Integrity,,
,,,,,,MinRes specific topic indicators,,MinRes community donations,Sustainability Report – Community and Stakeholder Relationships - Our Social Investment Program,2023 Sustainability Report (page 119-121),,
,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,ENVIRONMENT,,,,,,
,,,,,,,,,,,,
,,,,,,Material Topic: Managing environmental impacts,,,,,,
,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics ,3-3,Management of material topics,Sustainability Report – Environment,2023 Sustainability Report (page 126-159),,
,,,,,,GRI 305: Emissions 2016,305-7,"Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",Sustainability Report – Environment - Air Quality,2023 Sustainability Report (page 127-128),,
,,,,,,,,,Sustainability Performance Data Tables - Air Quality,2023 Sustainability Performance Data Tables - Air Quality,,
,,,,,,GRI G4 MM: Emissions ,G4-EN21,"NOX, SOX and other significant air emissions ",Sustainability Report – Environment - Air Quality,2023 Sustainability Report (page 127-128),,
,,,,,,,,,Sustainability Performance Data Tables - Air Quality,2023 Sustainability Performance Data Tables - Air Quality,,
,,,,,,GRI 303: Water and Effluents 2018,303-01,Interactions with water as a shared resource,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),Information unavailable/incomplete,MinRes does not currently report against GRI 303-01 d. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,303-02,Management of water discharge-related impacts,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
,,,,,,,303-3,Water withdrawal,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
,,,,,,,303-4,Water discharge,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
,,,,,,GRI 304: Biodiversity ,304-1,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Sustainability Report – Environment - Biodiversity,2023 Sustainability Report (page 147-154),,
,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
,,,,,,,304-2,"Significant impacts of activities, products, and services on biodiversity ",Sustainability Report – Environment - Biodiversity,2023 Sustainability Report (page 147-154),Information unavailable/incomplete, MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework. 
,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
