Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,,,,,Risk ,Most relevant scenario,Risk Description,Potential Financial Consequence,,Consequence,Likelihood,Severity,Potential Financial Impact,,,,,,,,,,,,
,,,,,,PHYSICAL - ACUTE,,,,,,,,,,,,,,,,,,,,
,,,,,,Extreme events,"· Current Trajectory (More likely)
· Paris Aligned (Likely)
· Net zero Trajectory (Likely)","Changes to the intensity and frequency of extreme events such as cyclones, floods and fire events has the potential to increase the risk of damage to MinRes facilities and existing infrastructure such as access roads, rail lines and port facilities. This has the potential to impact construction and development of new facilities and infrastructure, which may result in interruptions and delays to business operations, disruptions to supply chains, transportation and logistics (such as rail and shipping schedules). Furthermore, this also has potential to harm the health and safety of the MinRes workforce, cause disruptions to supply chains, transportation and logistics (such as rail and shipping schedules).","· Increased operating costs and capital costs
· Reduced revenue from decreased production capacity 
· Reduced revenue and higher costs from negative impacts on employees
· Shortened asset mine life
· Increased insurance premiums and potentially reduced availability on assets in high-risk locations",,Minor,Possible,Medium,>2% and <5% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PHYSICAL - CHRONIC,,,,,,,,,,,,,,,,,,,,
,,,,,,Average and maximum temperatures,"· Current Trajectory (More likely)
· Paris Aligned (Likely)
· Net zero Trajectory (Less likely)","Climate change is likely to cause an increase in the long-term average and maximum temperatures in areas of MinRes operations, including construction projects. This increases the risks associated with employee health and safety due to more extreme-heat days and longer-term exposure to higher temperatures. This may also result in health and safety impacts on the workforce due to heat stress and/or require alterations to current rostering schedules, which may increase operational costs. Higher temperatures may also necessitate increased air conditioning for cooling of offices and buildings resulting in increased energy cost and GHG emissions.","· Increased operating costs and capital costs
· Reduced revenue from decreased production capacity
· Policy and legal risks intensified ",,Minor,Unlikely,Low,< 2% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,Water,"· Current Trajectory (More likely)
· Paris Aligned (Likely)
· Net zero Trajectory (Less likely)","Climate change will result in increased temperatures and reduced rainfall where MinRes operates with Utah Point Hub, Ashburton Hub and South West Creek Hub operations rainfall potentially decreasing by 1.5 per cent to 6 per cent under differing scenarios. This increases the risk associated with water availability and quality for MinRes operations. While water risks vary across the locations where MinRes operates, this risk may result in the costly import of water into certain locations unless recycling rates can be increased. If extreme climatic events do get worse with increased water stress, floods, droughts, sea level rises as predicted by the climate models, further pro-active management and mitigation measures may have to be taken to ensure that operations do not experience business interruption and loss of production. Water related infrastructure, such as water supply reservoirs, dam spillways and river levees, have been designed for historic rainfall patterns. 

Upgrading this infrastructure to cope with increased flooding and drought may be required if weather patterns change.",· Increased operating costs and capital costs,,Minor,Possible,Medium,>2% and <5% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,TRANSITION - POLICY AND LEGAL,,,,,,,,,,,,,,,,,,,,
,,,,,,Carbon Pricing ,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","In response to climate change, governments will seek to reduce emissions from industry through the implementation of rapidly rising carbon pricing mechanisms, such as emission trading schemes or a carbon tax. The world is transitioning to a blanket carbon price estimated by the High-Level Commission on Carbon Prices to reach $50 -$100 USD per tonne by 2030 (where carbon cost pass through is normal practice). This change presents a risk as there may be a period when increased carbon costs cannot be passed through to customers. ","· Increased operating costs
· Increased costs and/or reduced demand for products and services
· Legal fines and costs",,Minimal,Likely ,Low,<2% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,Increased data collection and reporting requirements,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Governments, regulatory bodies and other interested stakeholders are responding to climate change by seeking increased disclosure of GHG emissions from industry. This poses a risk that the calculation and disclosure of Scope 3 emissions (non-operational emissions associated with upstream and downstream activities) may become mandatory. This would place increased data collection and reporting and resourcing requirements on MinRes.","· Increased operating costs
· Increased costs and/or reduced demand for products and services",,Minimal,Likely ,Low,<2% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,Supply chain management,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","As the global economy seeks to address climate change, organisations unable to manage climate risks and decarbonise may not meet customer, supplier or stakeholder hurdle requirements in their procurement, supply or support practices and policies. This may pose potential adverse impacts on MinRes reputation, supply chain and market perceptions; as well as potentially limit future business.","· Increased operating costs
· Increased costs and/or reduced demand for products and services",,Minor,Possible,Medium,>2% and <5% of EBITDA or cash flow,,,,,,,,,,,,
,,,,,,Natural gas/Liquefied natural gas (LNG),"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Low-carbon renewable energy and storage technologies have the potential to produce lower cost energy than higher emission alternatives. This poses a risk of reduced value associated with MinRes natural gas assets. This may result in potential adverse financial impacts, loss of business opportunities and adverse impacts on market perception.","· Increased operating costs
· Increased costs and/or reduced demand for products and services",,Major,Possible,High,">7% and <10% of EBITDA or cash flow
",,,,,,,,,,,,
,,,,,,TRANSITION - TECHNOLOGY,,,,,,,,,,,,,,,,,,,,
,,,,,,Changing consumer and customer demand,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","As the global economy seeks to address climate change, there is a risk that emission intensive products, such as iron ore, may suffer from reduced demand. This may negatively affect demand for MinRes products and services, resulting in adverse financial impacts, loss of business opportunities, impact on market perception and business growth.","· Reduced demand for products/services
· R&D expenditures in new and alternative technology
· Capital investments in technology development
· Costs to adopt/ deploy new practices / processes. ",,Moderate,Possible,Medium ,">5% and <7% of EBITDA or cash flow
",,,,,,,,,,,,
,,,,,,Product substitution,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Policies introduced to manage climate change may result in price increases in core MinRes products, such as iron ore. This poses a risk of product substitution and increased levels of recycling (e.g., scrap, plastics, titanium). This may reduce demand for iron ore and MinRes services, potentially creating an adverse impact on MinRes’ financial position and an impact on market perceptions.","· Reduced demand for products/services
· R&D expenditures in new and alternative technology
· Capital investments in technology development
· Costs to adopt/ deploy new practices / processes. ",,Critical,Possible,Very High,">10% of EBITDA or cash flow, announceable to the ASX
",,,,,,,,,,,,
,,,,,,TRANSITION - MARKET,,,,,,,,,,,,,,,,,,,,
,,,,,,Scrutiny and activism,"· Net zero Trajectory (More Likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","As the global economy seeks to address climate change, there is an increasing risk that organisations unable to manage climate risk and decarbonise will be subject to scrutiny by a range of stakeholders including governments, investors, non-government organisations (NGOs) and communities. This may negatively affect MinRes reputation, its ability to attract new business opportunities and its ability to attract and retain talent. Investor activism is increasing and year on year the sector is experiencing an increasing pressure on the world’s major energy firms to transform their businesses.","· Reduced demand for goods/services due to shifted customer preference
· Increased production costs due to changing input prices and output requirements
· Change in revenue mix/sources resulting in decreased revenues ",,Major ,Unlikely ,High ,">7% and <10% of EBITDA or cash flow
",,,,,,,,,,,,
,,,,,,TRANSITION - REPUTATION,,,,,,,,,,,,,,,,,,,,
,,,,,,Cost of capital,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","As the global economy seeks to address climate change, there is a risk that organisations unable to manage climate risk and decarbonise will be subject to increased costs of capital as investors and financial organisations seek to manage climate risk within their portfolio. Potential impacts of this include a damage to reputation, impact on market perceptions, increased financial costs and potential loss of business opportunities.","· Reduction in capital availability 
· Increased operating and capital costs 
· Policy and legal risks intensified 
",,Major,Possible,High,">7% and <10% of EBITDA or cash flow
",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 2: Climate-related opportunities,,,,,,,,,,,,,,,,,,,,
,,,,,,Opportunity,Most relevant scenario,Opportunity Description,,,,Potential Financial Impact,,,,,,,,,,,,,,
,,,,,,Resource Efficiency ,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Likely)
· Net zero Trajectory/Current Trajectory and Paris Aligned (Equally likely)","Operational efficiency: Driving decarbonisation through operational efficiency will play a key role in mitigating climate change. Energy savings in diesel consumption can be gained through activities such as improved payload management, idle time management and logistics and haulage optimisation. These activities are an opportunity to return economic value while also reducing air pollutants emitted from construction and mining operations. Generating greater income or returns for the same or lower cost than an alternative may present commercial advantage to MinRes.

Water: Long-term climate change has the potential to impact water availability and quality. As such, demonstrated efficiency in water use and management may provide enhanced corporate reputation and/or investor ratings, new business opportunities and commercial advantage to MinRes.",,,,"· New and diverse revenue streams 
· Reduction in operation costs ",,,,,,,,,,,,,,
,,,,,,Energy Source,"· Net zero Trajectory (More likely)
· Paris Aligned (More Likely)
· Current Trajectory (Likely)","Diesel displacement: As the focus on addressing climate change increases, emission intensive fuels, such as diesel, will be increasingly under the spotlight. The current industry reliance on diesel for remote mining operations provides a specific opportunity for lower-emission energy sources, such as gas, to be used more extensively. This may present an opportunity for MinRes to develop solutions for its own operations and customers, providing alternative revenue streams. This may strengthen MinRes’ competitive advantage, enhance its corporate reputation and allow for the development of new business opportunities.

Electrification: Addressing climate change will drive coordinated efforts for large scale electrification in the mining industry. Opportunities to replace a significant volume of fossil fuels on our mine sites will result in lowering energy costs and emissions. Additionally, if renewable electricity is consumed, the greenhouse gas emissions lower significantly.

Solar and battery: In all three climate scenarios, large-scale solar and battery is expected to perform well as a micro-grid energy solution that is becoming increasingly commercially viable to support decarbonisation. MinRes can reduce its operational reliance on diesel power plants through solar, while reducing costs and increasing reliability of energy supply. In September 2020, MinRes acquired Wonmunna iron ore mine, and with consideration of a carbon price, has commenced rollout of a 2.1MW solar array along with a battery storage facility, to be commissioned in under two years from project onboarding.

Energy storage: Renewable energy technology and electric vehicles will drive increased battery demand for energy storage under both the Net Zero Trajectory and Paris Aligned pathway scenarios. Energy storage supports solar and wind power enabling full potential gains of the energy generated. As the world’s demand for electric vehicles and energy storage grows, this could increase demand for MinRes’ lithium product which has a significant application in batteries.

Hydrogen: Renewable hydrogen-based fuels are projected to form part of Australia’s energy mix to help drive down emissions and provide an opportunity to build a competitive export industry. The Low Emissions Technology Statement has set the goal for hydrogen production below AUD$2 per kilogram and the Government’s National Hydrogen Strategy sets the vision for commercial renewable hydrogen exports by 2030. As technology evolves, MinRes will canvas opportunities to adopt new technology once commercial scalability has been achieved.

Wind power: Is currently one of the most cost-effective sources of large-scale renewable energy. Potential opportunities exist for MinRes to advance into this sector of renewables with onboarding of future assets.

Geothermal1: Provides an opportunity for baseload power sourced from the production of hot water from sedimentary aquifers at depth, where production can be sustained over time. Geothermal is an emerging industry in Australia. It has been estimated Australia’s total energy requirements for 26,000 years could be supplied by one per cent of the geothermal resources at less than five kilometres in depth and at temperatures greater than 150°C (Geoscience Australia, 2021) .
",,,,"· Reduction in operation costs
· Increased productivity",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Products and services ,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Natural gas/LNG: Our short-term transitionary decarbonisation efforts will include gas alternatives. Our wholly owned subsidiary, MinRes Energy, continues to identify and explore opportunities to develop and secure low-cost gas solutions to support the growth and development of MinRes and the broader resource industry and communities in Western Australia.

Demand for lower carbon goods and services: As the world transitions to a lower-emission economy, the drive for resource and carbon efficiency will increase the demand for alternative light-weight products in mining operations such as carbon fibre mining components. This provides potential for MinRes to identify opportunities to invest in and utilise emerging technologies applicable to the mining sector. MinRes’ portfolio is aimed at enabling a low carbon future with our lithium resources to assist in indirectly reducing energy consumption and environmental impacts. 

The MinRes Board is committed to no investments in thermal coal.

Mining innovation: MinRes has a strong internal capability across business divisions to be able to implement highly technical solutions. Leveraging understanding of the requirements of a net zero transition will support the provision of services to brownfields and new greenfield clients, while continuing to drive innovation through our carbon fibre technologies, our NextGen crushing technology and jumbo road train automation.",,,,"· Diversified portfolio
· Reduction in operation costs",,,,,,,,,,,,,,
,,,,,,Markets ,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Diversifying our portfolio: MinRes is well positioned as an enabler of a low-carbon economy, including our lithium operations supporting the transition to a low-carbon future. MinRes is set to benefit from potential additional demand projected under all scenarios over the next 30 years.

Carbon pricing: In response to climate change, governments are seeking to reduce emissions from high emitting industry through the implementation of rapidly rising carbon pricing mechanisms, updated policy and regulatory reforms. MinRes anticipates adoption will be accelerated under a Net Zero Trajectory scenario. While there is a level of risk assumed under different carbon pricing and regulatory scenarios, such as those described in Table 1, the opportunity exists to improve MinRes’ competitive position given our GHG emissions performance compared to our peers and our practical strategy in place to enable net zero by 2050.",,,,,,,,,,,,,,,,,,
,,,,,,Resilience ,"· Net zero Trajectory (More likely)
· Paris Aligned (Likely)
· Current Trajectory (Less likely)","Design for net zero: Planned greenfield operations dominate MinRes future emissions profile and commissioning these new operations provides a unique opportunity to design them as ‘net zero ready’. Early consideration of future potential infrastructure and operational characteristics required for a net zero mine prevents the lock-in of high emissions equipment. 

Learnings taken from MinRes existing sites, applied to our planned greenfield sites, provides an opportunity for MinRes to increase resilience of its operations and services under a changing climate. This may result in enhanced competitive advantage over the long-term and reduced capital expenditure on climate change adaptation.",,,,· Diversification of revenue streams ,,,,,,,,,,,,,,
,,,,,,"1 Geoscience Australia, 2021. Geothermal Energy Resources. Available: https://www.ga.gov.au/scientific-topics/energy/resources/geothermal-energy-resources.",,,,,,,,,,,,,,,,,,,,
