Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ashburton,-,257,-,197,14,468,0.32577903682719545,,,,,,,,,,,,,,
,,,,,,Perth,86,1762,4,147,78,2077,0.5663650075414781,,,,,,,,,,,,,,
,,,,,,Pilbara,-,716,-,27,18,761,0.36624775583482944,,,,,,,,,,,,,,
,,,,,,Port Hedland,-,778,-,12,9,799,1.0699481865284974,,,,,,,,,,,,,,
,,,,,,Yilgarn,-,1428,-,68,21,1517,0.29106382978723405,,,,,,,,,,,,,,
,,,,,,Rest of Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,New South Wales,-,-,-,-,-,-,-,,,,,,,,,,,,,,
,,,,,,Northern Territory,-,47,-,2,-,49,1.0416666666666667,,,,,,,,,,,,,,
,,,,,,Queensland,-,10,-,-,1,11,-0.08333333333333333,,,,,,,,,,,,,,
,,,,,,International,,,,,,,,,,,,,,,,,,,,,
,,,,,,China,-,-,-,4,0,4,-,,,,,,,,,,,,,,
,,,,,,USA,-,1,-,-,-,1,-,,,,,,,,,,,,,,
,,,,,,Total ,86,4999,4,457,141,5687,0.47217188713435154,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 3: Total employees by employment contract type and region during FY22,,,,,,,,,,,,,,,,,,,,,
,,,,,,Region,Permanent Part-time,Permanent Full-time,Fixed-term Part-time,Fixed-term Full-time,Casual,Total ,,,,,,,,,,,,,,,
,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ashburton,-,341,-,2,10,353,,,,,,,,,,,,,,,
,,,,,,Perth,54,1085,1,143,43,1326,,,,,,,,,,,,,,,
,,,,,,Pilbara-Marble Bar,-,26,-,3,-,29,,,,,,,,,,,,,,,
,,,,,,Pilbara-Newman,-,517,-,17,23,557,,,,,,,,,,,,,,,
,,,,,,Port Hedland,-,308,-,77,1,386,,,,,,,,,,,,,,,
,,,,,,Yilgarn,-,1119,-,47,9,1175,,,,,,,,,,,,,,,
,,,,,,Rest of Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,New South Wales,-,1,-,-,-,1,,,,,,,,,,,,,,,
,,,,,,Northern Territory,-,23,-,1,-,24,,,,,,,,,,,,,,,
,,,,,,Queensland,-,11,-,-,1,12,,,,,,,,,,,,,,,
,,,,,,Total ,54,3431,1,290,87,3863,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 4: Total employees by employment contract type and region during FY21,,,,,,,,,,,,,,,,,,,,,
,,,,,,Region,Permanent Part-time,Permanent Full-time,Fixed-term Part-time,Fixed-term Full-time,Casual,Total ,,,,,,,,,,,,,,,
,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ashburton,-,214,-,3,8,225,,,,,,,,,,,,,,,
,,,,,,Perth,31,717,5,209,68,1030,,,,,,,,,,,,,,,
,,,,,,Pilbara-Marble Bar,-,23,-,-,-,23,,,,,,,,,,,,,,,
,,,,,,Pilbara-Newman,-,613,-,109,9,731,,,,,,,,,,,,,,,
,,,,,,Port Hedland,-,40,-,2,1,43,,,,,,,,,,,,,,,
,,,,,,Yilgarn,-,1084,-,90,9,1183,,,,,,,,,,,,,,,
,,,,,,Rest of Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,New South Wales,-,1,-,-,-,1,,,,,,,,,,,,,,,
,,,,,,Northern Territory,-,22,-,-,-,22,,,,,,,,,,,,,,,
,,,,,,Queensland,1,7,-,1,1,10,,,,,,,,,,,,,,,
,,,,,,Total ,32,2721,5,414,96,3268,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 5: Total employees by employment contract type and region during FY20,,,,,,,,,,,,,,,,,,,,,
,,,,,,Region,Permanent Part-time,Permanent Full-time,Fixed-term Part-time,Fixed-term Full-time,Casual,Total ,,,,,,,,,,,,,,,
,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ashburton,-,142,-,1,-,143,,,,,,,,,,,,,,,
,,,,,,Perth,19,554,4,128,47,752,,,,,,,,,,,,,,,
,,,,,,Pilbara-Newman,-,517,-,56,4,521,,,,,,,,,,,,,,,
,,,,,,Port Hedland,-,8,-,-,1,56,,,,,,,,,,,,,,,
,,,,,,Yilgarn,19,2070,4,191,63,844,,,,,,,,,,,,,,,
,,,,,,Rest of Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Northern Territory,-,21,-,-,-,21,,,,,,,,,,,,,,,
,,,,,,Queensland,-,827,-,6,11,9,,,,,,,,,,,,,,,
,,,,,,International,,,,,,,,,,,,,,,,,,,,,
,,,,,,China,-,0,-,-,-,0,,,,,,,,,,,,,,,
,,,,,,Total ,38,4139,8,382,126,2346,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 6: Total employees by employment contract type and region during FY19,,,,,,,,,,,,,,,,,,,,,
,,,,,,Region,Permanent Part-time,Permanent Full-time,Fixed-term Part-time,Fixed-term Full-time,Casual,Total ,,,,,,,,,,,,,,,
,,,,,,Western Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ashburton,-,45,-,6,-,51,,,,,,,,,,,,,,,
,,,,,,Perth,15,560,-,43,47,665,,,,,,,,,,,,,,,
,,,,,,Pilbara-Newman,-,390,-,4,2,396,,,,,,,,,,,,,,,
,,,,,,Port Hedland,-,332,-,509,-,841,,,,,,,,,,,,,,,
,,,,,,Yilgarn,-,641,-,26,7,674,,,,,,,,,,,,,,,
,,,,,,Rest of Australia,,,,,,,,,,,,,,,,,,,,,
,,,,,,Northern Territory,-,18,-,-,-,18,,,,,,,,,,,,,,,
,,,,,,Queensland,-,-,-,-,-,0,,,,,,,,,,,,,,,
,,,,,,International,,,,,,,,,,,,,,,,,,,,,
,,,,,,China,-,1,-,-,-,1,,,,,,,,,,,,,,,
,,,,,,Total ,15,1987,0,588,56,2646,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2-21 | Annual total compensation ratio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 7: Compensation of highest paid individual to median salary,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FY23,,,,,,,,,,,,,,,,,,,
,,,,,,Compensation of highest paid individual ($)1,,3385447,,,,,,,,,,,,,,,,,,,
,,,,,,Median annual total compensation for all employees ($),,175411.93,,,,,,,,,,,,,,,,,,,
,,,,,,Compensation ratio,,19.299981477884657,,,,,,,,,,,,,,,,,,,
,,,,,,"1 Chris Ellison is the highest paid executive within the organisation and is the Managing Director (MD). Additionally, this is the maximum total package as it includes Short Term Incentives and Long Term Incentives that may not meet the requirements to vest in the future.",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 2-30 | Collective bargaining agreements ,,,,,,,,,,,,,,,,,,,,,
,,,,,,SASB EM-MM-310a.1 | Percentage of active workforce covered under collective bargaining agreements,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 8: Employees covered by collective bargaining agreements ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,,,,,,,,
,,,,,,Percentage employees covered by collective bargaining agreements,0.4462,0.4705,0.4184,0.44002447980416154,0.36991975148848044,0.29998241603657466,-0.18906083054633452,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SASB EM-MM-310a.2 | Number and duration of strikes and lockouts,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 9: Work stoppages due to employee-related disputes,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,FY22,FY23,Trend from FY22,,,,,,,,,,,,,,,,,
,,,,,,Number of work stoppages,,-,-,-,,,,,,,,,,,,,,,,,
,,,,,,Duration of work stoppages,,-,-,-,,,,,,,,,,,,,,,,,
