Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
23,,Commercial Property,0.4827586206896552,0.44086021505376344,0.43,0.375,0.373,,,,,,,,,,
24,,Corporate,0.5415282392026578,0.535593220338983,0.487,0.48375451263537905,0.493,,,,,,,,,,
25,,Residential,,,,,,,,,,,,,,,
26,,Retirement Living,,,,,,,,,,,,,,,
27,,Stockland Communities,0.35471698113207545,0.3992673992673993,0.476,0.4968152866242038,0.455,,,,,,,,,,
29,,"1. Includes Stockland Leadership Team, General Manager, Senior Manager and Manager job bands. Includes permanent employees, fixed term employees, and employees on extended leave. It excludes casuals, Board members, special contractors, temps and vendors.",,,,,,,,,,,,,,,
30,,2. There was one Senior Manager in FY22 who did not identify as a male or a female.,,,,,,,,,,,,,,,
32,,Average fixed remuneration ratio by job band4,,,,,,,,,,,,,,,
34,,Job band1,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,
35,,Executive,0.6870967741935483,0.6816393442622951,0.5988461538461539,0.63,0.64,,,,,,,,,,
36,,Senior Management2,0.8529959670248116,0.8527808005171867,0.8846165135775064,0.88,0.87,,,,,,,,,,
37,,Management3,0.9099539453862996,0.8923866564388011,0.8612719190323167,0.85,0.84,,,,,,,,,,
38,,Employee/Professional Technical,0.8604144342418729,0.8927186118267846,0.8949730577561062,0.89,0.87,,,,,,,,,,
39,,Stockland4,0.7811942685164395,0.7584001463932948,0.7425257712067359,0.73,0.71,,,,,,,,,,
41,,1. Average fixed remuneration ratio looks at the ratio of the average female fixed pay to the average male fixed pay by job band. Casual employees are not included in the calculation.,,,,,,,,,,,,,,,
42,,"2. In FY23, Senior Management includes Executive General Manager, Senior Manager and General Manager job bands. The Executive General Manager job band was newly introduced after FY22.",,,,,,,,,,,,,,,
43,,3. Management only includes the Manager job band.,,,,,,,,,,,,,,,
44,,4. The ratio is a function of full time equivalent total pay and employee number by gender.,,,,,,,,,,,,,,,
46,,Gender pay equity ratio,,,,,,,,,,,,,,,
47,,The methodology of measuring pay equity is limited if based solely on average fixed pay by job band as it ignores different market values placed on different jobs. A better and more accurate process is to assess gender pay equity by considering an individualÃ¢ÂÂs positioning against the relevant market benchmark. This analysis is shown below in the gender pay equity ratio table.,,,,,,,,,,,,,,,
49,,,FY232,FY22,FY21,FY20,FY19,FY18,FY17,FY16,FY15,,,,,,
50,,Stockland1,0.9759894299562797,0.988,0.986,0.992,0.985,0.983,0.986,0.974,0.972,,,,,,
52,,"1. The gender pay equity ratio is calculated by dividing the female compa-ratio by the male compa-ratio for employees. Compa-ratio represents the ratio of employeesÃ¢ÂÂ Fixed Pay to the median of the applicable benchmark. For example, if an employeeÃ¢ÂÂs Fixed Pay is $120,000 and the market mid-point is $100,000, the compa-ratio versus the median of the applicable benchmark is 120% ($120,000 / $100,000). An employeeÃ¢ÂÂs position against the applicable benchmark will vary based on relative experience and skills. If a female has a compa-ratio of 102% and a male has a compa-ratio of 104%, then the gender pay equity ratio would be 98%. A gender pay equity ratio that is less than 100% suggests that males are better positioned against market in comparison to females, whereas a gender pay equity ratio that is 100% or higher suggests that females are equally or better positioned against market in comparison to males.",,,,,,,,,,,,,,,
53,,2. The ratio excludes Stockland Leadership Team.,,,,,,,,,,,,,,,
56,,Workforce by cultural background,,,,,,,,,,,,,,,
58,,Culture1,FY2312,FY2211,FY21,FY202,FY193,FY184,FY175,FY166,FY157,,,,,,
59,,Australian,,0.61,0.5866788321167883,0.696,0.623,0.623,0.562,0.625,0.562,,,,,,
60,,Aboriginal and Torres Strait Islander,,0,0.017335766423357664,0.02,0.008,0.007,0.004,0,0.004,,,,,,
61,,European8,,0.15999999999999998,0.1478102189781022,0.121,0.18,0.19,0.254,0.228,0.254,,,,,,
62,,Asian9,,0.09999999999999999,0.12956204379562045,0.108,0.109,0.089,0.093,0.087,0.093,,,,,,
63,,Maori and New Zealand,,0,0.01824817518248175,0.022,0.018,0.018,0.024,0.023,0.024,,,,,,
64,,Middle Eastern,,0.01,0.01824817518248175,0.014,0.012,0.013,0.008,0,0.008,,,,,,
65,,South African,,0.01,0.010036496350364963,,0.008,0.009,0.01,0.012,0.01,,,,,,
66,,North American,,0.01,0.009124087591240875,,,0.009,0.006,0,0.006,,,,,,
67,,Other10,,0.14,0.06295620437956205,0.019,0.042,0.043,0.04,0.025,0.04,,,,,,
69,,"1. Data presented as a percentage of respondents who chose to disclose their cultural background to the Our Voice survey, StocklandÃ¢ÂÂs employee engagement survey. Some employees choose not to disclose their cultural background. Responses to this survey are completely confidential Ã¢ÂÂ Stockland has no access to individual data points. Employee participation rate fell from 83% in FY20 to 70% in FY21.",,,,,,,,,,,,,,,
70,,2. 83% of respondents chose to disclose their cultural background in FY20.,,,,,,,,,,,,,,,
71,,3. 97% of respondents chose to disclose their cultural background in FY19.,,,,,,,,,,,,,,,
72,,4. 94% of respondents chose to disclose their cultural background in FY18.,,,,,,,,,,,,,,,
73,,5. 91% of respondents chose to disclose their cultural background in FY17.,,,,,,,,,,,,,,,
74,,6. 83% of respondents chose to disclose their cultural background in FY16.,,,,,,,,,,,,,,,
75,,"7. 91% of respondents chose to disclose their cultural background in FY15. In FY15, the response options for the cultural association question were reviewed. The review highlighted the opportunity to provide clearer options and descriptors. The response options are now structured by region with several country examples. The structure is based on the UN regional groupings. This change has contributed to a significant change in cultural background distribution from FY14 to FY15.",,,,,,,,,,,,,,,
76,,"8. Includes Eastern European, Northern European, Southern European, Western European.",,,,,,,,,,,,,,,
77,,"9. Includes NE Asian, SE Asian, Southern and Central Asian.",,,,,,,,,,,,,,,
78,,10. Includes other backgrounds and those who prefer not to say.,,,,,,,,,,,,,,,
79,,"11. In FY22, respondents could select 2 x backgrounds, which means the overall percentage > 100%.",,,,,,,,,,,,,,,
80,,"12. In FY23, we did not request cultural background information as we move to a new system to capture this data. As we move towards doing this new system, in the interim, we will ask a cultural background question in the next Our Voice survey in October 2023.",,,,,,,,,,,,,,,
119,,1. Parental leave return rates look at the return rates of employees who have returned from parental leave and either remain employed (returns) or exited either within 6 months or 12 months of return. Data updated as at start of June and captured Parental Leave commencements until end of FY22.,,,,,,,,,,,,,,,
