H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,405 Diversity and Equal Opportunity,405-1,Diversity of governance bodies and employees,Diversity and Inclusion,,Principle 6
,406 Non-discrimination,406-1,Incidents of discrimination and corrective actions taken,,"There were no incidents of discrimination reported in our code of conduct breaches, grievances or through our whistleblower channels in FY22.",
,407 Freedom of Association and Collective Bargaining,407-1,Operations and suppliers in which the right to freedom of association and collective bargaining may be a risk,Annual Report,,Principle 3
,408 Child Labor,408-1,Operations and suppliers at significant risk for incidents of child labour,Social Management Approach (Supply Chain Engagement),,"Principle 1
Principle 2
Principle 5"
,409 Forced or Compulsory Labor,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labour,Social Management Approach (Supply Chain Engagement),,"Principle 1
Principle 2
Principle 4"
,410 Security Practices,410-1,Security personnel trained in human rights policies or procedures,Social Management Approach (Human Rights),,"Principle 1
Principle 2
Principle 4"
,411 Rights of Indigenous Peoples,411-1,Incidents of violations involving rights of indigenous peoples,,"There were no incidents of violations involving rights of indigenous peoples reported in our code of conduct breaches, grievances or through our whistleblower channels in FY22.","Principle 1
Principle 2"
,412 Human Rights Assessment,412-1,Operations that have been subject to human rights reviews or impact assessments,Social Management Approach (Supply Chain Engagement),,"Principle 1
Principle 2"
,,412-2,Employee training on human rights policies or procedures,Social Management Approach (Human Rights),,"Principle 1
Principle 2"
,413 Local Communities,413-1,"Operations with local community engagement, impact assessment, and development programs",Social Management Approach (Community),,
,,,,,,
,414 Supplier Social Assessment,414-1,New suppliers that were screened using social criteria,Social Management Approach (Supply Chain Engagement),,
,,,,,,
,415 Public Policy,415-1,Political contributions,Governance Management Approach (Stakeholder Engagement),,
,416 Customer Health and Safety,416-1,Assessment of the health and safety impacts of product and service categories,"Social Management Approach (Health, Safety and Wellbeing)",,
,,,,,,
,417 Marketing and Labeling,417-2 ,Incidents of non-compliance concerning product and service information and labelling,,No incidents of non-compliance with regulations and voluntary codes concerning product and service information and labelling in FY22.,
,,417-3,Incidents of non-compliance concerning marketing communications,,No incidents of non-compliance concerning marketing communications in FY22.,
,418 Customer Privacy,418-1,Substantiated complaints concerning breaches of customer privacy and losses of customer data,Annual Report,,
