H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Twin Waters West (Qld),2023,6.11,,,,,,,,,
,Wellard Farms (WA),2019,7.75,,,,,,,,,
,Western Sydney University (NSW),2023,5.31,,,,,,,,,
,Total assets (Masterplanned Communities - Active),,37,,,,,,,,,
,Total assets (Masterplanned Communities - In planning),,14,,,,,,,,,
,Total assets (Masterplanned Communities),,51,,,,,,,,,
,Portfolio coverage (Masterplanned Communities),,1,,,,,,,,,
,Land Lease Communities - Active ,,,,,,,,,,,
,Stockland B By Halcyon (Qld),2023,5.68,,,,,,,,,
,Stockland Halcyon Berwick (Vic),2022,6.36,,,,,,,,,
,Stockland Halcyon Evergreen (Vic),2021,7.13,,,,,,,,,
,Stockland Halcyon Glades (Qld) ,2023,5.54,,,,,,,,,
,Stockland Halcyon Greens (Qld),2023,4.9,,,,,,,,,
,Stockland Halcyon Horizon (Vic),2023,6.04,,,,,,,,,
,Stockland Halcyon Lakeside (Qld),2022,5.09,,,,,,,,,
,Stockland Halcyon Landing (Qld),2023,5.27,,,,,,,,,
,Stockland Halcyon Nirimba (Qld),2022,5.54,,,,,,,,,
,Stockland Halcyon Parks (Qld),2023,6.19,,,,,,,,,
,Stockland Halcyon Promenade (Qld),2023,5.46,,,,,,,,,
,Stockland Halcyon Rise (Qld),2023,5.27,,,,,,,,,
,Stockland Halcyon Waters (Qld),2023,5.41,,,,,,,,,
,Stockland Vision by Halcyon (Qld),2023,5.43,,,,,,,,,
,Land Lease Communities - In Planning ,,,,,,,,,,,
,Aura (Qld),2016,8.55,,,,,,,,,
,Botanica (Qld) ,2023,6.61,,,,,,,,,
,Caboolture (Qld),2023,6.06,,,,,,,,,
,Cloverton (VIC),2016,9.9,,,,,,,,,
,Coffs Harbour (NSW),2023,5.75,,,,,,,,,
,Curlewis (Vic),2023,3.92,,,,,,,,,
,Ellenbrook North (WA),2023,6.12,,,,,,,,,
,Mariginiup (WA),2023,N/A*,,,,,,,,,
,Peregian (Qld),2023,N/A*,,,,,,,,,
,Sinagra (WA),2021,6.21,,,,,,,,,
,Stockland Halcyon Forest Reach (NSW) ,2023,5.88,,,,,,,,,
,Stockland Halcyon Highlands (Vic),2023,6.15,,,,,,,,,
,Stockland Halcyon Providence (Qld),2023,6.33,,,,,,,,,
,Stockland Halcyon St Germain (Vic),2023,6.02,,,,,,,,,
,Stockland Halcyon Redland Bay (Qld) ,2023,4.72,,,,,,,,,
,The Gables (NSW),2021,7.29,,,,,,,,,
,Wellard (WA),2019,7.75,,,,,,,,,
,Wildflower (Piara Waters) (WA),2023,5.85,,,,,,,,,
,Yandina (Qld) ,2023,5.7,,,,,,,,,
,Total assets (Land Lease - Active),,14,,,,,,,,,
,Total assets (Land Lease -  In planning),,19,,,,,,,,,
,Total assets (Land Lease),,33,,,,,,,,,
,Portfolio coverage (Land Lease),,1,,,,,,,,,
,,,,,,,,,,,,
,Portfolio coverage (Communities total),,1,,,,,,,,,
,,,,,,,,,,,,
,*Asset completed an acquisition climate risk assessment. A full resilience rating was not included in this early stage assessment. ,,,,,,,,,,,
