Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
13,,Masterplanned Communities & Land Lease Communities,Operating our Masterplanned Communities site offices and Land Lease Communities centres,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,,"Energy & Emissions\nUnless there are significant changes to our portfolio, annual changes generally reflect energy efficiency programs and initiatives and climatic conditions (e.g. milder temperatures reduce energy demand).\n- Scope 1: our direct gas consumption.\n- Scope 2: our direct consumption of purchased electricity.\n- Scope 3: transmission losses.\n\nOther\nUnless there are significant changes to our portfolio, annual changes generally reflect water efficiency programs and initiatives. Waste is collected by local council and not reported.",,,,,,
14,,Land Lease Communities,Development of our Land Lease Communities projects using Halcyon Constructions Queensland Pty Ltd,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,"Energy & Emissions\nIncreased civil works activity has a direct correlation with increased energy and emissions. In periods where we are actively developing our assets, our emissions profile is higher.\n- Scope 1: emissions from gas and fuel consumption by Halcyon Constructions Queensland (HCQ), and our direct gas consumption.\n- Scope 2: emissions from purchased electricity consumption reported by HCQ, and our purchased electricity.\n- Scope 3: transmission losses.\n\nOther\nIncreased civil work activity has a direct correlation with increased water consumption. In periods where we are actively developing our assets, our water consumption is higher. Increased finishing works (e.g. landscaping upgrades) also contribute to increased water consumption.\n- Water: potable and non-potable water consumption by HCQ, and our direct water consumption.\n- Waste: waste generation reported by HCQ.",,,,,,
15,,Masterplanned Communities & Land Lease Communities,Contractor reporting: Development of our Masterplanned Communities and Land Lease projects using Principal Contractors1,,,ÃÂ¼,ÃÂ¼,ÃÂ¼,"Energy & Emissions\nAs noted in the Ã¢ÂÂBoundary changeÃ¢ÂÂ above, the Scope 1 emissions generated by our Residential Subdivision Construction Principal Contractors have been re-categorised as Scope 3 emissions.\n- Scope 1: n/a\n- Scope 2: n/a\n- Scope 3: transmission losses, emissions from gas and fuel consumption reported by our principal contractors\n\nOther\nIncreased civil work activity has a direct correlation with increased water consumption. In periods where we are actively developing our assets, our water consumption is higher. Increased finishing works (e.g. landscaping upgrades) also contribute to increased water consumption.\n- Water: potable and non-potable water consumption by our contractors, and our direct water consumption.\n- Waste: waste generation reported by our contractors.",,,,,,
16,,"Retirement Living Community\n(Affinity Village, WA only)",Operating our Retirement Living communities.,ÃÂ¼,ÃÂ¼,ÃÂ¼,ÃÂ¼,,"Energy & Emissions\nIStockland divested its Retirement Living portfolio on 22 July 2022 (Stockland did not have operational control for July 2022 period). Stockland retained one Retirement Living assets, Affinity Village, WA. All figures reported in FY23 for Retirement Living reflect this change.\n- Scope 1: our direct gas consumption (can include residents' consumption where a village is not sub-metered).\n- Scope 2: our direct consumption of purchased electricity (can include residents' consumption where a village is not sub-metered).\n- Scope 3: transmission losses.\n\nOther\nUnless there are significant changes to our portfolio, annual changes generally reflect water efficiency programs and initiatives and development villages opening to residents. Waste is collected by local council and not reported.\n",,,,,,
17,,,Contractor reporting: Development of our projects and communities usuing Prinicpal Contractors,,,ÃÂ¼,ÃÂ¼,ÃÂ¼,Same conditions as the 'Development of our Masterplanned Communities and Land Lease projects using Principal Contractors'.,,,,,,
19,,,,,,,,,,,l,Not achieved,,,
20,,,,,,,,,,,l,On track,,,
21,,Targets (FY22-24),,,,,,,,,l,Achieved,,,
23,,Objective,Business Unit,FY22-24 Target,,,,,FY23 Progress,,Status,,,,
24,,Biodiversity,,,,,,,,,,,,,
25,,Conservation and creation of natural assets across our portfolio.,Group,Provide opportunities for employees to undertake one day per year volunteering on sites where we are protecting and restoring biodiversity.,,,,,"Several employees in Sydney (NSW) volunteered at Indigrow an Indigenous owned and operated social enterprise. The team assisted with mulching, weeding, and propagating native plant species. This target will change to align with refreshed ESG Strategy and CARE Foundation Strategy.",,l,,,,
26,,,Communities,"For new Masterplanned Communities, make an aggregated net positive contribution to the biodiversity value by FY24 as determined by th biodiversity calculator.",,,,,"There were no new Masterplanned Communities that reached Stage 3 of D-Life and were over 500 lots in FY23, and therefore no biodiversity calculators performed. In FY23, Stockland completed a review of how we measure positive and negative impacts on biodiversity associated with our developments. We found that there have been advances in relation to the quantification of biodiversity outcomes since we first deployed our proprietary biodiversity calculator in 2015. Following this review, Stockland has started work on the development of an updated calculator and approach to tracking biodiversity outcomes associated with our developments. We aim to revise our biodiversity target in line with emerging definitions for biodiversity impacts.",,l,,,,
27,,Invest in on- and off-site\nhabitat restoration.,Communities,All projects with significant biodiversity develop a biodiversity management plan.,,,,,"The majority of our projects with significant biodiversity on site have already implemented biodiversity management plans. Cloverton (Vic), Banksia (Vic), Minta (Vic), Evergreen (Vic) and Katalia (Vic) are still in the process of developing biodiversity management plans.",,l,,,,
28,,,Group,Explore landbank opportunities to support habitat restoration including collection and propagation of provenance seed banks.,,,,,"This year, we continue to review our existing landbank and offsets to better understand opportunities to restore and regenerate nature.",,l,,,,
29,,Carbon and Energy,,,,,,,,,,,,,
30,,Achieve Net Zero Carbon across our portfolio by 2028.,Group,Achieve Net Zero Carbon across our portfolio by 2028,,,,,"We are accelerating and expanding our carbon commitment to reduce and align our business carbon emissions with a science based 1.5ÃÂ°C trajectory and pathway. We have set new decarbonisation targets for our business, and we have developed a disciplined, detailed Climate Transition Action Plan to drive our actions to meet them. As part of this plan, we are bringing forward our net zero scope 1 and 2 target to 2025. We are moving towards electrification of central plant assets through end-of-life capital replacement programs.\n\nhttps://www.stockland.com.au/sustainability/downloads",,l,,,,
31,,,Commercial Property,4 Star Green Star Performance Portfolio Rating for Town Centres and Workplace.,,,,,4 Star Green Star Performance rating achieved in Retail and Workplace in FY23,,l,,,,
32,,,,Achieve a first time Green Star Performance portfolio rating in Logistics.,,,,,We have registered a Green Star Performance rating for the logistics portfolio for several pilot sites. On track to receive GBCA certification by FY24.,,l,,,,
