H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,Commercial Property,"Deliver a Wayfinding application across Town Centres (greater than 20,000 square meters GFA) to enhance the shopping experience of people living with vision impairments.","We have continued our partnership with BindiMaps, which helps blind or vision-impaired customers navigate indoor areas through a wayfinding app that verbally guides them to their destinations. The technology has been installed at Stockland Nowra and Stockland Forster     .",l,"During FY23 we have been designing wayfaring solutions that reach a broader spectrum of needs of people with a disability, leveraging our experience from BindiMaps and sensory maps. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Commercial Property,Develop a shopping experience rating/benchmark for people shopping with disabilities.,"We have engaged Get Skilled Access, a disability inclusion consulting organisation, to complete audits and workshops with Retail customers living with disabilities to better understand their needs and any improvements we can make at our assets. ",l,"Recommendations from Accessibility Audits informed the benchmarking and Universal Needs analyis, with the intent of using these findings in setting new benchmarks around accessibility in our Town Centres around customer experience assessments from the perspective of dignity, equity and inclusion. Audit insights led to the Hidden Disabilities Sunflower program being launched in FY24. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,"Deliver a minimum of one Liveable Housing Australia (LHA) certified home (Silver Standard) in each display village with fewer than 20 lots, and two homes in display villages with more than 20 lots applicable where individual builders are allocate 3 lots or more","LHA certified homes (Silver Standard) have been included in the display village at Willowdale (NSW), with another in development at Banksia (Vic).",l,"Canopy has two display homes and one is LHA certified, 100% of the homes delivered at our Canopy MD (WA), Haven MD (VIC) and Elara (NSW) communities in FY23 were certified to LHA Silver.  This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,"All new medium density projects to deliver the following LHA Silver standards
• 5 per cent for all developments
• 20 per cent for developments as a stretch target.","This year, we delivered LHA Silver standards at approximately 10 per cent of our medium density projects.",l,"At our Baringa Townhomes Stage 2 development, 42% of the dwellings were designed to LHA Silver standards but have not been certified. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,All new Retirement Living village developments to be LHA Silver standard design.,"Stockland did not deliver any new Retirement Living villages in FY22. All new homes being constructed by Halcyon Qld are being built to LHA Silver standard. At our Halcyon Narimba community, we delivered an option for our customers to upgrade to Gold standard. ",,Stockland Divested Retirement Living as at 29 July 2022,
,"Improve access to skills,
training, and pathways for
sustained livelihoods.",Communities,Identify employment pathway training organisations to provide pathway programs to local communities at three suitable developments nationally.,"At Waterlea (Vic), an educational STEM microsite was set up with Rowville Secondary College to provide students with employment pathway education. ",l,"In partnership with the Killara foundation and Edmund Rise Services Mt. Atkinson (ERSMA), a café will operate as a social enterprise and will be run entirely by the community, providing opportunities for employment, on-the-job training and education for Aboriginal and Torres Strait Islander people. Killara foundation will take out a sublease over the Café and will be charged a peppercorn lease. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,Minimum of one education program per community (school delivery or direct community program).,"Delivered the Big Battery challenge to 24 schools nationally with our partner The National Theatre for Children. This engaged 15,544 students and 824 teachers, helping them understand the benefits of recycling. By the end of the 2021 school year, the program had collectively diverted 2,005 kilograms of batteries from landfill and abated 7,241kgs of CO2e.  ",l,"Delivered the Big Battery challenge to 25 schools nationally with our partner The National Theatre for Children. This engaged 19,202 students and 857 teachers, helping them understand the benefits of recycling. In total over FY23, 7048kg of batteries were recycled, 306,434 AA batteries were diverted from landfill and 28,804kg of CO2e avoided. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Commercial Property,Partner with community organisations including the Australian Retailers Association (ARA) through their Retail Ready Program to facilitate the placement of 100 long-term unemployed Australians (local residents / community members unemployed for more than six months).,"We have continued working with the ARA through their Retail Ready Program to facilitate the placement of unemployed people into vacant jobs. In FY22, the ARA were able to provide 93 jobseekers with the opportunity to pursue vacancies in Stockland’s Town Centres, which fell just short of our target. This process was hindered by the impacts of COVID-related lockdowns and other restrictions, which led to fewer job openings across the Retail sector.",l,"During FY23 we focused on preventative solutions through partnering to deliver taylored, place-based employability focused programs that meet local need. Examples include Mounty Yarns with Justice Reinvest, Youngster and ABCN programs that target youth at risk. We will revisit our partnership with ARA as part of our Universal Needs initiative.  This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,"Continue to provide more
quality, efficient and affordable,
housing solutions.",Communities,Investigate alternative models for housing and accommodation options.,"We delivered ‘Garden House’ homes at Stockland’s Sienna Wood project in partnership with DevelopmentWA, which utilise innovative design and construction methods to deliver high-quality two-bedroom homes at about $120,000 below the median house price of surrounding suburbs.",l,We are continuing to progress our internal approach to alternative models and have confirmed our commitment in our refreshed ESG Strategy to 'support housing affordability and pathways into a diversity of housing formats'.,l
,Responsible Economic Opportunity,,,,,,
,"Utilise our places and spaces to
enable a broader range of vibrant economic activity.",Group,Utilise Community Impact Valuation Tool to benchmark and improve placemaking outcomes that will contribute to local economic opportunities.,"Development of Social Impact Framework strategy underway to determine Stockland’s overall definition of social impact, a framework for data collection and sharing of information to inform decision making and provide valuable information to our acquisition, development and stakeholder teams.  ",l,Developed Social IQ enabling social outcomes to be considered alongside commercial feasibility at everystage of the value chain. ,l
,Inclusive Prosperity,,,,,,
,Build resilience for our people and places to help them adapt to a changing world.,Communities,Embed key resilience issues into Liveability Index to measure resilience of community.,"New questions were added to the 2022 Liveability Index survey to capture resident insights across economic, social and environmental resilience. Stockland will be able to use this feedback to measure the resilience of our communities, which will support the findings of our climate and community resilience assessments.",l,"New questions were added to the 2022 Liveability Index survey to capture resident insights across economic, social and environmental resilience. Stockland will be able to use this feedback to measure the resilience of our communities, which will support the findings of our climate and community resilience assessments.",l
,,Communities,Complete community resilience assessment on all new projects and embed actions into project/asset business plans.,We are continuing to complete climate and community risk assessments. Each new assessment is followed by debrief sessions with development teams to discuss findings to help those teams embed potential mitigatory actions in their asset plans. The full list of assessments completed in FY22 is available in the ‘Climate Resilience’ tab of our ESG Data Pack.   ,l,Completed as part of our Climate Risk Assessments. This target will change to align with place-based social impact analysis as part of refreshed ESG Strategy.,l
,,Group,Establish a group-wide skilled volunteering program.,"Stockland recognises the opportunity skilled volunteering plays in not only developing staff skills and building teams but capability building for charitable organisations.  Through piloted projects with Stockland CARE Foundation partners, the design of a new volunteering program integrated with Learning & Development principles is being designed for roll-out in FY23.",l,"Under the remit of the new CARE Foundation Strategy, volunteering opportunities will be thoughtfully integrated with our Learning and Development strategic priorities for the fiscal year 2024. This strategic alignment ensures that our commitment to social impact goes hand-in-hand with the professional growth and expertise of our workforce, making a positive difference both within our organisation and in the broader community.",l
,"Provide shared assets to
support affordable, connected and thriving communities.",Group,Establish a community resource sharing network across select assets and communities.,"We created a Community Creation and Curation toolkit in 2020 to help our asset teams share learnings about value creation and adopt a universal approach to delivering social value. This toolkit will be re-launched in FY23 to help our teams share data and insights on related to how we measure social outcomes and impact at the community, state and national level.   ",l,We have developed a place-based approach to social impact as part of our ESG strategy integration. ,l
,"Create lasting impact in our
communities and places of
work through valued social and
human capital.",Communities,All communities and villages to have a community resilience toolkit.,"This target is being reviewed in line with our liveability resilience scorecard to help us understand if a community resilience toolkit will provide valuable information for our residents. All Green Star-rated communities already provide residents with a Resident Emergency Checklist as part of their welcome pack, which provides them with essential information to help them navigate emergency situations. ",l,"We have developed a place-based approach to social impact as part of our ESG strategy integration. This is underpinned by our in depth social needs analysis.All Green Star-rated communities provide residents with a Resident Emergency Checklist as part of their welcome pack, which provides them with essential information to help them navigate emergency situations.  ",l
,Embed connections into places and spaces to bring people togetherin a meaningful way.,Commercial Property,All new Town Centre developments to include a quiet room and an adult change facility.,"There were no new Town Centre developments in FY22. However, we also install quiet rooms and adult change facilities at existing assets when we complete amenity upgrades (where space allows). We now have eight quiet rooms and five adult change facilities across our Retail portfolio. We are also currently upgrading the amenities at Wetherill Park, which will include both a quiet room and adult change facility.",,"There were no new Town Centre developments in FY23. However, we continue to upgrade our centres with Gold Standard Amenity which can include adult change facilities, ambulant and accessible toilets, gender neutral toilets, quiet rooms and prayer rooms (where applicable). We completed this upgrade at Wetherill Park in FY23 and will commence the same upgrade at Merrylands, Baldivis and Glendale in the coming year. We now have six quiet rooms and six adult change facilities across our Retail portfolio. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",
,,Commercial Property,All Town Centres to include an inclusive playspace where space allows.,"We currently have several inclusive playspaces across our Town Centre portfolio, with two additional playspaces in design phase at Stockland Balgowlah and Stockland Forster.",l,"We have several inclusive playspaces across our Town Centre portfolio, with a new playspace opening at Balgowlah and two additional playspaces in design phase at Stockland Forster and Stockland Point Cook. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,Enable opportunities for Retirement Living residents to volunteer through our network of community partners including the CARE Foundation.,The ongoing impact of COVID-related lockdowns and associated restrictions meant that our ABCN mentoring program could not proceed as normal in SA and Qld.  ,l,Stockland Divested Retirement Living as at 29 July 2022,
,,Group,Build a network of community partners that strengthen connection across all of our assets and projects.,Workshops have been conducted with current partners to explore opportunities and capacity for scaling to align to Stockland’s new National Partnerships Framework. We are also considering new partner opportunities that align with our new strategy. We expect to make announcements on our progress.,l,In alignment with our new ESG strategy and social impact orientation we are building on our community investment and cross-sector collaboration experience to focus on place-based approaches to social innovation and identifying partners to collaborate with to deliver on this. ,l
,"Shape experiences and social
interactions that contribute to a
sense of belonging.",Commercial Property,"All retail centres to develop a youth engagement strategy to respond to local youth challenges, needs and interests.","We are working with local, cross-sector stakeholders with vested interests in child safety, youth justice, and boosting participation in education and employment pathways. Specific examples of activities delivered across our Town Centres include:
• Stockland Townsville – a community consortia group delivered “Social Lane: a Pop-up Park”, a designated youth and community space that ran activities and acted as a services access point.
• Stockland Rockhampton – a multi-agency working group delivered a “Connection Hub” and “Drop In Space” that ran activities and acted as a services access point.
• Stockland Hervey Bay –  engaged with stakeholders in Youth Reconnect programs aimed at tackling long-term intergenerational unemployment, through the delivery of Industry Tours and the provision of work experience.",l,"Our Space is a community connection point within Stockland Rockhampton Shopping Centre, where local health and support organisations can deliver services which target early intervention for at-risk youth, reducing disengagement, and offer health and wellbeing support to young people within Rockhampton. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,Continue to ensure all Masterplanned Communities over 1000 lots deliver at least one inclusive playspace.,"In December 2021, we opened the Hilltop Park inclusive playspace at our Minta community in Victoria, which was designed by creative landscape architects, Urban Edge and children’s charity group, Variety. Plans are underway to deliver a playspace at Willowdale in FY23, with future works flagged for our communities at The Gables, Highlands and Cloverton.",l,"There were no new inclusive playspaces open this year, however our Willowdale inclusive playspace will open in FY24. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,Thriving People,,,,,,
,Grow people’s resilience to emerge stronger as individuals and as a community.,Commercial Property,Conduct community resilience assessments at all Town Centres to understand the local social issues to be addressed through community development plans.,This program is currently under review as part of our strategic review.,l,The development of our new place based approach to Social Impact will deliver this target in FY24,l
,Empower people to contribute back positively to their communities to create lasting impact.,Communities,Hold community development workshops at all our communities (pre-exit) to establish exit strategies with the aim of leaving positive legacy.,No communities exited in FY22. We are reviewing previous strategies and case studies to identify best practice  principles and develop a toolkit for teams to utilise at future workshops. ,l,Waterlea exited in FY23. This target will change to align with refreshed ESG Strategy and approach to Social Impact.,l
,,Group,Target $21m contribution from Stockland and the Stockland CARE Foundation through community development and investment activities.,"This year, we achieved a total community contribution of $5.4 million, which delivers social infrastructure and programs across our strategic focus areas.",l,"This year, we achieved a total community contribution of $7.65 million, which delivers social infrastructure and programs across our strategic focus areas. This target will change to align with refreshed ESG and CARE Foundation Strategy.",l
,,Group,Refresh Community Partner Impact Valuation Tool to align with 2030 Sustainability Strategy framework.,The community partner impact valuation tool will form part of the broader strategy including partner transition plans and inclusion in the social investment framework.,l,Developed Social IQ enabling social outcomes from partnerships to be forecasted and reported. ,l
,Enhance Health and Wellbeing,,,,,,
,"Develop the spaces and
experiences for people to enhance their mental wellness.",Group,Reach over 1 million people with mental health messaging through CARE Foundation and Community Partnership communications and activations.,"We want people to feel supported and stronger every day through all of life’s ups and downs. To achieve this, we empower communities by providing vital skills, resources and networks that focus on mental resilience through partners such as Live Life Get Active, R U OK? and ReachOut. In the past year we have reached 270,000 people through targeted campaigns, such as ‘Your Natter Matters’, a campaign designed by R U OK? for older Australians.",l,"The CARE Foundation collaboration with ReachOut, R U OK? and Redkite celebrated reaching close to 2 million people over the course of the last 3 years.This was augmented with further place based approaches through partnerships with Youngster and Live Life Get Active. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Communities,"Deliver community programs and activations that enhance social interaction and awareness on health and wellbeing targeting over 20,000 customers per year.","The health and wellbeing programs and activations we delivered at our communities during FY22 reached over 29,000 customers. Some of our programs included:
•	  Wellco pilot, a Stockland Wellbeing program designed to help residents thrive mentally, physically, and socially in collaboration with a range of community partners. This program was delivered over a 12-week period at five of our Retirement Living villages, with the aim of obtaining resident feedback on local health and wellbeing programs. A total of 660 residents attended these events. 
•	  Live Life Get Active (LLGA) – A total of 7,393 residents participated in our LLGA program across 12 Masterplanned Communities.
•	  Parkrun – a total of 21,560 participants took part in Parkrun events within our Masterplanned Communities and Commercial Property assets.  
•	  JMOF Cooking Program, Townsville – The Good Foundation delivered 8 x Jamie’s Ministry of Food 5-week cooking courses to 8 different community groups in the Stockland Townsville Community Room. This was run over 13 weeks and empowered 86
•	  R U OK? Day Coffee and Conversation morning tea at  Hendra Logistics Park, which hosted 80 attendees 
•	  Heart Foundation Walking Groups continued during COVID-19 restrictions, with a total of 1,082 registered walkers in our Stockland communities",l,"The health and wellbeing programs and activations we delivered at our communities during FY23 reached over 35,000 customers. Some of our programs included:
 Live Life Get Active (LLGA) – A total of 6,907 residents participated in our LLGA program across 11 Masterplanned Communities.
Parkrun – a total of 31,869 participants took part in Parkrun events within our Masterplanned Communities and Commercial Property assets.  Heart Foundation Walking Groups continued during COVID-19 restrictions, with a total of 877 registered walkers in our Stockland communities. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,"Activate the places for people
to be active and maximise their
physical wellbeing.",Communities,All new communities to target best practice Walkability in design.,"Our goal is to activate places for people to be active so they can maximise their physical wellbeing. We are in the process of integrating walkability requirements into our Public Domain Strategy and Public Domain Landscape Strategy. Additionally, all new communities over 1000 lots will be required to comply with the Walkability and/or Healthy and Active credits in the Green Star Communities tool.",l,"Walkability remains a consistent strength in design. This is measured as part of the Liveability Index. For FY23 NSW measured 68%, QLD 73%, VIC 68%, WA 75%. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,,Commercial Property,Provide activities to engage the elderly in all of our Town Centres to prevent social isolation and enhance wellbeing.,"This year, we launched our Youngster.Co pilot program at Stockland Baldivis and Stockland Forster, which is a free intergenerational program focusing on improving the IT literacy of seniors.",l,"This year, we completed the pilot of our Youngster.Co program at Stockland Baldivis and Stockland Forster, which is a free intergenerational program focusing on improving the IT literacy of seniors. It was warmly received and supported by the two communities and will now be implemented permanently at these two centres and scaled further in FY24 to Green Hills, Glendale and Hervey Bay. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
,Create environments where people feel safe and secure.,Communities,All new communities to be designed to Crime Prevention Through Environmental Design (CPTED) principles.,We are currently working on incorporating Crime Prevention Through Environmental Design (CPTED) principles into our Public Domain Strategy. Key focus areas for our development teams are ‘design for visibility’ and ‘design for safety’. We also measure ‘perceived’ community safety concerns through the Liveability Index Survey and include any action items in our liveability action plan. ,l,We continue to incorporate Crime Prevention Through Environmental Design (CPTED) principles into our Public Domain Strategy. Key focus areas for our development teams are ‘design for visibility’ and ‘design for safety’. We also measure ‘perceived’ community safety concerns through the Liveability Index Survey and include any action items in our liveability action plan. This target will change to align with refreshed ESG Strategy and approach to Social Impact.,l
,,Communities,All communities achieve high liveability safety score,"This year, 83 per cent of residents reported high satisfaction with community safety in our National Liveability Survey. The mean score of 7.6/10 is derived from the question ‘how safe I feel’, which is a component of the Personal Wellbeing Index. ",l,For FY23 86% of residents reported high satisfaction with the community safety in our National Liveability Survey.  This target will change to align with refreshed ESG Strategy and approach to Social Impact.,l
,,Commercial Property,Launch a safety program in all Town Centres (e.g. Safety House).,We are in the process of identifying suitable safety programs for our Town Centres since the Safety House Program ceased operating in all regions except Western Australia. ,l,Safety is included in our Universal Needs approach and will be rolled out from FY24. This target will change to align with refreshed ESG Strategy and approach to Social Impact.,l
,,Commercial Property,Provide a ‘safe zone’ to support victims of domestic and family violence in at least one Town Centre in each state we operate.,We have implemented domestic violence support programs at Stockland Gladstone and Stockland Shellharbour. ,l,We continue a domestic violence support program Stockland Shellharbour and will use our social needs analysis to determine where futher opportunities for support may be. This target will change to align with refreshed ESG Strategy and approach to Social Impact.,l
,,,,,,,
,"1. We define social value creation as our intentional effort and investment to deliver social, economic and/or environmental benefits for our communities and broader society. EY was engaged to provide limited assurance over Stockland’s approach to defining, measuring, and calculating the social value target – for further detail refer to Stockland’s FY23 Annual Report",,,,,,
