Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
110,,,Employee initiated turnover,0.16212159119339506,0.1832909048831289,0.12665330661322646,0.1098810988109881,0.15600955160520033,,,,,,,,,,,,,,,,,,
111,,,,108,132,-79,-67,-98,,,,,,,,,,,,,,,,,,
112,,,Employee initiated turnover for employees with Strong performance or above,0.11403508771929824,0.0171990171990172,0.069435833849969,0.07212205270457697,0.13312624805857556,,,,,,,,,,,,,,,,,,
113,,,,39,7,-28,-26,-50,,,,,,,,,,,,,,,,,,
114,,,Stockland initiated turnover,0.05404053039779835,0.04304559129831058,0.04168336673346693,0.05412054120541206,0.049349960201645005,,,,,,,,,,,,,,,,,,
115,,,,36,31,-26,-33,-31,,,,,,,,,,,,,,,,,,
116,,Female,Total,0.20890483224308926,0.24933119315141786,0.17338670311432197,0.17866874270144023,0.2076665426125791,,,,,,,,,,,,,,,,,,
117,,,,165,233,-148,-153,-186,,,,,,,,,,,,,,,,,,
118,,,Employee initiated turnover,0.17472040514876555,0.21615837346174424,0.14058381333593672,0.12845465161541456,0.16858950502419057,,,,,,,,,,,,,,,,,,
119,,,,138,202,-120,-110,-151,,,,,,,,,,,,,,,,,,
120,,,Employee initiated turnover for employees with Strong performance or above,0.16009852216748768,0.020833333333333332,0.08662838392124692,0.10741138560687433,0.14408233276157806,,,,,,,,,,,,,,,,,,
121,,,,65,11,-44,-50,-70,,,,,,,,,,,,,,,,,,
122,,,Stockland Initiated turnover,0.0341844270943237,0.03317281968967362,0.03280288977838524,0.05021409108602569,0.03907703758838854,,,,,,,,,,,,,,,,,,
123,,,,27,31,-28,-43,-35,,,,,,,,,,,,,,,,,,
125,,* Turnover (%) by gender is calculated by dividing [Total Number Of Exits In The Last 12 Months Of Particular Gender] by [12-Month Average Headcount Of Particular Gender].,,,,,,,,,,,,,,,,,,,,,,,,
126,,1. All turnover data (including headcount) excludes those employed on a casual or fixed term basis.,,,,,,,,,,,,,,,,,,,,,,,,
127,,2. One employee did not identify as male or female. Performance ratings are from FY22.,,,,,,,,,,,,,,,,,,,,,,,,
128,,3. In FY20 the methodology and data exports for calculating turnover was changed. The FY19 data has been updated using the new methodology and data sets.,,,,,,,,,,,,,,,,,,,,,,,,
129,,Parental leave return rate within 12 months1,,,,,,,,,,,,,,,,,,,,,,,,
131,,Gender,Total Leave,Returns,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,
132,,Male,72,67,0.9305555555555556,0.8958333333333334,0.76,0.9655172413793104,0.75,,,,,,,,,,,,,,,,,
133,,Female,103,89,0.8640776699029126,0.8701298701298701,0.8505747126436781,0.8043478260869565,0.89,,,,,,,,,,,,,,,,,
134,,Overall,175,156,0.8914285714285715,0.88,0.8303571428571429,0.8429752066115702,0.857,,,,,,,,,,,,,,,,,
136,,1. Parental leave return rates look at the return rates of employees who have returned from parental leave and either remain employed (returns) or exited either within 6 months or 12 months of return up to the end of FY23.,,,,,,,,,,,,,,,,,,,,,,,,
137,,*Includes Permanent and fixed term employees,,,,,,,,,,,,,,,,,,,,,,,,
