Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
25,,"Walker Street Complex, North Sydney (NSW)",2023,7,,,,,,,,,
26,,Total assets (Workplace),,10,,,,,,,,,
27,,Portfolio coverage (Workplace),,1,,,,,,,,,
28,,Logistics1,,,,,,,,,,,
29,,"182-202 Bowhill Road, Willawong (Qld)",2023,5.09,,,,,,,,,
30,,"20-42 Amherst Drive, Truganina (Vic)",2023,5.3,,,,,,,,,
31,,23 Wonderland Drive (NSW),2022,6.98,,,,,,,,,
32,,"72-76 Cherry Lane, Laverton North (Vic)",2023,5.21,,,,,,,,,
33,,"787 Boundary Road, Richlands (Qld)",2023,4.93,,,,,,,,,
34,,"96-112 Gow Street, Padstow (NSW)",2023,4.94,,,,,,,,,
35,,Altona Distribution Centre (Vic),2023,6.39,,,,,,,,,
36,,Altona Industrial Estate (Vic),2023,7.64,,,,,,,,,
37,,"Baker St, Botany (Previously Smeg Distribution Centre) (NSW)",2023,4.69,,,,,,,,,
38,,Brooklyn Distribution Centre (Vic),2021,7.37,,,,,,,,,
39,,Carole Park Distribution Centre (Qld),2023,4.8,,,,,,,,,
40,,"Coopers Paddock, Warwick Farm (NSW)",2023,5.14,,,,,,,,,
41,,Cranbourne West Distribution Centre (VIC),2023,6.14,,,,,,,,,
42,,Forrester Distribution Centre (NSW),2021,6.73,,,,,,,,,
43,,Granville Industrial Estate (NSW),2012,5.37,,,,,,,,,
44,,Hendra Industrial Estate (Qld),2022,7.73,,,,,,,,,
45,,Ingleburn Logistics Park (NSW),2023,5.11,,,,,,,,,
46,,Kemps Creek Land (NSW),2023,5.44,,,,,,,,,
47,,"KeyWest Distribution Centre, Truganina (Vic)",2023,6.2,,,,,,,,,
48,,Leppington Business Park (NSW),2023,4.72,,,,,,,,,
49,,Melbourne Business Park (Vic),2023,5.57,,,,,,,,,
50,,Oakleigh Industrial Estate (Vic),2023,4.56,,,,,,,,,
51,,Quarry Road (NSW),2021,6.31,,,,,,,,,
52,,Somerton Distribution Centre (Vic),2021,6.37,,,,,,,,,
53,,Wetherill Park Distribution Centre (Qld),2022,6.64,,,,,,,,,
54,,Willawong Distribution Centre (Qld),2023,4.94,,,,,,,,,
55,,Yatala Distribution Centre (Qld),2023,5.66,,,,,,,,,
56,,Yatala Distribution Centre South (Qld),2023,5.59,,,,,,,,,
57,,Yennora Distribution Centre (NSW),2018,6.95,,,,,,,,,
58,,Total assets (Logistics),,29,,,,,,,,,
59,,Portfolio coverage (Logistics),,1,,,,,,,,,
60,,Town Centres1,,,,,,,,,,,
61,,Stockland Baldivis (WA),2022,5.52,,,,,,,,,
62,,Stockland Balgowlah (NSW),2022,5.53,,,,,,,,,
63,,Stockland Baringa (Qld),2022,5.84,,,,,,,,,
64,,Stockland Birtinya (Qld),2021,8.52,,,,,,,,,
65,,Stockland Burleigh Heads (Qld),2019,8.13,,,,,,,,,
66,,Stockland Forster (NSW),2022,6.54,,,,,,,,,
67,,Stockland Glendale (NSW),2022,7.53,,,,,,,,,
68,,Stockland Green Hills (NSW),2012,7.81,,,,,,,,,
69,,Stockland Harrisdale (WA),2023,5.98,,,,,,,,,
70,,Stockland Hervey Bay (Qld),2022,7.15,,,,,,,,,
71,,Stockland Merrylands (NSW),2023,5.74,,,,,,,,,
72,,Stockland Nowra (NSW),2016,6.32,,,,,,,,,
73,,Stockland Piccadilly (NSW),2023,5.63,,,,,,,,,
74,,Stockland Point Cook (Vic),2022,6.58,,,,,,,,,
75,,Stockland Rockhampton (Qld),2013,9.16,,,,,,,,,
76,,Stockland Shellharbour (NSW),2019,7.24,,,,,,,,,
77,,Stockland Shellharbour Retail Park (NSW),2019,7.51,,,,,,,,,
78,,Stockland Townsville (Qld),2018,8.52,,,,,,,,,
79,,Stockland Wendouree (Vic),2022,7.69,,,,,,,,,
80,,Stockland Wetherill Park (NSW),2012,8.22,,,,,,,,,
81,,Total assets (Town Centre),,20,,,,,,,,,
82,,Portfolio coverage (Town Centre),,1,,,,,,,,,
84,,Portfolio coverage (CP totall),,1,,,,,,,,,
86,,1. Asset list excludes FY23 divestments.,,,,,,,,,,,
88,,Climate resilienceÃÂ scores by asset (Communities),,,,,,,,,,,
90,,Location,Year Assessed,Resilience Rating,,,,,,,,,
91,,Masterplanned Communities (Active),,,,,,,,,,,
92,,Altona North (Vic),2023,4.22,,,,,,,,,
93,,Altrove (NSW),2016,11.13,,,,,,,,,
94,,Amberton Beach (WA),2023,5.09,,,,,,,,,
95,,Aura (Qld),2016,8.55,,,,,,,,,
96,,Banksia (Vic),2023,4.96,,,,,,,,,
97,,Birtinya (Qld),2023,7.54,,,,,,,,,
98,,Bokarina Beach (Oceanside) (Qld),2017,8.28,,,,,,,,,
