H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,All new Net Zero Carbon built form homes by 2030.,,,,,"We have previously piloted Green Star homes on an individual project which targeted net zero carbon outcomes. Our new ESG strategy seeks greater impact across our portfolio with science-based targets for decarbonisation towards net zero, and a focus on reducing emissions in the use of sold product (Scope 3, Cat 11) for homes. Individual developments may additionally pursue separate net zero carbon certification. In alignment with our decarbonisation targets we will no longer pursue this target.",,l,,,,
,Enable our value chain to deliver better quality built form.,Commercial Property,All new Workplace and Town Centre developments to achieve a minimum 5 star Green Star rating.,,,,,"Our new Workplace developments at Stockland Piccadilly (NSW), M_Park Buildings A, C and D (NSW) and Affinity Place (NSW) are targeting 6 stars.",,l,,,,
,,Commercial Property,All new Logistics developments to achieve a minimum 4 star Green Star rating.,,,,,"All Logistics developments are registered for 5 star Green Star ratings, with the exception of Yatala which is currently registered for 4 Stars.",,l,,,,
,,Communities,"All new Masterplanned Communities (over 1,000 lots) to achieve a Green Star rating.",,,,,Masterplanned communities in the early stages of development are reviewing the requirements associated with Green Star submissions. Our Providence (Qld) community is registered for Green Star Communities. We will review the proposed updates Green Star Communities to confirm our ongoing approach.,,l,,,,
,Climate Resilience,,,,,,,,,,,,,
,Embed asset and community scale resilience for our portfolio,Group,Continue to conduct resilience assessments on all new and high priority assets.,,,,,"As of FY23, 100% of our assets and development projects have completed an asset level climate risk assessment.",,l,,,,
,,,All assets to target (as a minimum) ‘moderate’ resilience rating (as per Group Resilience Tool ‘9-16’).,,,,,"All assessed assets achieved, as a minimum, a moderate resilience rating.",,l,,,,
,,Communities,All new Masterplanned Communities to include a minimum 10 per cent total tree canopy cover (to reduce urban heat island).,,,,,"During FY23, several new Masterplanned Communities have committed to tree canopy cover targets beyond a minimum 10 per cent.",,l,,,,
,,,All new Masterplanned Communities developments to include options for light coloured or reflective roofs including demonstration in display villages.,,,,,Our Better Places Manual is used to embed these requirements and to help our project teams in the design and delivery of their Masterplanned Communities development.,,l,,,,
,Waste and Materials,,,,,,,,,,,,,
,Adopt and implement circular models with stakeholders.,Group,Eliminate Single Use Plastics across Corporate Offices.,,,,,"Our Corporate Procurement team continues to review and eliminate single use plastics. Where possible, sustainable alternatives have been selected to replace products with plastics either in packaging or production. ",,l,,,,
,,Group,"Divert waste from landfill
• 90 per cent Masterplanned Communities civil contracts
• 55 per cent Town Centre operational waste
• 80 per cent Logistics and Workplace operational waste",,,,,"In FY23 diverted waste from landfill was;
• 96 per cent Masterplanned Communities civil contracts. 
• 40 per cent Town Centre 
• 79 per cent Workplace and Logistics ",,l,,,,
,,Commercial Property,Conduct NABERS Waste ratings on Workplace portfolio.,,,,,In FY23 we continued to conduct NABERS Waste ratings on the Workplace Portfolio,,l,,,,
,,Communities,30 per cent of new Masterplanned Communities projects to trial sustainable asphalt roads.,,,,,"In FY23, we have continued to trial and roll out sustainable asphalt roads across our Masterplanned Communities including Elara (NSW) and Altrove (NSW). The use of lower-carbon materials will continue to be a focus as part of our Scope 3 targets.",,l,,,,
,,,Deliver composting partnerships across all communities.,,,,,"In September 2022, after a successful pilot, we have formed a partnership with Compost Revolution to deliver composting solutions across our residential communities. The program has been launched across 37 of Stockland’s communities.This target will change to align with refreshed ESG Strategy and approach to Social Impact.",,l,,,,
,Reduce embodied impacts through improved lifecycle analysis.,Communities,Complete 3 Lifecycle Assessments (LCA) on our built form home designs to identify a 10 per cent reduction in embodied impacts.,,,,,In FY23 to develop baseline conditions for our decarbonisation pathway we completed LCAs across our built form home designs. During the FY22-24 target period we have completed LCAs for six built form projects. Will will measure our upfront carbon as part of our Scope 3 commitments.,,l,,,,
,,Group,"Establish minimum standards for material suppliers against Modern Slavery, Health and Safety, and Embodied Carbon criteria.",,,,,To measure and track our new carbon targets we are developing LCA embodied carbon standards. See modern slavery statement for supply chain impacts. ,,l,,,,
,Water Management & Quality,,,,,,,,,,,,,
,Work towards a Net Zero Water future,Commercial Property,4 Star NABERS Water Workplace portfolio average.,,,,, 4 Star NABERS Water rating achieved for Workplace portfolio in FY23 ,,l,,,,
,,,5 per cent improvement in Commercial Property FY20 water intensity by asset class.,,,,,4% improvement in Commercial Property in water intensity against FY20.,,l,,,,
,,,NABERS Water Town Centre portfolio average of 3.5 stars.,,,,, 3.5 Star NABERS Water rating achieved for Retail portfolio in FY23 ,,l,,,,
,,Communities,Medium Density developments to exceed reduction in potable water building code compliance requirements by 7.5 per cent. ,,,,,In FY23 our Medium Density portfolio exceeded NCC 2022 standard by 7.3 per cent for water. The NCC was updated in 2022 to lift the performance standards. This target has been superceeded by the new standard.  ,,l,,,,
,,,"Water discharged from our Masterplanned Communities sites and/or into natural water systems to achieve the following (benchmarked against regulatory standards):
• 45 per cent reduction in nitrogen
• 65 per cent reduction in phosphorous
• 80 per cent reduction in suspended solids.",,,,,Over 85 per cent of our active Masterplanned Communities sites (over 500 lots) have achieved these water quality standards. All sites meet regulatory standards. ,,l,,,,
,,,All new Masterplanned Communities projects propose water cycle efficiency options.,,,,,"Our new Masterplanned projects are implementing a range of water cycle efficiency options which include drought-tolerant landscaping, rainwater tanks, recycled water for specific household uses, dust suppression and irrigation.  ",,l,,,,
