H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,Stockland Shellharbour,NSW,74629.7,5,373148.5,3.5,261203.94999999998,73452,4,4,,,,Altrove,NSW / ACT,5,,
,,Shellharbour Retail Park4,NSW,,,,,,,,,,,,Elara / Clydesdale,NSW / ACT,,,
,,Stockland Townsville,QLD,45593.9,4.5,205172.55000000002,4,182375.6,45956,4,4,,,,Forest Reach,NSW / ACT,,,
,,Stockland Wendouree,VIC,27467.3,5.5,151070.15,4.5,123602.84999999999,24964,4,,,WELL Health-Safety,,Lakeside,NSW / ACT,,,
,,Stockland Wetherill Park,NSW,58214.5,3.5,203750.75,2.5,145536.25,59267,4,5,,,,Red Hill,NSW / ACT,,,
,,Coverage (%),,653113.2,0.890282113422298,2730134.4,0.9513015507878267,2213533.9000000004,670732,1,,,,,The Gables,NSW / ACT,,,
,,Portfolio Rating,,,4.695349425148979,,3.5627021140575144,,,4,,,,,Willowdale,NSW / ACT,6,,
,,Workplace,,,,,,,,,,,,,Aura,Qld,6,,
,,"601 Pacific Highway, St Leonards",NSW,7371.5,4.5,33171.75,3.5,25800.25,12589,4,,,1.5 Star NABERS Waste,,Birtinya,Qld,,,
,,"Piccadilly Tower, 133 Castlereagh St, Sydney",NSW,28315.9,5,141579.5,5,141579.5,33517,4,(6),,"1.5 Star NABERS Waste
WELL Health-Safety",,Bokarina Beach,Qld,,,
,,"Piccadilly Court, 222 Pitt St, Sydney",NSW,8360.4,5,41802,5,41802,10118,4,,,,,Delta,Qld,,,
,,110 Walker Street. North Sydney,NSW,732.1,0,0,4,2928.4,4382,4,(6),,1.5 Star NABERS Waste,,Foreshore,Qld,,,
,,"118 Walker Street, North Sydney5",NSW,,,,,,,,,,,,Kalina,Qld,,,
,,"122 Walker Street, North Sydney6",NSW,,,,,,,,,,,,Newport,Qld,5,,
,,Durack Centre (263 Adelaide Terrace),WA,7650.5,4,30602,4.5,34427.25,17513,4,,,,,North Shore,Qld,,,
,,2 Victoria Avenue,WA,5665,3.5,19827.5,3.5,19827.5,7668,3,5,,,,Providence,Qld,,,
,,"60-66 Waterloo Road, Macquarie Park",NSW,9924.5,6,59547,4.5,44660.25,10071,4,,,0.0 Star NABERS Waste,,Banksia,Vic,,,
,,"M Park Stage 1, Khartoum Road Macquarie Park",NSW,,,,,,,,"(6), (6), (6)",,,,Cloverton,Vic,6,,
,,"Optus Centre, Macquarie Park",NSW,83392.4,5,416962,5,416962,84194,4,,,,,Eucalypt,Vic,,,
,,"Triniti, Building 1, 39 Delhi Road, North Ryde",NSW,26600.6,5.5,146303.3,4.5,119702.7,6259,4,5,,0.0 Star NABERS Waste,,Evergreen,Vic,,,
,,"Triniti, Building 2, 39 Delhi Road, North Ryde",NSW,,,,,,7564,4,5,,,,Grand Central,Vic,,,
,,"Triniti, Building 3, 39 Delhi Road, North Ryde",NSW,,,,,,10480,4,5,,,,Grandview,Vic,,,
,,"Mulgrave Corporate Park, 350 Wellington Road",VIC,2304.9,4.5,10372.050000000001,4.5,10372.050000000001,2735,3,,,,,Haven,Vic,,,
,,"Mulgrave Corporate Park, 352 Wellington Road",VIC,942.5,4,3770,1.5,1413.75,2552.1,1,,,,,Highlands,Vic,,,
,,"Mulgrave Corporate Park, 690 Springvale Road",VIC,15627,5,78135,4.5,70321.5,16185,2,,,,,Katalia,Vic,,,
,,Coverage (%),,196887.3,1,982072.1000000001,1,929797.15,225827.1,1,,,,,Lyra,Vic,,,
,,Portfolio Rating,,,4.987991099476706,,4.722484131785037,,,4,,,,,Minta,Vic,,,
,,"23 Wonderland Drive, Eastern Creek",,,,,,,,,,,,,Mt Atkinson,Vic,,,
,,"89 Quarry Road, Erskine Park",,,,,,,,,,,,,Orion,Vic,,,
,,"Coopers Paddock, Warwick Farm",,,,,,,,,,,,,Wattle Park,Vic,,,
,,"Forrester Distribution Centre, St Marys",,,,,,,,,,,,,Amberton Beach,WA,,,
,,Ingleburn Logistics Park,,,,,,,,,(5),,,,Canopy,WA,,,
,,Leppington Business Park,,,,,,,,,"(5), (5)",,,,Illyarrie (Sinagra),WA,,,
,,"Smeg Distribution Centre, Botany",,,,,,,,,,(5),,,Sienna Wood,WA,,,
,,Wetherill Park Distribution Centre,,,,,,,,,,,,,Whiteman Edge,WA,,,
,,Yennora Distribution Centre,,,,,,,,,,,,,Wildflower ,WA,,,
,,"110 Gow Street, Padstow",,,,,,,,,,,,,Coverage (%),,0.1388888888888889,,
,,"787 Boundary Road, Richlands",,,,,,,,,,,,,1. Asset list excludes all communities in planning,,,,
,,Carole Park Distribution Centre,,,,,,,,,,,,,,,,,
,,"Hendra Industrial Estate, Brisbane",,,,,,,,,,,,,,,,,
,,Willawong Distribution Centre,,,,,,,,,"5, (5)",(5),,,,,,,
,,Yatala Distribution Centre,,,,,,,,,,(4),,,,,,,
,,"72-76 Cherry Lane, Laverton North",,,,,,,,,,,,,,,,,
,,Altona Distribution Centre,,,,,,,,,,(5),,,,,,,
,,Altona Industrial Estate,,,,,,,,,,,,,,,,,
,,Brooklyn Distribution Centre,,,,,,,,,,(5),,,,,,,
,,"KeyWest Distribution Centre, Truganina",,,,,,,,,,,,,,,,,
,,"Oakleigh Industrial Estate, Oakleigh South",,,,,,,,,,,,,,,,,
,,"Somerton Distribution Centre, Somerton",,,,,,,,,,,,,,,,,
,,Padstow Complex,,,,,,,,,,(5),,,,,,,
,,Melbourne Business Park,,,,,,,,,,(5),,,,,,,
,,"122 Canterbury Rd, Bankstown",,,,,,,,,,,,,,,,,
,,Cranbourne West,,,,,,,,,,,,,,,,,
,,"Amherst Drive, Truganina",,,,,,,,,,,,,,,,,
,,Stockland Corporate Offices,,,,,,,,,,,,,,,,,
,,"Sydney Head Office, L22-29, 133 Castlereagh St",,,5,,,,,3,,,"6 Star GS Interiors,
WELL Health-Safety",,,,,,
,,"Melbourne Head Office, L7, 452 Flinders Street",,,5.5,,,,,,,,"6 Star GS Interiors,
WELL Health-Safety",,,,,,
,,"Perth Head Office, L12, 263 Adelaide Terrace",,,4.5,,,,,,,,WELL Health-Safety,,,,,,
,,"Brisbane Head Office, L4, 99 Melbourne Street",,,5,,,,,,,,"6 Star GS Interiors,
WELL Health-Safety",,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,1.0,Ratings in (brackets) are registered but have not yet received certification from the GBCA.,,,,,,,,,,,,,,,,,
,2.0,"Includes NABERS Waste, NABERS Indoor Environment (IE) and WELL ratings.",,,,,,,,,,,,,,,,,
,3.0,"Stockland Piccadilly is not eligible for NABERS ratings due to Town Centre GLA being < 5,000 sqm.",,,,,,,,,,,,,,,,,
,4.0,"Shellharbour Retail Park is not eligible for NABES ratings as it is a Bulky Goods Centre, which means there is no common area or opportunity to influence energy usage.",,,,,,,,,,,,,,,,,
,5.0,118 Walker Street is not eligible for NABERS ratings as it is unoccupied ahead of demolition and redevelopment.,,,,,,,,,,,,,,,,,
,6.0,122 Walker Street is not eligible for NABERS ratings as it is unoccupied ahead of demolition and redevelopment.,,,,,,,,,,,,,,,,,
,7.0,"Assets that were divested in FY23 include: Stockland Bull Creek, Stockland Gladstone and Stockland Riverton",,,,,,,,,,,,,,,,,
,8.0,Green Hills had a faulty gas meter that affected the completion of an  NABERS Energy rating in FY23,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Stockland Bull Creek,,,,,,,,,,,,,,,,,
,,Stockland Gladstone,Divested on 31/8/22,,,,,,,,,,,,,,,,
,,Stockland Riverton,Divested on 27/6/2023,,,,,,,,,,,,,,,,
,,,Divested in Feb/Mar 2023,,,,,,,,,,,,,,,,
