Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
21,,3. An injury resulting in the loss of one or more shifts. Not including injuries requiring first aid treatment only.,,,,,,,,,,,,,,,,,,,,,,,
22,,4. FY19 figure adjusted from 10 to 12.,,,,,,,,,,,,,,,,,,,,,,,
23,,"5. Number of LTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,,,,,,,
24,,"6. An injury resulting in the injured person receiving further treatment from a medical practitioner i.e. GP, physio, hospitalisation etc. Not including lost time injuries.",,,,,,,,,,,,,,,,,,,,,,,
25,,"7. Number of MTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,,,,,,,
26,,"8. Number of LTIs + MTIs / total hours worked in the Financial Year x 1,000,000.",,,,,,,,,,,,,,,,,,,,,,,
27,,9. Lost days recorded in the year irrespective of the year the injury occurred.,,,,,,,,,,,,,,,,,,,,,,,
28,,10. Adjusted to include lost days attributed to a longstanding injury from a previous financial year.,,,,,,,,,,,,,,,,,,,,,,,
29,,"11. Number of Lost Days / number of respective LTIs reported in the Financial Year. Does not include lost days accruing from LTIs of previous years. For calulation and reporting purposes, lost days are capped at 12 months, in line with Australian Standard - Workplace injury and disease recording (AS 1885.1).",,,,,,,,,,,,,,,,,,,,,,,
30,,12. Development is defined as greenfield/brownfield construction of new buildings and substantial structural works in existing buildings. Mainly where we have engaged a head/main contractor to manage the project and other contractors/sub-contractors. Stockland relies on information provided by contractors on development sites in order to report Development Contractor LTIFR performance.,,,,,,,,,,,,,,,,,,,,,,,
31,,"13. FY21 figures adjusted to include a psychological injury accepted as compensable in FY22, but related to circumstances beginning FY21.",,,,,,,,,,,,,,,,,,,,,,,
32,,14. FY23 data includes Retirement Living data up to its divestment at 29 July 2023,,,,,,,,,,,,,,,,,,,,,,,
34,,Breakdown by region and gender,,,,,,,,,,,,,,,,,,,,,,,
36,,,FY23 10,,FY22,,FY21,,FY20,,FY19,,FY18,,FY17,,FY16,,FY15,,,,,,
37,,Region,LTIs,Lost Days,LTIs,Lost days,LTIs,Lost days1,LTIs,Lost days,LTIs,Lost days3,LTIs,Lost days4,LTIs,Lost days5,LTIs,Lost days6,LTIs,Lost days7,,,,,
38,,New South Wales,2,124,5,38,1,5,6,106,5,24,2,15,2,215,5,306,7,249,,,,,
39,,ACT,0,0,0,0,0,3 2,1,54,0,0,1,3,0,0,0,0,0,0,,,,,
40,,Queensland,1,118,3,135,4 9,115 9,1,2,1,1,1,7,2,20,2,36,2,13,,,,,
41,,Victoria,0,0,0,158,4,92,0,0,1,19,0,0,1,364,3,249,3,5,,,,,
42,,Western Australia,1,8,1,26,0,8 2,1,54,1,94,1,4,0,0,0,0,0,0,,,,,
43,,South Australia,1,2,0,0,2,74,1,73,4,19,0,0,0,0,1,8,0,0,,,,,
45,,Gender,LTIs,Lost days,LTIs,Lost days,LTIs,Lost days1,LTIs,Lost days,LTIs,Lost days3,LTIs,Lost days4,LTIs,Lost days5,LTIs,Lost days6,LTIs,Lost days7,,,,,
46,,Male,4,150,7,182,9 9,143 9,8,214,9,41,3,18,2,524,9,557,9,231,,,,,
47,,Female,1,102,2,175,2,154,2,75,3,116,2,11,3,75,2,42,3,36,,,,,
50,,1. FY22 metrics include 285 lost days related to two lost time injuries reported in prior years but continued to lose time in FY22.,,,,,,,,,,,,,,,,,,,,,,,
51,,2. FY21 metrics include 84 lost days related to four lost time injuries reported in prior years but continued to lose time in FY21.,,,,,,,,,,,,,,,,,,,,,,,
52,,"3. Related to (2) above, lost time injuries occurring in previous Financial Years were the sole source of lost days in ACT and WA in FY21.",,,,,,,,,,,,,,,,,,,,,,,
53,,4. FY19 metrics include 15 lost days related to one lost time injury (longstanding) reported in prior years but continued to lose time in FY19.,,,,,,,,,,,,,,,,,,,,,,,
54,,5. FY18 metrics include 397 lost days related to two lost time injuries (longstanding) reported in prior years but continued to lose time in FY18.,,,,,,,,,,,,,,,,,,,,,,,
55,,6. FY17 metrics include 516 lost days related to three lost time injuries (all longstanding) reported in prior years but continued to lose time in FY17.,,,,,,,,,,,,,,,,,,,,,,,
56,,7. FY16 metrics include 301 lost days related to three lost time injuries (two of which are longstanding) reported in a prior year but continued to lose time in FY16.,,,,,,,,,,,,,,,,,,,,,,,
57,,8. FY15 metrics include 105 lost days related to the re-aggravation of a lost time injury reported in a prior year but continued to lose time in FY15.,,,,,,,,,,,,,,,,,,,,,,,
58,,"9. FY21 figures adjusted to include a psychological injury accepted as compensable in FY22, but related to circumstances beginning FY21.",,,,,,,,,,,,,,,,,,,,,,,
59,,10. FY23 data includes Retirement Living data up to its divestment at 29 July 2023,,,,,,,,,,,,,,,,,,,,,,,
