Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
11,,,Commercial Property,Sensory maps available for all Town Centres.,"Sensory Maps have been launched in six Town Centres Ã¢ÂÂ Merrylands, Green Hills, Wetherill Park, Wendouree, Point Cook and Shellharbour. We will continue rolling these out across our retail portfolio over the coming two years.",l,"We will soon have Sensory Maps for eleven of our Town Centres with Townsville, Rockhampton, Hervey Bay, Burleigh Heads and Glendale the latest centres. These centres were mapped in FY23 and are soon to be released. We are on target to complete sensory maps for our whole portfolio within the next two years.",l
12,,,Commercial Property,"Deliver a Wayfinding application across Town Centres (greater than 20,000 square meters GFA) to enhance the shopping experience of people living with vision impairments.","We have continued our partnership with BindiMaps, which helps blind or vision-impaired customers navigate indoor areas through a wayfinding app that verbally guides them to their destinations. The technology has been installed at Stockland Nowra and Stockland ForsterÃÂ ÃÂ ÃÂ ÃÂ ÃÂ .",l,"During FY23 we have been designing wayfaring solutions that reach a broader spectrum of needs of people with a disability, leveraging our experience from BindiMaps and sensory maps. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
13,,,Commercial Property,Develop a shopping experience rating/benchmark for people shopping with disabilities.,"We have engaged Get Skilled Access, a disability inclusion consulting organisation, to complete audits and workshops with Retail customers living with disabilities to better understand their needs and any improvements we can make at our assets.",l,"Recommendations from Accessibility Audits informed the benchmarking and Universal Needs analyis, with the intent of using these findings in setting new benchmarks around accessibility in our Town Centres around customer experience assessments from the perspective of dignity, equity and inclusion. Audit insights led to the Hidden Disabilities Sunflower program being launched in FY24. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
14,,,Communities,"Deliver a minimum of one Liveable Housing Australia (LHA) certified home (Silver Standard) in each display village with fewer than 20 lots, and two homes in display villages with more than 20 lots applicable where individual builders are allocate 3 lots or more","LHA certified homes (Silver Standard) have been included in the display village at Willowdale (NSW), with another in development at Banksia (Vic).",l,"Canopy has two display homes and one is LHA certified, 100% of the homes delivered at our Canopy MD (WA), Haven MD (VIC) and Elara (NSW) communities in FY23 were certified to LHA Silver. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
15,,,Communities,All new medium density projects to deliver the following LHA Silver standards\nÃ¢ÂÂ¢ 5 per cent for all developments\nÃ¢ÂÂ¢ 20 per cent for developments as a stretch target.,"This year, we delivered LHA Silver standards at approximately 10 per cent of our medium density projects.",l,"At our Baringa Townhomes Stage 2 development, 42% of the dwellings were designed to LHA Silver standards but have not been certified. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
16,,,Communities,All new Retirement Living village developments to be LHA Silver standard design.,"Stockland did not deliver any new Retirement Living villages in FY22. All new homes being constructed by Halcyon Qld are being built to LHA Silver standard. At our Halcyon Narimba community, we delivered an option for our customers to upgrade to Gold standard.",,Stockland Divested Retirement Living as at 29 July 2022,
17,,"Improve access to skills,\ntraining, and pathways for\nsustained livelihoods.",Communities,Identify employment pathway training organisations to provide pathway programs to local communities at three suitable developments nationally.,"At Waterlea (Vic), an educational STEM microsite was set up with Rowville Secondary College to provide students with employment pathway education.",l,"In partnership with the Killara foundation and Edmund Rise Services Mt. Atkinson (ERSMA), a cafÃÂ© will operate as a social enterprise and will be run entirely by the community, providing opportunities for employment, on-the-job training and education for Aboriginal and Torres Strait Islander people. Killara foundation will take out a sublease over the CafÃÂ© and will be charged a peppercorn lease. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
18,,,Communities,Minimum of one education program per community (school delivery or direct community program).,"Delivered the Big Battery challenge to 24 schools nationally with our partner The National Theatre for Children. This engaged 15,544 students and 824 teachers, helping them understand the benefits of recycling. By the end of the 2021 school year, the program had collectively diverted 2,005 kilograms of batteries from landfill and abated 7,241kgs of CO2e.",l,"Delivered the Big Battery challenge to 25 schools nationally with our partner The National Theatre for Children. This engaged 19,202 students and 857 teachers, helping them understand the benefits of recycling. In total over FY23, 7048kg of batteries were recycled, 306,434 AA batteries were diverted from landfill and 28,804kg of CO2e avoided. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
19,,,Commercial Property,Partner with community organisations including the Australian Retailers Association (ARA) through their Retail Ready Program to facilitate the placement of 100 long-term unemployed Australians (local residents / community members unemployed for more than six months).,"We have continued working with the ARA through their Retail Ready Program to facilitate the placement of unemployed people into vacant jobs. In FY22, the ARA were able to provide 93 jobseekers with the opportunity to pursue vacancies in StocklandÃ¢ÂÂs Town Centres, which fell just short of our target. This process was hindered by the impacts of COVID-related lockdowns and other restrictions, which led to fewer job openings across the Retail sector.",l,"During FY23 we focused on preventative solutions through partnering to deliver taylored, place-based employability focused programs that meet local need. Examples include Mounty Yarns with Justice Reinvest, Youngster and ABCN programs that target youth at risk. We will revisit our partnership with ARA as part of our Universal Needs initiative. This target will change to align with refreshed ESG Strategy and approach to Social Impact.",l
20,,"Continue to provide more\nquality, efficient and affordable,\nhousing solutions.",Communities,Investigate alternative models for housing and accommodation options.,"We delivered Ã¢ÂÂGarden HouseÃ¢ÂÂ homes at StocklandÃ¢ÂÂs Sienna Wood project in partnership with DevelopmentWA, which utilise innovative design and construction methods to deliver high-quality two-bedroom homes at about $120,000 below the median house price of surrounding suburbs.",l,We are continuing to progress our internal approach to alternative models and have confirmed our commitment in our refreshed ESG Strategy to 'support housing affordability and pathways into a diversity of housing formats'.,l
21,,Responsible Economic Opportunity,,,,,,
22,,Utilise our places and spaces to\nenable a broader range of vibrant economic activity.,Group,Utilise Community Impact Valuation Tool to benchmark and improve placemaking outcomes that will contribute to local economic opportunities.,"Development of Social Impact Framework strategy underway to determine StocklandÃ¢ÂÂs overall definition of social impact, a framework for data collection and sharing of information to inform decision making and provide valuable information to our acquisition, development and stakeholder teams.",l,Developed Social IQ enabling social outcomes to be considered alongside commercial feasibility at everystage of the value chain.,l
23,,Inclusive Prosperity,,,,,,
24,,Build resilience for our people and places to help them adapt to a changing world.,Communities,Embed key resilience issues into Liveability Index to measure resilience of community.,"New questions were added to the 2022 Liveability Index survey to capture resident insights across economic, social and environmental resilience. Stockland will be able to use this feedback to measure the resilience of our communities, which will support the findings of our climate and community resilience assessments.",l,"New questions were added to the 2022 Liveability Index survey to capture resident insights across economic, social and environmental resilience. Stockland will be able to use this feedback to measure the resilience of our communities, which will support the findings of our climate and community resilience assessments.",l
