Unnamed: 0,H,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
16,,Diversity and Inclusion,(H2) 93%,0.9,,0.85,0.86,0.86,"- Whether Stockland management supports equal opportunity for all employees\n- Whether Stockland is accepting of varied cultural backgrounds or lifestyles\n- Degree to which gender-based and sex-based harassment/bullying and discrimination is not tolerated\n- Degree to which age-based, disability-based and race-based harassment/bullying and discrimination is not tolerated",,,,,,,,,,,,,,,,,
17,,,3 points above Australian Norm,3 points above Australian Norm,,,5 points above Australian National Norm,,,,,,,,,,,,,,,,,,,
18,,Health and safety,(H1) 89%,0.87,,,0.93,0.93,"- Employee work areas are safe places to work\n- Provision of adequate OH&S systems, resources, and training\n- Is prompt and effective action taken when unsafe conditions are raised with management",,,,,,,,,,,,,,,,,
19,,,7 points above Australian Norm,4 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,,
20,,Wellbeing,(H1) 74%,0.66,0.68,,,,"- Resources available to help manage workload and priorities (managerial support, number of employees)\n- Current state of mental and physical wellbeing; whether stress levels are manageable\n- Level of flexibility to meet personal/family needs; managerial support for work-life balance",,,,,,,,,,,,,,,,,
21,,,6 points above Australian Norm,1 point below Australian Norm,4 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,
22,,Psychological Safety,(H1) 84%,0.73,0.78,0.84,,,- Ability to speak up / report unsafe conditions without fear of negative consequences\n- Degree of anxiety / stress levels at work\n- Fair evaluation of performance; recognition of good work\n- Level of team morale,,,,,,,,,,,,,,,,,
23,,,7 points above Australian Norm,2 points above Australian Norm,3 points above Australian Norm,,,,,,,,,,,,,,,,,,,,,
24,,Overall leadership score,,0.77,0.79,0.75,0.7,0.67,"- Ability of leadership to manage change, communicate expectations about strategy execution, and provide employees with a clear sense of direction\n- Whether leadership decisions are consistent with Stockland's values\n- Whether the organisational structure of Stockland provides clear accountabilities",,,,,,,,,,,,,,,,,
25,,,,2 points above Australian Norm,11 points above Australian Norm,,0.7,0.67,,,,,,,,,,,,,,,,,,
27,,1. The Our Voice Employee Engagement Survey switched from an annual process to a pulse survey approach in FY22.,,,,,,,,,,,,,,,,,,,,,,,,
29,,Absenteeism,,,,,,,,,,,,,,,,,,,,,,,,
31,,Absenteeism1,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,
32,,Absent Days per FTE1,4.097866410633354,4.085151825825079,4.1,5,4.5,,,,,,,,,,,,,,,,,,,
34,,"1. Absenteeism reflects the amount of personal/carerÃ¢ÂÂs leave taken in the last 12 months. It is calculated by dividing [Total Days Of Personal/CarerÃ¢ÂÂs Leave In The Last 12 Months] by [12-Month Average FTE]. Absenteeism includes permanent, extended leave and fixed term employees only.",,,,,,,,,,,,,,,,,,,,,,,,
36,,New hires by age group1,,,,,,,,,,,,,,,,,,,,,,,,
38,,FY23 New Hires (Age Group),<25,25 - <35,35 - <45,45 - <55,55 - <65,>65,,,,,,,,,,,,,,,,,,
39,,Number,55,148,124,54,25,3,,,,,,,,,,,,,,,,,,
40,,Per cent,0.13447432762836187,0.36185819070904646,0.30317848410757947,0.13202933985330073,0.061124694376528114,0.007334963325183374,,,,,,,,,,,,,,,,,,
42,,1. New hires reflect all employees hired after 30/06/2022 that are still active in the business at the end of FY23,,,,,,,,,,,,,,,,,,,,,,,,
43,,New hires by gender,,,,,,,,,,,,,,,,,,,,,,,,
45,,FY23 New Hires (Gender)1,MALE,FEMALE,,,,,,,,,,,,,,,,,,,,,,
46,,Number,176,233,,,,,,,,,,,,,,,,,,,,,,
47,,Per cent,0.43031784841075793,0.5696821515892421,,,,,,,,,,,,,,,,,,,,,,
49,,Turnover*,,,,,,,,,,,,,,,,,,,,,,,,
51,,Turnover,FY23,FY22,FY21,FY20,FY191,,,,,,,,,,,,,,,,,,,
52,,Employee initiated turnover2,0.16917808219178082,0.20223018315757613,0.13468697123519457,0.12072983573011994,0.16340369681723724,,,,,,,,,,,,,,,,,,,
53,,,(247),(334),-199,-177,-249,,,,,,,,,,,,,,,,,,,
54,,Employee initiated turnover for employees with Strong performance or above3,0.11142857142857143,0.019230769230769232,0.07901957197731846,0.09200968523002422,0.1393054077585373,,,,,,,,,,,,,,,,,,,
55,,,(117),(18),-72,-76,-120,,,,,,,,,,,,,,,,,,,
56,,Stockland initiated turnover4,0.04315068493150685,0.03875069377869722,0.03654822335025381,0.05183879952253737,0.04331182325276168,,,,,,,,,,,,,,,,,,,
57,,,(63),(64),-54,-76,-66,,,,,,,,,,,,,,,,,,,
58,,Total,0.21232876712328766,0.24098087693627335,0.17055837563451776,0.1725686352526573,0.2067155200699989,,,,,,,,,,,,,,,,,,,
59,,,(310),(398),-253,-253,-315,,,,,,,,,,,,,,,,,,,
61,,* Turnover presents the proportion of the Stockland workforce that has exited in the last 12 months. It is calculated by dividing [Total Number Of Exits In The Last 12 Months] by [12-Month Average Headcount]. All turnover data (including headcount) excludes those employed on a casual or fixed term basis. The first number represents this turnover. Stockland reports on the number of exits (the second number in parentheses).,,,,,,,,,,,,,,,,,,,,,,,,
62,,1. In FY20 the methodology and data exports for calculating turnover was changed. The FY19 data has been updated using the new methodology and data sets.,,,,,,,,,,,,,,,,,,,,,,,,
63,,2. Employee-initiated turnover includes resignations and retirements.,,,,,,,,,,,,,,,,,,,,,,,,
64,,3. Stockland uses a four-point rating scale for performance. This metric assesses turnover for the two highest performance ratings. Employee-initiated turnover employees with Strong Performance or Above is calculated by dividing [Total Number Of Exits In The Last 12 Months With A Strong Performance Or Above Rating] by [Employees With A Strong Performance Or Above Rating].,,,,,,,,,,,,,,,,,,,,,,,,
65,,4. Stockland initiated turnover includes redundancy or termination by Stockland (e.g. terminated during probation or for cause).,,,,,,,,,,,,,,,,,,,,,,,,
67,,Turnover by tenure group2,,,,,,,,,,,,,,,,,,,,,,,,
69,,Tenure group,FY23,FY22,FY21,FY20,FY191,,,,,,,,,,,,,,,,,,,
70,,<1 Year,0.2610587382160986,0.21404976877339793,0.20783956244302643,0.14969818913480884,0.1638519583183615,,,,,,,,,,,,,,,,,,,
71,,,90,81,-38,-31,-38,,,,,,,,,,,,,,,,,,,
