Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
49,,LCP,Landholder Contact Program,,,,,,,,,,,,,,,,
50,,LNG,Liquefied natural gas,,,,,,,,,,,,,,,,
51,,Lost Time Injury (LTI),Lost Time Injury is a work-related injury or illness that resulted in time lost from work of one day/shift or more. A Lost Time Injury must be certified by advice from a qualified medical practitioner,,,,,,,,,,,,,,,,
52,,LTIFR,Lost Time Injury Frequency Rate - Injury (LTI) count/per million hours,,,,,,,,,,,,,,,,
53,,Management interactions,"Structured interaction between a senior/operational manager and a frontline supervisor, employee or contractor",,,,,,,,,,,,,,,,
54,,MSS,Modern Slavery Statement under the Australian Modern Slavery Act.,,,,,,,,,,,,,,,,
55,,MITI,Medical Treatment Injury,,,,,,,,,,,,,,,,
56,,MW,Megawatts,,,,,,,,,,,,,,,,
57,,MWh,Megawatt hours,,,,,,,,,,,,,,,,
58,,Near miss,"An unplanned incident that occurred at the workplace, which although not resulting in injury or illness (or damage to the environment) had the potential to do so (AS 1885.1 1990)",,,,,,,,,,,,,,,,
59,,Net zero,The balance between the amount of greenhouse gas produced and the amount removed from the atmosphere. Net zero is reached when the amount added is no more than the amount taken away.,,,,,,,,,,,,,,,,
60,,Net Zero Australia (NZAu) project,A 2-year collaboration has begun to analyse how Australia can achieve a net zero economy by 2050. https://www.nousgroup.com/net-zero-australia-study/,,,,,,,,,,,,,,,,
61,,NGER,National Greenhouse and Energy Reporting Act 2007. http://www.cleanenergyregulator.gov.au/,,,,,,,,,,,,,,,,
62,,NGER facilities,"An activity, or a series of activities (including ancillary activities) that involve greenhouse gas emissions, the production of energy or the consumption of energy and that form a single undertaking or enterprise and meet the requirements of the regulations; or are declared by the Regulator to be a facility (National Greenhouse and Energy Reporting Act 2007).",,,,,,,,,,,,,,,,
63,,NGI,Northern Goldfields Interconnect project,,,,,,,,,,,,,,,,
64,,NPI,National Pollutant Inventory. http://www.npi.gov.au/,,,,,,,,,,,,,,,,
65,,Parental leave,"Leave granted to an employee (male, female, other) on the grounds of the birth of a child",,,,,,,,,,,,,,,,
66,,Penalty notice,"Any Incident where a final regulatory instrument issued by the safety regulator, indicating a non-compliance, resulting in material penalty (financial, enforceable undertaking or otherwise) (e.g. PINÃÂ , Fines, Enforceable undertaking)",,,,,,,,,,,,,,,,
67,,PFAS,Per- and polyfluoroalkyl substances,,,,,,,,,,,,,,,,
68,,Recordable injury or ill health,"Work-related injury or ill health that results in any of the following: death, days away from work, restricted work or transfer to another job and also any medically treated Injury are recordable injuries",,,,,,,,,,,,,,,,
69,,Regulatory Notifiable Incident,All incidents where APA is required to notify the relevant Environmental Regulator as part of an approved Environmental Management Plans or approvals,,,,,,,,,,,,,,,,
70,,RMS,Risk Management System,,,,,,,,,,,,,,,,
71,,Safer Together,The Queensland Natural Gas Exploration & Production Industry Safety Forum and Western Australia/Northern Territory Oil and Gas Exploration & Production Industry Safety Forum,,,,,,,,,,,,,,,,
72,,SASB,Sustainability Accounting Standards Board https://www.sasb.org/,,,,,,,,,,,,,,,,
73,,Scope 1 (GHG),"Greenhouse gas emissions released to the atmosphere as a direct result of an activity, or series of activities, at a facility level. Scope 1 emissions are sometimes referred to as direct emissions",,,,,,,,,,,,,,,,
74,,Scope 2 (GHG),Greenhouse gas emissions released to the atmosphere from the indirect consumption of an energy commodity.,,,,,,,,,,,,,,,,
75,,SDGs,"Sustainable Development Goals, adopted by all UN Member States in 2015 as a universal call to action to end poverty, protect the planet and ensure all people enjoy peace and prosperity by 2030.",,,,,,,,,,,,,,,,
76,,Sponsorships and Donations,Payments made by APA to community or not for profit organisations as a positive contribution towards a project or program,,,,,,,,,,,,,,,,
77,,SSTM,Short-term Trading Market https://aemo.com.au/en/energy-systems/gas/short-term-trading-market-sttm/about-the-short-term-trading-market-sttm,,,,,,,,,,,,,,,,
78,,Sustainable development investments,"Investments by APA made focused on outcomes of:\n1. Strengthening outcomes for First Nations People\n2. Natural disasters Ã¢ÂÂ responding to, and building community resilience for future events\n3. Building resilience in regional Australia",,,,,,,,,,,,,,,,
79,,Talent pipeline,"Refers to the pipeline of candidates in our Senior Leader talent pools and has been expanded to the pipeline of candidates (L3, L4 and L5) in our Senior Leader talent poolsÃÂ ÃÂ .",,,,,,,,,,,,,,,,
80,,Target (climate-related),"An intended outcome in relation to which we have identified one or more pathways for delivery of that outcome, subject to certain assumptions or conditions",,,,,,,,,,,,,,,,
81,,TCFD,G20 Financial Stability BoardÃ¢ÂÂs Taskforce Recommendations on Climate-related Financial Disclosures https://www.fsb-tcfd.org/,,,,,,,,,,,,,,,,
82,,t-CO2e/t-CO2 equiv,"Tonnes of carbon dioxide equivalent. The standard unit in carbon accounting to quantify greenhouse gas emissions. Includes: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), sulphur hexafluoride (SF6) and specified kinds of hydro fluorocarbons and perfluorocarbons. http://www.cleanenergyregulator.gov.au/NGER/About-the-National-Greenhouse-and-Energy-Reporting-scheme/Greenhouse-gases-and-energy",,,,,,,,,,,,,,,,
83,,Tier 1 release / incident,A major release of harmful substances such as natural gas that cause a major accident. Release quantities are >500kg per hour. As defined by the energy institute process safety framework.,,,,,,,,,,,,,,,,
84,,Tier 2 release / incident,A significant release of harmful substances such as natural gas that cause a major accident. Release quantities are >50kg per hour but less than Tier 1 quantities. As define by the energy institute process safety framework,,,,,,,,,,,,,,,,
85,,TRIFR,"Total Recordable Injury Frequency Rate - Injury (LTI,MOTI, MITI) count/per million hours",,,,,,,,,,,,,,,,
86,,UoM,Unit of Measure,,,,,,,,,,,,,,,,
87,,VoC,APA's Voice of Customer survey,,,,,,,,,,,,,,,,
88,,Voluntary turnover,Employees who leave the organisation voluntarily (resignation),,,,,,,,,,,,,,,,
89,,Warning notice,"Any Incident where a regulatory instrument issued by the Safety Regulator indicates a potential non-compliance and does not result in an initial material penalty (financial, instructive or otherwise) e.g. improvement notice, email warning, request for information.",,,,,,,,,,,,,,,,
90,,WGEA,Workplace Gender Equality Agency. Australian Government statutory agency created by the Workplace Gender Equality Act 2012. https://www.wgea.gov.au,,,,,,,,,,,,,,,,
91,,Work (occupational) health and safety management system,"A set of interrelated or interacting elements to establish occupational health and safety policy and objectives, and to achieve those objectives",,,,,,,,,,,,,,,,
92,,Workforce,"Individuals actively engaged in performing tasks for APA as either an Employee or Contingent Worker, excluding Board Members and CEO",,,,,,,,,,,,,,,,
93,,Work-related ill health,"Any abnormal condition or disorder, other than one resulting from a work-related (occupational) injury, caused by exposures to factors associated with the working environment. It includes acute or chronic illnesses or diseases, which may be caused by inhalation, absorption, ingestion or direct contact.",,,,,,,,,,,,,,,,
