Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
66,,Permanent part time,102-8,,,count,9,74,8,68,5,76,6,79,8,70,7,77,,,,,
67,,Fixed-term full time,102-8,,,count,111,60,113,44,103,34,71,33,70,42,67,40,,,,,
68,,Fixed-term part time,102-8,,,count,5,11,5,4,4,7,2,7,2,2,-,4,,,,,
69,,Casual employees,102-8,,,count,25,21,22,13,29,7,24,6,23,7,19,4,,,,,
71,,Diversity of total employees by age,,,,,M,F,M,F,M,F,M,F,M,F,M,F,,,,,
72,,Under 30,405-1,,3.1.1,%,5,4,6,3,5,2,4,2,4,2,3,2,,,,,
73,,30-49 years,405-1,,3.1.1,%,38,19,40,18,40,19,40,19,39,20,40,19,,,,,
74,,50+ years,405-1,,3.1.1,%,25,9,25,8,26,8,27,8,28,7,29,7,,,,,
77,,New Employment,,,,,,,,,,,,,,,,,,,,,
78,,Year-end 30 June,GRI,SASB,CSA,UoM,FY23,,FY22,,FY21,,,,,,,,,,,,
79,,,,,,,Male,Female,Male,Female,Male,Female,,,,,,,,,,,
81,,New employee hires,,,,,,,,,,,,,,,,,,,,,
82,,Total new employee hires,401-1,,5.4.5,count,387,258,249,119,268,123,,,,,,,,,,,
84,,New employee hires by age,,,,,,,,,,,,,,,,,,,,,
85,,Under 30,401-1,,,%,10,8,12,8,15,5,,,,,,,,,,,
86,,30-49 years,401-1,,,%,37,26,42,18,41,20,,,,,,,,,,,
87,,50+ years,401-1,,,%,13,6,13,7,13,6,,,,,,,,,,,
89,,New employee hires by division,,,,,,,,,,,,,,,,,,,,,
90,,Operational Divisions,401-1,,,%,41,17,51,19,54,16,,,,,,,,,,,
91,,Corporate Divisions,401-1,,,%,19,23,16,14,15,15,,,,,,,,,,,
94,,Employee Turnover,,,,,,,,,,,,,,,,,,,,,
95,,Year-end 30 June,GRI,SASB,CSA,UoM,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,,,,
97,,Total employee turnover,401-1,,5.4.3; 5.4.5,%,14.4,16.1,11,12,14,14,,,,,,,,,,,
98,,Voluntary employee turnover,401-1,,5.4.3; 5.4.5,%,11.5,13.4,7,7.1,8.4,7.3,,,,,,,,,,,
101,,Labour / Management Relations,,,,,,,,,,,,,,,,,,,,,
102,,Year on Year Trend,GRI,SASB,CSA,UoM,FY23,FY22,FY21,FY20,FY19,FY18,,,,,,,,,,,
104,,% of total employees covered by collective bargaining agreements,401-1,,5.1.3,%,24,28,30,31,31,32,,,,,,,,,,,
107,,Employee Benefits,,,,,,,,,,,,,,,,,,,,,
108,,Year-end 30 June,GRI,SASB,CSA,UoM,FY23,,FY22,,FY21,,,,,,,,,,,,
109,,,,,,,Male,Female,Male,Female,Male,Female,,,,,,,,,,,
111,,Total employees that took parental leave,401-3,,,count,75,45,70,33,65,38,,,,,,,,,,,
114,,Training and Education,,,,,,,,,,,,,,,,,,,,,
115,,Year-end 30 June,GRI,SASB,CSA,UoM,FY23,FY22,FY21,,,,,,,,,,,,,,
117,,Workforce training hours delivered,,,,,,,,,,,,,,,,,,,,,
118,,Total workforce training hours delivered,404-1,,5.3.1,hours,40542,39913,34342.5,,,,,,,,,,,,,,
119,,Average hours of training per workforce member,404-1,,5.3.1,hours,15,16.969813,16,,,,,,,,,,,,,,
121,,Workforce training hours by type,,,,,,,,,,,,,,,,,,,,,
122,,Mandatory APA Compliance Training,404-1,,5.3.1,hours,7491.5,6498.5,3628.5,,,,,,,,,,,,,,
123,,Role-specific Training,404-1,,5.3.1,hours,30919.5,30846.5,23100.5,,,,,,,,,,,,,,
124,,Other Training,404-1,,5.3.1,hours,2130,2568,7613.5,,,,,,,,,,,,,,
