Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
152,,,403-6,Promotion of worker health,"APA Annual Report 2023 - Health, Safety & Wellbeing"
153,,,403-7,Prevention and mitigation of occupational health and safety impacts directly linked by business\nrelationships,"APA Annual Report 2023 - Health, Safety & Wellbeing"
154,,,403-8,Workers covered by an occupational health and safety management system,"APA Annual Report 2023 - Health, Safety & Wellbeing\nAPA FY23 Sustainability Data Book - 7. Health & Safety"
155,,,403-9,Work-related injuries,Metric partially disclosed - APA FY23 Sustainability Data Book - 7. Health & Safety
156,,,403-10,Work-related ill health,APA FY23 Sustainability Data Book - 7. Health & Safety
157,,GRI 404: Training and Education 2016,,,
158,,,404-1,Average hours of training per year per employee,"APA Annual Report 2023 - Health, Safety & Wellbeing\nAPA FY23 Sustainability Data Book - 7. Health & Safety"
159,,,404-2,Programs for upgrading employee skills and transition assistance programs,"APA Annual Report 2023 \n- People & culture\n- Health, Safety & Wellbeing"
160,,,404-3,Percentage of employees receiving regular performance and career development reviews,Metric not disclosed
161,,GRI 405: Diversity and Equal Opportunity 2016,,,
162,,,405-1,Diversity of governance bodies and employees,APA Annual Report - People & Culture\nAPA FY23 Sustainability Data Book - 6. People & Culture
163,,,405-2,Ratio of basic salary and remuneration of women to men,Metric not disclosed
164,,GRI 406: Non-Discrimination 2016,,,
165,,,406-1,Incidents of discrimination and corrective actions taken,APA Annual Report - People & Culture\n
166,,GRI 407: Freedom of Association and Collective Bargaining 2016,,,
167,,,407-1,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,APA Annual Report - People & Culture\nAPA FY23 Sustainability Data Book - 6. People & Culture
168,,GRI 408: Child Labor 2016,,,
169,,,408-1,Operations and suppliers at significant risk for incidents of child labor,APA Modern Slavery Statement 2022
170,,GRI 409: Forced or Compulsory Labor 2016,,,
171,,,409-1,Operations and suppliers at significant risk for incidents of forced or compulsory labor,APA Modern Slavery Statement 2022
172,,GRI 410: Security Practices 2016,,,
173,,,410-1,Security personnel trained in human rights policies or procedures,Metric not disclosed
174,,GRI 411: Rights of Indigenous Peoples 2016,,,
175,,,411-1,Incidents of violations involving rights of Indigenous peoples,Metric not disclosed
176,,GRI 412: Human Rights Assessment 2016,,,
177,,,412-1,Operations that have been subject to human rights reviews or impact assessments,Metric not disclosed
178,,,412-2,Employee training on human rights policies or procedures,Metric not disclosed
179,,,412-3,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,Metric not disclosed
180,,GRI 413: Local Communities 2016,,,
181,,,413-1,"Operations with local community engagement, impact assessments, and development programs",Metric not disclosed
182,,,413-2,Operations with significant actual and potential negative impacts on local communities,Metric not disclosed
183,,GRI 414: Supplier Social Assessment 2016,,,
184,,,414-1,New suppliers that were screened using social criteria,APA Modern Slavery Statement 2022
185,,,414-2,Negative social impacts in the supply chain and actions taken,APA Modern Slavery Statement 2022
186,,GRI 415: Public Policy 2016,,,
187,,,415-1,Political contributions,APA Annual Report 2023 - Governance
188,,GRI 416: Customer Health and Safety 2016,,,
189,,,416-1,Assessment of the health and safety impacts of product and service categories,Metric not disclosed - indicator immaterial to APA
190,,,416-2,Incidents of non-compliance concerning the health and safety impacts of products and services,Metric not disclosed - indicator immaterial to APA
191,,GRI 417: Marketing and Labelling 2016,,,
192,,,417-1,Requirements for product and service information and labelling,Metric not disclosed - indicator immaterial to APA
193,,,417-2,Incidents of non-compliance concerning product and service information and labelling,Metric not disclosed - indicator immaterial to APA
194,,,417-3,Incidents of non-compliance concerning marketing communications,Metric not disclosed - indicator immaterial to APA
195,,GRI 418: Customer Privacy 2016,,,
196,,,418-1,Substantiated complaints concerning breaches of customer privacy and losses of customer data,Metric not disclosed
197,,GRI 419: Socioeconomic Compliance 2016,,,
198,,,419-1,Non-compliance with laws and regulations in the social and economic area,Metric not disclosed
