Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
35,,,102-25,Conflicts of interest,"Process for managing Conflicts of interest is via the APA: IndependenceÃÂ ofÃÂ DirectorsÃÂ Policy, Conflict of\nInterests Policy and APA CodeÃÂ ofÃÂ Conduct"
36,,,102-26,"Role of highest governance body in setting purpose, values, and strategy",APA FY23 Corporate Governance Statement - Board and its Committees
37,,,102-27,Collective knowledge of highest governance body,APA FY23 Corporate Governance Statement- Board skills and experience
38,,,102-28,Evaluating the highest governance bodyÃ¢ÂÂs performance,"APA FY23 Corporate Governance Statement- Performance evaluation of Board, its Committees and Directors"
39,,,102-29,"Identifying and managing economic, environmental, and social impacts",APA Annual Report 2023 - Sustainability @ APA
40,,,102-30,Effectiveness of risk management processes.,APA Annual Report 2023 - Risk & Opportunities
41,,,102-31,"Review of economic, environmental, and social topics.",APA Annual Report 2023 - Sustainability @ APA
42,,,102-32,Highest governance bodyÃ¢ÂÂs role in sustainability reporting,APA Annual Report 2023 - Sustainability @ APA
43,,,102-33,Process for communicating critical concerns to the highest governance body.,APA Annual Report 2023 - Governance
44,,,102-34,Nature and total number of critical concerns,APA Annual Report 2023 - Governance
45,,,102-35,Remuneration policies,APA Annual Report 2023 - Remuneration Report
46,,,102-36,Process for determining remuneration,APA Annual Report 2023 - Remuneration Report
47,,,102-37,StakeholdersÃ¢ÂÂ involvement in remuneration,APA Annual Report 2023 - Remuneration Report
48,,,102-38,Annual total compensation ratio,Metric not disclosed
49,,,102-39,Percentage increase in annual total compensation ratio,Metric not disclosed
50,,,Stakeholder Engagement,,
51,,,102-40,List of stakeholder groups.,APA Annual Report 2023 \n- Sustainability @ APA\n- Governance
52,,,102-41,Collective bargaining agreements.,APA Annual Report 2023 - People and culture\nAPA FY23 Sustainability Data Book - 6. People & Culture
53,,,102-42,Identifying and selecting stakeholders.,APA Annual Report 2023 - Sustainability @ APA
54,,,102-43,Approach to stakeholder engagement.,APA Annual Report 2023\n- Sustainability @ APA\n- Community & Social Performance\n- First Nations Peoples
55,,,102-44,Key topics and concerns raised through stakeholder engagement,APA Annual Report 2023\n- Sustainability @ APA\n- Community & Social Performance\n- First Nations Peoples
56,`,,Reporting Practice,,
57,,,102-45,Entities included in the consolidated financial statements,APA Annual Report 2023
58,,,102-46,Defining report content and topic boundaries,APA Annual Report 2023 - About this report
59,,,102-47,List of material topics,APA Annual Report 2023 - Sustainability @ APA
60,,,102-48,Restatements of information,APA Annual Report 2023 - restated information will be in footnotes\nAPA FY23 Sustainability Data Book - restated information will be in footnotes
61,,,102-49,Significant changes from previous reporting periods in the list of material topics and topic boundaries,APA Annual Report 2023 - Sustainability @ APA
62,,,102-50,Reporting period for the information provided.,1 July 2022 to 30 June 2023
63,,,102-51,Date of most recent report,APA Annual Report 2023 (August 2023)\nAPA FY23 Sustainability Data Book (August 2023)
64,,,102-52,Reporting cycle,Annual
65,,,102-53,Contact point for questions regarding the report,Please contact us at sustainability@apa.com.au\nAPA Website www.apa.com.au
66,,,102-54,Claims of reporting in accordance with the GRI Standards,This data book has been prepared in accordance with the GRI Standards: Core option
67,,,102-55,GRI content index,This document
68,,,102-56,External assurance,APA Annual Report 2023 (August 2023)\nAPA FY23 Sustainability Data Book (August 2023)
69,,GRI 103: Management Approach 2016,,,
70,,,103-1,Explanation of the material topic and its boundary.,APA Annual Report 2023\nAPA FY23 Sustainability Data Book - Materiality
71,,,103-2,The management approach and its components,APA Annual Report 2023 \nAPA Corporate Governance Statement 2023
72,,,103-3,Evaluation of the management approach.,APA Annual Report 2023
73,,ECONOMIC,,,
74,,GRI 201: Economic Performance 2016,,,
75,,,201-1,Direct economic value generated and distributed,APA FY23 Sustainability Data Book - 2. Economic
76,,,201-2,Financial implications and other risks and opportunities due to climate change,APA Annual Report 2023 \n- Strategy\n- Climate change transition and risk\nAPA Climate Transition Plan 2022
77,,,201-3,Defined benefit plan obligations and other retirement plans,Metric not disclosed
78,,,201-4,Financial assistance received from government,APA FY23 Sustainability Data Book - 2. Economic
79,,GRI 202: Market Presence 2016,,,
80,,,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,Metric not disclosed
81,,,202-2,Proportion of senior management hired from the local community,Metric not disclosed
82,,GRI 203: Indirect Economic Impacts 2016,,,
83,,,203-1,Infrastructure investments and services supported,APA Annual Report 2023
84,,,203-2,Significant indirect economic impacts,Metric not disclosed
85,,GRI 204: Procurement Practices 2016,,,
86,,,204-1,Proportion of spending on local suppliers,Metric not disclosed
87,,GRI 205: Anti-Corruption 2016,,,
88,,,205-1,Operations assessed for risks related to corruption,Metric not disclosed
89,,,205-2,Communication and training about anti-corruption policies and procedures,APA Annual Report 2023 - Governance
90,,,205-3,Confirmed incidents of corruption and actions taken,APA Annual Report 2023 - Governance
91,,GRI 206: Anti-competitive Behaviour 2016,,,
92,,,206-1,"Legal actions for anti-competitive behaviour; anti-trust, and monopoly practices.",Metric not disclosed
93,,GRI 207: Tax 2019,,,
94,,,207-1,Approach to tax,APA Annual Report 2023
95,,,207-2,"Tax governance, control, and risk management.",APA Annual Report 2023
96,,,207-3,Stakeholder engagement and management of concerns related to tax,Metric not disclosed
97,,,207-4,Country-by-country reporting,Metric not disclosed
98,,ENVIRONMENT,ENVIRONMENT,,
99,,GRI 301: Materials 2016,,,
100,,,301-1,Materials used by weight or volume,Metric not disclosed
